nm_titulo,vl_media_taxa_homicidios,vl_avaliacao_media_ativos_fundo,vl_quantidade_imoveis,nm_setor,vl_valor,vl_liquidez_media_diaria,vl_pvp,vl_dividendo,vl_yeld,vl_soma_yield_3m,vl_soma_yield_6m,vl_soma_yield_12m,vl_media_yield_3m,vl_media_yield_6m,vl_media_yield_12m,vl_soma_yield_ano_corrente,vl_variacao_cotacao_mes,vl_rentabilidade_mes,vl_rentabilidade,vl_patrimonio,vl_vpa,vl_pvpa,vl_vpa_yield,vl_vpa_change,vl_vpa_rent_m,vl_vpa_rent,vl_ativos,vl_volatility,vl_numero_cotista,dt_inclusao,vl_vacancia_fisica,vl_vacancia_financeira
CBOP11,,,,,"769,90",369.0,,"R$ 4,7000","0,6088%","1,8461%","3,6904%","7,7818%","0,6154%","0,6151%","0,6485%","1,2153%","-0,3871%","0,2194%","0,8271%","R$ 101.188.229,5200","R$ 715,1112","1,0766","0,6572%","0,0000%","0,6572%","0,6572%",1,,,2018-03-01,"7,0000%",
ATSA11B,,,,,"1.149,90",23.0,,"R$ 1,5000","0,1304%","0,2964%","0,6780%","2,2276%","0,0988%","0,1130%","0,1856%","0,2138%","-4,1667%","-4,0417%","-3,9617%","R$ 214.380.419,6900","R$ 1.249,8858","0,9200","0,0800%","0,0000%","0,0800%","0,0800%",1,,,2018-03-01,"23,0000%",
HGBS11,,,,,"2.359,00",633.0,,"R$ 12,0000","0,5065%","1,4850%","2,8562%","6,2955%","0,4950%","0,4760%","0,5246%","0,9946%","-3,6592%","-3,1712%","-2,6987%","R$ 1.236.694.533,1200","R$ 2.300,8613","1,0253","0,5215%","0,0000%","0,5215%","0,5215%",8,,,2018-03-01,"5,6000%",
GRLV11,,,,,"1.260,00",456.0,,"R$ 7,5000","0,5929%","1,8022%","3,6572%","7,9147%","0,6007%","0,6095%","0,6596%","1,1772%","4,1186%","4,7359%","5,3479%","R$ 126.592.453,3700","R$ 1.179,2167","1,0685","0,6021%","0,0000%","0,6021%","0,6021%",1,,,2018-03-01,"7,2800%",
HGJH11,,,,,"1.470,00",99.0,,"R$ 7,5000","0,4941%","1,5149%","3,1206%","6,6393%","0,5050%","0,5201%","0,5533%","0,9882%","0,0145%","0,5086%","1,0053%","R$ 193.129.718,9800","R$ 1.170,4831","1,2559","0,6408%","0,0000%","0,6408%","0,6408%",2,,,2018-03-01,"9,4000%",
HGLG11,,,,,"1.400,13",684.0,,"R$ 8,7000","0,6304%","1,9403%","3,9431%","8,1531%","0,6468%","0,6572%","0,6794%","1,2925%","5,0221%","5,6842%","6,3839%","R$ 388.322.927,6900","R$ 1.141,7904","1,2263","0,7620%","0,0000%","0,7620%","0,7620%",8,,,2018-03-01,"24,1000%","23,2000%"
HGRE11,,,,,"1.494,00",1019.0,,"R$ 8,0000","0,5333%","1,7195%","3,5276%","7,5241%","0,5732%","0,5879%","0,6270%","1,0667%","0,0033%","0,5367%","1,0729%","R$ 1.105.189.516,9800","R$ 1.496,9180","0,9981","0,5344%","0,0000%","0,5344%","0,5344%",19,,,2018-03-01,"18,1000%","18,7000%"
HGCR11,,,,,"107,00",2873.0,,"R$ 0,7500","0,6881%","2,1256%","4,2214%","9,0792%","0,7085%","0,7036%","0,7566%","1,4234%","6,8627%","7,5980%","8,3892%","R$ 106.861.059,5800","R$ 102,0553","1,0485","0,7349%","0,0000%","0,7349%","0,7349%",0,,,2018-03-01,,
DOMC11,,,,,"580,00",34.0,,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 193.020.245,3400","R$ 1.018,5765","0,5694","0,0000%","0,0000%","0,0000%","0,0000%",1,,,2018-03-01,,
FIXX11,,,,,"87,90",344.0,,"R$ 0,4200","0,4456%","1,6237%","3,7765%","7,7567%","0,5412%","0,6294%","0,6464%","0,9775%","0,2660%","0,7128%","1,2485%","R$ 34.034.033,3800","R$ 92,9963","0,9452","0,5377%","0,0000%","0,5377%","0,5377%",0,,,2018-03-01,,
