Título,Ativos
BMLC11,['TORRE RIO SUL']
BNFS11,"['AGÊNCIA QUARAI', 'AGÊNCIA ARROIO DO SAL', 'AGÊNCIA SANTA ROSA', 'AGÊNCIA BELÉM NOVO', 'AGÊNCIA SÃO GABRIEL', 'AGÊNCIA CAMBOIM', 'AGÊNCIA SAPIRANGA', 'AGÊNCIA CAMPINA', 'AGÊNCIA SCHARLAU', 'AGÊNCIA CASSINO', 'AGÊNCIA TANCREDO NEVES', 'AGÊNCIA CRUZ ALTA', 'AGÊNCIA TAQUARI', 'AGÊNCIA GENERAL CÂMARA', 'AGÊNCIA VACARIA', 'AGÊNCIA PADRE CLARET', 'AGÊNCIA VILA IPIRANGA', 'AGÊNCIA PAROBÉ']"
BODB11,[]
BPFF11,[]
BPLC11,['CONDOMÍNIO LED CORPORATE']
BPML11,"['SHOPPING ILHA PLAZA', 'SHOPPING CASA & GOURMET', 'SHOPPING LONDRINA NORTE', 'OSASCO PLAZA SHOPPING', 'SHOPPING CAPIM DOURADO', 'SHOPPING CONTAGEM', 'SHOPPING PLAZA MACAÉ']"
BPRP11,['AURORA ALIMENTOS']
BRCO11,"['BRESCO CONTAGEM', 'GPA CD04', 'BRESCO ITUPEVA', 'BRF', 'HUB NATURA', 'WHIRLPOOL', 'BRESCO LAURO DE FREITAS', 'BRESCO EMBU', 'BRESCO CANOAS', 'BRESCO RESENDE', 'BRESCO OSASCO', 'NATURA MURICI']"
BRCR11,"['ELDORADO BUSINESS TOWER', 'EZ TOWERS B', 'EDIFÍCIO MONTREAL', 'CEO OFFICE', 'EDIFÍCIO MAYRINK VEIGA', 'DIAMOND TOWER', 'EDIFÍCIO SENADO', 'SUCUPIRA', 'TORRE ALMIRANTE']"
BREV11,"['EDIFICIO MYKONOS', 'EDIFÍCIO ATRIUM IV', 'EDIFÍCIO PLAZA I', 'EDIFÍCIO ATRIUM JARDINS', 'EDIFÍCIO RESULT CORPORATE PLAZA', 'EDIFÍCIO ATRIUM VIII', 'EDIFÍCIO BUENO BUSINESS TOWER', 'EDIFICIO SPAZIO CENTRALE', 'EDIFÍCIO JF 100', 'EDIFÍCIO MILLENIUM', 'EDIFÍCIO PARQUE PAULISTA']"
