Título,Ativos
HRDF11,['TERRENO ITAIM PAULISTA']
HREC11,[]
HRES11,[]
HSAF11,[]
HSLG11,"['GALPÃO ARUJÁ', 'GALPÃO ITAPEVI', 'GALPÃO MANAUS', 'GALPÃO CONTAGEM', 'GALPÃO SÃO JOSÉ DOS PINHAIS']"
HSML11,"['SHOPPING GRANJA VIANNA', 'SHOPPING PÁTIO MACEIÓ', 'SUPERSHOPPING OSASCO', 'SHOPPING METRÔ TUCURUVI', 'VIA VERDE SHOPPING', 'SHOPPING PARALELA', 'SHOPPING UBERABA']"
HSRE11,"['GARAGEM - COPACABANA', 'LOJA - SHOPPING ABC', 'LOJA - SHOPPING BARRA SALVADOR', 'LOJA - CENTRO BH', 'LOJA - SHOPPING CENTER PIEDADE', 'LOJA - CENTRO CAMPINAS', 'LOJA - SHOPPING CURITIBA', 'LOJA - CENTRO E CALL CENTER', 'LOJA - SHOPPING GOIÂNIA', 'LOJA - CENTRO SÃO LUIS', 'LOJA - SHOPPING IGUATEMI', 'LOJA - CENTRO SP', 'LOJA - SHOPPING IGUATEMI MACEIÓ', 'LOJA - COPACABANA', 'LOJA - SHOPPING IGUATEMI RJ', 'LOJA - COPACABANA', 'LOJA - SHOPPING MACEIÓ', 'LOJA - DEL REY BH', 'LOJA - SHOPPING MINAS', 'LOJA - DUQUE DE CAXIAS', 'LOJA - SHOPPING NITERÓI', 'LOJA - NORTE SHOPPING', 'LOJA - SHOPPING PÁTIO BELÉM', 'LOJA - NOVA IGUAÇU', 'LOJA - SHOPPING PÁTIO BRASIL', 'LOJA - OUVIDOR', 'LOJA - TIJUCA', 'LOJA - RECIFE', 'LOJA - VITÓRIA']"
HTMX11,"['BLUE TREE FARIA LIMA', 'FARIA LIMA IBIS STYLES', 'INTERCITY NAÇÕES UNIDAS', 'COMFORT NOVA PAULISTA', 'INTERCITY PREMIUM BERRINI', 'ESTANPLAZA BERRINI', 'INTERCITY PREMIUM IBIRAPUERA', 'FUNCHAL ESTANPLAZA', 'EUROPA MELIÁ JARDIM', 'IBIRAPUERA ESTANPLAZA', 'PRIME NOBILE PAULISTA', 'INTERNATIONAL ESTANPLAZA', 'STAYBRIDGE SUITES', 'ESTANPLAZA NAÇÕES UNIDAS', 'TRYP BERRINI', 'GRAN ESTANPLAZA', 'IGUATEMI TRYP', 'HOTEL IBIS BUDGET JARDINS', 'HOTEL IBIS BUDGET PAULISTA', 'PAULISTA TRYP', 'HOTEL IBIS SÃO PAULO PAULISTA', 'WYNDHAM BERRINI']"
HUCG11,['HOSPITAL UNIMED CAMPINA GRANDE']
HUSC11,['HOSPITAL UNIMED SUL CAPIXABA']
HUSI11,[]
IAAG11,[]
IAGR11,[]
IBCR11,[]
IBFF11,[]
ICNE11,[]
ICRI11,[]
IDFI11,[]
IDGR11,[]
IDUA11,[]
IFRA11,[]
IFRI11,[]
IMOV11,[]
IRDM11,[]
IRIM11,[]
ISCJ11,[]
ITIP11,[]
ITIT11,[]
ITRI11,[]
JASC11,"['SARGENTO HERMINIO', 'EUSÉBIO', 'MARAPONGA', 'LOGO JACAREY', 'DROGASIL BEZERRA DE MENEZES', 'DROGASIL BERNARDO MANUEL', 'FRANCISCO SÁ', 'SARGENTO HERMINIO 2', 'MARAPONGA 2', 'PÃO DE AÇÚCAR SÃO JOÃO', 'TREZE DE MAIO', 'LAGOA', 'DROGASIL SANTOS DUMONT', 'WASHINGTON SOARES', 'CAXANGÁ', 'PAULISTA']"
JBFO11,[]
JCCJ11,[]
JCIN11,[]
JFLL11,"['VHOUSE FARIA LIMA', 'VO699']"
JGPX11,[]
JPPA11,[]
JRDM11,['SHOPPING JARDIM SUL']
JSAF11,[]
JSCR11,[]
JSRE11,"['ED. PAULISTA', 'TOWER BRIDGE CORPORATE', 'WTNU III', 'ED. PRAIA DE BOTAFOGO', 'TORRES MARBLE E EBONY - COMPLEXO ROCHAVERÁ']"
JURO11,[]
KCRE11,[]
KDIF11,[]
KEVE11,[]
KFOF11,[]
KINP11,[]
KISU11,[]
KIVO11,[]
KNCA11,[]
KNCR11,[]
KNHF11,"['SÃO LUIZ (TORRES I, II E III)', 'HL FARIA LIMA']"
KNHY11,[]
KNIP11,[]
KNOX11,[]
KNPR11,[]
KNRE11,[]
KNRI11,"['ATHENAS', 'SANTA CRUZ CENTRO DE DISTRIBUIÇÃO', 'CORPORATE TOWER EDFÍCIO BOULEVARD', 'BELA PAULISTA', 'DIOGO MOREIRA EDIFÍCIO', 'TRADE CENTER BOTAFOGO', 'EDIFÍCIO CORPORATE LAGOA', 'CORPORATE BUENOS AIRES', 'MADISON EDIFÍCIO', 'CD CABREÚVA', 'SÃO LUIZ EDIFÍCIO', 'BIOSQUARE', 'JUNDIAÍ GLOBAL', 'CENTRO DE DISTRIBUIÇÃO ITAQUA', 'FLORIANO JOAQUIM', 'CENTRO DE DISTRIBUIÇÃO MOGI DAS CRUZES', 'PARK INDUSTRIAL JUNDIAÍ', 'CENTRO DE DISTRIBUIÇÃO POUSO ALEGRE', 'SUMARÉ PIB', 'EDIFÍCIO ROCHAVERÁ']"
KNSC11,[]
KNUQ11,[]
KOPA11,[]
KORE11,"['CENTRO EMPRESARIAL BOTAFOGO', 'ALAMEDA SANTOS', 'MORUMBI OFFICE TOWER', 'CORPORATE PLAZA']"
LASC11,"['SHOPPING BOULEVARD CAMPOS', 'PARQUE SHOPPING BELÉM']"
LAVF11,[]
LFTT11,"['APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL', 'APARTAMENTO RESIDENCIAL']"
LGCP11,"['GALPÃO LOGÍSTICO LOG GOIÂNIA', 'GALPÃO INDUSTRIAL LOG VIANA', 'GAIOLLI', 'LOG CONTAGEM I', 'RIO CAMPO GRANDE']"
LIFE11,[]
LLAO11,"['CASA RIVIERA', 'AVENIDA REBOUÇAS']"
LOFT11B,[]
LPLP11,[]
LSAG11,[]
LSPA11,[]
LUGG11,"['RESIDENCIAL LUGGO ECOVILLE', 'RESIDENCIAL LUGGO CENARIUM', 'RESIDENCIAL LUGGO LINDÓIA', 'RESIDENCIAL LUGGO CIPRESTE', 'LUGGO INTER RESIDENCE']"
LVBI11,"['ATIVO PIRITUBA', 'ATIVO ARAUCÁRIA', 'GALPÃO - EXTREMA', 'ATIVO ITAPEVI', 'ATIVO MAUÁ', 'ATIVO BETIM', 'ATIVO JANDIRA', 'ATIVO ARATU', 'ATIVO CAJAMAR', 'ATIVO SBC']"
MALL11,"['SHOPPING PARK SUL', 'BOULEVARD SHOPPING FEIRA', 'SHOPPING TABOÃO', 'MACEIO SHOPPING', 'SHOPPING TACARUNA', 'SHOPPING PARK LAGOS', 'SUZANO SHOPPING', 'MADUREIRA SHOPPING', 'CAMPINAS SHOPPING', 'BOULEVARD SHOPPING BAURU', 'SHOPPING METROPOLITANO BARRA', 'RIO2 SHOPPING', 'PENINSULA OPEN MALL', 'CAXIAS SHOPPING']"
MANA11,[]
MATV11,[]
MAXR11,"['LOJA DE BELÉM', 'LOJA DE NILÓPOLIS', 'LOJA DE BRASÍLIA', 'LOJA DE TAGUATINGA', 'LOJA DE JOÃO PESSOA', 'LOJA DE VITÓRIA', 'LOJA DE MACEIÓ', 'LOJA MANAUS', 'CURSINHO TAGUATINGA']"
MBRF11,"['EDIFÍCIO BANCO MERCANTIL - RIO BRANCO', 'EDIFÍCIO SEDE']"
MCCI11,[]
MCHF11,[]
MCHY11,[]
MFAI11,[]
MFII11,"['MAXHAUS', 'DAHMA FIT I', 'DONA AMÉLIA', 'TERRAS DA ESTÂNCIA', 'GOLDEN BOITUVA', 'LUAR DO ARRAIAL', 'AVENIDA CORIFEU', 'VILAS DO RIO', 'LUAR DE RIO LARGO', 'LUAR DO PARQUE', 'BARENA', 'LAURO DE FREITAS', 'RESERVA DA ILHA', 'LUAR DAS OLIVEIRAS', 'JARDINS DE TARSILA', 'PAES DE BARROS', 'JABAQUARA', 'DESCAMPADO', 'ADELIA CHOFI', 'PONTA GROSSA', 'LUSSANVIRA', 'HERMANO DA SILVA', 'RESIDENCIAL CAMPO VERDE', 'DAHMA FIT II']"
MGCR11,[]
MGFF11,[]
MGHT11,['HOTEL VILA MADALENA']
MGLG11,"['ITAMBÉ SÃO PAULO', 'SUPERMARKET PAVUNA', 'VOLKSWAGEM RESENDE']"
MGRI11,[]
MINT11,"['COLÉGIO POP', 'CENTRO UNIVERSITÁRIO UNA', 'ESCOLA PARQUE']"
MMPD11,[]
MORC11,[]
MORE11,[]
MXRF11,"['ABSOLUTO MARIA MONTEIRO', 'EDIFÍCIO ST. LOUIS', 'EDIFÍCIO CENTRO EXECUTIVO DO PAÇO']"
NAVT11,[]
NCHB11,[]
NCRA11,[]
NCRI11,[]
NEWL11,"['NEWPORT LOG GOIÂNIA', 'BRINOX CAXIAS DO SUL', 'NEWPORT LOG SOROCABA']"
NEWU11,"['EDIFÍCIO SUÁREZ TRADE', 'EDIFÍCIO EMPRESARIAL CENTER I', 'EDIFÍCIO EMPRESARIAL CENTER II']"
NEXG11,[]
NSLU11,['HOSPITAL NOSSA SENHORA DE LOURDES']
NUIF11,[]
NVHO11,['HOSPITAL SÃO LUIZ']
NVIF11B,[]
OBAL11,[]
OCRE11,[]
OGHY11,[]
OGIN11,[]
OIAG11,[]
ONEF11,['EDIFÍCIO THE ONE']
OPTM11,[]
ORPD11,[]
OUFF11,[]
OUJP11,[]
OULG11,"['GALPÃO BRASKEM', 'IMÓVEL JUIZ DE FORA']"
OURE11,"['CONDOMÍNIO BANDEIRA PAULICEIA', 'CONDOMÍNIO MASSIMO PARQUE DA MOOCA', 'ALPHA HOUSES I', 'EDIFÍCIO GIBRAN', 'LOJA IPANEMA', 'IMÓVEIS BARRA DA TIJUCA']"
PABY11,[]
PATA11,[]
PATB11,[]
PATC11,"['EDIFÍCIO SKY CORPORATE', 'EDIFÍCIO CENTRAL VILA OLÍMPIA', 'CETENCO PLAZA', 'EDIFÍCIO ROBERTO MARINHO SQUARE']"
PATL11,"['COMPLEXO LOGÍSTICO ITATIAIA', 'GALPÃO RIBEIRÃO DAS NEVES', 'GALPÃO SOLÍSTICA', 'GALPÃO POSTALL']"
PCAS11,[]
PEMA11,[]
PFIN11,[]
PICE11,[]
PLCA11,[]
PLCR11,[]
PLOG11,['PARQUE LOGÍSTICO PERNAMBUCO']
PLRI11,[]
PMFO11,[]
PMIS11,[]
PNCR11,[]
PNDL11,"['URDI BARUERI', 'URDI CASTELLO BRANCO']"
PNPR11,"['BRIGADEIRO 3595', 'GALPÃO GUARULHOS', 'GALPÃO JANDIRA']"
PNRC11,[]
PORD11,[]
PPEI11,[]
PQAG11,['NASP NATURA']
PQDP11,['SHOPPING PARQUE DOM PEDRO']
PRSV11,['EDIFÍCIO TORRE BOA VISTA']
PRTS11,"['SHOPPING GERMÂNIA', 'SHOPPING BENTO GONÇALVES']"
PULV11,[]
PVBI11,"['FL 4440', 'VILA OLIMPIA CORPORATE', 'PARK TOWER', 'UNION FARIA LIMA', 'THE ONE', 'VERA CRUZ II', 'CIDADE JARDIM']"
QAGR11,"['MEDIANEIRA', 'ASSAÍ', 'NOVA PONTE', 'BELA VISTA DO PARAÍSO', 'PARANAGUÁ', 'CAMBÉ', 'PATO BRANCO', 'CAMPO ERÊ', 'SABÁUDIA', 'FRANCISCO BELTRÃO', 'UBERLÂNDIA', 'JATAÍ']"
QAMI11,[]
QIRI11,[]
RBCO11,"['EDIFÍCIO BIRMANN 20', 'EDIFÍCIO ALAMEDAS', 'EDIFÍCIO RACHID SALIBA', 'EDIFÍCIO MORUMBI']"
RBDS11,[]
RBED11,"['CAMPUS PITÁGORAS', 'CAMPUS PITÁGORAS TIMBIRAS BELO HORIZONTE', 'CAMPUS PITÁGORAS BETIM', 'CAMPUS UNIC', 'CAMPUS SANTO ANDRÉ', 'CAMPUS CONSOLAÇÃO', 'ANHANGUERA SÃO BERNARDO DO CAMPO']"
RBFF11,[]
RBGS11,['SHOPPING SULACAP']
RBHG11,[]
RBHY11,[]
RBIF11,[]
RBIR11,[]
RBLG11,"['ATIVO YAZAKI', 'SORTEQ PARAUAPEBAS']"
RBOP11,"['EDIFÍCIO VICENTE DE ARAÚJO', 'LOJA - EDIFÍCIO MANHATTHAN TOWER']"
RBRD11,"['LOJA LEADER', 'CERVEJARIA AMBEV', 'LOJA LEADER', 'AMPLA']"
RBRF11,"['NUN VILA NOVA', 'NYC BERRINI', 'PARQUE JOCKEY']"
RBRI11,[]
RBRL11,"['GALPÃO HORTOLÂNDIA I', 'WT RBR LOG', 'GALPÃO HORTOLÂNDIA II', 'GALPÃO EXTREMA I', 'GALPÃO EXTREMA II']"
RBRM11,[]
RBRP11,"['EDIFÍCIO RIVER ONE', 'EDIFÍCIO DELTA PLAZA', 'CE MÁRIO GARNERO - TORRE SUL', 'EDIFÍCIO CELEBRATION', 'EDIFÍCIO VENEZUELA 43', 'EDIFÍCIO CASTELLO BRANCO']"
RBRR11,[]
RBRS11,"['URBIC VILA MARIANA', 'URBIC SABIA', 'CYRELA FOR YOU']"
RBRX11,[]
RBRY11,[]
RBTS11,"['OXY ALTO DA LAPA', 'DOMUM PERDIZES', 'VERITAS', 'L KLABIN', 'V.A. 433', 'PEDROSO 737', 'HANDY PARAÍSO']"
RBVA11,"['AG 14 BIS', 'AG SÃO GONÇALO', 'AG SENADOR QUEIROS', 'AG AV CHILE', 'AG AV. PRES. WILSON', 'AG VIA ANCHIETA', 'AG BANDEIRA', 'AG VILA MASCOTE', 'AG BARRA FUNDA', 'COCO BAMBU', 'SANTANDER - AVENIDA PAULISTA', 'SANTANDER - BARÃO DE JUNDIAÍ', 'AG CIPÓ GUAÇU', 'SANTANDER - BELO HORIZONTE', 'AG ESTRADA RIO DO A', 'SANTANDER - BERRINI', 'AG GUAIANASES', 'AG GUARAPIRANGA', 'SANTANDER - CANDELÁRIA', 'SANTANDER - DUQUE DE CAXIAS', 'AG IPANEMA', 'SANTANDER - LIBERDADE', 'SANTANDER - MARECHAL DEODORO', 'AG JARDIM DA SAÚDE', 'SANTANDER - MONÇÕES', 'SANTANDER - MONSENHOR CELSO', 'AG LEME', 'SANTANDER - NOVA PAULISTA', 'AG MEIER', 'AG NOVA IGUACU', 'SANTANDER - OUVIDOR', 'AG OSASCO', 'SANTANDER - PEDRO I', 'AG PAES LEME', 'SANTANDER - PORTO ALEGRE', 'SANTANDER - PRAÇA PIO X', 'AG PEDRO VICENTE', 'SANTANDER - RECIFE', 'AG PIRITUBA', 'AG PLANALTO PAULISTA', 'SANTANDER - SANTO ANDRÉ', 'AG PQ. MARIA HELENA', 'SANTANDER - SANTOS', 'SANTANDER - SÃO GONÇALO - ALCÂNTARA', 'AG R. DOS ITALIANOS', 'SANTANDER - SÃO GONÇALO - CENTRO', 'AG REC BANDEIRANTES', 'SANTANDER - SÃO MATEUS', 'SANTANDER - VOLTA REDONDA', 'AG SANTA CECILIA', 'CAIXA ECONÔMICA SÃO MATEUS', 'SANTANDER - FORTALEZA - CENTRO', 'CENTAURO', 'CAIXA ECONÔMICA TAIPAS', 'GPA PINHEIROS', 'GPA BRASÍLIA', 'AG IMPERADOR', 'ED. OLIVETTI', 'GPA SÃO PAULO', 'GPA TATUAPÉ', 'RENNER OSCAR FREIRE', 'ASSAÍ GUARULHOS', 'GPA SÃO BERNARDO DO CAMPO', 'ASSAÍ SÃO JOSÉ DOS CAMPOS', 'GPA CAMPINAS', 'GPA GUARUJÁ', 'ITAÚ LEBLON', 'AG PÁTEO DO COLÉGIO', 'IMÓVEL CENTRO', 'AG NILO PEÇANHA', 'GPA RECIFE', 'PORTOBELLO JARDINS']"
RBVO11,[]
RCFF11,[]
RCRB11,"['CONDOMÍNIO JATOBÁ', 'CANDELÁRIA CORPORATE', 'JK FINANCIAL CENTER', 'PARQUE CULTURAL PAULISTA', 'CONDOMÍNIO CONTINENTAL SQUARE FARIA LIMA', 'GIRASOL 555', 'PARQUE SANTOS', 'EDIFÍCIO INTERNACIONAL RIO', 'BRAVO! PAULISTA']"
RDPD11,[]
RECR11,[]
RECT11,"['EDIFÍCIO EVOLUTION CORPORATE', 'EDIFÍCIO AGAXTUR', 'EDIFÍCIO PARQUE ANA COSTA', 'EDIFÍCIO CANOPUS', 'EDIFÍCIO PARQUE DA CIDADE', 'EDIFÍCIO COMPLEXO MADEIRA', 'IMÓVEL BARRA DA TIJUCA', 'EDIFÍCIO CORPORATE EMILIANO', 'CIDADE MATARAZZO']"
RECX11,[]
REIT11,[]
RELG11,"['FORMA BENS EXTREMA', 'NEW SPACE - COTIA', 'LOG CAMAÇARI', 'REC LOG QUEIMADOS', 'REC LOG CONTAGEM']"
RFOF11,[]
RIFF11,[]
RINV11,[]
RMAI11,"['DOMO CORPORATE', 'GALPÃO INDUSTRIAL', 'ATLÂNTICA MALL']"
RNDP11,[]
RNGO11,"['EDIFÍCIO PADAUIRI', 'EDIFÍCIO DEMINI']"
ROOF11,[]
RPRI11,[]
RRCI11,[]
RSPD11,[]
RURA11,[]
RVBI11,[]
RZAG11,[]
RZAK11,[]
RZAT11,"['POLI-GYN', 'IMÓVEL MIRASSOL', 'IMÓVEL ANDORINHA', 'GALPÃO VOAR', 'IMÓVEL ANDORINHA', 'IMÓVEL CORUMBATAÍ', 'COMFRIO', 'CERVEJARIA CIDADE IMPERIAL', 'SPLICE INDÚSTRIA', 'ATACADÃO DIA A DIA']"
RZEO11,[]
RZTR11,"['FAZENDA PORANGA II', 'FAZENDA SÃO TOMAZ', 'FAZENDAS BACURI E BURITI', 'FAZENDAS ÁGUA FUNDA E SÃO FRANCISCO', 'FAZENDAS MORANGAS, BONITO E PONTE DAS PEDRAS', 'FAZENDA SANTA CLARA', 'FAZENDAS SÃO MARTINHO: X-1, X-2, VII-1, VII-4', 'FAZENDA SANTO ANTÔNIO DO OURO', 'FAZENDAS SÃO JOSÉ, SORRISO, VALE DO RIO CELESTE, MATTOS E RANCHO ALEGRE', 'FAZENDA RIO BONITO', 'FAZENDA NOSSA SENHORA DA APARECIDA', 'FAZENDA PARANATINGA 1', 'FAZENDA CRISTALINA', 'FAZENDA CLARÃO DA LUA', 'FAZENDA BOM JARDIM', 'FAZENDA FLÓRIDA', 'FAZENDA BACURI', 'FAZENDA CHAPADÃO DA SERRA', 'FAZENDA TREVISAN', 'FAZENDA NORICUM']"
SADI11,[]
SAPI11,[]
SARE11,"['GALPÃO LOGÍSTICO BARUERI', 'CONDOMÍNIO WORK BELA CINTRA', 'CONDOMÍNIO WT MORUMBI', 'SANTO ANDRÉ']"
SCPF11,['SHOPPING CENTER PIEDADE']
SDIL11,"['INTERNATIONAL BUSINESS PARK', 'MULTI MODAL DUQUE DE CAXIAS', 'ONE PARK', 'CENTRO LOGÍSTICO CONTAGEM', 'GALPÃO GUARULHOS']"
SEED11,[]
SEQR11,"['MADUREIRA', 'MAGNA SAP', 'JANDIRA', 'LOJA HABITARTE VERDE', 'PENHA']"
SHOP11,['GRAVATAI SHOPPING CENTER']
SHPH11,['SHOPPING CENTER PÁTIO HIGIENÓPOLIS']
SHSO11,[]
SIGR11,[]
SJAU11,[]
SMRE11,[]
SNAG11,[]
SNCI11,[]
SNEL11,[]
SNFF11,[]
SNID11,[]
SNLG11,"['SUPERMARKET', 'CERATTI', 'MAGNA', 'AMBEV SANTA LUZIA', 'VW MAN', 'PIRITUBA']"
SNME11,[]
SOLR11,[]
SPDE11,[]
SPMO11,[]
SPTW11,['IMÓVEL BADARÓ']
SPVJ11,[]
SPXS11,[]
SRVD11,[]
STRX11,"['POWER SHOPPING CENTERMINAS', 'GLOBAL TOWER']"
TCPF11,"['IBITIRAMA', 'MARACATINS']"
TEPP11,"['CONDOMÍNIO FARIA LIMA', 'EDIFÍCIO PASSARELLI', 'EDIFÍCIO TORRE SUL', 'EDIFÍCIO FUJITSU', 'EDIFÍCIO GPA']"
TGAR11,[]
TJKB11,"['MORUMBI', 'BORBA GATO', 'MARSELHESA', 'ANA ROSA', 'AVENIDA BRASIL', 'TATUAPÉ']"
TMPS11,[]
TORD11,[]
TRBL11,"['CENTRO LOGÍSTICO DE CONTAGEM', 'ONE PARK', 'GALPÃO GUARULHOS', 'GRU LOG', 'AMBEV FEIRA DE SANTANA']"
TRNT11,['TORRE NORTE']
TRXB11,"['ASSAÍ CAMPINA GRANDE', 'EXTRA – RIO DAS OSTRAS', 'EXTRA – ARARUAMA', 'ASSAÍ DOURADOS', 'EXTRA – TERESINA', 'ASSAÍ BAURU', 'ASSAÍ PARQUE AMAZÔNIA', 'ASSAÍ JARDIM EUROPA', 'ASSAÍ PAULO AFONSO', 'ASSAÍ ST CENTRAL', 'ASSAÍ JEQUIÉ']"
TRXF11,"['EXTRA – PRAIA GRANDE', 'LOJA EXTRA – RECIFE', 'EXTRA – RIO DAS OSTRAS', 'LOJA ASSAÍ – TERESINA', 'LOJA ASSAÍ – BAURU', 'LOJA ASSAÍ – CAMPINA GRANDE', 'LOJA PÃO DE AÇÚCAR – ARACAJÚ', 'LOJA ASSAÍ – CAMPINAS', 'LOJA PÃO DE AÇÚCAR – BRASÍLIA', 'LOJA ASSAÍ – DOURADOS', 'LOJA PÃO DE AÇÚCAR – GOIÂNIA', 'LOJA ASSAÍ – GOIÂNIA (1)', 'LOJA ASSAÍ – GOIÂNIA (2)', 'LOJA PÃO DE AÇÚCAR – GOIÂNIA', 'LOJA PÃO DE AÇÚCAR – RIBEIRÃO PRETO', 'LOJA ASSAÍ – GOIÂNIA (3)', 'LOJA PÃO DE AÇÚCAR – SANTO ANDRÉ', 'LOJA ASSAÍ – JEQUIÉ', 'LOJA PÃO DE AÇÚCAR – SÃO CAETANO DO SUL', 'LOJA PÃO DE AÇÚCAR – SÃO JOSÉ DO RIO PRETO', 'LOJA ASSAÍ – PAULO AFONSO', 'LOJA PÃO DE AÇÚCAR – SÃO JOSÉ DO RIO PRETO', 'LOJA ASSAÍ – PIRACICABA', 'LOJA PÃO DE AÇÚCAR – SÃO PAULO', 'LOJA ASSAÍ – SANTO ANDRÉ', 'LOJA EXTRA – ARARUAMA', 'LOJA PÃO DE AÇÚCAR - SANTANA DE PARNAÍBA', 'LOJA PÃO DE AÇÚCAR - SÃO PAULO', 'EXTRA - PERUIBE', 'LOJA PÃO DE AÇÚCAR - SÃO PAULO', 'LOJA PÃO DE AÇÚCAR - SÃO PAULO', 'LOJA PÃO DE AÇÚCAR - VALINHOS', 'EXTRA - SÃO BERNARDO DO CAMPO', 'LOJA PÃO DE AÇÚCAR – RIBEIRÃO PRETO', 'LOJA PÃO DE AÇÚCAR – CAMPINAS', 'LOJA CARREFOUR – JABOATÃO DOS GUARARAPES', 'LOJA ASSAÍ – ARAÇATUBA', 'LOJA ASSAÍ – PORTO VELHO', 'LOJA ASSAÍ – AV. BRASIL', 'LOJA ASSAÍ – MACAÉ', 'LOJA ASSAÍ – IPATINGA', 'LOJA OBRAMAX – PIRACICABA', 'LOJA GRUPO MATEUS – JUAZEIRO', 'LEROY MERLIN – SALVADOR', 'LOJA GRUPO MATEUS – PETROLINA', 'LOJA OBRAMAX – SUZANO', 'LOJA GRUPO MATEUS – BELÉM', 'LEROY MERLIN – JUNDIAÍ', 'LOJA GRUPO MATEUS – GUARABIRA', 'LOJA GRUPO MATEUS – PATOS', 'LOJA GRUPO MATEUS – ARACAJU', 'LOJA GRUPO MATEUS – CARUARU', 'LOJA GRUPO MATEUS – CARUARU', 'LOJA ASSAÍ – PAULÍNIA', 'LOJA CARREFOUR – JABAQUARA', 'HOSPITAL ALBERT EINSTEIN']"
TSER11,['TORRE V - ED. ARAUCARIA']
