,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
331,PNDL11,Fundo de Desenvolvimento,"1.190,00","2.380,00","1.122,64","3,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"143.655.220,95",N/A,N/A,N/A,N/A,N/A,N/A,0,"440,91",62,N/A,N/A,N/A,2024-09-01
332,PNPR11,Fundo de Desenvolvimento,"75,00","300,00","0,99","1,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"67.795.299,97",N/A,N/A,N/A,N/A,N/A,N/A,1,"435,76",29,N/A,N/A,N/A,2024-09-01
333,PNRC11,Indefinido,"105,06","105,00","1,04","0,89","0,00 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,00 %","0,00 %",N/A,"41.236.507,95",N/A,N/A,N/A,N/A,N/A,N/A,0,"616,10",105,N/A,N/A,N/A,2024-09-01
334,PORD11,Papéis,"8,74","346.754,78","0,91","0,09","1,02 %","3,04 %","6,14 %","12,91 %","1,01 %","1,02 %","1,08 %","9,44 %","-2,57 %","-1,57 %","12,29 %","358.158.434,64","9,61","0,91","0,95 %","-90,20 %","-90,11 %","-89,04 %",0,"10,80",35.173,N/A,N/A,N/A,2024-09-01
335,PPEI11,Indefinido,"95,52","193.130,58",N/A,"4,00","4,18 %","4,18 %","4,18 %","8,77 %","1,39 %","0,84 %","1,75 %","4,18 %","9,65 %","14,24 %","14,24 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,73",0,N/A,N/A,N/A,2024-09-01
336,PQAG11,Imóveis Industriais e Logísticos,"58,99","1.164,13","1,03","0,46","0,78 %","2,35 %","4,74 %","9,47 %","0,78 %","0,79 %","0,79 %","7,09 %","0,08 %","0,87 %","11,58 %","804.202.669,73","57,48","1,03","0,80 %","0,38 %","1,19 %","11,16 %",1,"10,30",491,N/A,N/A,N/A,2024-09-01
337,PQDP11,Shoppings,"1.920,00","162.356,38","0,56","17,30","0,91 %","2,51 %","4,95 %","10,46 %","0,84 %","0,83 %","0,87 %","7,84 %","-0,86 %","0,04 %","7,86 %","348.090.141,20","3.461,48","0,55","0,66 %","10,46 %","11,18 %","7,49 %",1,"21,04",3.735,N/A,N/A,N/A,2024-09-01
338,PRSV11,Lajes Corporativas,"61,19","3.745,32","0,35","14,10","3,62 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,57 %","2,09 %","5,79 %","1,57 %","33.793.728,04","364,23","0,17","0,44 %","-0,03 %","0,41 %","-3,81 %",1,"70,58",892,N/A,N/A,N/A,2024-09-01
339,PRTS11,Shoppings,"117,70",N/A,"1.961,67","0,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"3.111.607,44",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,11,N/A,N/A,N/A,2024-09-01
340,PULV11,Papéis,"9,30","65.803,38","0,96","0,09","0,96 %","1,99 %","1,99 %","1,99 %","0,66 %","0,33 %","0,25 %","1,99 %","0,00 %","0,96 %","0,96 %","118.543.166,61",N/A,N/A,N/A,N/A,N/A,N/A,0,"43,28",758,N/A,N/A,N/A,2024-09-01
341,PVBI11,Lajes Corporativas,"92,29","4.180.423,50","0,89","0,65","0,70 %","2,12 %","4,12 %","8,21 %","0,71 %","0,69 %","0,68 %","6,14 %","-0,01 %","0,69 %","0,02 %","2.850.999.372,67","105,09","0,88","0,62 %","1,64 %","2,27 %","11,00 %",7,"12,92",167.233,N/A,N/A,N/A,2024-09-01
342,QAGR11,Indefinido,"46,95","287.823,25","0,78","0,44","0,94 %","2,84 %","5,67 %","11,07 %","0,95 %","0,95 %","0,92 %","8,37 %","0,93 %","1,88 %","7,42 %","305.064.390,98","60,53","0,78","0,73 %","8,40 %","9,19 %","8,12 %",12,"8,66",19.556,N/A,N/A,N/A,2024-09-01
343,QAMI11,Papéis,"84,68","67.019,00","0,91","1,00","1,17 %","0,00 %","0,00 %","1,17 %","0,00 %","0,00 %","0,10 %","11,32 %","6,69 %","7,94 %","14,22 %","74.367.555,48","92,80","0,91","1,08 %","1,42 %","2,51 %","14,58 %",0,"393,82",1.440,N/A,N/A,N/A,2024-09-01
344,QIRI11,Papéis,"78,04","6.867,57","0,87","89,64","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,90 %","0,00 %","0,00 %",N/A,"13.441.852,95","89,61","0,87","100,03 %","-0,41 %","99,21 %","116,58 %",0,"9,65",173,N/A,N/A,N/A,2024-09-01
345,RBCO11,Lajes Corporativas,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"90,22",N/A,"0,22 %","1,03 %","1,25 %","-7,08 %",0,N/A,0,N/A,N/A,N/A,2024-09-01
346,RBDS11,Fundo de Desenvolvimento,"2,55","288,39","0,13","2,35","11,21 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,21 %","-51,20 %","-45,73 %","-45,73 %","2.400.906,81","22,98","0,11","0,00 %","0,00 %","0,00 %","0,00 %",0,"104,16",918,N/A,N/A,N/A,2024-09-01
347,RBED11,Educacional,"137,00","232.034,38","0,94","1,33","0,97 %","2,89 %","5,67 %","11,45 %","0,96 %","0,95 %","0,95 %","8,44 %","-0,28 %","0,68 %","3,93 %","342.121.138,33","145,27","0,94","0,92 %","0,83 %","1,75 %","14,45 %",7,"13,57",13.065,N/A,N/A,N/A,2024-09-01
348,RBFF11,Fundo de Fundos,"59,99","156.278,10","0,91","0,51","0,84 %","2,57 %","5,06 %","10,19 %","0,86 %","0,84 %","0,85 %","7,59 %","2,17 %","3,03 %","12,69 %","246.446.486,29","65,73","0,91","0,78 %","2,98 %","3,78 %","11,05 %",0,"12,22",23.569,N/A,N/A,N/A,2024-09-01
349,RBGS11,Shoppings,"28,45",N/A,"0,31","0,18","0,62 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,62 %","-1,90 %","-1,29 %","-1,29 %","97.865.283,71","90,78","0,31","0,18 %","0,00 %","0,18 %","1,17 %",1,N/A,2.808,N/A,N/A,N/A,2024-09-01
350,RBHG11,Papéis,"82,37","389.948,29","0,93","0,85","1,03 %","3,16 %","6,44 %","13,28 %","1,05 %","1,07 %","1,11 %","9,69 %","-1,92 %","-0,91 %","3,41 %","192.154.016,92","88,63","0,93","1,07 %","-3,75 %","-2,72 %","7,67 %",0,"9,30",11.021,N/A,N/A,N/A,2024-09-01
351,RBHY11,Papéis,"89,80","155.935,38","0,97","1,00","1,12 %","3,39 %","6,84 %","13,93 %","1,13 %","1,14 %","1,16 %","10,28 %","0,78 %","1,91 %","9,03 %","176.857.287,43","93,40","0,96","1,07 %","-0,77 %","0,30 %","13,88 %",0,"9,25",3.545,N/A,N/A,N/A,2024-09-01
352,RBIF11,Indefinido,"94,00","165.009,54",N/A,"0,95","1,00 %","3,23 %","5,62 %","11,32 %","1,08 %","0,94 %","0,94 %","8,53 %","-4,18 %","-3,22 %","9,89 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"17,23",0,N/A,N/A,N/A,2024-09-01
353,RBIR11,Fundo de Desenvolvimento,"86,27","74.303,92","0,85","1,64","1,92 %","1,92 %","1,92 %","7,15 %","0,64 %","0,32 %","0,60 %","2,78 %","-6,09 %","-4,28 %","0,78 %","155.772.977,48",N/A,N/A,N/A,N/A,N/A,N/A,0,"18,19",1.585,N/A,N/A,N/A,2024-09-01
354,RBLG11,Imóveis Industriais e Logísticos,"68,82","3.981,72","0,63","0,75","0,00 %","1,63 %","3,61 %","9,44 %","0,54 %","0,60 %","0,79 %","7,52 %","0,00 %","0,00 %",N/A,"69.690.699,03","108,86","0,63","0,87 %","8,34 %","9,29 %","13,27 %",1,"193,25",236,N/A,N/A,N/A,2024-09-01
355,RBOP11,Lajes Corporativas,"376,97","39.124,17","0,49","2,85","0,80 %","2,56 %","4,15 %","16,37 %","0,85 %","0,69 %","1,36 %","12,82 %","-1,65 %","-0,86 %","65,73 %","78.137.521,23",N/A,N/A,N/A,N/A,N/A,N/A,2,"40,89",3.555,N/A,N/A,N/A,2024-09-01
356,RBRD11,Varejo,"38,35","17.876,43","0,57","0,38","0,96 %","2,96 %","5,75 %","11,01 %","0,99 %","0,96 %","0,92 %","8,34 %","1,88 %","2,86 %","11,98 %","125.712.273,60","67,89","0,56","0,56 %","2,57 %","3,14 %","1,06 %",4,"21,31",8.162,N/A,N/A,N/A,2024-09-01
357,RBRF11,Fundo de Fundos,"7,46","1.312.285,05","0,86","0,06","0,74 %","2,38 %","4,41 %","8,65 %","0,79 %","0,74 %","0,72 %","5,80 %","-0,40 %","0,34 %","7,24 %","1.194.883.227,01","8,73","0,85","0,78 %","-89,33 %","-89,25 %","-89,19 %",0,"17,13",129.747,N/A,N/A,N/A,2024-09-01
358,RBRI11,Fundo de Desenvolvimento,"916,01","1.553,50","0,78","36,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"163.063.688,14",N/A,N/A,N/A,N/A,N/A,N/A,0,"586,87",101,N/A,N/A,N/A,2024-09-01
359,RBRL11,Imóveis Industriais e Logísticos,"80,22","48.757,36","0,78","0,65","0,80 %","2,48 %","4,90 %","9,85 %","0,83 %","0,82 %","0,82 %","6,48 %","7,47 %","8,33 %","3,49 %","680.276.109,24","101,73","0,79","0,64 %","-5,16 %","-4,55 %","3,22 %",6,"17,37",1.581,N/A,N/A,N/A,2024-09-01
360,RBRM11,Fundo de Desenvolvimento,"94.794,81",N/A,"14,22","5.302,02","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"3.593.643,39",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,54,N/A,N/A,N/A,2024-09-01
361,RBRP11,Lajes Corporativas,"57,04","590.180,59","0,72","0,55","0,99 %","3,34 %","5,62 %","8,77 %","1,11 %","0,94 %","0,73 %","6,73 %","-2,21 %","-1,25 %","18,85 %","962.432.264,98","79,02","0,72","0,85 %","-3,28 %","-2,46 %","1,39 %",6,"23,38",83.091,N/A,N/A,N/A,2024-09-01
362,RBRR11,Papéis,"91,94","1.142.917,98","0,97","0,85","0,95 %","2,99 %","5,82 %","10,51 %","1,00 %","0,97 %","0,88 %","7,50 %","-0,28 %","0,67 %","15,31 %","1.422.053.089,57","94,44","0,97","1,02 %","0,39 %","1,41 %","4,39 %",0,"11,79",132.461,N/A,N/A,N/A,2024-09-01
363,RBRS11,Fundo de Desenvolvimento,"45,00","29.294,00","0,49","0,07","0,14 %","0,00 %","0,00 %","2,28 %","0,00 %","0,00 %","0,19 %","1,56 %","-4,72 %","-4,58 %","-7,77 %","159.009.987,43","93,50","0,48","0,07 %","-0,63 %","-0,55 %","5,40 %",3,"22,33",1.150,N/A,N/A,N/A,2024-09-01
364,RBRX11,Indefinido,"9,07","325.516,94","0,94","0,09","0,99 %","3,44 %","6,74 %","13,37 %","1,15 %","1,12 %","1,11 %","8,74 %","1,00 %","2,00 %","11,28 %","283.980.654,61",N/A,N/A,N/A,N/A,N/A,N/A,0,"11,13",13.832,N/A,N/A,N/A,2024-09-01
365,RBRY11,Papéis,"96,45","1.516.389,34","0,99","1,00","1,05 %","3,11 %","6,15 %","12,75 %","1,04 %","1,03 %","1,06 %","8,25 %","-0,23 %","0,82 %","7,13 %","1.250.070.484,84","97,89","0,99","1,02 %","-2,00 %","-1,00 %","4,11 %",0,"7,81",59.987,N/A,N/A,N/A,2024-09-01
366,RBTS11,Fundo de Desenvolvimento,"699,99","4.913,20","1,03","111,46","14,33 %","26,09 %","26,09 %","35,77 %","8,70 %","4,35 %","2,98 %","33,21 %","5,11 %","20,17 %","18,65 %","39.871.283,92","754,93","0,93","5,86 %","-30,98 %","-26,94 %","-13,19 %",0,"70,44",139,N/A,N/A,N/A,2024-09-01
367,RBVA11,Varejo,"105,05","644.988,53","0,97","1,00","0,93 %","2,83 %","5,59 %","11,12 %","0,94 %","0,93 %","0,93 %","8,32 %","2,50 %","3,45 %","11,31 %","1.349.088.023,45","108,05","0,97","0,93 %","-1,22 %","-0,30 %","18,70 %",71,"11,29",63.287,N/A,N/A,N/A,2024-09-01
368,RBVO11,Papéis,"12,99","114.957,18","1,49","0,01","0,04 %","5,26 %","13,42 %","57,02 %","1,75 %","2,24 %","4,75 %","61,83 %","50,11 %","50,17 %","526,58 %","4.639.233,52","8,99","1,44","6,12 %","-48,12 %","-44,95 %","-57,38 %",0,"112,10",6.288,N/A,N/A,N/A,2024-09-01
369,RCFF11,Fundo de Fundos,"90,00","11.880,00","0,87","0,45","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,00 %","0,00 %",N/A,"33.402.365,80","103,35","0,87","0,44 %","12,99 %","13,48 %","13,86 %",0,"341,08",82,N/A,N/A,N/A,2024-09-01
370,RCRB11,Lajes Corporativas,"131,74","328.840,90","0,65","0,91","0,67 %","2,01 %","3,79 %","7,08 %","0,67 %","0,63 %","0,59 %","4,96 %","-0,58 %","0,08 %","-2,82 %","756.042.653,17","204,85","0,64","0,48 %","-1,20 %","-0,72 %","8,98 %",9,"17,93",35.009,N/A,N/A,N/A,2024-09-01
371,RDPD11,Papéis,"22,96","98.337,21","1,06","0,30","1,32 %","6,39 %","20,10 %","48,89 %","2,13 %","3,35 %","4,07 %","29,45 %","7,36 %","8,77 %","-0,47 %","24.085.452,18","33,95","0,68","0,94 %","-37,05 %","-36,45 %","-36,01 %",0,"54,16",3.141,N/A,N/A,N/A,2024-09-01
372,RECR11,Papéis,"84,85","1.675.569,78","0,91","0,85","1,02 %","2,88 %","6,47 %","11,78 %","0,96 %","1,08 %","0,98 %","8,33 %","-0,16 %","0,86 %","10,29 %","2.473.241.570,76","93,54","0,91","0,87 %","-1,88 %","-1,03 %","12,64 %",1,"10,85",175.571,N/A,N/A,N/A,2024-09-01
373,RECT11,Lajes Corporativas,"34,76","189.082,70","0,38","0,36","1,05 %","3,19 %","6,02 %","11,49 %","1,06 %","1,00 %","0,96 %","7,84 %","-0,20 %","0,84 %","-11,73 %","785.519.893,32","91,94","0,38","0,41 %","-1,86 %","-1,46 %","0,65 %",9,"13,75",59.982,N/A,N/A,N/A,2024-09-01
374,RECX11,Fundo de Fundos,"64,69","2.456,95","0,88","0,60","0,91 %","1,96 %","4,85 %","9,57 %","0,65 %","0,81 %","0,80 %","6,63 %","-1,11 %","-0,21 %","8,45 %","16.087.023,37","73,69","0,88","0,81 %","-5,69 %","-4,93 %","-9,90 %",0,"25,75",619,N/A,N/A,N/A,2024-09-01
375,REIT11,Papéis,"109,00","7.057,00","0,38","2,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"7.546.142,63",N/A,N/A,N/A,N/A,N/A,N/A,0,"248,95",68,N/A,N/A,N/A,2024-09-01
376,RELG11,Imóveis Industriais e Logísticos,"66,63","240.134,67","0,52","0,10","0,18 %","0,24 %","0,43 %","1,00 %","0,24 %","0,43 %","0,08 %","1,00 %","2,26 %","2,45 %","-18,62 %","168.986.924,23","126,62","0,53","0,02 %","3,70 %","3,73 %","12,50 %",5,"33,09",4.988,N/A,N/A,N/A,2024-09-01
377,RFOF11,Fundo de Fundos,"70,02","117.689,96","0,91","0,71","1,00 %","3,03 %","6,02 %","11,87 %","1,01 %","1,00 %","0,99 %","8,95 %","0,03 %","1,03 %","5,21 %","82.402.822,45","76,43","0,92","0,96 %","-4,39 %","-3,48 %","-2,31 %",0,"13,15",4.850,N/A,N/A,N/A,2024-09-01
378,RIFF11,Indefinido,N/A,N/A,N/A,"0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,2024-09-01
379,RINV11,Indefinido,"109,20","276.772,77","1,01","1,05","0,96 %","3,32 %","6,78 %","14,23 %","1,11 %","1,13 %","1,19 %","9,20 %","-0,51 %","0,44 %","13,64 %","208.463.519,89",N/A,N/A,N/A,N/A,N/A,N/A,0,"7,48",2.782,N/A,N/A,N/A,2024-09-01
380,RMAI11,Lajes Corporativas,"74,85","58.138,00","0,73","0,47","0,63 %","1,97 %","3,26 %","6,55 %","0,66 %","0,54 %","0,55 %","5,48 %","4,53 %","5,19 %","38,10 %","249.522.935,03","102,10","0,73","0,47 %","-5,34 %","-4,90 %","-2,78 %",2,"27,88",1.112,N/A,N/A,N/A,2024-09-01
381,RNDP11,Papéis,"61,01","4.184,71","0,78","0,54","0,88 %","2,55 %","4,60 %","22,44 %","0,85 %","0,77 %","1,87 %","31,86 %","-4,52 %","-3,68 %","-36,90 %","8.378.634,39","77,95","0,78","0,69 %","-59,68 %","-59,41 %","-87,34 %",0,"61,90",1.269,N/A,N/A,N/A,2024-09-01
382,RNGO11,Lajes Corporativas,"46,45","73.835,25","0,56","0,38","0,82 %","2,50 %","4,88 %","10,11 %","0,83 %","0,81 %","0,84 %","7,45 %","2,98 %","3,83 %","15,83 %","221.601.124,42","82,81","0,56","0,46 %","-4,42 %","-3,98 %","0,47 %",4,"13,39",9.301,N/A,N/A,N/A,2024-09-01
383,ROOF11,Fundo de Desenvolvimento,"702,68","727,00","1,34","12,90","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"40.583.780,96",N/A,N/A,N/A,N/A,N/A,N/A,60,"655,95",79,N/A,N/A,N/A,2024-09-01
384,RPRI11,Papéis,"91,95","138.681,61","0,92","1,00","1,09 %","3,39 %","6,70 %","12,51 %","1,13 %","1,12 %","1,04 %","9,76 %","0,33 %","1,42 %","2,69 %","346.828.854,53",N/A,N/A,N/A,N/A,N/A,N/A,0,"11,34",4.607,N/A,N/A,N/A,2024-09-01
385,RRCI11,Papéis,"77,00","42.609,67","0,84","0,85","1,11 %","3,35 %","6,52 %","13,35 %","1,12 %","1,09 %","1,11 %","9,85 %","1,10 %","2,22 %","5,40 %","44.098.966,19","91,54","0,84","0,93 %","-2,70 %","-1,80 %","9,42 %",0,"10,15",2.057,N/A,N/A,N/A,2024-09-01
386,RSPD11,Fundo de Desenvolvimento,"1.098,99","1.098,00","0,99","13,42","0,00 %","0,00 %","0,00 %","6,38 %","0,00 %","0,00 %","0,53 %","0,00 %","0,00 %","0,00 %",N/A,"164.780.877,41","1.130,10","0,97","0,98 %","-1,08 %","-0,11 %","-0,11 %",0,"356,62",142,N/A,N/A,N/A,2024-09-01
387,RURA11,Misto,"9,92","1.289.534,66",N/A,"0,10","1,01 %","3,09 %","6,58 %","12,93 %","1,03 %","1,10 %","1,08 %","9,66 %","4,41 %","5,46 %","4,52 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"11,77",0,N/A,N/A,N/A,2024-09-01
388,RVBI11,Fundo de Fundos,"73,96","719.759,89","0,90","0,75","1,02 %","3,08 %","5,92 %","11,39 %","1,03 %","0,99 %","0,95 %","7,77 %","1,82 %","2,86 %","0,62 %","845.946.354,42","82,32","0,90","0,91 %","-2,02 %","-1,13 %","5,03 %",0,"15,94",42.305,N/A,N/A,N/A,2024-09-01
389,RZAG11,Indefinido,"8,78","599.953,31","0,91","0,11","1,18 %","3,73 %","7,50 %","15,18 %","1,24 %","1,25 %","1,27 %","11,29 %","7,38 %","8,64 %","10,75 %","651.773.293,41","9,58","0,92","1,10 %","0,23 %","1,33 %","13,96 %",0,"11,89",85.428,N/A,N/A,N/A,2024-09-01
390,RZAK11,Papéis,"83,04","1.647.197,48","0,93","0,95","1,15 %","3,60 %","7,49 %","15,64 %","1,20 %","1,25 %","1,30 %","10,11 %","0,62 %","1,78 %","7,74 %","788.081.994,63","89,47","0,93","1,12 %","-4,52 %","-3,46 %","6,94 %",0,"12,22",50.329,N/A,N/A,N/A,2024-09-01
391,RZAT11,Imóveis Industriais e Logísticos,"99,28","431.144,14","0,99","1,10","1,12 %","3,50 %","6,83 %","13,53 %","1,17 %","1,14 %","1,13 %","9,21 %","0,20 %","1,33 %","20,59 %","372.609.041,12",N/A,N/A,N/A,N/A,N/A,N/A,13,"13,85",38.616,N/A,N/A,N/A,2024-09-01
392,RZEO11,Indefinido,"242,54","164.143,80","1,06","12,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"718.743.802,08","227,96","1,06","5,29 %","0,00 %","0,00 %","0,00 %",0,"517,59",149,N/A,N/A,N/A,2024-09-01
393,RZTR11,Misto,"93,35","3.137.161,07","0,93","0,90","0,96 %","2,92 %","5,79 %","12,52 %","0,97 %","0,97 %","1,04 %","8,58 %","1,79 %","2,77 %","3,06 %","1.893.821.355,74","100,46","0,93","0,90 %","3,11 %","4,03 %","15,98 %",16,"13,81",125.518,N/A,N/A,N/A,2024-09-01
394,SADI11,Papéis,"89,12","264.962,88","0,93","0,85","0,95 %","2,92 %","6,07 %","13,08 %","0,97 %","1,01 %","1,09 %","9,46 %","0,25 %","1,20 %","18,84 %","147.546.811,36","95,27","0,94","0,94 %","-3,81 %","-2,90 %","7,69 %",0,"7,85",10.169,N/A,N/A,N/A,2024-09-01
395,SAPI11,Misto,"91,75","30.241,83","0,93","0,88","0,96 %","2,87 %","5,73 %","9,58 %","0,96 %","0,96 %","0,96 %","8,43 %","1,55 %","2,53 %","15,67 %","153.326.557,26",N/A,N/A,N/A,N/A,N/A,N/A,0,"15,33",2.751,N/A,N/A,N/A,2024-09-01
396,SARE11,Misto,"38,75","643.659,71","0,44","0,20","0,50 %","1,85 %","4,10 %","9,49 %","0,62 %","0,68 %","0,79 %","6,73 %","-0,81 %","-0,32 %","-7,72 %","813.570.933,55","88,10","0,44","0,34 %","-6,64 %","-6,33 %","-3,63 %",3,"23,71",38.606,N/A,N/A,N/A,2024-09-01
397,SCPF11,Shoppings,"2,64","12.348,96","0,22","0,05","1,06 %","0,00 %","0,00 %","2,89 %","0,00 %","0,00 %","0,24 %","1,45 %","-8,99 %","-8,03 %","-12,36 %","49.735.132,25","11,84","0,22","0,38 %","1,11 %","1,49 %","-3,03 %",1,"18,54",4.800,N/A,N/A,N/A,2024-09-01
398,SDIL11,Imóveis Industriais e Logísticos,"96,50","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %","0,61 %","9,86 %",5,"14,97",63.292,N/A,N/A,N/A,2024-09-01
399,SEED11,Indefinido,"99,02","776.595,00","1,06","0,98","0,00 %","0,00 %","0,00 %","1,67 %","0,00 %","0,00 %","0,14 %","0,00 %","0,00 %","0,00 %",N/A,"152.592.725,39",N/A,N/A,N/A,N/A,N/A,N/A,0,"78,47",125,N/A,N/A,N/A,2024-09-01
400,SEQR11,Misto,"51,78","111.368,29","0,56","0,58","1,12 %","3,34 %","6,66 %","13,99 %","1,11 %","1,11 %","1,17 %","9,11 %","2,48 %","3,63 %","-0,56 %","154.058.178,52","92,49","0,56","0,62 %","-1,35 %","-0,74 %","5,08 %",4,"12,32",5.320,N/A,N/A,N/A,2024-09-01
401,SHOP11,Shoppings,"67,99","510,00","1,67","6,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"60.187.072,49",N/A,N/A,N/A,N/A,N/A,N/A,1,"35,54",68,N/A,N/A,N/A,2024-09-01
402,SHPH11,Shoppings,"895,00","60.777,29","0,98","4,50","0,50 %","1,82 %","3,41 %","6,64 %","0,61 %","0,57 %","0,55 %","5,02 %","1,52 %","2,03 %","17,62 %","561.915.113,24","922,76","0,97","0,76 %","3,20 %","3,98 %","9,10 %",1,"23,09",2.304,N/A,N/A,N/A,2024-09-01
403,SHSO11,Indefinido,N/A,N/A,N/A,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"19.769.049,00",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,2024-09-01
404,SIGR11,Indefinido,"99,90","100,00","0,99","1,30","0,00 %","0,00 %","0,00 %","1,32 %","0,00 %","0,00 %","0,11 %","1,32 %","0,00 %","0,00 %",N/A,"39.342.650,30",N/A,N/A,N/A,N/A,N/A,N/A,0,"20,40",135,N/A,N/A,N/A,2024-09-01
405,SJAU11,Imóveis Industriais e Logísticos,"57,52","4.802,22","0,95","11,88","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"498.713.541,44",N/A,N/A,N/A,N/A,N/A,N/A,0,"79,95",198,N/A,N/A,N/A,2024-09-01
406,SMRE11,Incorporações,"100,00","105.870,58","0,97","1,05","1,05 %","3,29 %","4,39 %","4,39 %","1,10 %","1,46 %","1,46 %","4,39 %","1,27 %","2,33 %","5,65 %","46.132.937,91",N/A,N/A,N/A,N/A,N/A,N/A,0,"12,00",2,N/A,N/A,N/A,2024-09-01
407,SNAG11,Papéis,"10,22","1.677.707,76","1,02","0,10","0,97 %","2,99 %","6,17 %","12,68 %","1,00 %","1,03 %","1,06 %","8,29 %","2,80 %","3,80 %","12,54 %","504.465.342,43","10,09","1,01","0,99 %","-90,04 %","-89,94 %","-89,61 %",0,"5,33",101.417,N/A,N/A,N/A,2024-09-01
408,SNCI11,Papéis,"96,70","585.577,06","0,99","1,00","1,03 %","3,12 %","5,96 %","12,04 %","1,04 %","0,99 %","1,00 %","7,92 %","1,70 %","2,75 %","7,79 %","413.825.773,67","98,53","0,98","1,01 %","1,16 %","2,19 %","12,29 %",0,"7,52",41.677,N/A,N/A,N/A,2024-09-01
409,SNEL11,Fundo de Desenvolvimento,"9,19","673.386,60","1,27","0,10","1,08 %","3,32 %","6,79 %","10,54 %","1,11 %","1,13 %","1,17 %","9,25 %","-0,65 %","0,43 %","26,81 %","136.089.107,35",N/A,N/A,N/A,N/A,N/A,N/A,0,"20,09",10.613,N/A,N/A,N/A,2024-09-01
410,SNFF11,Fundo de Fundos,"90,50","566.180,46","1,02","1,00","1,13 %","3,57 %","6,73 %","12,08 %","1,19 %","1,12 %","1,01 %","8,32 %","2,10 %","3,26 %","11,31 %","253.214.567,14","89,48","1,01","1,23 %","1,10 %","2,34 %","4,05 %",0,"14,40",29.949,N/A,N/A,N/A,2024-09-01
411,SNID11,Indefinido,"10,48","128.941,06",N/A,"0,10","0,10 %","0,30 %","0,61 %","1,30 %","0,30 %","0,61 %","0,11 %","0,83 %","2,58 %","2,69 %","2,50 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"90,86",0,N/A,N/A,N/A,2024-09-01
