,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
272,MALL11,Shoppings,"107,50","1.177.050,22","0,90","0,78","0,71 %","2,18 %","4,56 %","9,03 %","0,73 %","0,76 %","0,75 %","6,84 %","0,28 %","0,99 %","3,26 %","1.550.039.754,17","119,48","0,90","0,67 %","-0,36 %","0,31 %","16,69 %",10,"9,96",137.876,N/A,N/A,N/A,2024-09-01
273,MANA11,Indefinido,"9,14","1.780.235,93","0,97","0,10","1,09 %","3,17 %","6,71 %","13,24 %","1,06 %","1,12 %","1,10 %","10,08 %","-4,38 %","-3,33 %","8,30 %","356.681.220,99",N/A,N/A,N/A,N/A,N/A,N/A,0,"14,93",8.890,N/A,N/A,N/A,2024-09-01
274,MATV11,Indefinido,"86,63","13.027,43","0,92","0,60","0,73 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,11 %","-1,41 %","-0,69 %","-1,08 %","39.926.993,67","91,09","0,95","0,66 %","-1,89 %","-1,24 %","-0,18 %",0,"0,37",325,N/A,N/A,N/A,2024-09-01
275,MAXR11,Varejo,"78,90","33.556,22","0,61","0,72","0,91 %","2,72 %","5,56 %","11,67 %","0,91 %","0,93 %","0,97 %","7,57 %","-0,50 %","0,40 %","16,94 %","145.557.707,60","129,31","0,61","0,54 %","5,06 %","5,63 %","13,44 %",8,"19,19",4.348,N/A,N/A,N/A,2024-09-01
276,MBRF11,Lajes Corporativas,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"1.136,01",N/A,"0,88 %","-0,17 %","0,71 %","10,03 %",0,N/A,0,N/A,N/A,N/A,2024-09-01
277,MCCI11,Papéis,"89,62","1.825.097,10","0,95","0,80","0,90 %","2,71 %","5,36 %","11,15 %","0,90 %","0,89 %","0,93 %","7,20 %","-1,75 %","-0,86 %","6,31 %","1.604.670.309,14","94,61","0,95","0,85 %","2,28 %","3,15 %","7,93 %",0,"15,94",115.149,N/A,N/A,N/A,2024-09-01
278,MCHF11,Papéis,"9,10","1.778.820,09","0,99","2,59","0,00 %","0,00 %","0,00 %","5,30 %","0,00 %","0,00 %","0,44 %","1,51 %","0,00 %","0,00 %",N/A,"295.957.071,40","10,38","0,88","0,67 %","9,15 %","9,88 %","12,93 %",3,"22,51",82.189,N/A,N/A,N/A,2024-09-01
279,MCHY11,Papéis,"9,31","1.743.023,76","0,96","0,10","1,07 %","3,43 %","6,77 %","13,60 %","1,14 %","1,13 %","1,13 %","8,78 %","-1,79 %","-0,74 %","-5,82 %","1.087.788.037,83","9,75","0,95","1,13 %","-90,28 %","-90,17 %","-89,07 %",0,"26,96",97.250,N/A,N/A,N/A,2024-09-01
280,MFAI11,Fundo de Fundos,"68,35","33.501,48","0,96","0,72","1,06 %","2,77 %","4,95 %","9,79 %","0,92 %","0,83 %","0,82 %","7,40 %","9,93 %","11,10 %","24,19 %","27.607.115,37","70,94","0,96","0,78 %","4,08 %","4,89 %","-4,05 %",0,"29,67",2.456,N/A,N/A,N/A,2024-09-01
281,MFII11,Fundo de Desenvolvimento,"102,80","918.531,44","0,95","1,18","1,14 %","3,53 %","7,12 %","14,26 %","1,18 %","1,19 %","1,19 %","10,67 %","3,44 %","4,62 %","30,19 %","564.012.366,47","108,21","0,95","1,11 %","2,35 %","3,48 %","14,41 %",5,"8,42",31.965,N/A,N/A,N/A,2024-09-01
