Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-07-01,AEFI11,Outros,"152,45",1146.0,"R$ 1,2200","0,7741%","2,2047%","4,3485%","9,0147%","0,7349%","0,7247%","0,7512%","4,3485%","-1,5000%","-0,7375%","-0,2494%","R$ 111.253.306,2600","R$ 147,8449","1,0311","0,8252%","0,0654%","0,8912%","4,3948%","0,0000%",N/A,2
2018-07-01,BCRI11,Títulos e Val. Mob.,"105,40",1744.0,"R$ 0,7500","0,7198%","2,0501%","3,8439%","7,6475%","0,6834%","0,6406%","0,6373%","3,8439%","2,2272%","2,9631%","1,1771%","R$ 117.603.917,6000","R$ 97,1932","1,0844","0,7408%","-1,8064%","-1,0790%","2,5227%",N/A,N/A,0
2018-07-01,BNFS11,Outros,"116,00",110.0,"R$ 0,7887","0,7042%","2,0182%","4,0344%","7,9953%","0,6727%","0,6724%","0,6663%","4,0344%","-4,1096%","-3,4344%","-2,8374%","R$ 62.627.579,6600","R$ 89,4680","1,2966","0,8904%","0,0618%","0,9528%","4,6825%",N/A,N/A,18
2018-07-01,BBFI11B,Lajes Corporativas,"2.200,00",166.0,"R$ 20,4685","0,9850%","2,9493%","5,2709%","10,3290%","0,9831%","0,8785%","0,8608%","5,2709%","-1,9816%","-1,0161%","-26,7084%","R$ 350.216.968,0500","R$ 2.693,9767","0,8166","0,7598%","0,0148%","0,7747%","5,3584%",N/A,N/A,2
2018-07-01,BBPO11,Lajes Corporativas,"127,15",17284.0,"R$ 0,9809","0,7848%","2,1516%","4,1601%","8,3769%","0,7172%","0,6933%","0,6981%","4,1601%","-10,1502%","-9,4451%","-9,2248%","R$ 1.653.311.475,9500","R$ 103,8532","1,2243","0,9445%","8,6276%","9,6536%","14,6813%",N/A,N/A,64
2018-07-01,BBRC11,Outros,"134,70",752.0,"R$ 0,9500","0,7343%","1,8619%","3,4811%","7,0531%","0,6206%","0,5802%","0,5878%","3,4811%","-6,2464%","-5,5580%","-9,8530%","R$ 154.970.958,0100","R$ 97,4660","1,3820","0,9747%","0,9659%","1,9500%","6,2632%",N/A,N/A,19
2018-07-01,RNDP11,Títulos e Val. Mob.,"960,00",79.0,"R$ 5,1751","0,5523%","1,6671%","3,3747%","7,4046%","0,5557%","0,5624%","0,6170%","3,3747%","1,8445%","2,4070%","6,4910%","R$ 113.280.298,0200","R$ 1.053,9565","0,9109","0,4910%","0,3822%","0,8751%","3,9686%",N/A,N/A,0
2018-07-01,BCIA11,Títulos e Val. Mob.,"108,50",181.0,"R$ 0,7130","0,6633%","1,8449%","3,5444%","7,0530%","0,6150%","0,5907%","0,5877%","3,5444%","-8,1197%","-7,5103%","-3,3274%","R$ 183.246.427,8100","R$ 108,4547","1,0004","0,6574%","-6,0351%","-5,4174%","-6,4131%",N/A,N/A,0
2018-07-01,CARE11,Híbrido,"1,81",48886.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.233.590,9700","R$ 1,3701","1,3210",,,,,N/A,N/A,0
2018-07-01,CXRI11,Híbrido,"950,00",66.0,"R$ 7,0000","0,7455%","2,0808%","3,9459%","8,2210%","0,6936%","0,6576%","0,6851%","3,9459%","-9,7107%","-9,0376%","-16,4529%","R$ 157.771.987,0200","R$ 1.001,2438","0,9488","0,6991%","-3,7532%","-3,0803%","-4,6747%",N/A,N/A,0
