Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-09-01,AEFI11,Outros,"130,59",1554.0,"R$ 1,2200","0,9569%","2,5423%","4,6583%","9,1375%","0,8474%","0,7764%","0,7615%","6,1167%","-15,2214%","-14,4102%","-17,8740%","R$ 109.915.896,1700","R$ 146,0676","0,8940","0,8352%","0,0490%","0,8846%","5,7468%","0,0000%",N/A,2
2018-09-01,BCRI11,Títulos e Val. Mob.,"105,20",1712.0,"R$ 0,9000","0,8499%","2,3317%","4,2992%","7,8397%","0,7772%","0,7165%","0,6533%","5,4557%","0,8476%","1,7048%","4,4921%","R$ 117.167.669,3600","R$ 96,8327","1,0864","0,9294%","-0,5538%","0,3704%","4,7499%",N/A,N/A,0
2018-09-01,BNFS11,Outros,"115,65",56.0,"R$ 0,8609","0,7277%","2,1707%","4,1593%","8,1087%","0,7236%","0,6932%","0,6757%","5,5009%","4,2291%","4,9876%","4,1386%","R$ 62.627.531,1600","R$ 89,4679","1,2926","0,9623%","-0,0044%","0,9578%","7,6206%",N/A,N/A,18
2018-09-01,BBFI11B,Lajes Corporativas,"1.650,00",194.0,"R$ 22,4696","1,2146%","3,3389%","6,0858%","10,8767%","1,1130%","1,0143%","0,9064%","7,6247%","-9,7561%","-8,6600%","-33,2051%","R$ 350.488.557,2500","R$ 2.696,0658","0,6120","0,8334%","0,0435%","0,8773%","7,2402%",N/A,N/A,2
2018-09-01,BBPO11,Lajes Corporativas,"125,30",22182.0,"R$ 1,0249","0,8081%","2,3417%","4,3651%","8,5179%","0,7806%","0,7275%","0,7098%","5,7170%","-3,1908%","-2,4085%","-6,4562%","R$ 1.649.955.029,3800","R$ 103,6424","1,2090","0,9889%","0,8947%","1,8924%","16,6839%",N/A,N/A,64
2018-09-01,BBRC11,Outros,"131,91",625.0,"R$ 0,9000","0,6667%","2,0512%","3,7266%","7,2035%","0,6837%","0,6211%","0,6003%","4,7980%","-2,4566%","-1,8064%","-4,6943%","R$ 155.056.383,1600","R$ 97,5197","1,3526","0,9229%","0,9456%","1,8772%","8,3027%",N/A,N/A,19
2018-09-01,RNDP11,Títulos e Val. Mob.,"950,00",72.0,"R$ 5,6694","0,5906%","1,7095%","3,3962%","6,9677%","0,5698%","0,5660%","0,5806%","4,5318%","0,3135%","0,9059%","10,3712%","R$ 113.910.400,7400","R$ 1.059,8190","0,8964","0,5349%","0,7393%","1,2782%","5,6479%",N/A,N/A,0
2018-09-01,BCIA11,Títulos e Val. Mob.,"104,51",225.0,"R$ 0,7000","0,6353%","1,9292%","3,6837%","7,1608%","0,6431%","0,6140%","0,5967%","4,8103%","-0,7297%","-0,0991%","0,3500%","R$ 183.893.817,1700","R$ 108,8378","0,9602","0,6432%","-1,2943%","-0,6595%","-4,8784%",N/A,N/A,0
2018-09-01,CARE11,Híbrido,"1,85",43617.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 157.374.013,2400","R$ 1,4394","1,2852",,,,,N/A,N/A,0
2018-09-01,CXRI11,Híbrido,"953,00",24.0,"R$ 7,0000","0,7400%","2,1861%","4,1249%","8,2619%","0,7287%","0,6875%","0,6885%","5,3865%","-5,3053%","-4,6046%","-14,6131%","R$ 156.669.264,5200","R$ 994,2457","0,9585","0,7041%","-1,3572%","-0,6627%","-4,0125%",N/A,N/A,0
2018-09-01,CPTS11B,Títulos e Val. Mob.,"99,50",1337.0,"R$ 0,8000","0,8000%","2,4620%","4,7298%","9,2402%","0,8207%","0,7883%","0,7700%","6,1686%","1,0611%","1,8696%","7,8474%","R$ 96.399.600,0700","R$ 96,3996","1,0322","0,8299%","-0,3427%","0,4844%","4,0448%",N/A,N/A,0
2018-09-01,CBOP11,Lajes Corporativas,"67,44",741.0,"R$ 0,4700","0,6881%","2,0676%","3,9272%","7,6176%","0,6892%","0,6545%","0,6348%","5,1424%","-0,7267%","-0,0436%","-7,2358%","R$ 101.114.480,2200","R$ 71,4590","0,9438","0,6577%","-0,0006%","0,6571%","5,2316%","7,0000%",N/A,1
2018-09-01,ATSA11B,Shoppings,"1.090,00",24.0,"R$ 1,0000","0,0917%","0,2849%","0,6797%","1,3576%","0,0950%","0,1133%","0,1131%","0,8934%","-4,1666%","-4,0786%","-8,3520%","R$ 214.901.211,1700","R$ 1.252,9222","0,8700","0,0798%","-0,0108%","0,0690%","1,0626%","22,4000%",N/A,1
2018-09-01,HGBS11,Shoppings,"204,99",8135.0,"R$ 1,1500","0,5802%","1,7452%","3,2655%","6,1217%","0,5817%","0,5443%","0,5101%","4,2601%","-0,3970%","0,1809%","-11,8113%","R$ 1.245.716.580,4200","R$ 231,7647","0,8845","0,4962%","0,0070%","0,5033%","5,4546%","6,7300%",N/A,8
2018-09-01,GRLV11,Logística,"116,96",706.0,"R$ 0,7500","0,6279%","1,9311%","3,6020%","7,2592%","0,6437%","0,6003%","0,6049%","4,7792%","0,3782%","1,0084%","3,1124%","R$ 126.623.648,2500","R$ 117,9507","0,9916","0,6359%","-0,0136%","0,6222%","5,1736%","7,2800%",N/A,1
2018-09-01,HGJH11,Lajes Corporativas,"140,06",1254.0,"R$ 0,7500","0,5245%","1,5278%","2,8755%","5,9961%","0,5093%","0,4792%","0,4997%","3,8637%","-4,0268%","-3,5235%","-2,0770%","R$ 192.601.431,4600","R$ 116,7281","1,1999","0,6425%","0,0312%","0,6739%","4,9876%","0,0000%",N/A,2
2018-09-01,HGLG11,Logística,"127,00",10614.0,"R$ 0,7500","0,5951%","1,7873%","3,6276%","7,5707%","0,5958%","0,6046%","0,6309%","4,9202%","0,1351%","0,7310%","0,7252%","R$ 913.902.191,7700","R$ 115,9577","1,0952","0,6468%","0,1879%","0,8359%","8,8787%","6,0000%","9,6000%",11
2018-09-01,HGRE11,Lajes Corporativas,"127,90",13504.0,"R$ 0,8000","0,6426%","1,9619%","3,5961%","7,1236%","0,6540%","0,5993%","0,5936%","4,6627%","2,2587%","2,9158%","-13,0473%","R$ 1.090.365.678,8400","R$ 147,6840","0,8660","0,5417%","-0,1162%","0,4249%","3,2256%","20,0200%","19,7100%",19
2018-09-01,HGCR11,Títulos e Val. Mob.,"106,80",4922.0,"R$ 0,7700","0,7231%","2,3951%","4,4976%","8,7190%","0,7984%","0,7496%","0,7266%","5,9210%","-4,6476%","-3,9581%","10,7353%","R$ 267.426.572,2800","R$ 102,9956","1,0369","0,7476%","0,0240%","0,7718%","7,3787%",N/A,N/A,0
2018-09-01,DOMC11,Lajes Corporativas,"485,51",66.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-8,1631%","-8,1631%","-13,3929%","R$ 233.722.043,3800","R$ 971,8172","0,4996",,,,,N/A,N/A,1
2018-09-01,FIXX11,Títulos e Val. Mob.,"77,20",192.0,"R$ 0,5300","0,6543%","1,8955%","3,5636%","7,3401%","0,6318%","0,5939%","0,6117%","4,5412%","3,5806%","4,2583%","-9,8384%","R$ 30.791.642,7700","R$ 84,1366","0,9176","0,6299%","-1,5163%","-0,8960%","-5,5784%",N/A,N/A,0
2018-09-01,VRTA11,Títulos e Val. Mob.,"107,50",2516.0,"R$ 0,9800","0,9003%","2,4668%","4,5056%","8,3074%","0,8223%","0,7509%","0,6923%","5,7173%","2,2738%","3,1946%","4,0646%","R$ 223.744.345,8300","R$ 99,8057","1,0771","0,9819%","-0,4459%","0,5316%","1,4195%",N/A,N/A,0
2018-09-01,BRCR11,Híbrido,"97,00",30843.0,"R$ 0,3500","0,3646%","1,1696%","2,1186%","4,6615%","0,3899%","0,3531%","0,3885%","2,4511%","5,5293%","5,9140%","-6,5294%","R$ 2.407.577.828,5300","R$ 125,2346","0,7745",,,,,"34,4000%","30,5000%",11
2018-09-01,FAMB11B,Lajes Corporativas,"2.060,15",92.0,"R$ 33,9676","1,6331%","4,3378%","7,5073%","12,8972%","1,4459%","1,2512%","1,0748%","9,2639%","-5,5022%","-3,9590%","-44,1030%","R$ 484.671.460,4700","R$ 4.624,7277","0,4455","0,7345%","0,0544%","0,7893%","6,6036%","0,0000%",N/A,1
2018-09-01,PQDP11,Shoppings,"2.799,00",42.0,"R$ 13,1122","0,4601%","1,4266%","2,6558%","5,1408%","0,4755%","0,4426%","0,4284%","3,0070%","-1,3841%","-0,9304%","-10,8437%","R$ 660.474.818,3100","R$ 2.769,5535","1,0106",,,,,"2,5000%",N/A,1
2018-09-01,PRSV11,Lajes Corporativas,"310,01",41.0,"R$ 1,4700","0,4682%","0,9469%","1,5398%","2,9957%","0,3156%","0,2566%","0,2496%","1,8297%","-1,2796%","-0,8174%","-21,2010%","R$ 79.193.872,5300","R$ 406,1224","0,7633","0,3620%","0,2446%","0,6074%","1,8803%",N/A,N/A,2
2018-09-01,TBOF11,Lajes Corporativas,"75,00",11677.0,"R$ 0,2676","0,3569%","0,8212%","1,4531%","2,7394%","0,2737%","0,2422%","0,2283%","1,8911%","-2,2801%","-1,9314%","-7,3575%","R$ 800.979.855,8000","R$ 79,6995","0,9410","0,3358%","0,0287%","0,3646%","2,0528%","28,2000%",N/A,1
2018-09-01,VLOL11,Lajes Corporativas,"79,95",876.0,"R$ 0,3387","0,4056%","1,2643%","2,4777%","4,8877%","0,4214%","0,4130%","0,4073%","3,1470%","-3,9241%","-3,5343%","-4,2736%","R$ 132.969.879,4300","R$ 74,5001","1,0732","0,4546%","0,0887%","0,5437%","4,1661%","0,0000%",N/A,1
2018-09-01,AGCX11,Outros,"987,96",477.0,"R$ 7,2500","0,7265%","2,1212%","3,9098%","7,5287%","0,7071%","0,6516%","0,6274%","5,0450%","-2,1569%","-1,4461%","-17,5591%","R$ 431.749.510,8800","R$ 1.066,0482","0,9267","0,6801%","-0,0092%","0,6709%","5,5160%",N/A,N/A,41
2018-09-01,BBVJ11,Lajes Corporativas,"46,02",939.0,"R$ 0,0300","0,0617%","0,1542%","0,1542%","1,2060%","0,0514%","0,0257%","0,1005%","0,1542%","8,0000%","8,0667%","-18,8750%","R$ 163.056.375,8300","R$ 60,1684","0,7649","0,0499%","0,3160%","0,3660%","0,8039%","66,7900%",N/A,1
2018-09-01,BMLC11B,Lajes Corporativas,"73,00",270.0,"R$ 0,4100","0,5501%","1,4598%","2,8980%","6,0768%","0,4866%","0,4830%","0,5064%","3,7144%","-6,0973%","-5,5807%","-8,2507%","R$ 84.309.832,7600","R$ 84,4445","0,8645","0,4855%","0,0487%","0,5345%","3,7313%","19,0000%",N/A,2
