Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-09-01,HGCR11,"1.070,00",68.0,"R$ 7,2500","0,6776%","2,0902%","4,6792%","10,3700%","0,6967%","0,7799%","0,8642%","0,2812%","0,9606%","14,2543%","R$ 105.056.175,1400","R$ 1.003,3156","1,0665","0,6977%","-1,5022%","-0,8150%","5,1007%",N/A,N/A,0
2017-09-01,DOMC11,"750,00",31.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","8,3651%","8,3651%","-11,0642%","R$ 160.046.380,8600","R$ 914,5507","0,8201","0,0000%","-0,3524%","-0,3524%","-1,8666%",N/A,N/A,0
2017-09-01,FIXX11,"89,50",144.0,"R$ 0,5700","0,6369%","1,9791%","3,8449%","8,7718%","0,6597%","0,6408%","0,7310%","3,1106%","3,7673%","6,2534%","R$ 31.726.524,5600","R$ 86,6911","1,0324","0,6921%","0,0067%","0,6989%","8,5560%",N/A,N/A,0
2017-09-01,VRTA11,"110,91",3369.0,"R$ 0,7000","0,6311%","2,0354%","4,6035%","10,1782%","0,6785%","0,7672%","0,8482%","-1,8496%","-1,2301%","-1,9827%","R$ 233.770.123,8700","R$ 104,2779","1,0636","0,7480%","0,0607%","0,8091%","9,6427%",N/A,N/A,0
2017-09-01,BRCR11,"95,35",33039.0,"R$ 0,3235","0,3380%","1,1187%","2,9641%","7,9251%","0,3729%","0,4940%","0,6604%","3,1250%","3,4736%","3,3048%","R$ 2.068.132.361,4400","R$ 107,5777","0,8863",,,,,"30,9000%","27,3000%",10
2017-09-01,BCFF11B,"70,70",9539.0,"R$ 0,5000","0,7166%","2,1428%","4,3569%","8,9967%","0,7143%","0,7261%","0,7497%","-0,3286%","0,3857%","5,4788%","R$ 501.041.235,3700","R$ 84,2177","0,8395","0,5937%","-0,1931%","0,3995%","4,3427%",N/A,N/A,0
2017-09-01,FAMB11B,"4.650,00",34.0,"R$ 43,2636","0,9304%","2,4536%","4,8803%","9,0645%","0,8179%","0,8134%","0,7554%","8,3916%","9,4001%","-4,4900%","R$ 576.349.307,2900","R$ 5.499,5163","0,8455","0,6745%","0,0307%","0,7054%","5,6032%","0,0000%",N/A,1
2017-09-01,PQDP11,"3.285,00",49.0,"R$ 14,8473","0,4520%","1,4699%","3,0194%","6,7535%","0,4900%","0,5032%","0,5628%","11,3944%","11,8979%","66,6667%","R$ 623.961.302,1100","R$ 2.616,4423","1,2555","0,5675%","-0,0307%","0,5366%","7,4915%","3,0000%",N/A,1
2017-09-01,PRSV11,"434,00",71.0,"R$ 1,7900","0,4192%","1,1292%","2,1293%","4,7020%","0,3764%","0,3549%","0,3918%","-11,0407%","-10,6678%","-9,8183%","R$ 126.146.071,1000","R$ 646,9029","0,6709","0,2767%","-0,0134%","0,2633%","2,1392%",N/A,N/A,2
2017-09-01,WPLZ11B,"80,00",241.0,"R$ 0,0556","0,0713%","0,3084%","0,8430%","2,9421%","0,1028%","0,1405%","0,2452%","-0,8372%","-0,7666%","5,6162%","R$ 79.296.422,6000","R$ 80,1509","0,9981","0,0694%","0,2344%","0,3039%","2,4531%","6,2000%",N/A,1
2017-09-01,TBOF11,"72,70",4774.0,"R$ 0,1816","0,2603%","0,8767%","2,0007%","4,1772%","0,2922%","0,3335%","0,3481%","1,3808%","1,6447%","12,1358%","R$ 639.047.273,8100","R$ 63,5868","1,1433","0,2856%","0,0105%","0,2961%","3,7348%","43,8000%",N/A,1
2017-09-01,VLOL11,"87,79",1852.0,"R$ 0,3699","0,4214%","1,4036%","2,9663%","6,4774%","0,4679%","0,4944%","0,5398%","7,0610%","7,5121%","22,0669%","R$ 146.129.227,9100","R$ 81,8730","1,0723","0,4566%","0,1305%","0,5876%","4,1642%","18,5000%",N/A,1
2017-09-01,AGCX11,"1.278,06",305.0,"R$ 7,7000","0,6025%","1,8649%","3,8195%","7,9479%","0,6216%","0,6366%","0,6623%","2,9034%","3,5233%","6,1686%","R$ 438.342.182,4400","R$ 1.082,3264","1,1808","0,7373%","0,0011%","0,7384%","6,5072%",N/A,N/A,41
2017-09-01,BBVJ11,"63,00",1625.0,"R$ 0,1800","0,2857%","0,6703%","2,2812%","4,8309%","0,2234%","0,3802%","0,4026%","5,0000%","5,3000%","19,4126%","R$ 207.436.059,3100","R$ 76,5447","0,8230","0,2352%","0,4515%","0,6877%","2,7323%","49,2900%",N/A,0
2017-09-01,BMLC11B,"90,00",835.0,"R$ 0,8146","0,9478%","1,9347%","3,5271%","7,6324%","0,6449%","0,5879%","0,6360%","4,1818%","5,1693%","4,5311%","R$ 103.966.282,9700","R$ 104,1324","0,8643","0,7823%","0,0213%","0,8038%","4,0608%","21,5000%",N/A,2
2017-09-01,BPFF11,"96,00",1382.0,"R$ 0,6700","0,6979%","2,1345%","4,3327%","9,2230%","0,7115%","0,7221%","0,7686%","2,1277%","2,8404%","25,5444%","R$ 184.687.150,1100","R$ 92,3436","1,0396","0,7256%","0,3778%","1,1061%","10,6296%",N/A,N/A,0
2017-09-01,CXCE11B,"2.500,00",16.0,"R$ 17,9227","0,7169%","2,2880%","4,6217%","9,3875%","0,7627%","0,7703%","0,7823%","8,5536%","9,3318%","13,4487%","R$ 154.942.215,2300","R$ 2.261,3359","1,1055","0,8106%","0,0372%","0,8482%","6,9528%",N/A,N/A,0
2017-09-01,CXTL11,"560,00",23.0,"R$ 0,5997","0,1071%","0,9765%","2,9377%","7,8580%","0,3255%","0,4896%","0,6548%","-9,6774%","-9,5807%","9,7136%","R$ 53.407.458,6000","R$ 996,4636","0,5620","0,0764%","-0,0133%","0,0631%","3,3528%",N/A,N/A,0
2017-09-01,CTXT11,"4,82",13126.0,"R$ 0,0344","0,7140%","2,2986%","4,6710%","9,8802%","0,7662%","0,7785%","0,8233%","12,8806%","13,6866%","36,4501%","R$ 123.310.285,0500","R$ 3,3951","1,4197","1,0056%","0,1358%","1,1428%","8,9784%","3,8000%",N/A,1
2017-09-01,FLMA11,"2,41",16778.0,"R$ 0,0098","0,4224%","1,5156%","3,0078%","6,4599%","0,5052%","0,5013%","0,5383%","-1,2766%","-0,8596%","7,9940%","R$ 183.499.645,5000","R$ 2,6581","0,9067","0,3687%","0,1221%","0,4912%","3,5453%",N/A,N/A,0
2017-09-01,EDFO11B,"285,00",29.0,"R$ 1,8938","0,6645%","1,9748%","3,8766%","7,7635%","0,6583%","0,6461%","0,6470%","1,0638%","1,7354%","11,3083%","R$ 37.785.501,5700","R$ 160,1081","1,7800","1,1434%","0,0342%","1,1779%","9,6147%",N/A,N/A,0
2017-09-01,EURO11,"210,00",231.0,"R$ 1,0000","0,4762%","1,3143%","1,9810%","5,4389%","0,4381%","0,3302%","0,4532%","13,8211%","14,3631%","13,2743%","R$ 121.162.391,9700","R$ 315,5797","0,6654","0,3169%","0,1095%","0,4268%","-2,9077%","17,6100%",N/A,6
2017-09-01,FIGS11,"83,92",8718.0,"R$ 0,8333","0,9930%","3,1083%","6,8015%","14,2578%","1,0361%","1,1336%","1,1881%","4,1320%","5,1661%","33,8492%","R$ 228.076.264,4400","R$ 88,0094","0,9535","0,9469%","-0,1245%","0,8212%","6,5127%",N/A,N/A,2
2017-09-01,ABCP11,"18,50",1464.0,"R$ 0,0800","0,4324%","1,3887%","2,7830%","6,7098%","0,4629%","0,4638%","0,5591%","12,1212%","12,6061%","57,3495%","R$ 682.387.331,5400","R$ 11,1832","1,6543","0,7154%","0,0241%","0,7397%","5,6990%","1,3000%",N/A,1
2017-09-01,GWIR11,"209,00",344.0,"R$ 1,2800","0,5926%","1,6734%","3,1008%","6,3343%","0,5578%","0,5168%","0,5279%","3,3493%","3,9617%","-11,7955%","R$ 79.758.516,8900","R$ 208,7826","1,0010","0,6131%","-0,3106%","0,3006%","4,5734%",N/A,N/A,0
2017-09-01,FIIB11,"384,00",460.0,"R$ 2,3500","0,6120%","1,8846%","3,8295%","8,6262%","0,6282%","0,6383%","0,7188%","5,2055%","5,8493%","16,3179%","R$ 244.604.883,5800","R$ 357,0874","1,0754","0,6581%","2,0738%","2,7455%","7,9755%","8,2600%",N/A,1
2017-09-01,FMOF11,"111,50",570.0,"R$ 0,2400","0,2152%","0,6557%","1,3794%","2,6411%","0,2186%","0,2299%","0,2201%","1,3636%","1,5818%","7,4247%","R$ 67.513.023,5300","R$ 132,8976","0,8390","0,1806%","-0,0178%","0,1627%","1,3582%","49,8800%",N/A,1
2017-09-01,MBRF11,"1.080,00",74.0,"R$ 7,7900","0,7226%","2,2485%","4,6447%","9,6906%","0,7495%","0,7741%","0,8076%","2,1801%","2,9185%","27,8102%","R$ 130.743.711,9900","R$ 1.286,0375","0,8398","0,6057%","0,0277%","0,6336%","5,1029%","22,9200%",N/A,3
2017-09-01,PABY11,"24,22",11.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-3,0812%","-3,0812%","4,9869%","R$ 177.403.528,9500","R$ 233,9182","0,1035","0,0000%","-0,1626%","-0,1626%","-3,8536%",N/A,N/A,0
2017-09-01,FPAB11,"353,96",62.0,"R$ 1,8500","0,5227%","1,7101%","3,4994%","6,9650%","0,5700%","0,5832%","0,5804%","12,3683%","12,9556%","22,7343%","R$ 273.144.890,3700","R$ 364,1932","0,9719","0,5080%","0,0522%","0,5605%","4,2452%","21,8600%",N/A,1
2017-09-01,FFCI11,"180,99",1860.0,"R$ 1,2000","0,6667%","2,0207%","4,7015%","8,7619%","0,6736%","0,7836%","0,7302%","1,6949%","2,3729%","23,1261%","R$ 245.092.433,6900","R$ 176,9503","1,0228","0,6782%","0,1181%","0,7971%","10.451,8960%","10,3000%",N/A,7
2017-09-01,RNGO11,"94,76",2955.0,"R$ 0,5400","0,5699%","1,7824%","3,5676%","8,1012%","0,5941%","0,5946%","0,6751%","6,5078%","7,1148%","18,5122%","R$ 251.376.771,0400","R$ 93,9375","1,0088","0,5749%","0,0432%","0,6183%","4,9100%","15,6000%",N/A,2
2017-09-01,SHPH11,"925,00",33.0,"R$ 3,5000","0,3825%","1,1512%","2,3082%","5,1137%","0,3837%","0,3847%","0,4261%","0,5495%","0,9341%","15,9239%","R$ 354.228.367,7700","R$ 612,4778","1,5103","0,5714%","0,1278%","0,7000%","5,0614%","2,4000%",N/A,1
2017-09-01,ONEF11,"1.310,00",90.0,"R$ 6,5000","0,5830%","1,8049%","3,4742%","7,0442%","0,6016%","0,5790%","0,5870%","6,0894%","6,7079%","25,3396%","R$ 95.938.644,8700","R$ 1.053,1136","1,2439","0,6172%","-0,0105%","0,6067%","4,8897%","0,0000%",N/A,1
2017-09-01,FIVN11,"6,00",76.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 156.071.193,0700","R$ 16,5810","0,3619",,,,,N/A,N/A,0
2017-09-01,RBBV11,"64,00",1268.0,"R$ 0,1838","0,3064%","0,9139%","2,2866%","5,4330%","0,3046%","0,3811%","0,4527%","-5,1889%","-4,8984%","-12,0998%","R$ 125.235.950,1000","R$ 99,8561","0,6409","0,1841%","-0,0695%","0,1145%","1,9394%",N/A,N/A,0
2017-09-01,JSRE11,"97,55",12760.0,"R$ 0,6500","0,6663%","2,0707%","4,5019%","9,8950%","0,6902%","0,7503%","0,8246%","-1,9006%","-1,2470%","9,3441%","R$ 697.071.590,1400","R$ 108,0238","0,9030","0,6480%","-0,1189%","0,5283%","5,9111%","54,0000%",N/A,1
2017-09-01,KNRE11,"0,97",0.0,"R$ 0,0000","0,0000%","0,0000%","2,0022%","2,4818%","0,0000%","0,3337%","0,2068%","3,1915%","3,1915%","-10,0526%","R$ 218.121.168,4400","R$ 1,1760","0,8248","0,0000%","1,1819%","1,1819%","-5,7583%",N/A,N/A,0
2017-09-01,KNRI11,"169,05",12525.0,"R$ 0,9200","0,5442%","1,7673%","3,6156%","7,4189%","0,5891%","0,6026%","0,6182%","11,5842%","12,1914%","19,8598%","R$ 2.226.680.495,9900","R$ 143,4328","1,1786","0,6414%","-0,0875%","0,5533%","4,2715%","8,1800%","14,5200%",16
2017-09-01,KNCR11,"104,63",29425.0,"R$ 0,6300","0,6021%","2,0018%","4,2088%","9,8662%","0,6673%","0,7015%","0,8222%","0,5381%","1,1435%","2,6494%","R$ 2.935.439.192,4500","R$ 104,4680","1,0016","0,7084%","0,1670%","0,8765%","7,6518%",N/A,N/A,0
2017-09-01,MXRF11,"9,59",65303.0,"R$ 0,0700","0,7299%","2,1051%","4,7250%","10,2153%","0,7017%","0,7875%","0,8513%","2,2388%","2,9851%","13,2864%","R$ 324.083.659,4700","R$ 10,2940","0,9316","0,5829%","-0,1799%","0,4019%","-90,0859%",N/A,N/A,0
2017-09-01,MFII11,"120,50",3833.0,"R$ 1,1700","0,9710%","2,9489%","6,0583%","12,7670%","0,9830%","1,0097%","1,0639%","4,7826%","5,8000%","26,6495%","R$ 96.897.805,0200","R$ 106,7209","1,1291","1,0963%","-1,2320%","-0,1492%","15,0724%",N/A,N/A,0
2017-09-01,DRIT11B,"116,00",27.0,"R$ 0,5300","0,4609%","1,2453%","5,8047%","8,9086%","0,4151%","0,9674%","0,7424%","-3,7496%","-3,3060%","22,0646%","R$ 58.460.374,5500","R$ 126,1888","0,9193","0,4200%","0,1809%","0,6016%","5,4731%","18,1000%","10,4000%",6
2017-09-01,PLRI11,"112,00",125.0,"R$ 0,5400","0,4821%","9,2415%","11,0127%","16,2622%","3,0805%","1,8354%","1,3552%","0,0000%","0,4821%","20,0578%","R$ 99.707.935,1400","R$ 104,4824","1,0720","8,7383%","-9,3643%","-1,4443%","2,7328%",N/A,N/A,0
2017-09-01,PORD11,"102,00",1563.0,"R$ 0,0000","0,0000%","5,2752%","5,2752%","11,3888%","1,7584%","0,8792%","0,9491%","-1,9838%","-1,9838%","4,9747%","R$ 103.328.329,5200","R$ 103,3283","0,9871","0,0000%","-0,0421%","-0,0421%","4,5563%",N/A,N/A,0
2017-09-01,RBDS11,"440,00",15.0,"R$ 4,1559","0,9445%","1,6331%","3,3390%","5,4254%","0,5444%","0,5565%","0,4521%","12,8263%","13,8920%","9,5564%","R$ 74.639.232,4900","R$ 589,9262","0,7459","0,4552%","-4,2743%","-3,8385%","16,3561%",N/A,N/A,0
2017-09-01,RBGS11,"44,20",1224.0,"R$ 0,1607","0,3635%","1,0196%","2,1297%","7,3919%","0,3399%","0,3550%","0,6160%","5,3635%","5,7465%","31,1958%","R$ 99.251.493,0300","R$ 92,0700","0,4801","0,1273%","-0,0011%","0,1262%","1,8486%","16,2000%",N/A,1
2017-09-01,FIIP11B,"194,47",541.0,"R$ 1,2669","0,6515%","1,9462%","3,9776%","9,9153%","0,6487%","0,6629%","0,8263%","3,4415%","4,1154%","20,3863%","R$ 165.008.393,7900","R$ 177,9715","1,0927","0,7137%","-0,0108%","0,7028%","11,7849%",N/A,N/A,0
2017-09-01,RBRD11,"81,88",960.0,"R$ 0,4976","0,6077%","1,7977%","3,7234%","11,7215%","0,5992%","0,6206%","0,9768%","-0,6913%","-0,0878%","30,9171%","R$ 138.672.846,1200","R$ 74,8860","1,0934","0,6638%","0,1574%","0,8223%","7,6213%","0,0000%",N/A,0
2017-09-01,RDES11,"65,00",222.0,"R$ 0,3082","0,4741%","1,3382%","2,4545%","4,5253%","0,4461%","0,4091%","0,3771%","3,1419%","3,6308%","16,2406%","R$ 64.643.349,0900","R$ 87,1204","0,7461","0,3057%","-0,0498%","0,2557%","2,6429%","50,5300%",N/A,4
2017-09-01,RBCB11,"459,99",6.0,"R$ 6,0000","1,3044%","2,9542%","6,3989%","12,5463%","0,9847%","1,0665%","1,0455%","-1,9211%","-0,6418%","21,5962%","R$ 15.862.710,0700","R$ 298,7328","1,5398","1,5064%","-4,4758%","-3,0368%","-27,8760%",N/A,N/A,0
2017-09-01,RBVO11,"70,00",392.0,"R$ 0,4500","0,6429%","1,6794%","3,0278%","8,3352%","0,5598%","0,5046%","0,6946%","4,9161%","5,5905%","-17,6734%","R$ 36.374.737,2700","R$ 70,5177","0,9927","0,5672%","-0,4373%","0,1274%","-17,8223%",N/A,N/A,0
2017-09-01,SAAG11,"143,00",8445.0,"R$ 0,8500","0,5944%","1,9364%","3,9408%","8,1516%","0,6455%","0,6568%","0,6793%","13,4921%","14,1667%","24,7004%","R$ 519.239.184,0100","R$ 92,2024","1,5509","0,9219%","0,0058%","0,9277%","7,8242%",N/A,N/A,28
2017-09-01,SDIL11,"90,72",1155.0,"R$ 0,5800","0,6393%","1,9007%","3,8676%","8,3580%","0,6336%","0,6446%","0,6965%","-0,3077%","0,3297%","13,0893%","R$ 139.613.616,1800","R$ 97,0312","0,9350","0,5977%","0,0221%","0,6200%","4,9200%","14,2000%","13,0000%",1
2017-09-01,SPTW11,"73,36",2072.0,"R$ 0,5350","0,7293%","2,2278%","4,4809%","9,6756%","0,7426%","0,7468%","0,8063%","1,0468%","1,7837%","27,0466%","R$ 132.152.453,6400","R$ 73,4997","0,9981","0,7279%","0,7994%","1,5331%","7,3079%",N/A,N/A,0
2017-09-01,XTED11,"23,98",2183.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","15,8454%","15,8454%","15,8424%","R$ 76.449.050,0700","R$ 42,6480","0,5623","0,0000%","-0,5377%","-0,5377%","-12,0618%","96,8000%","98,3000%",2
2017-09-01,TRXL11,"80,85",1718.0,"R$ 0,3374","0,4400%","1,5419%","2,7760%","6,8304%","0,5140%","0,4627%","0,5692%","14,4456%","14,9492%","26,5633%","R$ 149.622.414,3600","R$ 90,7177","0,8912","0,4015%","0,0301%","0,4317%","2,9288%","53,0000%","50,1000%",6
2017-09-01,XPCM11,"99,48",3308.0,"R$ 0,7800","0,7841%","2,5260%","5,2750%","10,7360%","0,8420%","0,8792%","0,8947%","10,4720%","11,3381%","18,7919%","R$ 189.626.924,1000","R$ 78,5344","1,2667","0,9932%","0,1334%","1,1279%","9,2203%","0,0000%","0,0000%",1
2017-09-01,KNIP11,"107,00",0.0,"R$ 0,5800","0,5421%","1,5845%","3,2993%","7,7163%","0,5282%","0,5499%","0,6430%","0,7533%","1,2994%","7,7386%","R$ 1.042.071.849,1300","R$ 102,9705","1,0391","0,5827%","0,5697%","1,1557%","7,5709%",N/A,N/A,0
2017-09-01,FAED11,"207,10",0.0,"R$ 1,4384","0,6949%","2,0896%","3,9471%","8,7832%","0,6965%","0,6578%","0,7319%","0,0048%","0,6997%","7,1342%","R$ 109.584.654,5200","R$ 170,6480","1,2136","0,8429%","0,0005%","0,8434%","8,0341%","0,0000%",N/A,3
2017-09-01,CNES11,"115,00",0.0,"R$ 0,3943","0,3313%","1,1379%","2,3649%","4,7937%","0,3793%","0,3941%","0,3995%","15,5340%","15,9168%","28,1066%","R$ 302.043.195,5300","R$ 102,4136","1,1229","0,3850%","0,0340%","0,4191%","6,1640%","39,6000%",N/A,1
2017-09-01,FLRP11,"1.060,00",0.0,"R$ 5,8410","0,5521%","1,6376%","3,0640%","8,1544%","0,5459%","0,5107%","0,6795%","0,2844%","0,8380%","31,6675%","R$ 63.369.823,3300","R$ 1.228,0022","0,8632","0,4757%","-0,0428%","0,4326%","2,8745%","3,4800%",N/A,1
2017-09-01,FEXC11,"96,00",0.0,"R$ 0,3300","0,3382%","0,9148%","2,5318%","7,0470%","0,3049%","0,4220%","0,5873%","4,9247%","5,2796%","-3,5714%","R$ 150.108.422,2000","R$ 102,7239","0,9345","0,3212%","0,0028%","0,3241%","5,5531%",N/A,N/A,0
2017-09-01,EDGA11,"48,90",0.0,"R$ 0,2307","0,4934%","1,0548%","1,6460%","5,0643%","0,3516%","0,2743%","0,4220%","7,4713%","8,0015%","-11,9980%","R$ 319.469.453,9300","R$ 83,8050","0,5835","0,2752%","0,0158%","0,2911%","1,6542%","34,8000%",N/A,1
2017-09-01,NSLU11,"240,50",0.0,"R$ 1,5667","0,6515%","2,0413%","3,9378%","8,5903%","0,6804%","0,6563%","0,7159%","5,9471%","6,6373%","27,1004%","R$ 219.692.817,8700","R$ 191,9050","1,2532","0,8164%","0,0029%","0,8193%","6,3438%","0,0000%",N/A,1
2017-09-01,HTMX11,"119,90",0.0,"R$ 0,4835","0,4033%","1,4326%","3,5056%","5,1547%","0,4775%","0,5843%","0,4296%","5,3140%","5,7387%","5,3411%","R$ 164.450.028,7000","R$ 146,9669","0,8158","0,3417%","-0,2631%","0,0777%","10,7394%","36,0000%",N/A,24
2017-09-01,MAXR11,"1.900,02",0.0,"R$ 7,7850","0,4152%","2,6106%","3,7047%","8,9021%","0,8702%","0,6175%","0,7418%","-0,2665%","0,1476%","17,5521%","R$ 98.212.838,2000","R$ 1.657,7405","1,1462",,,,,"0,0000%",N/A,8
2017-09-01,JRDM11,"88,00",0.0,"R$ 0,4473","0,5274%","1,6695%","3,6123%","8,5696%","0,5565%","0,6020%","0,7141%","-2,2929%","-1,7776%","19,5750%","R$ 186.179.353,5300","R$ 83,7491","1,0508",,,,,"2,0000%",N/A,0
