Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-09-01,AEFI11,"154,01",1654.0,"R$ 1,2000","0,7792%","2,4245%","5,1273%","10,3451%","0,8082%","0,8545%","0,8621%","6,5444%","7,3746%","17,5908%","R$ 99.418.388,4600","R$ 132,1175","1,1657","0,9083%","0,0733%","0,9823%","7,9597%","0,0000%",N/A,2
2017-09-01,BCRI11,"110,00",0.0,"R$ 0,6000","0,5455%","1,9651%","4,5505%","10,5536%","0,6550%","0,7584%","0,8795%","1,8330%","2,3884%","4,8812%","R$ 117.267.557,3300","R$ 96,9153","1,1350","0,7739%","-0,3783%","0,3926%","8,9412%",N/A,N/A,0
2017-09-01,BNFS11,"113,00",152.0,"R$ 0,8200","0,7257%","2,0788%","3,9530%","7,9493%","0,6929%","0,6588%","0,6624%","0,0000%","0,7257%","0,5022%","R$ 62.497.685,6900","R$ 89,2824","1,2656","0,8565%","-0,0054%","0,8511%","7,1296%",N/A,N/A,0
2017-09-01,BBFI11B,"2.680,00",176.0,"R$ 23,2116","0,8661%","2,6723%","5,2137%","10,5373%","0,8908%","0,8690%","0,8781%","0,0373%","0,9038%","15,2650%","R$ 430.310.283,6800","R$ 3.310,0791","0,8096","0,7087%","0,0344%","0,7434%","0,5623%",N/A,N/A,0
2017-09-01,BBPO11,"154,50",20862.0,"R$ 0,9809","0,6349%","2,0508%","4,1696%","8,9626%","0,6836%","0,6949%","0,7469%","10,3571%","11,0578%","27,8813%","R$ 1.537.448.111,9300","R$ 96,5753","1,5998","1,0157%","-0,0841%","0,9308%","12,2452%",N/A,N/A,0
2017-09-01,BBRC11,"139,00",747.0,"R$ 0,8000","0,5755%","1,7422%","3,7465%","8,0126%","0,5807%","0,6244%","0,6677%","5,3030%","5,9091%","22,5036%","R$ 153.681.918,1900","R$ 96,6553","1,4381","0,7966%","0,0685%","0,8657%","7,4504%",N/A,N/A,0
2017-09-01,RNDP11,"1.037,79",40.0,"R$ 6,4140","0,6180%","2,2121%","4,6673%","10,6714%","0,7374%","0,7779%","0,8893%","3,2637%","3,9019%","7,7793%","R$ 111.625.675,7400","R$ 1.038,5619","0,9993","0,7717%","-0,1262%","0,6445%","6,8512%",N/A,N/A,0
2017-09-01,BCIA11,"119,00",0.0,"R$ 0,7000","0,5882%","1,7463%","3,7124%","8,3705%","0,5821%","0,6187%","0,6975%","-4,8000%","-4,2400%","5,1250%","R$ 95.636.834,1400","R$ 116,6139","1,0205","0,5488%","0,5333%","1,0851%","8,3983%",N/A,N/A,0
2017-09-01,CARE11,"1,80",90447.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 59.720.840,8800","R$ 1,3064","1,3778",,,,,N/A,N/A,0
2017-09-01,CXRI11,"1.099,97",40.0,"R$ 7,5000","0,7353%","2,1677%","4,4370%","9,1806%","0,7226%","0,7395%","0,7650%","-5,2152%","-4,5182%","7,2302%","R$ 172.771.535,4400","R$ 1.096,4331","1,0032","0,6840%","-0,0818%","0,6017%","5,9228%",N/A,N/A,0
2017-09-01,CPTS11B,"99,01",0.0,"R$ 0,7200","0,7272%","2,3213%","4,8389%","7,9889%","0,7738%","0,8065%","0,6657%","-0,5125%","0,2110%","7,2056%","R$ 100.422.151,7800","R$ 100,4222","0,9859","0,7170%","-0,8089%","-0,0977%","7,6888%",N/A,N/A,0
2017-09-01,CBOP11,"798,80",201.0,"R$ 4,9000","0,6134%","1,9780%","4,0357%","8,4451%","0,6593%","0,6726%","0,7038%","10,1793%","10,8552%","25,1923%","R$ 103.842.312,2500","R$ 733,8679","1,0885","0,6677%","0,0549%","0,7230%","5,4518%","10,4000%",N/A,1
2017-09-01,ATSA11B,"1.178,99",76.0,"R$ 1,5000","0,1272%","0,3848%","1,6769%","1,6769%","0,1283%","0,2795%","0,1397%","-0,0432%","0,0839%","17,2241%","R$ 229.821.050,2700","R$ 1.339,9082","0,8799","0,1119%","-0,0710%","0,0408%","1,5667%","24,2000%",N/A,1
2017-09-01,HGBS11,"2.400,00",551.0,"R$ 12,4000","0,5167%","1,6645%","3,4036%","7,3236%","0,5548%","0,5673%","0,6103%","9,0909%","9,6545%","23,5498%","R$ 1.157.180.500,1300","R$ 2.152,9260","1,1148","0,5760%","-1,0854%","-0,5157%","5,7480%","5,1000%",N/A,8
2017-09-01,GRLV11,"1.150,00",282.0,"R$ 7,1000","0,6174%","2,0168%","4,1682%","8,5512%","0,6723%","0,6947%","0,7126%","10,5769%","11,2596%","34,7276%","R$ 118.925.542,2800","R$ 1.107,7990","1,0381","0,6409%","0,0558%","0,6971%","5,5409%","7,0000%",N/A,1
2017-09-01,HGJH11,"1.394,99",139.0,"R$ 7,5000","0,5376%","1,6990%","3,4578%","7,1996%","0,5663%","0,5763%","0,6000%","7,1421%","7,7181%","27,4355%","R$ 170.821.675,2500","R$ 1.035,2829","1,3474","0,7244%","-0,0033%","0,7212%","5,9218%","7,7000%",N/A,2
2017-09-01,HGLG11,"1.304,32",499.0,"R$ 8,7000","0,6670%","2,0627%","4,1550%","8,6438%","0,6876%","0,6925%","0,7203%","4,2622%","4,9576%","23,1171%","R$ 375.383.337,4900","R$ 1.103,7440","1,1817","0,7882%","-0,2288%","0,5576%","6,3156%","22,4000%","19,0600%",8
2017-09-01,HGRE11,"1.580,00",784.0,"R$ 9,4000","0,5949%","1,8865%","3,9075%","8,4782%","0,6288%","0,6513%","0,7065%","7,3370%","7,9755%","30,3446%","R$ 1.091.461.343,9800","R$ 1.478,3239","1,0688","0,6359%","-0,2796%","0,3545%","5,0901%","19,9000%","21,4000%",20
