Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-28,MBRF11,Outros,"1.100,00",108.0,"R$ 8,0000","0,7273%","2,2032%","2,9227%","7,4831%","0,7344%","0,4871%","0,6236%","2,2032%","2,1204%","2,8631%","3,0627%","R$ 116.122.631,7500","R$ 1.142,2198","0,9630","0,7004%","0,0140%","0,7145%","2,1423%","0,0000%",N/A,2
2018-04-28,PABY11,Híbrido,"27,15",10.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-11,4275%","-11,4275%","-21,2991%","R$ 181.333.745,9400","R$ 239,1004","0,1136","0,0000%","0,3762%","0,3762%","0,3228%",N/A,N/A,1
2018-04-28,FPAB11,Lajes Corporativas,"366,00",429.0,"R$ 1,9000","0,5234%","1,5822%","3,2181%","6,7176%","0,5274%","0,5364%","0,5598%","1,5822%","0,0276%","0,5511%","3,8799%","R$ 259.666.553,5900","R$ 346,2221","1,0571","0,5488%","0,1414%","0,6910%","1,9158%","6,5500%",N/A,1
2018-04-28,FFCI11,Lajes Corporativas,"174,10",1992.0,"R$ 0,8100","0,4500%","1,0553%","2,2920%","7,0580%","0,3518%","0,3820%","0,5882%","1,4564%","1,0668%","1,5216%","4,6622%","R$ 384.003.501,4000","R$ 176,9601","0,9838","0,2043%","0,0548%","0,2592%","1,0331%","7,5000%",N/A,8
2018-04-28,RNGO11,Lajes Corporativas,"91,10",4929.0,"R$ 0,5400","0,5696%","1,7247%","3,4249%","6,9925%","0,5749%","0,5708%","0,5827%","1,7247%","1,3904%","1,9679%","3,1491%","R$ 248.446.758,4800","R$ 92,8426","0,9812","0,5816%","-0,0156%","0,5660%","1,7732%","7,6000%",N/A,2
2018-04-28,SCPF11,Shoppings,"13,93",919.0,"R$ 0,0555","0,3906%","1,8500%","3,7075%","7,4204%","0,6167%","0,6179%","0,6184%","1,8500%","-11,1945%","-10,8477%","3,3154%","R$ 46.958.685,7800","R$ 11,1806","1,2459","0,4960%","0,2140%","0,7111%","2,6774%",N/A,N/A,1
2018-04-28,SHPH11,Shoppings,"1.069,00",75.0,"R$ 3,5500","0,3381%","1,2294%","2,3495%","4,6572%","0,4098%","0,3916%","0,3881%","1,2294%","0,9615%","1,3029%","6,2950%","R$ 424.478.394,6500","R$ 697,0661","1,5336","0,5093%","-4,9973%","-4,5134%","-3,6431%","2,4000%",N/A,1
2018-04-28,ONEF11,Lajes Corporativas,"134,00",141.0,"R$ 6,6500","0,5407%","1,6572%","3,2665%","6,6842%","0,5524%","0,5444%","0,5570%","1,6572%","4,8593%","5,4263%","3,3468%","R$ 99.176.235,9900","R$ 1.088,6524","0,1231","0,6108%","0,0136%","0,6246%","1,8575%","0,0000%",N/A,1
2018-04-28,FIVN11,Shoppings,"5,49",100.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 156.087.008,9900","R$ 16,5827","0,3311",,,,,N/A,N/A,0
2018-04-28,RBBV11,Títulos e Val. Mob.,"65,11",1624.0,"R$ 0,4032","0,5306%","1,8350%","3,5377%","5,6667%","0,6117%","0,5896%","0,4722%","1,8350%","3,5987%","4,1483%","19,1915%","R$ 125.853.283,7300","R$ 100,3483","0,6488","0,4018%","0,0518%","0,4538%","1,1915%",N/A,N/A,1
2018-04-28,JSRE11,Híbrido,"106,53",8432.0,"R$ 0,5400","0,5033%","1,5816%","3,3462%","7,8481%","0,5272%","0,5577%","0,6540%","1,5816%","0,8649%","1,3726%","1,9606%","R$ 718.154.697,5100","R$ 111,2910","0,9572","0,4852%","1,4136%","1,9056%","3,0144%","0,0000%",N/A,2
2018-04-28,KNRE11,Residencial,"9,89",2900.0,"R$ 0,0000","0,0000%","0,0000%","3,1309%","5,1331%","0,0000%","0,5218%","0,4278%","0,0000%","-5,5977%","-5,5977%","-5,5977%","R$ 194.018.576,3200","R$ 10,4608","0,9454","0,0000%","-3,6253%","-3,6253%","890,6889%",N/A,N/A,0
2018-04-28,KNRI11,Híbrido,"164,00",14983.0,"R$ 0,8200","0,4678%","1,3392%","2,9888%","6,6044%","0,4464%","0,4981%","0,5504%","1,3392%","4,4696%","4,9583%","9,6654%","R$ 2.173.240.102,4500","R$ 139,9904","1,1715","0,5858%","-0,7084%","-0,1268%","-0,6252%","12,4400%","15,5600%",15
2018-04-28,KNCR11,Títulos e Val. Mob.,"104,75",35811.0,"R$ 0,6000","0,5679%","1,7147%","3,5848%","7,7936%","0,5716%","0,5975%","0,6495%","1,7147%","0,0284%","0,5964%","0,4506%","R$ 2.940.423.069,0000","R$ 104,6454","1,0010","0,5734%","0,2536%","0,8284%","1,9469%",N/A,N/A,0
2018-04-28,MXRF11,Híbrido,"10,95",58638.0,"R$ 0,0600","0,5780%","1,9344%","3,6973%","8,4223%","0,6448%","0,6162%","0,7019%","1,9344%","8,3507%","8,9770%","10,3449%","R$ 302.391.360,3100","R$ 9,6050","1,1400","0,6247%","1,3023%","1,9351%","3,3252%",N/A,N/A,0
2018-04-28,MFII11,Híbrido,"130,20",11082.0,"R$ 1,1800","0,8872%","2,6891%","5,2752%","11,3335%","0,8964%","0,8792%","0,9445%","2,6891%","9,9083%","10,8834%","-4,2821%","R$ 226.635.467,9900","R$ 113,1699","1,1505","1,0427%","-0,9886%","0,0437%","7,3924%",N/A,N/A,9
2018-04-28,DRIT11B,Lajes Corporativas,"140,00",13.0,"R$ 2,8000","2,2222%","3,2298%","4,6524%","9,9454%","1,0766%","0,7754%","0,8288%","3,2298%","-2,1587%","0,0155%","8,4175%","R$ 56.459.190,2000","R$ 121,8692","1,1488","2,2975%","-2,2554%","-0,0097%","0,9159%","0,0000%","14,9500%",6
2018-04-28,PLRI11,Títulos e Val. Mob.,"84,30",171.0,"R$ 0,6800","0,8667%","1,9022%","3,4207%","14,4334%","0,6341%","0,5701%","1,2028%","1,9022%","-7,6941%","-6,8941%","-12,6103%","R$ 89.354.457,5900","R$ 93,6331","0,9003","0,7262%","-0,9511%","-0,2317%","0,0130%",N/A,N/A,0
