Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2021-05-01,FIVN11,Shoppings,"R$ 3,01",1567.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 64.863.959,96","R$ 6,89","0,44",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2021-05-01,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 438.444.330,80","R$ 11,54","1,27",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-01,XTED11,Lajes Corporativas,"R$ 6,93",1311.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.443.127,93","R$ 14,19","0,49",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2021-05-01,ALMI11,Lajes Corporativas,"R$ 1.110,10",276.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 229.388.402,53","R$ 2.063,27","0,54",N/A,N/A,N/A,N/A,"68,15%",N/A,1
2021-05-01,DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 263.546.411,18","R$ 107,84","4,07",N/A,N/A,N/A,N/A,"23,44%",N/A,1
2021-05-01,PABY11,Híbrido,"R$ 12,30",316.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -5.574.880,44","R$ -7,35","-1,67",N/A,N/A,N/A,N/A,N/A,N/A,1
2021-05-01,ORPD11,Títulos e Val. Mob.,"R$ 132,86",14.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 42.360.867,34","R$ 146,07","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-01,RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",Inf,N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-01,ATSA11,Shoppings,"R$ 108,14",36.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 173.151.386,14","R$ 98,88","1,09",N/A,N/A,N/A,N/A,"20,90%",N/A,1
2021-05-01,XPHT11,Hotel,"R$ 87,00",100.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 331.034.343,27","R$ 87,01","1,00",N/A,N/A,N/A,N/A,"82,20%",N/A,5
2021-05-01,HTMX11,Hotel,"R$ 105,27",1153.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 164.514.258,92","R$ 130,88","0,80",N/A,N/A,N/A,N/A,"72,00%",N/A,23
2021-05-01,GSFI11,Shoppings,"R$ 4,25",8109.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 953.239.815,02","R$ 13,92","0,31",N/A,N/A,N/A,N/A,"9,60%",N/A,10
