Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-01-01,AEFI11,"158,27",1244.0,"R$ 1,2000","0,7498%","2,2417%","4,6662%","9,7167%","0,7472%","0,7777%","0,8097%","9,7167%","-1,8160%","-1,0798%","24,9546%","R$ 99.989.586,2500","R$ 132,8765","1,1911","0,9031%","0,5074%","1,4150%","11,5591%","0,0000%",N/A,2
2018-01-01,BCRI11,"106,71",2087.0,"R$ 0,6500","0,6134%","1,8385%","3,8036%","9,3271%","0,6128%","0,6339%","0,7773%","9,3271%","1,7770%","2,4013%","2,8981%","R$ 117.232.053,2700","R$ 96,8859","1,1014","0,6709%","-0,4342%","0,2337%","11,0499%",N/A,N/A,0
2018-01-01,BNFS11,"119,00",132.0,"R$ 0,7453","0,6211%","1,8821%","3,9609%","7,8252%","0,6274%","0,6602%","0,6521%","7,8252%","-6,9046%","-6,3264%","8,7493%","R$ 62.565.320,0200","R$ 89,3790","1,3314","0,8458%","0,0447%","0,8909%","10,1220%",N/A,N/A,0
2018-01-01,BBFI11B,"2.989,99",167.0,"R$ 22,7055","0,7697%","2,3859%","5,0581%","10,3669%","0,7953%","0,8430%","0,8639%","10,3669%","0,7170%","1,4922%","29,9287%","R$ 430.803.078,8500","R$ 3.313,8698","0,9023","0,6980%","0,0370%","0,7352%","2,8043%",N/A,N/A,2
2018-01-01,BBPO11,"143,25",13611.0,"R$ 1,2509","0,8687%","2,1660%","4,2168%","8,4989%","0,7220%","0,7028%","0,7082%","8,4989%","-3,0629%","-2,2209%","21,7905%","R$ 1.536.276.443,6900","R$ 96,5017","1,4844","1,0165%","-0,0624%","0,9534%","15,6135%",N/A,N/A,39
2018-01-01,BBRC11,"144,98",1034.0,"R$ 1,0100","0,7038%","1,8299%","3,5720%","7,5508%","0,6100%","0,5953%","0,6292%","7,5508%","-0,3472%","0,3542%","28,7978%","R$ 153.524.755,2700","R$ 96,5565","1,5015","0,8285%","-0,3795%","0,4459%","10,0250%",N/A,N/A,0
2018-01-01,RNDP11,"920,00",40.0,"R$ 5,1294","0,5545%","1,8178%","4,0299%","9,3803%","0,6059%","0,6716%","0,7817%","9,3803%","-2,6316%","-2,0916%","-2,1776%","R$ 111.851.791,5800","R$ 1.040,6657","0,8840","0,5453%","0,1722%","0,7184%","8,9904%",N/A,N/A,0
2018-01-01,BCIA11,"116,70",122.0,"R$ 0,7000","0,6003%","1,7623%","3,5086%","7,6164%","0,5874%","0,5848%","0,6347%","7,6164%","-2,0084%","-1,4202%","4,8398%","R$ 202.670.480,8500","R$ 119,9508","0,9729","0,5836%","-0,6793%","-0,0997%","13,4541%",N/A,N/A,0
2018-01-01,CARE11,"2,20",266811.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 82.479.056,8100","R$ 1,3419","1,6395",,,,,N/A,N/A,0
2018-01-01,CXRI11,"1.085,00",36.0,"R$ 7,5000","0,7029%","2,1161%","4,2838%","8,8748%","0,7054%","0,7140%","0,7396%","8,0437%","-0,2804%","0,4206%","14,5616%","R$ 176.567.344,3800","R$ 1.120,5218","0,9683","0,6693%","-2,4880%","-1,8353%","10,4018%",N/A,N/A,0
2018-01-01,CPTS11B,"98,80",1516.0,"R$ 0,7200","0,7274%","2,3444%","4,6657%","10,3333%","0,7815%","0,7776%","0,8611%","10,3333%","0,0809%","0,8089%","9,7053%","R$ 100.524.488,4500","R$ 100,5245","0,9828","0,8456%","-0,2034%","0,6404%","10,3034%",N/A,N/A,0
2018-01-01,CBOP11,"750,00",172.0,"R$ 4,7000","0,6309%","1,8617%","3,8397%","7,9643%","0,6206%","0,6400%","0,6637%","7,9643%","-0,4091%","0,2192%","18,9478%","R$ 103.774.053,3700","R$ 733,3855","1,0227","0,6409%","-0,0380%","0,6026%","7,4498%","10,4000%",N/A,1
2018-01-01,ATSA11B,"1.149,90",17.0,"R$ 0,9500","0,0826%","0,3370%","0,7218%","2,0138%","0,1123%","0,1203%","0,1678%","2,0138%","-2,4682%","-2,3876%","14,7174%","R$ 214.381.248,1200","R$ 1.249,8907","0,9200","0,1200%","-6,6076%","-6,4955%","-4,9304%","23,2000%",N/A,1
2018-01-01,HGBS11,"2.395,81",501.0,"R$ 11,5000","0,4904%","1,3450%","3,0094%","6,5966%","0,4483%","0,5016%","0,5497%","6,5966%","1,7795%","2,2786%","22,3493%","R$ 1.158.680.290,0000","R$ 2.155,7163","1,1114","0,4778%","0,0940%","0,5723%","7,4998%","6,5300%",N/A,8
2018-01-01,GRLV11,"1.143,90",167.0,"R$ 7,1000","0,6250%","1,8626%","3,8793%","8,2636%","0,6209%","0,6466%","0,6886%","8,2636%","-1,6408%","-1,0260%","35,5817%","R$ 118.982.144,2700","R$ 1.108,3262","1,0321","0,6406%","0,0132%","0,6539%","7,6337%","7,0000%",N/A,1
2018-01-01,HGJH11,"1.437,00",202.0,"R$ 7,5000","0,5267%","1,5948%","3,2938%","6,9236%","0,5316%","0,5490%","0,5770%","6,9236%","-0,7666%","-0,2439%","32,1713%","R$ 170.779.122,4200","R$ 1.035,0250","1,3884","0,7246%","-0,0079%","0,7166%","8,2139%","6,1000%",N/A,2
2018-01-01,HGLG11,"1.299,99",440.0,"R$ 8,7000","0,6478%","1,9835%","4,0462%","8,3111%","0,6612%","0,6744%","0,6926%","8,3111%","1,5117%","2,1693%","29,2993%","R$ 380.006.197,9900","R$ 1.117,3367","1,1635","0,7786%","-0,4800%","0,2949%","10,1523%","22,3200%","19,3800%",8
2018-01-01,HGRE11,"1.464,00",817.0,"R$ 9,4000","0,6528%","1,8660%","3,7525%","7,9690%","0,6220%","0,6254%","0,6641%","7,9690%","-4,8877%","-4,2668%","21,0255%","R$ 1.093.830.485,8500","R$ 1.481,5328","0,9882","0,6345%","-0,3649%","0,2673%","7,3316%","20,2000%","22,3000%",20
2018-01-01,HGCR11,"103,00",637.0,"R$ 0,7300","0,7022%","2,1205%","4,2107%","9,4282%","0,7068%","0,7018%","0,7857%","9,4282%","1,7221%","2,4364%","16,9981%","R$ 105.854.542,0400","R$ 101,0940","1,0189","0,7221%","-0,8137%","-0,0975%","-89,1809%",N/A,N/A,0
2018-01-01,DOMC11,"619,00",16.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-21,4286%","-21,4286%","8,4583%","R$ 150.962.250,6100","R$ 862,6414","0,7176","0,0000%","0,3571%","0,3571%","-7,4366%",N/A,N/A,1
2018-01-01,FIXX11,"95,99",463.0,"R$ 0,6300","0,6462%","2,1621%","4,1412%","8,1641%","0,7207%","0,6902%","0,6803%","8,1641%","4,7824%","5,4594%","18,2714%","R$ 33.121.844,1500","R$ 90,5038","1,0606","0,6740%","-0,2575%","0,4147%","15,7511%",N/A,N/A,0
2018-01-01,VRTA11,"110,95",4093.0,"R$ 0,7000","0,6306%","1,9590%","3,9944%","9,1626%","0,6530%","0,6657%","0,7636%","9,1626%","4,8258%","5,4868%","0,0311%","R$ 233.058.031,4800","R$ 103,9603","1,0672","0,6733%","-0,4302%","0,2403%","11,5442%",N/A,N/A,0
2018-01-01,BRCR11,"107,25",56165.0,"R$ 0,4900","0,4712%","1,3167%","2,4354%","6,8715%","0,4389%","0,4059%","0,5726%","5,0710%","3,6889%","4,1775%","13,7491%","R$ 2.394.372.295,7500","R$ 124,5477","0,8611",,,,,"33,1000%","28,9000%",10
2018-01-01,BCFF11B,"78,91",17601.0,"R$ 0,4950","0,6273%","1,9537%","4,0965%","8,6439%","0,6512%","0,6827%","0,7203%","7,8574%","2,6805%","3,3247%","21,6426%","R$ 517.300.850,9500","R$ 86,9507","0,9075","0,5693%","-0,1661%","0,4022%","9,5737%",N/A,N/A,0
2018-01-01,FAMB11B,"4.100,00",52.0,"R$ 36,4729","0,9234%","2,7029%","5,1565%","9,5259%","0,9010%","0,8594%","0,7938%","9,5259%","6,7568%","7,7425%","-16,6551%","R$ 576.729.174,6400","R$ 5.503,1410","0,7450","0,6678%","0,0072%","0,6750%","7,9504%","0,0000%",N/A,1
2018-01-01,PQDP11,"3.140,00",37.0,"R$ 13,9513","0,4367%","1,2323%","2,7022%","6,1145%","0,4108%","0,4504%","0,5095%","5,4063%","-1,0836%","-0,6517%","64,1063%","R$ 624.537.891,9900","R$ 2.618,8601","1,1990","0,5327%","0,0147%","0,5475%","9,2332%","2,6000%",N/A,1
2018-01-01,PRSV11,"391,10",59.0,"R$ 0,6700","0,1675%","0,9725%","2,1017%","4,2413%","0,3242%","0,3503%","0,3534%","3,8372%","-8,4554%","-8,3021%","-14,6859%","R$ 125.886.532,4500","R$ 645,5720","0,6058","0,1038%","-0,1923%","-0,0887%","2,5924%",N/A,N/A,2
2018-01-01,WPLZ11B,"75,00",203.0,"R$ 0,0545","0,0678%","0,2040%","0,5800%","2,6184%","0,0680%","0,0967%","0,2182%","1,3812%","-6,3953%","-6,3319%","9,1182%","R$ 79.711.810,3300","R$ 80,5708","0,9309",,,,,"8,6000%",N/A,1
2018-01-01,TBOF11,"76,75",5967.0,"R$ 0,1475","0,1994%","0,6535%","1,5301%","3,7672%","0,2178%","0,2550%","0,3139%","3,4206%","3,4242%","3,6304%","19,7475%","R$ 639.435.531,6300","R$ 63,6254","1,2063","0,2319%","0,0360%","0,2679%","4,5788%","56,2000%",N/A,1
2018-01-01,VLOL11,"88,50",1655.0,"R$ 0,3643","0,4212%","1,3194%","2,7230%","5,7674%","0,4398%","0,4538%","0,4806%","5,7674%","-4,9451%","-4,5447%","21,8670%","R$ 145.862.209,0600","R$ 81,7234","1,0829","0,4704%","-0,0476%","0,4225%","5,4604%","11,2100%",N/A,1
2018-01-01,AGCX11,"1.300,00",244.0,"R$ 8,4400","0,6741%","1,8813%","3,7462%","7,7581%","0,6271%","0,6244%","0,6465%","7,7581%","0,8952%","1,5753%","5,9828%","R$ 432.375.155,7700","R$ 1.067,5930","1,2177","0,6969%","-1,3427%","-0,6551%","7,3004%",N/A,N/A,41
2018-01-01,BBVJ11,"61,00",1241.0,"R$ 0,4000","0,6656%","0,7660%","1,4363%","4,1236%","0,2553%","0,2394%","0,3436%","4,1236%","4,3403%","5,0347%","14,7892%","R$ 207.668.605,8700","R$ 76,6305","0,7960","0,0391%","-0,0136%","0,0255%","3,1693%","49,2900%",N/A,1
2018-01-01,BMLC11B,"83,69",754.0,"R$ 0,5715","0,6816%","1,6407%","3,5754%","6,9657%","0,5469%","0,5959%","0,5805%","6,2517%","0,4192%","1,1036%","3,6591%","R$ 104.011.658,4400","R$ 104,1778","0,8033","0,5486%","0,0237%","0,5724%","5,4997%","16,1000%",N/A,2
2018-01-01,BPFF11,"98,15",1691.0,"R$ 0,7200","0,7392%","2,1087%","4,2431%","8,7274%","0,7029%","0,7072%","0,7273%","8,7274%","-0,3071%","0,4299%","30,0800%","R$ 191.343.872,3400","R$ 95,6719","1,0259","0,7003%","-0,5043%","0,1925%","17,0341%",N/A,N/A,0
2018-01-01,CXCE11B,"2.385,00",7.0,"R$ 17,8714","0,7416%","2,1992%","4,4873%","9,1820%","0,7331%","0,7479%","0,7652%","9,1820%","0,3953%","1,1398%","11,7874%","R$ 155.123.684,9300","R$ 2.263,9844","1,0535","0,7889%","0,0376%","0,8269%","9,6337%",N/A,N/A,1
2018-01-01,CXTL11,"575,00",31.0,"R$ 1,1623","0,1937%","1,0772%","2,0537%","6,6981%","0,3591%","0,3423%","0,5582%","6,6981%","5,2632%","5,4671%","18,8195%","R$ 53.441.139,1900","R$ 997,0920","0,5767","0,0588%","0,0037%","0,0625%","3,9949%",N/A,N/A,0
2018-01-01,CTXT11,"4,30",11146.0,"R$ 0,0344","0,8004%","2,1793%","4,4779%","9,4042%","0,7264%","0,7463%","0,7837%","9,4042%","-16,0156%","-15,3434%","24,4015%","R$ 124.956.858,4900","R$ 3,4405","1,2498","1,0003%","1,2132%","2,2256%","13,8090%","5,2000%",N/A,1
2018-01-01,FLMA11,"2,77",13684.0,"R$ 0,0106","0,4046%","1,3997%","2,9153%","6,1698%","0,4666%","0,4859%","0,5141%","5,5377%","9,6234%","10,0669%","23,6738%","R$ 183.445.883,0200","R$ 2,6573","1,0424","0,3989%","0,0469%","0,4460%","4,8691%",N/A,N/A,1
2018-01-01,EDFO11B,"270,01",43.0,"R$ 1,6863","0,5817%","1,8091%","3,7838%","7,6181%","0,6030%","0,6306%","0,6348%","7,6181%","4,2806%","4,8872%","15,2827%","R$ 37.800.520,7300","R$ 160,1717","1,6858","1,0814%","0,0145%","1,0961%","13,3665%",N/A,N/A,1
2018-01-01,EURO11,"193,98",131.0,"R$ 1,2500","0,6410%","1,7456%","3,0600%","5,5135%","0,5819%","0,5100%","0,4595%","5,5135%","-2,5000%","-1,8750%","7,0300%","R$ 120.755.344,1900","R$ 314,5195","0,6168","0,3974%","-0,0510%","0,3462%","-2,2318%","0,0000%",N/A,6
2018-01-01,FIGS11,"92,28",7322.0,"R$ 0,8333","0,9023%","2,7210%","5,8293%","13,1129%","0,9070%","0,9716%","1,0927%","13,1129%","-0,1514%","0,7495%","51,3555%","R$ 228.127.456,7600","R$ 88,0291","1,0483","0,9467%","-0,1210%","0,8245%","9,5871%",N/A,N/A,2
2018-01-01,ABCP11,"15,99",185529.0,"R$ 0,0800","0,4972%","1,5004%","2,8891%","6,3433%","0,5001%","0,4815%","0,5286%","6,3433%","-1,1671%","-0,6757%","38,9152%","R$ 683.066.970,4900","R$ 11,1943","1,4284","0,7146%","0,0604%","0,7755%","8,0886%","1,0000%",N/A,1
2018-01-01,GWIR11,"239,00",32.0,"R$ 1,2200","0,5816%","1,6789%","3,2695%","6,4337%","0,5596%","0,5449%","0,5361%","5,1441%","-0,1000%","0,4810%","-13,4024%","R$ 79.785.631,6600","R$ 208,8536","1,1443",,,,,N/A,N/A,0
2018-01-01,FIIB11,"392,00",544.0,"R$ 2,4000","0,6068%","1,8227%","3,7073%","7,6907%","0,6076%","0,6179%","0,6409%","6,9444%","0,8903%","1,5026%","21,9952%","R$ 244.963.992,1000","R$ 357,6117","1,0962","0,6711%","0,0235%","0,6948%","10,3142%","6,9800%",N/A,1
2018-01-01,FMOF11,"108,00",28.0,"R$ 0,4600","0,4182%","0,8597%","1,5154%","2,8858%","0,2866%","0,2526%","0,2405%","2,8858%","2,7944%","3,2243%","6,8833%","R$ 67.459.433,9900","R$ 132,7921","0,8133","0,1506%","0,0240%","0,1746%","1,8277%","47,8000%",N/A,1
