Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2021-05-19,RBED11,Outros,"R$ 147,30",2679.0,"R$ 1,03","0,72%","2,12%","4,07%","7,74%","0,71%","0,68%","0,64%","2,77%","-1,70%","-0,99%","-4,88%","R$ 303.972.517,73","R$ 150,36","0,98",N/A,N/A,N/A,N/A,"0,00%",N/A,5
2021-05-19,HUSC11,Outros,"R$ 134,60",108.0,"R$ 0,73","0,54%","1,55%","2,99%","0,00%","0,52%","0,50%","0,00%","2,02%","-2,16%","-1,63%","-10,81%","R$ 103.229.708,91","R$ 129,91","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,HABT11,Títulos e Val. Mob.,"R$ 121,98",17669.0,"R$ 1,80","1,48%","3,74%","7,48%","12,62%","1,25%","1,25%","1,05%","4,73%","1,33%","2,82%","1,89%","R$ 544.212.285,98","R$ 100,55","1,21",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,HGFF11,Títulos e Val. Mob.,"R$ 88,27",13485.0,"R$ 0,55","0,61%","1,80%","3,90%","7,25%","0,60%","0,65%","0,60%","2,36%","-2,78%","-2,18%","-5,97%","R$ 277.011.967,82","R$ 96,74","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,JFLL11,Residencial,"R$ 95,08",805.0,"R$ 0,62","0,64%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,04%","2,92%","3,58%","-1,52%","R$ 145.080.526,29","R$ 96,68","0,98",N/A,N/A,N/A,N/A,"30,00%",N/A,2
2021-05-19,HGRU11,Híbrido,"R$ 119,33",59980.0,"R$ 0,68","0,56%","1,64%","3,25%","6,49%","0,55%","0,54%","0,54%","2,16%","-1,24%","-0,69%","-2,84%","R$ 2.170.969.775,73","R$ 117,95","1,01",N/A,N/A,N/A,N/A,"0,00%","0,00%",16
2021-05-19,HSML11,Shoppings,"R$ 90,15",21723.0,"R$ 0,22","0,24%","0,86%","2,41%","4,26%","0,29%","0,40%","0,36%","1,37%","2,33%","2,59%","-6,86%","R$ 1.538.207.779,51","R$ 97,47","0,92",N/A,N/A,N/A,N/A,"5,00%",N/A,5
2021-05-19,XPPR11,Outros,"R$ 64,00",29305.0,"R$ 0,48","0,71%","2,09%","4,06%","9,36%","0,70%","0,68%","0,78%","2,69%","-1,46%","-0,76%","-13,99%","R$ 638.005.453,29","R$ 87,20","0,73",N/A,N/A,N/A,N/A,"39,00%",N/A,4
2021-05-19,SDIL11,Logística,"R$ 95,25",8901.0,"R$ 0,60","0,61%","1,79%","3,54%","6,55%","0,60%","0,59%","0,55%","2,36%","-0,90%","-0,30%","-2,73%","R$ 660.371.094,04","R$ 103,26","0,92",N/A,N/A,N/A,N/A,"13,30%",N/A,3
2021-05-19,RBRS11,Híbrido,"R$ 71,50",1006.0,"R$ 0,40","0,53%","1,48%","0,00%","0,00%","0,49%","0,00%","0,00%","1,91%","-6,38%","-5,87%","-17,96%","R$ 101.146.528,12","R$ 96,82","0,74",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,XPCI11,Outros,"R$ 98,99",42046.0,"R$ 0,90","0,90%","2,73%","5,06%","9,03%","0,91%","0,84%","0,75%","3,55%","3,67%","4,60%","6,63%","R$ 638.975.828,69","R$ 97,30","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,HGCR11,Títulos e Val. Mob.,"R$ 105,95",25232.0,"R$ 0,72","0,66%","1,88%","3,71%","6,62%","0,63%","0,62%","0,55%","2,48%","0,95%","1,61%","8,16%","R$ 1.295.499.170,54","R$ 104,71","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,BRCO11,Logística,"R$ 108,36",26956.0,"R$ 0,54","0,49%","1,45%","2,87%","5,54%","0,48%","0,48%","0,46%","1,94%","-0,64%","-0,15%","-0,83%","R$ 1.602.722.548,57","R$ 108,45","1,00",N/A,N/A,N/A,N/A,"5,90%",N/A,10
2021-05-19,VIFI11,Títulos e Val. Mob.,"R$ 88,97",2465.0,"R$ 0,60","0,68%","2,00%","3,89%","0,00%","0,67%","0,65%","0,00%","2,64%","0,68%","1,36%","-2,84%","R$ 281.745.468,49","R$ 100,18","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,BCIA11,Títulos e Val. Mob.,"R$ 99,90",5195.0,"R$ 0,64","0,63%","1,84%","3,55%","6,45%","0,61%","0,59%","0,54%","2,41%","-3,24%","-2,63%","-8,06%","R$ 418.706.535,03","R$ 112,58","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,ARRI11,Títulos e Val. Mob.,"R$ 104,50",4462.0,"R$ 1,05","0,92%","3,16%","6,14%","9,89%","1,05%","1,02%","0,82%","4,42%","13,42%","14,46%","24,50%","R$ 37.849.119,31","R$ 96,46","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,VINO11,Lajes Corporativas,"R$ 60,01",49680.0,"R$ 0,45","0,74%","2,19%","4,14%","7,92%","0,73%","0,69%","0,66%","2,90%","-1,42%","-0,70%","-1,72%","R$ 760.704.358,28","R$ 60,02","1,00",N/A,N/A,N/A,N/A,"3,70%",N/A,9
2021-05-19,JPPA11,Títulos e Val. Mob.,"R$ 99,20",142.0,"R$ 1,05","1,04%","2,95%","5,08%","0,00%","0,98%","0,85%","0,00%","3,70%","1,30%","2,35%","5,68%","R$ 62.499.676,06","R$ 103,48","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,VILG11,Logística,"R$ 119,90",39305.0,"R$ 0,50","0,42%","1,29%","2,74%","5,35%","0,43%","0,46%","0,45%","1,79%","-0,08%","0,35%","-0,81%","R$ 1.717.681.134,13","R$ 114,53","1,05",N/A,N/A,N/A,N/A,"0,40%",N/A,14
2021-05-19,VISC11,Shoppings,"R$ 109,67",26108.0,"R$ 0,25","0,22%","0,87%","2,25%","3,50%","0,29%","0,37%","0,29%","1,38%","1,51%","1,74%","-2,78%","R$ 1.703.769.909,71","R$ 119,39","0,92",N/A,N/A,N/A,N/A,"8,50%",N/A,15
2021-05-19,RBFF11,Títulos e Val. Mob.,"R$ 68,60",12046.0,"R$ 0,50","0,74%","1,98%","4,12%","8,24%","0,66%","0,69%","0,69%","2,65%","0,39%","1,13%","-7,08%","R$ 274.271.050,16","R$ 73,20","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,VOTS11,Títulos e Val. Mob.,"R$ 85,85",19.0,"R$ 0,52","0,61%","1,53%","2,84%","5,17%","0,51%","0,47%","0,43%","1,92%","0,65%","1,27%","6,95%","R$ 82.017.484,80","R$ 99,07","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,RRCI11,Títulos e Val. Mob.,"R$ 87,85",1110.0,"R$ 0,70","0,77%","2,22%","0,00%","0,00%","0,74%","0,00%","0,00%","2,22%","2,73%","3,52%","5,03%","R$ 46.239.188,51","R$ 95,98","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,VSHO11,Shoppings,"R$ 74,99",442.0,"R$ 0,10","0,14%","0,41%","0,87%","0,00%","0,14%","0,14%","0,00%","0,53%","4,52%","4,67%","-9,09%","R$ 211.859.538,12","R$ 100,94","0,74",N/A,N/A,N/A,N/A,"7,07%",N/A,3
2021-05-19,GTWR11,Lajes Corporativas,"R$ 106,40",11029.0,"R$ 0,67","0,62%","1,87%","3,70%","7,22%","0,62%","0,62%","0,60%","2,50%","1,37%","2,00%","2,56%","R$ 1.209.330.002,24","R$ 100,78","1,06",N/A,N/A,N/A,N/A,"0,00%","0,00%",1
2021-05-19,BBRC11,Outros,"R$ 117,50",1522.0,"R$ 0,94","0,80%","2,37%","4,43%","8,46%","0,79%","0,74%","0,70%","3,11%","-0,81%","-0,02%","-3,95%","R$ 182.730.068,76","R$ 114,92","1,02",N/A,N/A,N/A,N/A,"5,40%","2,10%",20
2021-05-19,SARE11,Híbrido,"R$ 99,27",10651.0,"R$ 0,64","0,63%","1,94%","2,99%","4,55%","0,65%","0,50%","0,38%","2,51%","3,64%","4,30%","8,39%","R$ 537.488.360,33","R$ 100,38","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,3
2021-05-19,VLOL11,Lajes Corporativas,"R$ 97,16",542.0,"R$ 0,41","0,40%","1,26%","2,44%","5,27%","0,42%","0,41%","0,44%","1,65%","0,49%","0,89%","1,67%","R$ 172.912.556,68","R$ 96,88","1,00",N/A,N/A,N/A,N/A,"4,00%",N/A,1
2021-05-19,TRXF11,Outros,"R$ 107,58",19837.0,"R$ 0,70","0,65%","1,93%","3,96%","7,43%","0,64%","0,66%","0,62%","2,58%","0,00%","0,65%","3,48%","R$ 594.641.041,38","R$ 105,40","1,02",N/A,N/A,N/A,N/A,"0,00%",N/A,44
2021-05-19,AFCR11,Híbrido,"R$ 112,99",824.0,"R$ 1,07","0,93%","2,75%","5,25%","0,00%","0,92%","0,87%","0,00%","3,58%","-1,24%","-0,32%","4,08%","R$ 123.444.882,79","R$ 103,97","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,RBGS11,Shoppings,"R$ 38,70",797.0,"R$ 0,08","0,20%","0,90%","0,00%","0,00%","0,30%","0,00%","0,00%","1,85%","1,53%","1,74%","-5,17%","R$ 98.419.602,49","R$ 91,30","0,42",N/A,N/A,N/A,N/A,"11,50%",N/A,1
2021-05-19,HOSI11,Híbrido,"R$ 80,00",91.0,"R$ 0,55","0,69%","2,05%","3,85%","5,17%","0,68%","0,64%","0,43%","2,71%","-1,16%","-0,48%","-3,63%","R$ 53.020.719,64","R$ 92,46","0,87",N/A,N/A,N/A,N/A,N/A,N/A,2
2021-05-19,RBRD11,Híbrido,"R$ 62,25",530.0,"R$ 0,02","0,02%","0,06%","0,27%","21,85%","0,02%","0,05%","1,82%","0,13%","20,22%","20,25%","-2,58%","R$ 131.842.763,02","R$ 71,20","0,87",N/A,N/A,N/A,N/A,"31,72%",N/A,4
2021-05-19,FATN11,Híbrido,"R$ 102,99",11.0,"R$ 0,67","0,65%","1,97%","3,71%","6,70%","0,66%","0,62%","0,56%","2,59%","4,51%","5,19%","4,99%","R$ 57.643.273,62","R$ 100,31","1,03",N/A,N/A,N/A,N/A,"0,00%",N/A,7
2021-05-19,BLMR11,Títulos e Val. Mob.,"R$ 85,95",8404.0,"R$ 0,65","0,75%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,85%","-2,93%","-2,21%","-2,71%","R$ 243.570.258,22","R$ 95,36","0,90",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,DRIT11B,Lajes Corporativas,"R$ 123,00",2.0,"R$ 0,25","0,22%","0,77%","0,00%","0,00%","0,26%","0,00%","0,00%","1,00%","-6,25%","-6,04%","-12,72%","R$ 60.814.190,33","R$ 131,27","0,94",N/A,N/A,N/A,N/A,"23,72%",N/A,6
2021-05-19,FLMA11,Híbrido,"R$ 2,94",43186.0,"R$ 0,01","0,23%","1,09%","1,99%","3,12%","0,36%","0,33%","0,26%","1,43%","4,76%","5,01%","-3,29%","R$ 214.749.677,44","R$ 3,11","0,95",N/A,N/A,N/A,N/A,"6,00%",N/A,2
2021-05-19,RBLG11,Logística,"R$ 108,00",9.0,"R$ 0,34","0,31%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,31%","0,00%","0,31%","0,31%","R$ 73.209.362,34","R$ 114,35","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,QAGR11,Outros,"R$ 52,60",9968.0,"R$ 0,40","0,73%","2,34%","3,79%","6,07%","0,78%","0,63%","0,51%","2,34%","1,83%","2,58%","3,02%","R$ 294.818.807,16","R$ 58,50","0,90",N/A,N/A,N/A,N/A,N/A,N/A,12
2021-05-19,CRFF11,Títulos e Val. Mob.,"R$ 73,00",278.0,"R$ 0,50","0,64%","1,85%","3,38%","6,49%","0,62%","0,56%","0,54%","2,39%","-3,70%","-3,09%","-3,17%","R$ 64.240.883,51","R$ 93,10","0,78",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,CXRI11,Híbrido,"R$ 90,27",1149.0,"R$ 0,60","0,62%","1,80%","3,34%","7,20%","0,60%","0,56%","0,60%","2,33%","-4,44%","-3,85%","-12,45%","R$ 149.288.120,75","R$ 94,74","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,GGRC11,Logística,"R$ 119,20",15874.0,"R$ 0,64","0,52%","1,49%","3,23%","6,21%","0,50%","0,54%","0,52%","2,18%","-2,47%","-1,96%","-11,61%","R$ 965.982.178,86","R$ 124,51","0,96",N/A,N/A,N/A,N/A,"0,00%","0,00%",15
2021-05-19,RBBV11,Títulos e Val. Mob.,"R$ 98,18",734.0,"R$ 1,01","1,03%","2,33%","5,84%","0,00%","0,78%","0,97%","0,00%","3,79%","0,73%","1,77%","3,67%","R$ 126.592.088,63","R$ 100,94","0,97",N/A,N/A,N/A,N/A,N/A,N/A,1
2021-05-19,BREV11,Híbrido,"R$ 106,07",2.0,"R$ 0,42","0,39%","1,16%","2,26%","0,00%","0,39%","0,38%","0,00%","1,41%","-1,17%","-0,78%","-5,82%","R$ 98.928.504,28","R$ 106,00","1,00",N/A,N/A,N/A,N/A,"21,00%",N/A,12
2021-05-19,RCRB11,Lajes Corporativas,"R$ 137,22",12309.0,"R$ 0,80","0,51%","1,54%","3,02%","6,32%","0,51%","0,50%","0,53%","2,50%","1,23%","1,75%","-3,19%","R$ 726.269.330,15","R$ 196,78","0,70",N/A,N/A,N/A,N/A,"7,40%",N/A,10
2021-05-19,ONEF11,Lajes Corporativas,"R$ 140,02",193.0,"R$ 0,64","0,46%","1,35%","0,00%","0,00%","0,45%","0,00%","0,00%","2,23%","0,86%","1,32%","-2,25%","R$ 146.231.574,63","R$ 160,52","0,87",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2021-05-19,MBRF11,Outros,"R$ 856,00",104.0,"R$ 7,15","0,82%","2,53%","0,00%","0,00%","0,84%","0,00%","0,00%","3,96%","10,71%","11,62%","-8,93%","R$ 115.970.743,21","R$ 1.140,73","0,75",N/A,N/A,N/A,N/A,"0,00%",N/A,2
2021-05-19,CARE11,Híbrido,"R$ 0,73",102092.0,"R$ 0,00","0,23%","0,48%","0,48%","2,05%","0,16%","0,08%","0,17%","0,48%","32,73%","33,03%","3,32%","R$ 288.700.842,07","R$ 1,61","0,45",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,MAXR11,Outros,"R$ 94,70",452.0,"R$ 0,57","0,57%","1,84%","3,62%","7,39%","0,61%","0,60%","0,62%","1,84%","-94,65%","-94,62%","-94,59%","R$ 132.901.773,12","R$ 2.243,26","0,04",N/A,N/A,N/A,N/A,"0,00%",N/A,8
2021-05-19,BRCR11,Híbrido,"R$ 82,57",33334.0,"R$ 0,46","0,54%","1,65%","3,32%","6,28%","0,55%","0,55%","0,52%","1,65%","0,26%","0,80%","1,35%","R$ 2.860.888.100,33","R$ 107,40","0,77",N/A,N/A,N/A,N/A,"21,40%","9,60%",14
2021-05-19,JRDM11,Shoppings,"R$ 68,59",2803.0,"R$ 0,28","0,41%","1,36%","2,04%","2,40%","0,45%","0,34%","0,20%","1,36%","1,59%","2,01%","5,90%","R$ 219.941.991,15","R$ 87,18","0,79",N/A,N/A,N/A,N/A,"3,77%",N/A,1
2021-05-19,SEQR11,Outros,"R$ 88,05",1688.0,"R$ 0,67","0,75%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,48%","-2,26%","-1,53%","-0,80%","R$ 154.642.234,38","R$ 104,34","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,NCHB11,Títulos e Val. Mob.,"R$ 95,44",6670.0,"R$ 0,65","0,66%","2,28%","5,84%","6,75%","0,76%","0,97%","0,56%","3,46%","-4,47%","-3,83%","-3,46%","R$ 134.566.700,42","R$ 93,32","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,THRA11,Lajes Corporativas,"R$ 138,52",465.0,"R$ 0,17","0,12%","0,56%","1,73%","4,46%","0,19%","0,29%","0,37%","0,89%","2,22%","2,35%","5,47%","R$ 167.820.778,54","R$ 113,95","1,22",N/A,N/A,N/A,N/A,"9,81%",N/A,1
2021-05-19,TORD11,Outros,"R$ 10,44",217803.0,"R$ 0,10","0,95%","2,52%","6,17%","12,04%","0,84%","1,03%","1,00%","3,85%","-10,87%","-10,02%","-9,00%","R$ 280.232.076,11","R$ 10,41","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,BCFF11,Títulos e Val. Mob.,"R$ 86,88",48827.0,"R$ 0,50","0,57%","1,85%","3,60%","6,55%","0,62%","0,60%","0,55%","2,45%","2,23%","2,82%","-3,07%","R$ 2.130.516.253,11","R$ 84,48","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,CEOC11,Lajes Corporativas,"R$ 68,80",1978.0,"R$ 0,44","0,62%","1,91%","3,87%","7,37%","0,64%","0,64%","0,61%","2,55%","-0,94%","-0,33%","0,86%","R$ 157.247.974,49","R$ 86,60","0,79",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2021-05-19,FAED11,Outros,"R$ 154,11",861.0,"R$ 1,11","0,69%","2,03%","3,98%","7,58%","0,68%","0,66%","0,63%","2,72%","-7,05%","-6,41%","-15,63%","R$ 137.337.148,14","R$ 213,86","0,72",N/A,N/A,N/A,N/A,"0,00%",N/A,3
2021-05-19,HCTR11,Outros,"R$ 134,00",110968.0,"R$ 2,00","1,41%","4,07%","8,89%","16,49%","1,36%","1,48%","1,37%","5,50%","-5,06%","-3,72%","-3,32%","R$ 1.191.772.877,57","R$ 116,67","1,15",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,DEVA11,Títulos e Val. Mob.,"R$ 105,06",132413.0,"R$ 1,37","1,25%","3,63%","0,00%","0,00%","1,21%","0,00%","0,00%","4,98%","-5,98%","-4,81%","-19,73%","R$ 631.222.402,69","R$ 98,82","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,RBRL11,Logística,"R$ 107,81",8110.0,"R$ 0,64","0,59%","1,75%","3,52%","7,17%","0,58%","0,59%","0,60%","2,30%","1,59%","2,19%","3,28%","R$ 607.030.845,85","R$ 107,18","1,01",N/A,N/A,N/A,N/A,"0,00%","0,00%",6
2021-05-19,RBRP11,Outros,"R$ 88,71",52698.0,"R$ 0,30","0,33%","1,45%","3,15%","6,62%","0,48%","0,53%","0,55%","1,98%","-0,98%","-0,65%","-5,48%","R$ 1.062.752.449,92","R$ 87,26","1,02",N/A,N/A,N/A,N/A,"10,00%","14,00%",15
2021-05-19,MGFF11,Títulos e Val. Mob.,"R$ 83,39",18021.0,"R$ 0,60","0,70%","2,19%","4,22%","7,72%","0,73%","0,70%","0,64%","2,94%","-2,06%","-1,37%","1,38%","R$ 779.807.430,42","R$ 86,16","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-05-19,BMLC11,Lajes Corporativas,"R$ 90,52",201.0,"R$ 0,53","0,58%","1,65%","3,65%","7,28%","0,55%","0,61%","0,61%","2,23%","-1,38%","-0,81%","-1,76%","R$ 106.668.736,54","R$ 106,84","0,85",N/A,N/A,N/A,N/A,"5,40%",N/A,2
2021-05-19,RELG11,Híbrido,"R$ 98,07",1043.0,"R$ 0,70","0,69%","2,31%","0,00%","0,00%","0,77%","0,00%","0,00%","2,96%","1,91%","2,61%","6,76%","R$ 108.815.496,26","R$ 96,59","1,02",N/A,N/A,N/A,N/A,"15,50%","15,50%",3
2021-05-19,RECT11,Híbrido,"R$ 78,01",39825.0,"R$ 0,60","0,76%","2,26%","4,51%","9,17%","0,75%","0,75%","0,76%","3,01%","-10,29%","-9,61%","-15,03%","R$ 763.274.448,24","R$ 93,32","0,84",N/A,N/A,N/A,N/A,"31,40%",N/A,8
2021-05-19,RECR11,Títulos e Val. Mob.,"R$ 104,72",84348.0,"R$ 1,10","1,00%","2,80%","6,73%","12,32%","0,93%","1,12%","1,03%","4,07%","0,84%","1,85%","2,27%","R$ 1.355.698.362,90","R$ 95,23","1,10",N/A,N/A,N/A,N/A,N/A,N/A,0
