Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-16,RBVO11,"61,00",423.0,"R$ 0,3500","0,5645%","1,6859%","5,2194%","8,2472%","0,5620%","0,8699%","0,6873%","1,6859%","-0,5135%","0,0481%","0,8818%","R$ 30.797.478,2900","R$ 59,7054","1,0217","0,5862%","0,6668%","1,2569%","2,5406%",N/A,N/A,0
2018-04-16,SAAG11,"136,15",7254.0,"R$ 0,8500","0,6184%","1,9109%","3,8219%","7,7627%","0,6370%","0,6370%","0,6469%","1,9109%","2,6129%","3,2475%","8,4313%","R$ 494.828.744,6200","R$ 87,8678","1,5495","0,9674%","0,0197%","0,9872%","2,9722%",N/A,N/A,28
2018-04-16,SDIL11,"99,94",2476.0,"R$ 0,6200","0,6048%","1,8263%","3,7193%","7,5869%","0,6088%","0,6199%","0,6322%","1,8263%","-1,4327%","-0,8365%","5,2885%","R$ 134.118.858,7600","R$ 93,2123","1,0722","0,6651%","0,0259%","0,6913%","2,0412%","14,2000%","13,0000%",1
2018-04-16,SPTW11,"79,56",2760.0,"R$ 0,5350","0,6903%","2,0865%","4,2472%","8,7570%","0,6955%","0,7079%","0,7298%","1,3671%","-1,9608%","-1,2840%","-0,6159%","R$ 133.267.020,4100","R$ 74,1196","1,0734",,,,,N/A,N/A,2
2018-04-16,XTED11,"20,09",6475.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 51.637.490,7200","R$ 28,8066","0,6974",,,,,"96,8000%","98,3000%",2
2018-04-16,TRXL11,"71,60",2386.0,"R$ 0,3349","0,4588%","1,3056%","2,6188%","5,3947%","0,4352%","0,4365%","0,4496%","1,3056%","-7,7817%","-7,3586%","-7,2986%","R$ 173.633.894,8700","R$ 105,2761","0,6801","0,3189%","0,1847%","0,5042%","0,8267%","50,7000%","40,5000%",6
2018-04-16,XPCM11,"98,41",3850.0,"R$ 0,7800","0,7919%","2,3797%","4,7556%","10,0305%","0,7932%","0,7926%","0,8359%","2,3797%","0,5102%","1,3061%","2,3986%","R$ 193.634.389,5700","R$ 80,1942","1,2271","0,9726%","-0,3225%","0,6470%","2,7303%","0,0000%","0,0000%",1
2018-04-16,KNIP11,"108,45",11566.0,"R$ 0,7500","0,6912%","2,1758%","4,1317%","7,4310%","0,7253%","0,6886%","0,6193%","2,1758%","-0,4587%","0,2294%","2,6837%","R$ 1.057.576.700,1300","R$ 104,5026","1,0378","0,7177%","1,1168%","1,8425%","3,3989%",N/A,N/A,0
2018-04-16,FAED11,"223,00",0.0,"R$ 1,4567","0,6560%","1,9709%","4,0301%","7,9499%","0,6570%","0,6717%","0,6625%","1,9709%","-0,1125%","0,5428%","0,6557%","R$ 103.280.368,2100","R$ 160,8308","1,3866","0,9057%","-0,0141%","0,8914%","2,7503%","0,0000%",N/A,3
2018-04-16,CNES11,"91,50",0.0,"R$ 0,3306","0,3633%","0,9093%","2,0272%","4,3921%","0,3031%","0,3379%","0,3660%","0,6159%","-9,4527%","-9,1238%","-8,8942%","R$ 306.583.344,7400","R$ 103,9531","0,8802",,,,,"45,5000%",N/A,1
