Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-16,VLOL11,"91,00",1337.0,"R$ 0,3959","0,4233%","1,0926%","2,4120%","5,3783%","0,3642%","0,4020%","0,4482%","1,0926%","3,9222%","4,3622%","5,0618%","R$ 132.619.921,3400","R$ 74,3040","1,2247","0,3831%","0,0561%","0,4394%","0,8691%","11,1900%",N/A,1
2018-04-16,AGCX11,"1.242,00",336.0,"R$ 7,2500","0,5768%","1,7119%","3,5932%","7,4127%","0,5706%","0,5989%","0,6177%","1,7119%","-1,7969%","-1,2305%","0,4432%","R$ 432.062.401,6300","R$ 1.066,8207","1,1642","0,6796%","0,0268%","0,7065%","2,0757%",N/A,N/A,41
2018-04-16,BBVJ11,"57,00",2572.0,"R$ 0,0000","0,0000%","0,6656%","1,0517%","3,3984%","0,2219%","0,1753%","0,2832%","0,0000%","-0,0167%","-0,0167%","-0,0167%","R$ 161.312.903,9300","R$ 59,5251","0,9576","0,0000%","-0,3951%","-0,3951%","-0,3951%","49,2900%",N/A,1
2018-04-16,BMLC11B,"80,00",452.0,"R$ 0,3344","0,4153%","1,2317%","3,2424%","6,5965%","0,4106%","0,5404%","0,5497%","1,2317%","-4,1086%","-3,7104%","-3,3142%","R$ 84.307.658,7800","R$ 84,4423","0,9474","0,3960%","0,0958%","0,4922%","1,3611%","32,7000%",N/A,2
2018-04-16,BPFF11,"104,51",2228.0,"R$ 0,6700","0,6233%","1,9136%","4,0223%","8,3550%","0,6379%","0,6704%","0,6963%","1,9136%","0,7592%","1,3872%","8,3246%","R$ 198.323.624,5900","R$ 99,1618","1,0539","0,6757%","1,2446%","1,9287%","3,2029%",N/A,N/A,0
2018-04-16,CXCE11B,"2.450,00",11.0,"R$ 17,8531","0,7387%","2,1775%","4,3767%","8,9984%","0,7258%","0,7295%","0,7499%","2,1775%","-3,3204%","-2,6063%","1,2300%","R$ 157.712.265,4100","R$ 2.301,7640","1,0644","0,7756%","0,0366%","0,8125%","2,4195%",N/A,N/A,1
2018-04-16,CXTL11,"565,01",23.0,"R$ 1,3933","0,2440%","0,5297%","1,6068%","4,5446%","0,1766%","0,2678%","0,3787%","0,5297%","0,1754%","0,4199%","0,3548%","R$ 51.885.337,0500","R$ 968,0642","0,5836","0,1439%","-0,0994%","0,0444%","0,3001%",N/A,N/A,4
2018-04-16,CTXT11,"4,20",19589.0,"R$ 0,0274","0,6667%","1,3782%","3,5574%","8,2285%","0,4594%","0,5929%","0,6857%","1,3782%","-1,6746%","-1,0191%","-7,4024%","R$ 124.778.962,9800","R$ 3,4356","1,2225","0,7975%","-0,0387%","0,7586%","2,0570%","5,2000%",N/A,1
2018-04-16,FLMA11,"2,67",11875.0,"R$ 0,0111","0,4157%","1,2052%","2,5031%","5,5920%","0,4017%","0,4172%","0,4660%","1,2052%","-0,3731%","0,0410%","5,1482%","R$ 183.608.026,7600","R$ 2,6597","1,0039","0,4173%","0,0797%","0,4974%","1,3343%",N/A,N/A,1
2018-04-16,EDFO11B,"308,12",40.0,"R$ 1,6545","0,5337%","1,7534%","3,5625%","7,4391%","0,5845%","0,5937%","0,6199%","1,7534%","5,0847%","5,6456%","12,6669%","R$ 42.033.209,0300","R$ 178,1068","1,7300","0,9795%","-0,0171%","0,9623%","1,9594%",N/A,N/A,1
2018-04-16,EURO11,"196,50",361.0,"R$ 1,0000","0,5025%","1,4976%","3,2432%","5,2242%","0,4992%","0,5405%","0,4353%","1,4976%","-1,4851%","-0,9901%","0,9975%","R$ 119.032.512,2800","R$ 310,0322","0,6338","0,3225%","0,0552%","0,3779%","1,1032%","11,8200%",N/A,6
2018-04-16,FIGS11,"97,06",7297.0,"R$ 0,8333","0,8530%","2,5939%","5,3149%","12,1165%","0,8646%","0,8858%","1,0097%","2,5939%","1,8026%","2,6710%","4,9803%","R$ 242.151.510,1700","R$ 93,4407","1,0387","0,8918%","-0,2857%","0,6035%","8,7540%",N/A,N/A,2
2018-04-16,ABCP11,"16,40",22332.0,"R$ 0,0800","0,4878%","1,6720%","3,1724%","5,9554%","0,5573%","0,5287%","0,4963%","1,6720%","-2,2063%","-1,7293%","-1,7342%","R$ 784.925.853,7000","R$ 12,8636","1,2749","0,6219%","0,0038%","0,6257%","2,2306%","1,6000%",N/A,1
2018-04-16,GWIR11,"227,05",10.0,"R$ 1,1300","0,5136%","1,9874%","3,7513%","6,8521%","0,6625%","0,6252%","0,5710%","1,1045%","-9,0909%","-8,6240%","-8,0840%","R$ 79.762.647,3000","R$ 208,7935","1,0874",,,,,N/A,N/A,0
2018-04-16,FIIB11,"401,00",1195.0,"R$ 2,4700","0,6024%","1,7386%","3,5613%","7,3908%","0,5795%","0,5935%","0,6159%","1,1739%","-2,3810%","-1,7929%","-1,2317%","R$ 266.625.668,0600","R$ 389,2346","1,0302",,,,,"4,7500%",N/A,1
2018-04-16,FMOF11,"108,00",62.0,"R$ 0,2700","0,2477%","0,6960%","1,5557%","2,9351%","0,2320%","0,2593%","0,2446%","0,6960%","-6,0264%","-5,7936%","-5,3708%","R$ 66.924.926,8600","R$ 131,7399","0,8198","0,2049%","0,0102%","0,2152%","0,6142%","47,8000%",N/A,1
2018-04-16,MBRF11,"1.100,10",119.0,"R$ 8,0000","0,7273%","2,2032%","2,9227%","7,4831%","0,7344%","0,4871%","0,6236%","2,2032%","2,1204%","2,8631%","3,0627%","R$ 116.122.631,7500","R$ 1.142,2198","0,9631","0,7004%","0,0140%","0,7145%","2,1423%","0,0000%",N/A,2
2018-04-16,PABY11,"25,45",42.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 181.333.745,9400","R$ 239,1004","0,1064",,,,,N/A,N/A,1
2018-04-16,FPAB11,"363,00",41.0,"R$ 1,9000","0,5234%","1,5822%","3,2181%","6,7176%","0,5274%","0,5364%","0,5598%","1,5822%","0,0276%","0,5511%","3,8799%","R$ 259.666.553,5900","R$ 346,2221","1,0485","0,5488%","0,1414%","0,6910%","1,9158%","6,5500%",N/A,1
2018-04-16,FFCI11,"179,48",2005.0,"R$ 0,8100","0,4500%","1,0553%","2,2920%","7,0580%","0,3518%","0,3820%","0,5882%","1,4564%","1,0668%","1,5216%","4,6622%","R$ 384.003.501,4000","R$ 176,9601","1,0142","0,2043%","0,0548%","0,2592%","1,0331%","7,5000%",N/A,8
2018-04-16,RNGO11,"93,60",4796.0,"R$ 0,5400","0,5696%","1,7247%","3,4249%","6,9925%","0,5749%","0,5708%","0,5827%","1,7247%","1,3904%","1,9679%","3,1491%","R$ 248.446.758,4800","R$ 92,8426","1,0082","0,5816%","-0,0156%","0,5660%","1,7732%","7,6000%",N/A,2
2018-04-16,SCPF11,"14,00",979.0,"R$ 0,0555","0,3906%","1,8500%","3,7075%","7,4204%","0,6167%","0,6179%","0,6184%","1,8500%","-11,1945%","-10,8477%","3,3154%","R$ 46.958.685,7800","R$ 11,1806","1,2522","0,4960%","0,2140%","0,7111%","2,6774%",N/A,N/A,1
2018-04-16,SHPH11,"1.068,00",88.0,"R$ 3,5500","0,3381%","1,2294%","2,3495%","4,6572%","0,4098%","0,3916%","0,3881%","1,2294%","0,9615%","1,3029%","6,2950%","R$ 424.478.394,6500","R$ 697,0661","1,5321","0,5093%","-4,9973%","-4,5134%","-3,6431%","1,7000%",N/A,1
