Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-11-01,AEFI11,Outros,"154,80",1623.0,"R$ 1,2200","0,8000%","2,6708%","5,0187%","9,3166%","0,8903%","0,8364%","0,7764%","7,8305%","14,2322%","15,1461%","-0,0723%","R$ 109.955.559,2300","R$ 146,1203","1,0594","0,8349%","0,0361%","0,8713%","6,6682%","0,0000%",N/A,2
2018-11-01,BCRI11,Títulos e Val. Mob.,"107,15",2433.0,"R$ 1,1600","1,0583%","2,7359%","4,9240%","8,5794%","0,9120%","0,8207%","0,7150%","7,3417%","4,2713%","5,3748%","10,2123%","R$ 121.240.528,0700","R$ 100,1987","1,0694","1,1577%","3,2572%","4,4526%","10,6290%",N/A,N/A,0
2018-11-01,BNFS11,Outros,"126,00",103.0,"R$ 0,8522","0,6851%","2,1726%","4,2977%","8,1534%","0,7242%","0,7163%","0,6794%","6,9458%","7,8838%","8,6229%","11,0875%","R$ 62.643.071,3700","R$ 89,4901","1,4080","0,9523%","0,0285%","0,9810%","9,7365%",N/A,N/A,18
2018-11-01,BBFI11B,Lajes Corporativas,"2.249,99",211.0,"R$ 23,8404","1,2887%","3,8975%","7,1060%","11,8670%","1,2992%","1,1843%","0,9889%","10,3077%","14,9075%","16,3882%","-31,4006%","R$ 350.821.427,7000","R$ 2.698,6264","0,8338","0,8834%","0,0466%","0,9305%","9,1916%",N/A,N/A,2
2018-11-01,BBPO11,Lajes Corporativas,"139,00",17448.0,"R$ 1,0249","0,7427%","2,3597%","4,5984%","8,7976%","0,7866%","0,7664%","0,7331%","7,2686%","8,9187%","9,7276%","3,3758%","R$ 1.646.213.639,4400","R$ 103,4074","1,3442","0,9911%","-0,0658%","0,9246%","18,7376%",N/A,N/A,64
2018-11-01,BBRC11,Outros,"140,32",948.0,"R$ 0,9000","0,6329%","1,9793%","3,9436%","7,3701%","0,6598%","0,6573%","0,6142%","6,1107%","7,4018%","8,0816%","1,7107%","R$ 155.161.276,7100","R$ 97,5857","1,4379","0,9223%","0,0676%","0,9905%","9,3755%",N/A,N/A,19
2018-11-01,RNDP11,Títulos e Val. Mob.,"940,01",47.0,"R$ 5,4301","0,5717%","1,6597%","3,3411%","6,7528%","0,5532%","0,5568%","0,5627%","5,6010%","0,9458%","1,5229%","10,3806%","R$ 114.589.624,0800","R$ 1.066,1384","0,8817","0,5093%","0,4286%","0,9401%","7,2901%",N/A,N/A,0
2018-11-01,BCIA11,Títulos e Val. Mob.,"104,05",283.0,"R$ 0,7000","0,6667%","1,8956%","3,7878%","7,2591%","0,6319%","0,6313%","0,6049%","6,0706%","-4,1008%","-3,4615%","-3,1675%","R$ 190.735.728,3100","R$ 112,8872","0,9217","0,6201%","4,8173%","5,4673%","-0,1284%",N/A,N/A,0
2018-11-01,CARE11,Híbrido,"1,80",47416.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 160.376.906,6700","R$ 1,4302","1,2586",,,,,N/A,N/A,0
2018-11-01,CXRI11,Híbrido,"990,00",26.0,"R$ 7,0000","0,7143%","2,1989%","4,3182%","8,3077%","0,7330%","0,7197%","0,6923%","6,8455%","4,2531%","4,9978%","-10,2490%","R$ 161.411.333,4400","R$ 1.024,3396","0,9665","0,6834%","3,5100%","4,2174%","0,2730%",N/A,N/A,0
2018-11-01,CPTS11B,Títulos e Val. Mob.,"101,81",1024.0,"R$ 0,8000","0,7760%","2,3567%","4,7210%","9,3122%","0,7856%","0,7868%","0,7760%","7,7253%","3,1829%","3,9836%","12,9174%","R$ 97.993.889,5500","R$ 97,7159","1,0419","0,8187%","2,2317%","3,0686%","7,1966%",N/A,N/A,0
2018-11-01,CBOP11,Lajes Corporativas,"71,62",872.0,"R$ 0,4700","0,6529%","2,0404%","4,0726%","7,7539%","0,6801%","0,6788%","0,6462%","6,4947%","7,1280%","7,8274%","-0,8974%","R$ 101.111.122,5100","R$ 71,4566","1,0023","0,6577%","-0,0022%","0,6555%","6,6169%","7,0000%",N/A,1
2018-11-01,ATSA11B,Shoppings,"1.049,99",13.0,"R$ 0,1000","0,0095%","0,1923%","0,5171%","1,2039%","0,0641%","0,0862%","0,1003%","0,9940%","-4,3716%","-4,3625%","-11,6272%","R$ 215.100.646,5400","R$ 125,4085","8,3726","0,0797%","-89,9947%","-89,9867%","-89,8682%","22,3000%",N/A,1
