Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
APXM11,Shoppings,"99,99","5.403,11","1,03","0,92","0,00 %","1,14 %","2,60 %","2,99 %","0,38 %","0,43 %","0,50 %","1,14 %","0,00 %","0,00 %",N/A,"170.725.350,75",N/A,N/A,N/A,N/A,2024-04-01
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %",2024-04-01
AROA11,Imóveis Industriais e Logísticos,"1,00","16.189,04","1,02","0,01","0,59 %","1,66 %","2,08 %","2,08 %","0,55 %","0,35 %","0,17 %","2,08 %","-8,77 %","-8,23 %","-25,01 %","164.945.638,95",N/A,N/A,N/A,N/A,2024-04-01
ARRI11,Papéis,"9,17","297.066,54","1,03","0,10","1,08 %","3,26 %","6,47 %","13,62 %","1,09 %","1,08 %","1,14 %","4,36 %","0,22 %","1,30 %","7,08 %","115.793.464,08","8,87","1,03","1,13 %","0,11 %",2024-04-01
ARXD11,Papéis,"95,58","26.232,39","0,97","1,00","1,05 %","3,14 %","6,23 %","6,23 %","1,05 %","1,04 %","0,57 %","4,17 %","-0,20 %","0,85 %","5,42 %","64.786.404,16",N/A,N/A,N/A,N/A,2024-04-01
ASMT11,Lajes Corporativas,"52,81","78.535,30","0,57","0,77","1,11 %","3,18 %","6,17 %","11,50 %","1,06 %","1,03 %","0,96 %","2,16 %","-5,50 %","-4,46 %","-5,89 %","93.458.320,21",N/A,N/A,N/A,N/A,2024-04-01
ASRF11,Indefinido,"10.092,00","30.276,00","1,02","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"23.695.206,68",N/A,N/A,N/A,N/A,2024-04-01
ATSA11,Shoppings,"57,85","2.646,25","0,76","0,05","0,00 %","0,13 %","0,19 %","0,99 %","0,04 %","0,03 %","0,08 %","0,13 %","0,00 %","0,00 %",N/A,"132.953.999,66","81,57","0,71","0,06 %","0,16 %",2024-04-01
AURB11,Imóveis Comerciais - Outros,"82,02","137,33","1,00","0,20","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"72.221.744,15",N/A,N/A,N/A,N/A,2024-04-01
BARI11,Papéis,"83,83","518.751,67","0,88","0,76","0,89 %","3,06 %","5,43 %","11,01 %","1,02 %","0,91 %","0,92 %","3,89 %","-0,58 %","0,30 %","10,58 %","439.973.838,72","94,94","0,88","1,01 %","-0,44 %",2024-04-01
BBFI11B,Lajes Corporativas,"1.257,17","244.037,29","0,61","84,19","6,29 %","7,06 %","9,12 %","13,87 %","2,35 %","1,52 %","1,16 %","7,67 %","6,02 %","12,69 %","29,49 %","266.198.222,55","2.047,68","0,61","0,40 %","-5,49 %",2024-04-01
BBFO11,Fundo de Fundos,"75,05","716.079,71","0,90","0,65","0,86 %","2,62 %","5,26 %","10,87 %","0,87 %","0,88 %","0,91 %","3,50 %","-0,16 %","0,70 %","10,05 %","334.145.654,33","83,46","0,90","0,81 %","2,12 %",2024-04-01
BBGO11,Indefinido,"85,70","499.266,88","0,87","0,91","1,05 %","3,14 %","5,73 %","13,53 %","1,05 %","0,96 %","1,13 %","4,44 %","-2,80 %","-1,78 %","5,41 %","392.957.113,47","98,11","0,87","0,97 %","0,18 %",2024-04-01
BBIM11,Papéis,N/A,N/A,N/A,"0,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"13.164.806,92","12,72",N/A,"0,16 %","-57,66 %",2024-04-01
BBPO11,Agências de Bancos,"96,75","1.815.419,70","1,03","0,97","0,91 %","2,78 %","5,65 %","11,32 %","0,93 %","0,94 %","0,94 %","3,71 %","3,26 %","4,20 %","17,55 %","1.613.190.000,65","101,33","0,95","0,96 %","0,82 %",2024-04-01
BBRC11,Agências de Bancos,"113,93","135.421,29","1,11","1,10","0,96 %","2,87 %","5,81 %","11,99 %","0,96 %","0,97 %","1,00 %","3,84 %","-0,51 %","0,44 %","3,44 %","163.205.656,55","102,65","1,11","1,07 %","-4,65 %",2024-04-01
BCFF11,Fundo de Fundos,"9,34","2.910.125,96","0,96","0,08","0,82 %","2,39 %","4,70 %","9,37 %","0,80 %","0,78 %","0,78 %","3,14 %","2,64 %","3,48 %","5,90 %","1.964.984.405,55","9,75","0,96","0,72 %","-86,81 %",2024-04-01
BCIA11,Fundo de Fundos,"107,28","1.091.951,33","0,96","0,87","0,82 %","2,40 %","4,92 %","9,94 %","0,80 %","0,82 %","0,83 %","3,22 %","-2,50 %","-1,70 %","9,23 %","414.468.755,68","111,45","0,96","0,76 %","11,16 %",2024-04-01
BCRI11,Papéis,"72,10","509.585,29","0,75","0,72","0,97 %","2,98 %","6,19 %","12,15 %","0,99 %","1,03 %","1,01 %","4,02 %","-0,80 %","0,16 %","11,64 %","600.047.698,39","95,89","0,75","0,82 %","-4,97 %",2024-04-01
BDIF11,Indefinido,"93,56","3.024.771,58",N/A,"1,00","1,07 %","3,23 %","6,84 %","14,80 %","1,08 %","1,14 %","1,23 %","3,23 %","1,28 %","2,36 %","4,94 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BDIV11,Indefinido,"133,29","1.012.764,67",N/A,"8,00","6,40 %","16,49 %","30,91 %","53,10 %","5,50 %","5,15 %","4,83 %","6,40 %","2,76 %","9,34 %","9,34 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BICE11,Fundo de Fundos,"980,00","1.960,00","0,98","5,99","0,61 %","0,61 %","1,93 %","4,52 %","0,20 %","0,32 %","0,38 %","1,29 %","0,00 %","0,00 %",N/A,"89.887.580,77","995,32","0,98","1,61 %","-0,15 %",2024-04-01
BICR11,Papéis,"52,99","1.831,04","1,19","0,23","0,41 %","0,64 %","39,54 %","41,97 %","0,21 %","6,59 %","3,50 %","0,64 %","-6,83 %","-6,45 %","-6,45 %","22.341.252,48","44,43","1,19","49,52 %","-55,27 %",2024-04-01
BIDB11,Indefinido,"92,50","622.565,17",N/A,"1,10","1,18 %","3,56 %","7,12 %","12,07 %","1,19 %","1,19 %","1,01 %","5,03 %","-0,84 %","0,33 %","12,20 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BIME11,Indefinido,"7,29","121.787,00","0,84","0,08","1,09 %","3,24 %","6,48 %","13,12 %","1,08 %","1,08 %","1,09 %","4,30 %","-0,68 %","0,41 %","4,23 %","50.955.212,69","8,72","0,84","0,92 %","-3,43 %",2024-04-01
BIPD11,Indefinido,"988,17","94.906,00","1,00","10,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.322.758,30",N/A,N/A,N/A,N/A,2024-04-01
BLCA11,Indefinido,"109,00","129.639,50","0,84","0,49","0,47 %","4,83 %","15,35 %","16,21 %","1,61 %","2,56 %","1,35 %","0,87 %","-14,97 %","-14,57 %","-10,67 %","207.187.639,93","129,49","0,84","0,38 %","-9,84 %",2024-04-01
BLCP11,Imóveis Industriais e Logísticos,"91,00","103.127,50","0,81","0,56","0,63 %","1,24 %","2,39 %","4,92 %","0,41 %","0,40 %","0,41 %","4,26 %","0,00 %","0,00 %",N/A,"256.580.339,90","111,74","0,81","0,50 %","-0,02 %",2024-04-01
BLMC11,Papéis,"85,75","150.671,33","0,91","5,34",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"37.827.096,12","94,69","0,91","1,13 %","-1,48 %",2024-04-01
BLMG11,Imóveis Industriais e Logísticos,"39,70","442.605,54","0,49","0,44","1,11 %","3,34 %","6,18 %","12,75 %","1,11 %","1,03 %","1,06 %","4,39 %","0,13 %","1,24 %","-16,52 %","344.608.658,61","80,90","0,49","0,54 %","-15,68 %",2024-04-01
BLMO11,Lajes Corporativas,"87,50","47.777,92","0,84","0,44","0,51 %","1,48 %","167,94 %","167,94 %","0,49 %","27,99 %","14,00 %","1,48 %","-3,31 %","-2,82 %","-3,32 %","103.902.099,20","104,44","0,84","0,42 %","-99,65 %",2024-04-01
BLMR11,Fundo de Fundos,"6,78","1.157.702,33","0,84","0,37",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"205.957.834,72","7,61","0,89","0,70 %","-1,68 %",2024-04-01
BLUR11,Papéis,"94,51","2.119,08","1,06","0,80","0,00 %","0,74 %","3,20 %","5,25 %","0,25 %","0,53 %","0,44 %","0,74 %","0,00 %","0,00 %",N/A,"8.019.195,29",N/A,N/A,N/A,N/A,2024-04-01
BMLC11,Lajes Corporativas,"103,53","23.018,35","0,92","0,69","0,67 %","2,01 %","4,21 %","11,36 %","0,67 %","0,70 %","0,95 %","2,75 %","-2,15 %","-1,49 %","0,39 %","112.763.038,18","112,94","0,92","0,65 %","-0,47 %",2024-04-01
BNFS11,Agências de Bancos,"122,00","85.389,33","1,44","1,42","1,16 %","3,29 %","6,56 %","14,00 %","1,10 %","1,09 %","1,17 %","4,32 %","0,26 %","1,43 %","3,90 %","59.276.424,35","84,68","1,44","1,59 %","-7,35 %",2024-04-01
BODB11,Indefinido,"9,39","1.500.095,92",N/A,"0,10","1,06 %","3,14 %","5,80 %","11,36 %","1,05 %","0,97 %","0,95 %","4,18 %","-2,68 %","-1,65 %","6,39 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BPFF11,Fundo de Fundos,"73,22","381.912,33","0,94","0,62","0,84 %","2,54 %","5,20 %","10,59 %","0,85 %","0,87 %","0,88 %","3,41 %","2,20 %","3,06 %","9,75 %","351.316.200,42","78,20","0,94","0,79 %","6,41 %",2024-04-01
BPLC11,Misto,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"322.705.239,47",N/A,N/A,N/A,N/A,2024-04-01
BPML11,Shoppings,"99,75","395.687,71","0,75","1,02","1,10 %","2,99 %","4,36 %","6,68 %","1,00 %","0,73 %","0,56 %","2,99 %","0,13 %","1,23 %","62,87 %","576.395.699,82","133,67","0,75","0,68 %","7,15 %",2024-04-01
BPRP11,Imóveis Industriais e Logísticos,"107,49","16.419,43","0,85","0,93","0,86 %","1,80 %","1,80 %","4,49 %","0,60 %","0,30 %","0,37 %","1,80 %","9,12 %","10,05 %","10,05 %","169.766.516,08",N/A,N/A,N/A,N/A,2024-04-01
BRCO11,Imóveis Industriais e Logísticos,"121,60","2.698.141,50","1,01","0,87","0,71 %","2,12 %","4,46 %","8,62 %","0,71 %","0,74 %","0,72 %","2,92 %","-0,22 %","0,49 %","6,54 %","1.772.732.042,78","119,95","1,01","0,73 %","-1,26 %",2024-04-01
BRCR11,Lajes Corporativas,"56,52","1.827.189,04","0,57","0,50","0,88 %","2,25 %","4,36 %","8,56 %","0,75 %","0,73 %","0,71 %","2,93 %","-5,77 %","-4,94 %","-3,01 %","2.647.452.932,39","99,39","0,57","0,41 %","-0,67 %",2024-04-01
BREV11,Lajes Corporativas,"105,00","271.522,64","0,89","0,58","0,55 %","1,68 %","3,67 %","10,82 %","0,56 %","0,61 %","0,90 %","10,03 %","0,32 %","0,87 %","22,08 %","113.864.559,59",N/A,N/A,"0,00 %","-100,00 %",2024-04-01
BRIM11,Fundo de Desenvolvimento,"1.400,00","3.581,47","1,40","63,42","5,77 %","5,77 %","5,77 %","5,77 %","1,92 %","0,96 %","0,48 %","5,77 %","0,00 %","0,00 %",N/A,"123.830.049,15",N/A,N/A,N/A,N/A,2024-04-01
BRIP11,Fundo de Desenvolvimento,"986,96","223.669,13","0,91","28,00","0,00 %","0,70 %","0,70 %","10,30 %","0,23 %","0,12 %","1,14 %","0,70 %","0,00 %","0,00 %",N/A,"232.904.677,60",N/A,N/A,N/A,N/A,2024-04-01
BRLA11,Imóveis Industriais e Logísticos,"155,00","316.783,33","0,98","1,12","0,00 %","0,00 %","0,00 %","2,30 %","0,00 %","0,00 %","0,19 %","0,00 %","0,00 %","0,00 %",N/A,"562.905.238,17","158,63","0,98","0,71 %","0,41 %",2024-04-01
BROF11,Lajes Corporativas,"61,02","768.035,58","0,57","0,54","0,92 %","2,84 %","5,54 %","9,94 %","0,95 %","0,92 %","0,99 %","2,84 %","-0,10 %","0,82 %","4,73 %","1.244.218.299,24",N/A,N/A,N/A,N/A,2024-04-01
BRZP11,N/A,"108,21","846.394,08",N/A,"0,47","0,45 %","1,46 %","3,03 %","5,92 %","0,49 %","0,51 %","0,49 %","1,98 %","11,16 %","11,66 %","19,41 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BTAG11,Indefinido,"99,49","797.077,29",N/A,"1,20","1,21 %","3,65 %","7,58 %","16,17 %","1,22 %","1,26 %","1,35 %","3,65 %","-0,57 %","0,63 %","4,90 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
BTAL11,Imóveis Industriais e Logísticos,"70,00","774.206,96","0,66","0,65","0,90 %","2,64 %","5,18 %","10,10 %","0,88 %","0,86 %","0,84 %","2,64 %","-0,83 %","0,06 %","0,57 %","631.827.777,60","105,61","0,66","0,62 %","0,52 %",2024-04-01
BTCI11,Papéis,"10,39","2.767.424,92","1,01","0,09","0,89 %","2,68 %","5,61 %","12,07 %","0,89 %","0,94 %","1,01 %","3,62 %","1,07 %","1,97 %","11,30 %","1.021.447.516,45",N/A,N/A,N/A,N/A,2024-04-01
BTCR11,Papéis,"88,00","652.774,65","0,92","0,90","0,98 %","2,90 %","6,61 %","13,52 %","0,97 %","1,10 %","1,13 %","12,53 %","-5,96 %","-5,04 %","14,54 %","458.252.683,73","95,27","0,92","0,94 %","0,64 %",2024-04-01
BTHI11,Hotéis,"44,59","18.919,33","0,71","0,23","0,50 %","1,80 %","4,63 %","114,91 %","0,60 %","0,77 %","9,58 %","2,75 %","1,98 %","2,49 %","2,25 %","581.300.390,98",N/A,N/A,N/A,N/A,2024-04-01
BTLG11,Imóveis Industriais e Logísticos,"107,14","18.025.760,25","1,08","0,76","0,73 %","2,27 %","4,53 %","8,99 %","0,76 %","0,76 %","0,75 %","2,27 %","1,80 %","2,54 %","6,22 %","4.295.723.515,37","99,33","1,08","0,79 %","0,57 %",2024-04-01
BTML11,Lajes Corporativas,N/A,N/A,N/A,"2,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.452.817,05",N/A,N/A,N/A,N/A,2024-04-01
BTRA11,Indefinido,"57,19","601.661,50","0,52","0,30","0,52 %","3,77 %","6,14 %","11,19 %","1,26 %","1,02 %","0,93 %","4,29 %","2,93 %","3,46 %","1,54 %","371.391.439,55","122,43","0,47","1,22 %","-11,73 %",2024-04-01
BTSG11,Imóveis Industriais e Logísticos,"139,08","139,00","0,96","0,92","0,00 %","0,65 %","1,31 %","2,17 %","0,22 %","0,22 %","0,18 %","0,65 %","0,00 %","0,00 %",N/A,"112.571.992,54","145,25","0,96","0,62 %","5,52 %",2024-04-01
BTSI11,Misto,"105,50","105,00","0,97","0,74","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"296.079.826,05",N/A,N/A,N/A,N/A,2024-04-01
BTWR11,Fundo de Desenvolvimento,"111,00","108,67","0,99","0,61","0,00 %","0,00 %","0,55 %","0,55 %","0,00 %","0,09 %","0,05 %","0,00 %","0,00 %","0,00 %",N/A,"90.367.068,22","111,66","0,99","0,51 %","-0,31 %",2024-04-01
BZEL11,Misto,N/A,N/A,N/A,"0,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"507.088.799,04",N/A,N/A,N/A,N/A,2024-04-01
CACR11,Papéis,"103,40","1.253.241,58","1,02","1,37","1,32 %","3,92 %","8,08 %","16,47 %","1,31 %","1,35 %","1,37 %","5,36 %","0,82 %","2,15 %","7,12 %","386.242.675,45","101,01","1,02","1,34 %","-2,43 %",2024-04-01
CARE11,Misto,"2,14","15.228,63","0,26","0,01","0,23 %","0,67 %","1,36 %","2,92 %","0,22 %","0,23 %","0,32 %","1,36 %","-2,63 %","-2,41 %","-7,39 %","295.639.627,20","1,60","1,33","0,10 %","-0,24 %",2024-04-01
CBOP11,Lajes Corporativas,"29,13","10.963,00","0,41","0,12","0,41 %","1,19 %","2,34 %","4,39 %","0,40 %","0,39 %","0,37 %","1,57 %","-4,33 %","-3,93 %","-4,65 %","101.467.535,66","71,71","0,41","0,17 %","-2,86 %",2024-04-01
CCME11,Indefinido,"11,02","32.580,25","1,03","0,09","0,82 %","17,44 %","34,06 %","42,29 %","5,81 %","5,68 %","3,52 %","17,44 %","0,92 %","1,75 %","19,91 %","587.168.838,37",N/A,N/A,N/A,N/A,2024-04-01
CCRF11,Papéis,"92,50","1.276,82","0,99","3,50",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"146.548.498,31","93,23","0,99","3,76 %","-2,86 %",2024-04-01
CDII11,Indefinido,"109,64","2.877.034,42",N/A,"2,70","2,45 %","4,71 %","8,00 %","15,88 %","1,57 %","1,33 %","1,59 %","5,76 %","0,36 %","2,81 %","9,42 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
CEOC11,Lajes Corporativas,"46,17","44.616,25","0,63","0,43","0,93 %","2,73 %","5,65 %","11,71 %","0,91 %","0,94 %","0,98 %","3,74 %","-1,75 %","-0,83 %","5,95 %","132.323.277,19","72,88","0,63","0,59 %","-7,51 %",2024-04-01
CFHI11,Fundo de Desenvolvimento,"650,00","1.300,00","1,03","76,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.698.044,41",N/A,N/A,N/A,N/A,2024-04-01
CFII11,Indefinido,"1.000,00","6.250,00","0,99","64,60","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"102.055.193,56",N/A,N/A,N/A,N/A,2024-04-01
CIXM11,Misto,N/A,N/A,N/A,"0,06","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"61.375.056,49",N/A,N/A,N/A,N/A,2024-04-01
CJCT11,Lajes Corporativas,"63,20","45.206,90","0,88","0,09","0,14 %","0,40 %","1,44 %","25,92 %","0,13 %","0,24 %","2,16 %","1,10 %","-7,12 %","-6,99 %","-4,66 %","225.676.898,25","57,90","1,09","0,00 %","0,58 %",2024-04-01
CLIN11,Fundo de Fundos,"97,66","1.300.807,50","0,97","1,00","1,03 %","3,16 %","3,16 %","3,16 %","1,58 %","1,58 %","1,58 %","3,16 %","3,53 %","4,60 %","2,84 %","435.492.228,11",N/A,N/A,N/A,N/A,2024-04-01
CNES11,Lajes Corporativas,"2,37","45.343,67","0,03","0,01","0,32 %","11,88 %","23,60 %","42,87 %","3,96 %","3,93 %","3,57 %","11,88 %","34,72 %","35,15 %","68,31 %","264.215.596,52","89,53","0,03","0,19 %","0,11 %",2024-04-01
COPP11,Lajes Corporativas,"103,00","1.827.632,00","0,88","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"201.949.356,67",N/A,N/A,N/A,N/A,2024-04-01
CORM11,Lajes Corporativas,N/A,N/A,N/A,"0,77","0,90 %","2,76 %","5,35 %","11,38 %","0,92 %","0,89 %","0,95 %","6,20 %","-2,97 %","-2,10 %","-4,27 %",N/A,"90,56",N/A,"0,89 %","-2,33 %",2024-04-01
CPFF11,Fundo de Fundos,"76,00","383.149,67","0,91","0,70","0,92 %","2,46 %","5,22 %","10,07 %","0,82 %","0,87 %","0,84 %","2,46 %","-0,86 %","0,06 %","4,42 %","214.068.177,56","83,85","0,91","0,83 %","8,50 %",2024-04-01
CPFO11,Fundo de Fundos,N/A,N/A,N/A,"31,42",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"90.509.108,49",N/A,N/A,N/A,N/A,2024-04-01
CPOF11,Misto,"107,00","1.570.093,82","0,92","0,75","0,71 %","0,71 %","0,71 %","0,71 %","0,36 %","0,36 %","0,36 %","0,71 %","0,00 %","0,00 %",N/A,"201.949.356,67",N/A,N/A,N/A,N/A,2024-04-01
CPSH11,Indefinido,"108,24","1.794.958,04","0,94","1,00","0,92 %","2,82 %","5,34 %","8,17 %","0,94 %","0,89 %","1,02 %","2,82 %","-1,08 %","-0,17 %","2,19 %","738.974.158,62",N/A,N/A,N/A,N/A,2024-04-01
CPTI11,Indefinido,"100,79","2.836.666,13",N/A,"1,75","1,72 %","4,33 %","7,36 %","14,04 %","1,44 %","1,23 %","1,17 %","5,33 %","-0,65 %","1,06 %","9,60 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
CPTR11,Indefinido,"8,86","1.219.875,58","0,91","0,11","1,21 %","3,62 %","6,67 %","14,94 %","1,21 %","1,11 %","1,25 %","3,62 %","-2,03 %","-0,85 %","0,76 %","405.117.434,52","9,79","0,91","1,07 %","-90,08 %",2024-04-01
CPTS11,Papéis,"8,74","7.295.690,00","0,95","0,08","0,90 %","2,48 %","4,64 %","10,58 %","0,83 %","0,77 %","0,88 %","2,48 %","-1,52 %","-0,64 %","8,57 %","2.912.499.128,90","9,16","0,95","0,76 %","-89,68 %",2024-04-01
CRAA11,Indefinido,"104,94","262.195,79","1,03","1,15","1,10 %","3,50 %","7,07 %","15,39 %","1,17 %","1,18 %","1,28 %","4,65 %","2,23 %","3,36 %","8,59 %","50.515.882,40","102,09","1,03","1,18 %","0,00 %",2024-04-01
CRFF11,Fundo de Fundos,"80,84","122.955,82","0,89","0,61","0,72 %","2,19 %","4,61 %","9,46 %","0,73 %","0,77 %","0,79 %","3,03 %","1,54 %","2,27 %","11,35 %","62.656.314,31","90,80","0,89","0,67 %","8,10 %",2024-04-01
CSMC11,Indefinido,N/A,N/A,N/A,"18,41","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"848.298.495,86",N/A,N/A,N/A,N/A,2024-04-01
CTXT11,Lajes Corporativas,"10,11","2.490,74","0,33","0,01","0,04 %","0,64 %","1,14 %","4,78 %","0,21 %","0,19 %","0,40 %","1,33 %","1,00 %","1,04 %","-50,75 %","104.980.344,77","48,33","0,21","0,19 %","-0,10 %",2024-04-01
CVBI11,Papéis,"96,45","3.222.717,79","1,00","0,95","0,99 %","3,01 %","5,47 %","12,06 %","1,00 %","0,91 %","1,01 %","3,01 %","3,12 %","4,14 %","11,16 %","1.058.650.136,10","96,15","1,00","1,09 %","2,44 %",2024-04-01
CVPR11,Indefinido,N/A,N/A,N/A,"0,25","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"14.054.542,43",N/A,N/A,N/A,N/A,2024-04-01
CXAG11,Agências de Bancos,"79,35","98.912,71","0,69","0,69","0,86 %","2,55 %","5,29 %","10,72 %","0,85 %","0,88 %","0,89 %","3,50 %","-0,26 %","0,60 %","5,97 %","241.614.842,32","115,57","0,69","0,60 %","0,80 %",2024-04-01
CXCE11B,Lajes Corporativas,"43,65","19.870,96","0,68","0,42","0,96 %","2,80 %","5,79 %","11,47 %","0,93 %","0,97 %","0,96 %","3,76 %","-1,81 %","-0,87 %","6,25 %","110.199.650,87","64,33","0,68","0,65 %","-1,94 %",2024-04-01
CXCI11,Indefinido,"84,80","344.937,25","0,89","0,75","0,88 %","2,65 %","5,61 %","11,61 %","0,88 %","0,94 %","0,97 %","3,63 %","-0,24 %","0,64 %","2,96 %","197.074.998,67","95,77","0,89","0,78 %","2,86 %",2024-04-01
CXCO11,Lajes Corporativas,"82,61","128.420,08","0,81","0,74","0,88 %","2,68 %","5,53 %","11,88 %","0,89 %","0,92 %","0,99 %","3,59 %","-0,70 %","0,17 %","13,04 %","400.210.062,92","101,98","0,81","0,75 %","2,70 %",2024-04-01
