Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
AAZQ11,Indefinido,"9,13","778.253,25","0,95","0,12","1,31 %","3,90 %","7,85 %","15,52 %","1,30 %","1,31 %","1,29 %","5,22 %","0,44 %","1,75 %","6,36 %","230.857.797,15","9,60","0,95","1,25 %","0,00 %",2024-04-01
ABCP11,Shoppings,"75,66","66.820,79","0,75","0,50","0,64 %","2,34 %","5,00 %","9,44 %","0,78 %","0,83 %","0,79 %","3,27 %","-3,67 %","-3,05 %","15,66 %","477.089.865,14","101,31","0,75","0,81 %","10,34 %",2024-04-01
AFHI11,Papéis,"97,79","1.623.510,63","1,01","0,95","0,97 %","2,93 %","6,09 %","12,79 %","0,98 %","1,02 %","1,07 %","2,93 %","-0,51 %","0,46 %","3,98 %","386.055.547,13","96,59","1,01","0,98 %","1,71 %",2024-04-01
AGRX11,Outros,"10,48","375.142,08",N/A,"0,11","1,05 %","3,48 %","7,61 %","16,14 %","1,16 %","1,27 %","1,35 %","4,85 %","-2,06 %","-1,03 %","0,25 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
AIEC11,Lajes Corporativas,"52,28","469.571,67","0,62","0,71","1,35 %","3,07 %","8,11 %","15,03 %","1,02 %","1,35 %","1,25 %","5,40 %","4,78 %","6,19 %","-0,81 %","405.272.651,50","83,99","0,62","0,20 %","-10,18 %",2024-04-01
AJFI11,Shoppings,"9,73","798.685,25","0,78","0,07","0,73 %","2,37 %","2,37 %","2,37 %","0,79 %","0,79 %","0,79 %","2,37 %","-1,02 %","-0,29 %","-0,20 %","394.131.222,07",N/A,N/A,N/A,N/A,2024-04-01
ALMI11,Lajes Corporativas,"656,10","62.845,71","0,30","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"240.187.303,24","2.046,78","0,32","0,00 %","-0,05 %",2024-04-01
ALZM11,Fundo de Fundos,"8,47","182.662,29","1,00","0,09","0,98 %","3,23 %","6,17 %","11,55 %","1,08 %","1,03 %","0,96 %","3,23 %","-0,91 %","0,06 %","3,86 %","128.894.672,43","8,49","1,00","1,06 %","-90,83 %",2024-04-01
ALZR11,Misto,"117,99","1.320.632,92","1,11","0,80","0,68 %","2,02 %","4,15 %","8,43 %","0,67 %","0,69 %","0,70 %","2,02 %","-0,30 %","0,37 %","2,64 %","1.047.943.303,45","106,28","1,11","0,75 %","-0,57 %",2024-04-01
APTO11,Imóveis Residenciais,"9,67","33.267,38","0,95","0,09","0,93 %","2,79 %","5,56 %","12,12 %","0,93 %","0,93 %","1,01 %","3,71 %","1,68 %","2,62 %","3,55 %","46.958.948,53","10,18","0,95","0,88 %","2,21 %",2024-04-01
