Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2021-03-01,FIVN11,Shoppings,"R$ 4,00",1031.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 67.081.986,41","R$ 7,13","0,56",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2021-03-01,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.989.541,95","R$ 11,56","1,27",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,XTED11,Lajes Corporativas,"R$ 7,00",688.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.877.323,95","R$ 14,99","0,47",N/A,N/A,N/A,N/A,"100,00%","100,00%",1
2021-03-01,ALMI11,Lajes Corporativas,"R$ 1.350,00",118.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 223.465.106,63","R$ 2.009,99","0,67",N/A,N/A,N/A,N/A,"68,15%",N/A,1
2021-03-01,DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 271.169.512,09","R$ 1.109,62","0,40",N/A,N/A,N/A,N/A,"23,44%",N/A,1
2021-03-01,PABY11,Híbrido,"R$ 14,31",97.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -4.939.249,04","R$ -6,51","-2,20",N/A,N/A,N/A,N/A,N/A,N/A,1
2021-03-01,RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",Inf,N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,KNRE11,Residencial,"R$ 3,34",2570.0,"R$ 0,26","3,92%","5,11%","5,11%","9,25%","1,70%","0,85%","0,77%","7,82%","5,28%","9,41%","-24,78%","R$ 54.434.456,00","R$ 2,93","1,14",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,FMOF11,Lajes Corporativas,"R$ 75,18",561.0,"R$ 0,27","0,25%","1,06%","1,06%","3,09%","0,35%","0,18%","0,26%","1,06%","22,10%","22,40%","19,19%","R$ 67.185.404,34","R$ 132,25","0,57",N/A,N/A,N/A,N/A,"47,92%",N/A,1
2021-03-01,ATSA11,Shoppings,"R$ 113,99",10.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 173.282.956,62","R$ 98,95","1,15",N/A,N/A,N/A,N/A,"18,50%",N/A,1
2021-03-01,XPHT11,Hotel,"R$ 85,50",533.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 474.607.267,86","R$ 124,74","0,69",N/A,N/A,N/A,N/A,"77,70%",N/A,5
2021-03-01,HTMX11,Hotel,"R$ 105,79",3922.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 166.127.946,56","R$ 132,16","0,80",N/A,N/A,N/A,N/A,"74,00%",N/A,23
2021-03-01,BPML11,Shoppings,"R$ 99,00",19864.0,"R$ 0,28","0,31%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,31%","0,00%","0,31%","0,31%","R$ 593.096.051,61","R$ 137,77","0,72",N/A,N/A,N/A,N/A,"5,80%",N/A,7
2021-03-01,GSFI11,Shoppings,"R$ 3,36",1610.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 813.483.847,99","R$ 11,88","0,28",N/A,N/A,N/A,N/A,"10,30%",N/A,10
2021-03-01,NEWU11,Lajes Corporativas,"R$ 40,60",913.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.016.274,76","R$ 64,71","0,63",N/A,N/A,N/A,N/A,"69,90%",N/A,3
2021-03-01,PRSV11,Lajes Corporativas,"R$ 153,89",366.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 46.085.812,82","R$ 236,34","0,65",N/A,N/A,N/A,N/A,"40,90%",N/A,2
2021-03-01,CARE11,Híbrido,"R$ 0,61",12528.0,"R$ 0,00","0,24%","0,69%","0,69%","0,69%","0,23%","0,12%","0,06%","0,69%","-5,81%","-5,59%","-12,30%","R$ 249.287.660,42","R$ 1,39","0,44",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,FAMB11B,Lajes Corporativas,"R$ 1.180,00",35.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 365.818.560,35","R$ 3.490,64","0,34",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2021-03-01,CJCT11,Lajes Corporativas,"R$ 60,42",2674.0,"R$ 0,33","0,61%","0,74%","0,94%","0,96%","0,25%","0,16%","0,08%","0,96%","19,24%","19,96%","-9,15%","R$ 183.530.515,63","R$ 67,72","0,89",N/A,N/A,N/A,N/A,"59,00%",N/A,1
2021-03-01,GRLV11,Logística,"R$ 145,50",54618.0,"R$ 0,17","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","60,81%","R$ 6.407.890,29","R$ 5,97","24,38",N/A,N/A,N/A,N/A,"3,70%","3,40%",0
2021-03-01,HBRH11,Híbrido,"R$ 101,97",676.0,"R$ 0,67","0,68%","2,01%","4,05%","0,00%","0,67%","0,68%","0,00%","7,85%","-1,54%","-0,88%","6,94%","R$ 245.480.436,06","R$ 109,31","0,93",N/A,N/A,N/A,N/A,N/A,N/A,3
2021-03-01,CXTL11,Logística,"R$ 352,09",217.0,"R$ 0,55","0,15%","0,26%","1,24%","2,49%","0,09%","0,21%","0,21%","0,15%","0,00%","0,15%","0,15%","R$ 39.133.567,14","R$ 730,14","0,48","0,07%","0,00%","0,07%","0,07%","68,10%","67,20%",4
2021-03-01,NVIF11B,Outros,N/A,N/A,"R$ 0,30","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 62.097.139,70","R$ 184,05",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,SCPF11,Shoppings,"R$ 9,04",6593.0,"R$ 0,05","0,54%","1,39%","1,76%","4,07%","0,46%","0,29%","0,34%","0,54%","0,00%","0,54%","0,54%","R$ 53.148.829,71","R$ 12,65","0,71",N/A,N/A,N/A,N/A,"24,50%",N/A,1
2021-03-01,DRIT11B,Lajes Corporativas,"R$ 116,38",20.0,"R$ 0,30","0,25%","0,85%","1,84%","3,79%","0,28%","0,31%","0,32%","0,48%","-7,83%","-7,60%","-7,38%","R$ 60.887.482,56","R$ 131,43","0,89","0,23%","0,00%","0,23%","0,23%","23,72%",N/A,6
2021-03-01,RBRY11,Títulos e Val. Mob.,"R$ 104,85",4121.0,"R$ 0,75","0,70%","2,34%","4,08%","7,98%","0,78%","0,68%","0,67%","0,70%","0,00%","0,70%","0,70%","R$ 208.046.787,64","R$ 106,42","0,99","0,70%","0,00%","0,70%","0,70%",N/A,N/A,0
2021-03-01,RBRR11,Títulos e Val. Mob.,"R$ 98,67",13909.0,"R$ 0,60","0,62%","1,80%","3,30%","6,66%","0,60%","0,55%","0,56%","0,62%","0,00%","0,62%","0,62%","R$ 762.442.558,73","R$ 99,82","0,99","0,60%","0,00%","0,60%","0,60%",N/A,N/A,0
2021-03-01,MORE11,Títulos e Val. Mob.,"R$ 102,49",6668.0,"R$ 0,50","0,45%","2,13%","4,59%","0,00%","0,71%","0,76%","0,00%","0,45%","0,00%","0,45%","0,45%","R$ 234.181.721,90","R$ 100,98","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,MGCR11,,"R$ 98,78",391.0,"R$ 0,70","0,73%","2,10%","0,00%","0,00%","0,70%","0,00%","0,00%","0,73%","0,00%","0,73%","0,73%","R$ 68.926.768,60","R$ 95,74","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,BLCP11,Outros,"R$ 103,35",21.0,"R$ 0,74","0,71%","2,16%","0,00%","0,00%","0,72%","0,00%","0,00%","0,71%","0,00%","0,71%","0,71%","R$ 112.439.863,65","R$ 103,14","1,00",N/A,N/A,N/A,N/A,N/A,N/A,2
2021-03-01,GCFF11,Títulos e Val. Mob.,"R$ 98,90",475.0,"R$ 0,85","0,90%","2,26%","0,00%","0,00%","0,75%","0,00%","0,00%","0,90%","0,00%","0,90%","0,90%","R$ 33.574.204,92","R$ 99,16","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,XPIN11,Outros,"R$ 113,81",22380.0,"R$ 0,62","0,54%","1,61%","3,21%","6,55%","0,54%","0,54%","0,55%","0,54%","0,00%","0,54%","0,54%","R$ 731.048.772,69","R$ 110,99","1,03",N/A,N/A,N/A,N/A,"7,30%",N/A,5
2021-03-01,HCTR11,Outros,"R$ 148,50",33889.0,"R$ 2,22","1,43%","4,82%","9,73%","16,06%","1,61%","1,62%","1,34%","1,43%","0,00%","1,43%","1,43%","R$ 796.605.495,45","R$ 119,90","1,24",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,CPFF11,Híbrido,"R$ 82,98",20793.0,"R$ 0,80","0,94%","2,92%","4,36%","6,60%","0,97%","0,73%","0,55%","0,94%","0,00%","0,94%","0,94%","R$ 339.520.254,09","R$ 85,44","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,CVBI11,Títulos e Val. Mob.,"R$ 109,50",20545.0,"R$ 1,24","1,14%","4,45%","6,95%","10,96%","1,48%","1,16%","0,91%","1,14%","0,00%","1,14%","1,14%","R$ 352.775.873,82","R$ 100,03","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,RVBI11,Títulos e Val. Mob.,"R$ 92,28",6816.0,"R$ 0,69","0,72%","2,13%","4,11%","0,00%","0,71%","0,68%","0,00%","0,72%","0,00%","0,72%","0,72%","R$ 139.387.251,36","R$ 96,80","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,RBRF11,Títulos e Val. Mob.,"R$ 92,97",44939.0,"R$ 0,60","0,60%","2,29%","4,43%","7,85%","0,76%","0,74%","0,65%","0,60%","0,00%","0,60%","0,60%","R$ 1.278.126.688,01","R$ 93,43","1,00","0,64%","0,00%","0,64%","0,64%",N/A,N/A,0
2021-03-01,IRDM11,Títulos e Val. Mob.,"R$ 152,00",59521.0,"R$ 1,34","0,91%","3,12%","5,85%","10,20%","1,04%","0,98%","0,85%","0,91%","0,00%","0,91%","0,91%","R$ 1.596.555.659,83","R$ 99,78","1,52","1,34%","0,00%","1,34%","1,34%",N/A,N/A,0
2021-03-01,IBFF11,Títulos e Val. Mob.,"R$ 76,00",2569.0,"R$ 0,38","0,48%","1,52%","3,26%","6,24%","0,51%","0,54%","0,52%","0,48%","0,00%","0,48%","0,48%","R$ 59.171.725,67","R$ 88,76","0,86",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,TRNT11,Lajes Corporativas,"R$ 169,00",114.0,"R$ 0,45","0,29%","0,85%","1,68%","3,12%","0,28%","0,28%","0,26%","0,29%","0,00%","0,29%","0,29%","R$ 816.375.340,46","R$ 207,44","0,81",N/A,N/A,N/A,N/A,"39,40%",N/A,1
2021-03-01,VGIP11,Outros,"R$ 114,59",9006.0,"R$ 1,16","1,02%","3,63%","6,22%","0,00%","1,21%","1,04%","0,00%","1,02%","0,00%","1,02%","1,02%","R$ 331.646.580,34","R$ 94,91","1,21",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,VGIR11,Títulos e Val. Mob.,"R$ 89,60",9837.0,"R$ 0,45","0,51%","1,55%","3,02%","6,46%","0,52%","0,50%","0,54%","0,51%","0,00%","0,51%","0,51%","R$ 436.944.948,94","R$ 96,96","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-03-01,MCCI11,Títulos e Val. Mob.,"R$ 104,50",29406.0,"R$ 0,70","0,68%","1,85%","3,60%","7,45%","0,62%","0,60%","0,62%","0,68%","0,00%","0,68%","0,68%","R$ 889.721.360,88","R$ 99,66","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
