Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-10-01,AEFI11,Outros,"143,97",1733.0,"R$ 1,2200","0,9139%","2,6821%","4,8868%","9,2722%","0,8940%","0,8145%","0,7727%","7,0305%","4,7141%","5,6710%","-13,2166%","R$ 109.915.896,1700","R$ 146,0676","0,9856","0,8352%","0,0490%","0,8846%","5,7468%","0,0000%",N/A,2
2018-10-01,BCRI11,Títulos e Val. Mob.,"105,76",1929.0,"R$ 0,8700","0,8276%","2,4395%","4,4895%","8,1219%","0,8132%","0,7483%","0,6768%","6,2834%","-0,7272%","0,0944%","4,5907%","R$ 117.416.013,0100","R$ 97,0379","1,0899","0,8966%","0,2120%","1,1104%","5,9131%",N/A,N/A,0
2018-10-01,BNFS11,Outros,"121,88",97.0,"R$ 0,8761","0,7598%","2,2263%","4,2445%","8,1428%","0,7421%","0,7074%","0,6786%","6,2607%","-2,5359%","-1,7954%","2,2689%","R$ 62.625.242,0600","R$ 89,4646","1,3623","0,9792%","-0,0037%","0,9755%","8,6705%",N/A,N/A,18
2018-10-01,BBFI11B,Lajes Corporativas,"1.719,00",212.0,"R$ 22,4480","1,3943%","3,7481%","6,6974%","11,4049%","1,2494%","1,1162%","0,9504%","9,0190%","-12,9730%","-11,7596%","-41,0599%","R$ 350.657.907,4100","R$ 2.697,3685","0,6373","0,8322%","0,0483%","0,8809%","8,1850%",N/A,N/A,2
2018-10-01,BBPO11,Lajes Corporativas,"136,75",20913.0,"R$ 1,0249","0,8089%","2,3658%","4,5174%","8,6919%","0,7886%","0,7529%","0,7243%","6,5259%","-0,0946%","0,7135%","-5,7887%","R$ 1.647.297.787,3900","R$ 103,4755","1,3216","0,9904%","-0,1610%","0,8278%","17,6498%",N/A,N/A,64
2018-10-01,BBRC11,Outros,"141,70",641.0,"R$ 0,9000","0,6798%","1,9967%","3,8586%","7,3077%","0,6656%","0,6431%","0,6090%","5,4778%","-1,9259%","-1,2593%","-5,8945%","R$ 155.161.276,7100","R$ 97,5857","1,4521","0,9223%","0,0676%","0,9905%","9,3755%",N/A,N/A,19
2018-10-01,RNDP11,Títulos e Val. Mob.,"935,00",56.0,"R$ 4,6811","0,4975%","1,6546%","3,3217%","6,8471%","0,5515%","0,5536%","0,5706%","5,0293%","-1,9792%","-1,4916%","8,7249%","R$ 114.100.557,3300","R$ 1.061,5882","0,8808","0,4410%","0,1669%","0,6086%","6,2909%",N/A,N/A,0
2018-10-01,BCIA11,Títulos e Val. Mob.,"106,50",222.0,"R$ 0,6500","0,5937%","1,8596%","3,7044%","7,1662%","0,6199%","0,6174%","0,5972%","5,4039%","-0,6353%","-0,0454%","0,3045%","R$ 181.969.621,4100","R$ 107,6990","0,9889","0,6035%","-1,0464%","-0,4491%","-5,3056%",N/A,N/A,0
2018-10-01,CARE11,Híbrido,"1,79",54125.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 159.317.140,7000","R$ 1,4361","1,2464",,,,,N/A,N/A,0
2018-10-01,CXRI11,Híbrido,"940,00",16.0,"R$ 7,0000","0,7447%","2,1853%","4,2661%","8,2943%","0,7284%","0,7110%","0,6912%","6,1312%","-0,6321%","0,1078%","-14,5211%","R$ 155.937.860,7700","R$ 989,6041","0,9499","0,7074%","-0,4668%","0,2372%","-3,7848%",N/A,N/A,0
