Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-06-23,AEFI11,Outros,"155,89",1122.0,"R$ 1,2200","0,7625%","2,1160%","4,3242%","9,3280%","0,7053%","0,7207%","0,7773%","3,5744%","-12,3768%","-11,7087%","0,4917%","R$ 111.253.306,2600","R$ 147,8449","1,0544","0,8252%","0,0654%","0,8912%","4,3948%","0,0000%",N/A,2
2018-06-23,BCRI11,Títulos e Val. Mob.,"101,72",1748.0,"R$ 0,7200","0,7064%","1,9675%","3,7375%","7,7104%","0,6558%","0,6229%","0,6425%","3,1240%","-2,1881%","-1,4971%","-1,7346%","R$ 117.603.917,6000","R$ 97,1932","1,0466","0,7408%","-1,8064%","-1,0790%","2,5227%",N/A,N/A,0
2018-06-23,BNFS11,Outros,"108,50",108.0,"R$ 0,7967","0,6821%","1,9886%","3,9513%","7,8952%","0,6629%","0,6586%","0,6579%","3,3302%","-2,6667%","-2,0028%","0,6182%","R$ 62.627.579,6600","R$ 89,4680","1,2127","0,8904%","0,0618%","0,9528%","4,6825%",N/A,N/A,18
2018-06-23,BBFI11B,Lajes Corporativas,"2.120,01",165.0,"R$ 22,9859","1,0842%","2,7470%","5,0556%","10,1988%","0,9157%","0,8426%","0,8499%","4,2859%","-18,7736%","-17,8929%","-25,9560%","R$ 350.165.139,3900","R$ 2.693,5780","0,7871","0,8534%","0,0452%","0,8989%","4,5484%",N/A,N/A,2
2018-06-23,BBPO11,Lajes Corporativas,"127,15",15644.0,"R$ 0,9809","0,7051%","2,0234%","4,2440%","8,2969%","0,6745%","0,7073%","0,6914%","3,3753%","-6,1653%","-5,5036%","0,2433%","R$ 1.521.999.522,5300","R$ 95,6048","1,3300","1,0260%","-0,0606%","0,9648%","4,5850%",N/A,N/A,64
2018-06-23,BBRC11,Outros,"128,10",754.0,"R$ 0,8000","0,5797%","1,6754%","3,4507%","6,9922%","0,5585%","0,5751%","0,5827%","2,7468%","-5,4795%","-4,9315%","-4,5478%","R$ 153.488.422,8100","R$ 96,5336","1,3270","0,8287%","0,0376%","0,8667%","4,2307%",N/A,N/A,19
2018-06-23,RNDP11,Títulos e Val. Mob.,"930,00",64.0,"R$ 5,1751","0,5625%","1,6868%","3,3769%","7,6344%","0,5623%","0,5628%","0,6362%","2,8224%","-1,8132%","-1,2609%","3,9880%","R$ 112.848.979,4300","R$ 1.049,9435","0,8858","0,4929%","0,6519%","1,1480%","3,0666%",N/A,N/A,0
2018-06-23,BCIA11,Títulos e Val. Mob.,"105,00",152.0,"R$ 0,7000","0,5983%","1,7546%","3,4814%","7,0999%","0,5849%","0,5802%","0,5917%","2,8811%","-2,5000%","-1,9167%","4,5225%","R$ 195.015.909,1800","R$ 115,4205","0,9097","0,6065%","-5,7462%","-5,1745%","-1,0527%",N/A,N/A,0
2018-06-23,CARE11,Híbrido,"1,90",27952.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.233.590,9700","R$ 1,3701","1,3867",,,,,N/A,N/A,0
2018-06-23,CXRI11,Híbrido,"939,00",64.0,"R$ 7,0000","0,6731%","1,9388%","3,9597%","8,2435%","0,6463%","0,6600%","0,6870%","3,2004%","-1,6093%","-0,9470%","-8,1521%","R$ 163.924.344,2000","R$ 1.040,2875","0,9026","0,6729%","-5,4272%","-4,7908%","-1,6451%",N/A,N/A,0
2018-06-23,CPTS11B,Títulos e Val. Mob.,"99,68",3377.0,"R$ 0,7000","0,7022%","2,2678%","4,4340%","9,1870%","0,7559%","0,7390%","0,7656%","3,7066%","0,1910%","0,8946%","4,8984%","R$ 96.671.119,4700","R$ 96,6711","1,0311","0,7241%","-2,3329%","-1,6257%","1,7309%",N/A,N/A,0
2018-06-23,CBOP11,Lajes Corporativas,"64,05",1849.0,"R$ 0,4700","0,6528%","1,8596%","3,7057%","7,6002%","0,6199%","0,6176%","0,6333%","3,0749%","-4,0128%","-3,3862%","-4,2048%","R$ 101.111.979,5000","R$ 71,4572","0,8963","0,6577%","-0,0220%","0,6356%","-89,6747%","7,0000%",N/A,1
2018-06-23,ATSA11B,Shoppings,"1.140,00",197.0,"R$ 1,5000","0,1316%","0,3947%","0,6911%","2,0428%","0,1316%","0,1152%","0,1702%","0,6085%","0,0000%","0,1316%","-4,4205%","R$ 214.718.797,1100","R$ 1.251,8587","0,9106","0,1198%","-0,0176%","0,1022%","0,7193%","23,0000%",N/A,1
