Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-05-01,CXCE11B,Outros,"2.350,00",11.0,"R$ 16,9243","0,6908%","2,1377%","4,3539%","8,9149%","0,7126%","0,7256%","0,7429%","2,8683%","1,3657%","2,0660%","3,3214%","R$ 157.712.265,4100","R$ 2.301,7640","1,0210","0,7756%","0,0366%","0,8125%","2,4195%",N/A,N/A,1
2018-05-01,CXTL11,Logística,"580,00",33.0,"R$ 1,2677","0,2244%","0,6563%","1,0506%","4,1097%","0,2188%","0,1751%","0,3425%","0,7540%","-1,0508%","-0,8288%","-0,4769%","R$ 51.885.337,0500","R$ 968,0642","0,5991","0,1439%","-0,0994%","0,0444%","0,3001%",N/A,N/A,4
2018-05-01,CTXT11,Lajes Corporativas,"4,26",12884.0,"R$ 0,0274","0,6313%","1,6669%","3,4821%","8,0683%","0,5556%","0,5803%","0,6724%","2,0095%","5,5961%","6,2628%","-1,6033%","R$ 124.778.962,9800","R$ 3,4356","1,2400","0,7975%","-0,0387%","0,7586%","2,0570%","5,2000%",N/A,1
2018-05-01,FLMA11,Híbrido,"2,52",9732.0,"R$ 0,0140","0,5364%","1,3253%","2,5835%","5,6084%","0,4418%","0,4306%","0,4674%","1,7416%","-2,2472%","-1,7228%","3,3366%","R$ 183.527.431,4700","R$ 2,6585","0,9479","0,5266%","-0,0439%","0,4825%","1,8232%",N/A,N/A,1
2018-05-01,EDFO11B,Lajes Corporativas,"291,99",33.0,"R$ 1,5981","0,5647%","1,6898%","3,5229%","7,3881%","0,5633%","0,5871%","0,6157%","2,3181%","-8,7065%","-8,1909%","3,4385%","R$ 42.044.041,6700","R$ 178,1527","1,6390","0,9287%","0,0258%","0,9547%","2,9328%",N/A,N/A,1
2018-05-01,EURO11,Logística,"189,00",296.0,"R$ 1,1000","0,5714%","1,5690%","3,3350%","5,5926%","0,5230%","0,5558%","0,4661%","2,0690%","-3,2663%","-2,7136%","-1,7431%","R$ 119.032.512,2800","R$ 310,0322","0,6096","0,3225%","0,0552%","0,3779%","1,1032%","11,8200%",N/A,6
2018-05-01,FIGS11,Shoppings,"79,50",9313.0,"R$ 0,8333","0,8585%","2,5798%","5,2555%","11,7365%","0,8599%","0,8759%","0,9780%","3,4524%","-0,6448%","0,2081%","5,1988%","R$ 242.151.510,1700","R$ 93,4407","0,8508","0,8918%","-0,2857%","0,6035%","8,7540%",N/A,N/A,2
2018-05-01,ABCP11,Shoppings,"15,99",15720.0,"R$ 0,0800","0,4969%","1,4617%","3,1575%","5,9776%","0,4872%","0,5262%","0,4981%","2,1689%","-1,8293%","-1,3415%","-3,0524%","R$ 784.925.853,7000","R$ 12,8636","1,2430","0,6219%","0,0038%","0,6257%","2,2306%","2,1000%",N/A,1
2018-05-01,GWIR11,Híbrido,"230,00",15.0,"R$ 1,1700","0,5258%","1,6304%","3,7723%","6,9309%","0,5435%","0,6287%","0,5776%","1,6304%","1,1364%","1,6682%","-6,5507%","R$ 79.762.647,3000","R$ 208,7935","1,1016","0,5604%","0,0553%","0,6160%","1,8062%",N/A,N/A,2
2018-05-01,FIIB11,Híbrido,"400,02",1431.0,"R$ 2,4700","0,6024%","1,7763%","3,5550%","7,3568%","0,5921%","0,5925%","0,6131%","1,7763%","0,0000%","0,6024%","-0,6367%","R$ 266.625.668,0600","R$ 389,2346","1,0277","0,6346%","0,0555%","0,6904%","1,9753%","4,7500%",N/A,1
2018-05-01,FMOF11,Lajes Corporativas,"105,00",127.0,"R$ 0,2500","0,2336%","0,7055%","1,5348%","2,9302%","0,2352%","0,2558%","0,2442%","0,9297%","-1,8349%","-1,6055%","-6,8901%","R$ 66.924.926,8600","R$ 131,7399","0,7970","0,2049%","0,0102%","0,2152%","0,6142%","47,8000%",N/A,1
