Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,SEQR11,Outros,"R$ 63,00",11000.0,"R$ 0,63","1,00%","2,87%","5,47%","10,48%","0,96%","0,91%","0,87%","4,64%","-3,05%","-2,08%","-8,62%","R$ 154.636.386,60","R$ 96,13","0,66","0,65%","-0,05%","0,60%","3,38%","0,00%",N/A,0
2022-06-01,FAED11,Outros,"R$ 136,40",784.0,"R$ 1,54","1,05%","3,20%","5,80%","10,43%","1,07%","0,97%","0,87%","4,97%","1,48%","2,54%","6,76%","R$ 138.823.482,78","R$ 216,18","0,63","0,71%","-0,01%","0,70%","1,30%","0,00%",N/A,3
2022-06-01,CEOC11,Lajes Corporativas,"R$ 60,09",1147.0,"R$ 0,49","0,81%","2,39%","4,82%","9,24%","0,80%","0,80%","0,77%","4,09%","-1,50%","-0,70%","10,74%","R$ 164.007.871,01","R$ 90,33","0,67","0,55%","-0,15%","0,40%","0,92%","0,00%",N/A,1
2022-06-01,BTCR11,Títulos e Val. Mob.,"R$ 95,45",5451.0,"R$ 1,25","1,29%","3,90%","7,22%","12,25%","1,30%","1,20%","1,02%","6,24%","0,08%","1,38%","11,46%","R$ 464.617.244,40","R$ 96,59","0,99","1,29%","0,77%","2,07%","1,73%",N/A,N/A,0
2022-06-01,FEXC11,Títulos e Val. Mob.,"R$ 87,10",13658.0,"R$ 1,15","1,28%","3,63%","6,90%","12,11%","1,21%","1,15%","1,01%","5,85%","-1,52%","-0,26%","7,35%","R$ 570.742.091,11","R$ 93,51","0,93","1,23%","-0,17%","1,06%","4,78%",N/A,N/A,0
2022-06-01,MGFF11,Títulos e Val. Mob.,"R$ 60,12",15882.0,"R$ 0,60","0,95%","2,86%","5,47%","9,91%","0,95%","0,91%","0,83%","4,62%","1,25%","2,21%","5,17%","R$ 688.916.761,45","R$ 76,12","0,79","0,72%","-2,28%","-1,58%","-0,88%",N/A,N/A,0
2022-06-01,HCTR11,Outros,"R$ 113,25",37652.0,"R$ 1,77","1,54%","4,36%","8,05%","15,62%","1,45%","1,34%","1,30%","6,79%","8,47%","10,14%","-1,50%","R$ 2.671.651.053,42","R$ 120,98","0,94","1,46%","1,01%","2,49%","9,83%",N/A,N/A,0
2022-06-01,BCFF11,Títulos e Val. Mob.,"R$ 63,83",30276.0,"R$ 0,54","0,85%","2,44%","4,77%","8,78%","0,81%","0,79%","0,73%","4,00%","-4,55%","-3,74%","-7,42%","R$ 1.971.239.952,12","R$ 78,27","0,82","0,69%","-0,23%","0,46%","1,15%",N/A,N/A,0
2022-06-01,DEVA11,Títulos e Val. Mob.,"R$ 99,50",26561.0,"R$ 1,60","1,60%","4,34%","8,02%","15,73%","1,45%","1,34%","1,31%","6,71%","2,36%","4,00%","3,05%","R$ 1.363.604.754,65","R$ 98,06","1,01","1,63%","0,83%","2,47%","8,56%",N/A,N/A,0
2022-06-01,BLMG11,Logística,"R$ 79,30",5092.0,"R$ 0,80","0,96%","2,84%","5,56%","11,11%","0,95%","0,93%","0,93%","4,59%","-2,22%","-1,28%","-7,58%","R$ 360.918.215,84","R$ 94,71","0,84","0,84%","-2,04%","-1,21%","-3,03%","0,00%","0,00%",4
