Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-01-01,APTO11,Híbrido,"R$ 10,44",20.0,"R$ 0,03","0,30%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 39.476.292,41","R$ 9,84","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,FIVN11,Shoppings,"R$ 2,70",43981.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.805.766,28","R$ 6,99","0,39",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2022-01-01,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89","1,35",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,XTED11,Lajes Corporativas,"R$ 6,20",210.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.341.371,70","R$ 14,12","0,44",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2022-01-01,ALMI11,Lajes Corporativas,"R$ 1.012,11",27.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.264.016,46","R$ 2.251,04","0,45",N/A,N/A,N/A,N/A,"68,15%",N/A,1
2022-01-01,PABY11,Híbrido,"R$ 11,45",152.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.246.025,21","R$ -10,87","-1,05",N/A,N/A,N/A,N/A,N/A,N/A,1
2022-01-01,ORPD11,Títulos e Val. Mob.,"R$ 129,72",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.218.407,47","R$ 152,48","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,RBLG11,Logística,"R$ 85,05",7.0,"R$ 0,80","0,91%","2,64%","4,60%","0,00%","0,88%","0,77%","0,00%","5,99%","0,89%","1,81%","-14,15%","R$ 66.825.500,17","R$ 104,38","0,81",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2022-01-01,QAGR11,Outros,"R$ 50,85",14914.0,"R$ 0,39","0,77%","2,31%","4,53%","8,80%","0,77%","0,76%","0,73%","8,31%","3,02%","3,81%","0,70%","R$ 301.164.497,72","R$ 59,75","0,85",N/A,N/A,N/A,N/A,N/A,N/A,12
2022-01-01,GGRC11,Logística,"R$ 119,25",14044.0,"R$ 0,82","0,72%","2,18%","4,24%","7,76%","0,73%","0,71%","0,65%","7,76%","7,83%","8,60%","-12,39%","R$ 1.023.742.704,72","R$ 131,95","0,90",N/A,N/A,N/A,N/A,"0,00%","0,00%",15
2022-01-01,CXRI11,Híbrido,"R$ 67,49",270.0,"R$ 0,55","0,80%","2,10%","3,94%","7,27%","0,70%","0,66%","0,61%","7,27%","0,59%","1,40%","-35,12%","R$ 138.937.265,23","R$ 88,17","0,77",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,CRFF11,Títulos e Val. Mob.,"R$ 68,04",109.0,"R$ 0,51","0,75%","1,92%","3,62%","7,14%","0,64%","0,60%","0,60%","7,14%","1,37%","2,13%","-11,62%","R$ 61.069.208,29","R$ 88,50","0,77",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,FATN11,Híbrido,"R$ 101,68",11.0,"R$ 0,79","0,80%","2,22%","4,28%","8,19%","0,74%","0,71%","0,68%","8,19%","-4,41%","-3,64%","6,71%","R$ 82.067.157,50","R$ 101,18","1,00",N/A,N/A,N/A,N/A,"0,00%",N/A,7
2022-01-01,BIME11,,"R$ 9,50",22335.0,"R$ 0,10","1,05%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,05%","0,00%","1,05%","1,05%","R$ 55.918.188,04","R$ 9,57","0,99",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,SCPF11,Shoppings,"R$ 7,78",235.0,"R$ 0,03","0,39%","0,74%","1,45%","3,03%","0,25%","0,24%","0,25%","2,19%","0,00%","0,39%","-17,29%","R$ 52.548.899,51","R$ 12,51","0,62",N/A,N/A,N/A,N/A,"27,90%",N/A,1
2022-01-01,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 251.458.437,24","R$ 153,06","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,FLMA11,Híbrido,"R$ 123,79",485.0,"R$ 0,80","0,66%","1,51%","2,75%","4,84%","0,50%","0,46%","0,40%","4,84%","-2,31%","-1,66%","4.110,92%","R$ 216.308.774,34","R$ 156,67","0,79",N/A,N/A,N/A,N/A,"6,00%",N/A,2
2022-01-01,BREV11,Híbrido,"R$ 96,10",333.0,"R$ 0,54","0,57%","1,68%","3,19%","5,88%","0,56%","0,53%","0,49%","5,88%","1,43%","2,01%","-11,89%","R$ 106.233.108,69","R$ 109,84","0,87",N/A,N/A,N/A,N/A,"0,00%",N/A,12
2022-01-01,BLMR11,Títulos e Val. Mob.,"R$ 7,85",74616.0,"R$ 0,08","1,05%","2,80%","5,32%","0,00%","0,93%","0,89%","0,00%","8,77%","5,79%","6,89%","-90,82%","R$ 220.597.474,78","R$ 8,64","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,ONEF11,Lajes Corporativas,"R$ 138,94",454.0,"R$ 0,86","0,63%","1,68%","3,20%","5,96%","0,56%","0,53%","0,50%","0,63%","0,00%","0,63%","0,63%","R$ 159.164.173,48","R$ 174,71","0,80",N/A,N/A,N/A,N/A,"0,00%",N/A,1
2022-01-01,RCRB11,Lajes Corporativas,"R$ 135,64",3166.0,"R$ 0,55","0,42%","1,76%","3,59%","6,65%","0,59%","0,60%","0,55%","0,42%","0,00%","0,42%","0,42%","R$ 726.184.354,90","R$ 196,76","0,69",N/A,N/A,N/A,N/A,"14,40%",N/A,10
2022-01-01,MBRF11,Outros,"R$ 684,99",299.0,"R$ 9,50","1,19%","3,72%","6,42%","11,31%","1,24%","1,07%","0,94%","1,19%","0,00%","1,19%","1,19%","R$ 113.428.869,55","R$ 1.115,72","0,61",N/A,N/A,N/A,N/A,"0,00%",N/A,2
2022-01-01,VSLH11,Outros,"R$ 9,64",207623.0,"R$ 0,12","1,23%","3,75%","8,10%","0,00%","1,25%","1,35%","0,00%","13,32%","-1,51%","-0,30%","11,74%","R$ 294.618.792,24","R$ 9,87","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,HCTR11,Outros,"R$ 127,17",61758.0,"R$ 1,60","1,26%","3,88%","7,59%","15,70%","1,29%","1,27%","1,31%","15,70%","4,12%","5,44%","-4,54%","R$ 2.387.196.759,76","R$ 117,52","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-01-01,DEVA11,Títulos e Val. Mob.,"R$ 102,65",49172.0,"R$ 1,35","1,31%","4,09%","7,97%","15,00%","1,36%","1,33%","1,25%","15,00%","2,65%","4,00%","-16,99%","R$ 1.347.212.876,56","R$ 96,88","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
