Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2023-02-01,FIVN11,Shoppings,"R$ 3,24",1768.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.352.435,22","R$ 6,94","0,47",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2023-02-01,BZLI11,Títulos e Val. Mob.,"R$ 18,00",6.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 446.996.929,35","R$ 10,80","1,67",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,XTED11,Lajes Corporativas,"R$ 8,82",2223.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.688.895,17","R$ 13,26","0,67",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2023-02-01,ALMI11,Lajes Corporativas,"R$ 910,00",62.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 224.382.977,88","R$ 2.018,25","0,45",N/A,N/A,N/A,N/A,"64,05%",N/A,1
2023-02-01,PABY11,Híbrido,"R$ 13,32",29.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -12.075.566,90","R$ -15,92","-0,84",N/A,N/A,N/A,N/A,N/A,N/A,1
2023-02-01,ORPD11,Títulos e Val. Mob.,"R$ 11,00",50.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 42.967.967,54","R$ 148,17","0,07",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,GSFI11,Shoppings,"R$ 5,10",3194.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.066.939.470,89","R$ 14,19","0,36",N/A,N/A,N/A,N/A,"10,30%",N/A,10
2023-02-01,PRSV11,Lajes Corporativas,"R$ 132,00",6.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 42.875.770,41","R$ 219,88","0,60",N/A,N/A,N/A,N/A,"40,90%",N/A,2
2023-02-01,FAMB11B,Lajes Corporativas,"R$ 723,00",21.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 300.417.450,90","R$ 2.866,58","0,25",N/A,N/A,N/A,N/A,"100,00%",N/A,1
2023-02-01,FMOF11,Lajes Corporativas,"R$ 55,51",13.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 60.243.274,12","R$ 118,59","0,47",N/A,N/A,N/A,N/A,"52,08%",N/A,1
2023-02-01,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,RBDS11,Residencial,"R$ 3,99",20.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 2.565.041,32","R$ 20,27","0,20",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,WTSP11B,Híbrido,"R$ 36,00",6375.0,"R$ 0,32","0,76%","2,57%","4,67%","6,85%","0,86%","0,78%","0,57%","0,76%","0,00%","0,76%","0,76%","R$ 71.939.973,82","R$ 72,48","0,50",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,VXXV11,Outros,"R$ 973,00",5130.0,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 245.444.984,55","R$ 925,22","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,HRDF11,Híbrido,"R$ 0,81",322.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 9.357.437,31","R$ 1,23","0,66",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-02-01,CJCT11,Lajes Corporativas,"R$ 69,49",80.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 207.812.137,01","R$ 66,18","1,05",N/A,N/A,N/A,N/A,"59,00%",N/A,1
