Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
TGAR11,Fundo de Desenvolvimento,"123,19","3.982.588,41","1,04","1,42","1,16 %","3,43 %","6,93 %","13,97 %","1,14 %","1,16 %","1,16 %","9,18 %","-0,24 %","0,92 %","10,07 %","1.626.948.102,10","114,63","1,07","1,31 %","-2,00 %",2023-09-01
TJKB11,Indefinido,"262,16","594,50","0,98","2,62","0,00 %","0,00 %","0,93 %","0,93 %","0,00 %","0,16 %","0,08 %","0,93 %","0,00 %","0,00 %",N/A,"202.746.905,04",N/A,N/A,N/A,N/A,2023-09-01
TMPS11,Fundo de Fundos,"105,00","49.771,19","0,97","0,80","0,76 %","2,62 %","2,62 %","2,62 %","1,31 %","1,31 %","1,31 %","2,62 %","-0,58 %","0,18 %","3,44 %","106.293.705,07",N/A,N/A,N/A,N/A,2023-09-01
TORD11,Misto,"2,45","241.546,56","0,19","0,05","0,90 %","2,51 %","5,20 %","11,46 %","0,84 %","0,87 %","0,96 %","0,90 %","-24,53 %","-23,85 %","-23,85 %","441.080.668,28","14,09","0,17","0,57 %","-0,45 %",2023-09-01
TRBL11,Imóveis Industriais e Logísticos,"100,25","838.014,00","1,05","0,72","0,71 %","2,33 %","5,01 %","10,20 %","0,78 %","0,84 %","0,85 %","6,83 %","2,24 %","2,97 %","13,80 %","612.048.658,06",N/A,N/A,N/A,N/A,2023-09-01
TRNT11,Lajes Corporativas,"123,00","64.347,53","0,63","0,42","0,00 %","0,00 %","1,29 %","2,81 %","0,00 %","0,22 %","0,23 %","1,61 %","0,00 %","0,00 %",N/A,"773.997.393,87","202,57","0,61","0,26 %","0,01 %",2023-09-01
TRXB11,Fundo de Desenvolvimento,"119,00","775,22","1,09","0,92","0,77 %","1,44 %","3,71 %","7,54 %","0,48 %","0,62 %","0,63 %","5,23 %","0,00 %","0,00 %",N/A,"313.127.824,30",N/A,N/A,N/A,N/A,2023-09-01
TRXF11,Imóveis Comerciais - Outros,"113,18","5.342.930,07","1,07","0,90","0,79 %","2,40 %","4,85 %","9,95 %","0,80 %","0,81 %","0,83 %","6,48 %","0,84 %","1,64 %","15,44 %","1.271.774.618,80","101,04","1,12","0,84 %","0,23 %",2023-09-01
TSER11,Lajes Corporativas,"102,00","1.217,33","1,01","0,92","0,90 %","1,82 %","2,78 %","4,50 %","0,61 %","0,46 %","0,38 %","3,67 %","0,00 %","0,00 %",N/A,"129.147.505,71",N/A,N/A,N/A,N/A,2023-09-01
URPR11,Papéis,"96,26","1.855.428,67","0,96","1,16","1,19 %","3,67 %","7,88 %","15,11 %","1,22 %","1,31 %","1,26 %","10,43 %","-3,06 %","-1,90 %","7,13 %","1.167.835.850,29","99,33","0,97","1,12 %","-1,74 %",2023-09-01
VCJR11,Papéis,"91,78","1.988.740,11","0,95","0,55","0,60 %","2,47 %","6,46 %","10,73 %","0,82 %","1,08 %","0,89 %","8,72 %","-0,48 %","0,12 %","9,65 %","1.425.367.434,14","94,13","0,98","0,46 %","-1,54 %",2023-09-01
VCRA11,Indefinido,"95,12","554.472,85","0,98","1,25","1,30 %","3,76 %","7,74 %","15,44 %","1,25 %","1,29 %","1,29 %","10,05 %","-0,39 %","0,90 %","0,06 %","471.373.746,60","102,61","0,93","1,16 %","0,22 %",2023-09-01
VCRI11,Papéis,"8,42","267.091,07","0,87","0,09","0,98 %","3,32 %","7,50 %","15,35 %","1,11 %","1,25 %","1,28 %","10,02 %","-1,48 %","-0,52 %","5,12 %","171.490.682,95","9,57","0,88","1,25 %","-1,33 %",2023-09-01
VCRR11,Imóveis Residenciais,"77,39","321.427,22","0,60","0,69","0,90 %","2,58 %","5,39 %","10,81 %","0,86 %","0,90 %","0,90 %","7,29 %","-6,02 %","-5,17 %","11,92 %","256.768.437,00","120,03","0,64","0,56 %","0,06 %",2023-09-01
VGHF11,Misto,"9,57","3.292.421,85","1,02","0,12","1,25 %","3,74 %","7,34 %","13,43 %","1,25 %","1,22 %","1,12 %","9,52 %","-0,62 %","0,62 %","12,62 %","686.848.266,32","9,22","1,04","1,08 %","-1,70 %",2023-09-01
VGIA11,Indefinido,"9,41","5.616.623,56","1,00","0,13","0,00 %","2,71 %","6,97 %","15,71 %","0,90 %","1,16 %","1,31 %","9,92 %","0,00 %","0,00 %",N/A,"821.089.744,86","9,50","0,99","1,37 %","-0,30 %",2023-09-01
VGIP11,Papéis,"92,63","1.796.771,59","0,99","0,85","0,92 %","3,25 %","7,08 %","11,64 %","1,08 %","1,18 %","0,97 %","8,05 %","0,38 %","1,31 %","16,65 %","1.103.693.956,74","90,67","1,02","0,50 %","-1,78 %",2023-09-01
VGIR11,Papéis,"9,85","4.787.534,48","1,02","0,12","1,22 %","3,85 %","7,62 %","15,29 %","1,28 %","1,27 %","1,27 %","8,96 %","1,24 %","2,47 %","9,53 %","995.247.970,32","9,62","1,02","1,35 %","-0,20 %",2023-09-01
VIDS11,Fundo de Desenvolvimento,N/A,N/A,N/A,"129,27","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"81.713.923,88",N/A,N/A,N/A,N/A,2023-09-01
VIFI11,Fundo de Fundos,"8,48","190.736,11","0,90","0,07","0,82 %","2,53 %","5,31 %","10,55 %","0,84 %","0,89 %","0,88 %","7,21 %","2,27 %","3,11 %","31,57 %","76.239.072,37","8,89","0,95","0,68 %","-5,14 %",2023-09-01
VILG11,Imóveis Industriais e Logísticos,"106,88","2.669.336,89","0,96","0,70","0,67 %","1,94 %","4,10 %","8,16 %","0,65 %","0,68 %","0,68 %","5,43 %","-4,84 %","-4,20 %","10,56 %","1.678.321.852,08","113,68","0,94","0,63 %","-0,28 %",2023-09-01
VINO11,Lajes Corporativas,"9,17","1.012.051,85","0,17","0,06","0,65 %","1,97 %","4,19 %","8,40 %","0,66 %","0,70 %","0,70 %","5,63 %","-1,60 %","-0,96 %","2,33 %","900.631.675,97","53,90","0,17","0,63 %","-0,44 %",2023-09-01
VISC11,Shoppings,"120,81","4.455.352,37","1,05","0,92","0,76 %","2,18 %","4,43 %","8,82 %","0,73 %","0,74 %","0,74 %","5,98 %","0,97 %","1,74 %","20,67 %","2.137.514.464,12","114,93","1,05","0,66 %","-0,04 %",2023-09-01
VIUR11,Misto,"8,41","390.075,56","0,93","0,07","0,86 %","2,57 %","5,63 %","11,41 %","0,86 %","0,94 %","0,95 %","7,76 %","-1,30 %","-0,45 %","14,17 %","244.201.443,22","9,51","0,88","0,76 %","-0,12 %",2023-09-01
VJFD11,Papéis,N/A,N/A,N/A,"0,74","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"664.817.502,79","132,84",N/A,"0,77 %","0,03 %",2023-09-01
VLIQ11,Indefinido,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2023-09-01
VLOL11,Lajes Corporativas,"98,00","160.238,13","0,88","16,30",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"198.219.080,15","103,62","0,95","0,59 %","-0,02 %",2023-09-01
VOTS11,Papéis,"82,56","3.711,19","0,88","0,75","0,89 %","2,72 %","6,77 %","14,02 %","0,91 %","1,13 %","1,17 %","10,75 %","-3,38 %","-2,52 %","13,16 %","77.851.965,30","93,54","0,88","0,92 %","-1,44 %",2023-09-01
VRTA11,Papéis,"90,82","2.010.397,56","0,96","0,70","0,76 %","2,51 %","5,81 %","12,09 %","0,84 %","0,97 %","1,01 %","8,02 %","-0,58 %","0,18 %","12,71 %","1.470.814.336,50","91,92","0,99","0,98 %","-2,34 %",2023-09-01
VSEC11,Papéis,"0,21","2,50","0,07","0,08","0,00 %","0,00 %","138,00 %","138,42 %","0,00 %","23,00 %","11,54 %","138,00 %","0,00 %","0,00 %",N/A,"195.500,80",N/A,N/A,N/A,N/A,2023-09-01
VSHO11,Shoppings,"78,09","164.820,26","0,77","0,72","0,93 %","2,76 %","5,91 %","11,04 %","0,92 %","0,99 %","0,92 %","7,93 %","-1,53 %","-0,62 %","23,24 %","212.838.822,52","98,91","0,79","0,69 %","0,13 %",2023-09-01
VSLH11,Papéis,"3,62","266.209,81","0,35","0,03","0,74 %","1,87 %","3,85 %","10,99 %","0,62 %","0,64 %","0,92 %","5,33 %","-18,67 %","-18,07 %","-53,02 %","305.283.221,57","10,47","0,35","1,05 %","-0,53 %",2023-09-01
VTLT11,Imóveis Industriais e Logísticos,"96,08","231.398,00","0,95","0,88","0,89 %","2,65 %","5,55 %","10,95 %","0,88 %","0,93 %","0,91 %","7,50 %","-0,70 %","0,18 %","14,09 %","213.846.188,19","102,98","0,93","0,81 %","0,05 %",2023-09-01
VTPL11,Papéis,N/A,N/A,N/A,"5,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"106.790.661,38",N/A,N/A,N/A,N/A,2023-09-01
VVCO11,Lajes Corporativas,"12,79","312.249,67","0,91","11,16","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","62,87 %","0,00 %","0,00 %",N/A,"70.250.520,08",N/A,N/A,N/A,N/A,2023-09-01
VVCR11,Papéis,"22,98","82.766,56","1,03","0,30","1,32 %","6,39 %","20,10 %","48,89 %","2,13 %","3,35 %","4,07 %","29,45 %","7,36 %","8,77 %","-0,47 %","24.085.452,18",N/A,N/A,N/A,N/A,2023-09-01
VVPR11,Misto,"101,50","1.249.061,55","1,04","0,89","0,89 %","2,47 %","4,88 %","9,72 %","0,82 %","0,81 %","0,81 %","6,65 %","0,40 %","1,30 %","15,02 %","226.032.234,18","103,41","0,98","0,74 %","0,02 %",2023-09-01
VVRI11,Indefinido,"99,99","11.626,00","1,04","1,30","1,30 %","4,28 %","5,78 %","5,78 %","1,43 %","1,45 %","1,45 %","5,78 %","0,24 %","1,54 %","4,60 %","38.565.153,26",N/A,N/A,N/A,N/A,2023-09-01
VXXV11,Fundo de Desenvolvimento,"1.030,00","9.052.155,00","0,96","10,76","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"285.710.669,37",N/A,N/A,N/A,N/A,2023-09-01
WPLZ11,Shoppings,"65,78","11.111,78","0,75","0,41","0,61 %","2,15 %","4,03 %","8,04 %","0,72 %","0,67 %","0,67 %","5,29 %","-16,49 %","-15,98 %","-12,89 %","89.618.455,74","102,99","0,64","0,58 %","0,06 %",2023-09-01
WSEC11,Indefinido,"86,55","13.962,92","0,86","0,79","0,91 %","3,34 %","6,63 %","13,03 %","1,11 %","1,11 %","1,18 %","10,17 %","-1,52 %","-0,63 %","-0,97 %","24.675.438,15",N/A,N/A,N/A,N/A,2023-09-01
WTSP11B,Misto,"36,50","3.340,29","0,50","0,20","0,54 %","1,22 %","2,44 %","7,52 %","0,41 %","0,41 %","0,63 %","3,01 %","4,49 %","5,05 %","-6,72 %","71.984.230,05","78,92","0,46","0,40 %","0,69 %",2023-09-01
XPCA11,Indefinido,"9,49","1.580.110,41","1,04","0,14","1,45 %","3,89 %","7,83 %","15,84 %","1,30 %","1,31 %","1,32 %","10,45 %","3,54 %","5,05 %","11,17 %","317.410.269,39","9,49","1,00","1,37 %","-0,01 %",2023-09-01
XPCI11,Papéis,"87,74","2.487.609,30","0,93","0,90","1,03 %","3,21 %","6,56 %","12,37 %","1,07 %","1,09 %","1,03 %","9,03 %","0,16 %","1,19 %","17,12 %","824.443.352,07","93,63","0,94","0,64 %","-1,97 %",2023-09-01
XPCM11,Lajes Corporativas,"11,99","31.416,11","0,29","0,07","0,58 %","1,60 %","3,64 %","9,40 %","0,53 %","0,61 %","0,78 %","5,13 %","-10,44 %","-9,93 %","-11,27 %","100.994.615,18","51,53","0,23","0,33 %","-0,77 %",2023-09-01
XPHT11,Hotéis,"123,00","230.869,59","2,21","127,70",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"607.450.694,60","94,19","1,31","1,59 %","-0,08 %",2023-09-01
XPID11,Fundo de Desenvolvimento,"89,09","835.516,78",N/A,"0,75","0,83 %","2,19 %","4,35 %","8,25 %","0,73 %","0,73 %","0,69 %","10,52 %","2,55 %","3,40 %","15,00 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
XPIN11,Imóveis Industriais e Logísticos,"83,77","402.095,74","0,81","0,65","0,78 %","2,38 %","5,06 %","10,09 %","0,79 %","0,84 %","0,84 %","5,97 %","-0,05 %","0,73 %","19,32 %","740.570.598,23","103,81","0,81","0,63 %","-1,37 %",2023-09-01
XPLG11,Imóveis Industriais e Logísticos,"113,30","3.808.666,96","1,02","0,78","0,69 %","2,06 %","4,29 %","8,72 %","0,69 %","0,72 %","0,73 %","5,89 %","-0,93 %","-0,24 %","21,30 %","3.017.112.409,31","114,49","0,99","0,65 %","0,19 %",2023-09-01
XPML11,Shoppings,"114,66","9.888.646,00","1,00","0,84","0,77 %","2,35 %","4,74 %","9,41 %","0,78 %","0,79 %","0,78 %","5,53 %","4,17 %","4,97 %","16,14 %","3.050.727.984,48","101,27","1,13","0,76 %","-0,66 %",2023-09-01
XPPR11,Lajes Corporativas,"22,54","326.193,33","0,32","0,10","0,45 %","1,33 %","2,58 %","6,96 %","0,44 %","0,43 %","0,58 %","3,83 %","-0,63 %","-0,18 %","-28,31 %","515.697.388,77","74,77","0,30","0,40 %","0,05 %",2023-09-01
XPSF11,Fundo de Fundos,"8,57","598.467,85","0,97","0,08","0,86 %","2,75 %","5,93 %","12,08 %","0,92 %","0,99 %","1,01 %","8,05 %","3,81 %","4,70 %","24,30 %","381.685.180,11","8,54","1,00","0,90 %","-4,04 %",2023-09-01
XTED11,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %",2023-09-01
YUFI11,Fundo de Desenvolvimento,"89,99","164,25","0,88","0,38","0,00 %","0,70 %","1,09 %","1,09 %","0,23 %","0,18 %","0,09 %","1,09 %","0,00 %","0,00 %",N/A,"50.098.006,90",N/A,N/A,N/A,N/A,2023-09-01
YUFI11B,Indefinido,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %",2023-09-01
ZAVI11,Indefinido,"129,21","265.202,67","0,96","1,16","0,92 %","2,72 %","5,33 %","8,80 %","0,91 %","0,89 %","0,88 %","6,95 %","-0,97 %","-0,06 %","4,04 %","158.659.136,14",N/A,N/A,N/A,N/A,2023-09-01
ZIFI11,Fundo de Desenvolvimento,"898,00","18.291,00","0,74","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"57.257.472,65",N/A,N/A,N/A,N/A,2023-09-01
