Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
PRSV11,Lajes Corporativas,"85,19","3.527,91","0,40","14,10",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"41.214.748,37","364,23","0,23","0,44 %","-0,03 %",2023-09-01
PRTS11,Shoppings,"117,70",N/A,"1.961,67","0,05",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3.111.607,44",N/A,N/A,N/A,N/A,2023-09-01
PVBI11,Lajes Corporativas,"105,20","3.504.833,70","1,04","0,67","0,64 %","1,96 %","3,92 %","7,76 %","0,65 %","0,65 %","0,65 %","5,35 %","2,27 %","2,92 %","18,26 %","1.226.742.660,75","103,65","1,01","0,55 %","4,63 %",2023-09-01
QAGR11,Indefinido,"50,51","567.865,59","0,88","0,43","0,83 %","2,76 %","5,66 %","11,24 %","0,92 %","0,94 %","0,94 %","7,62 %","5,15 %","6,02 %","31,03 %","290.592.274,50","55,85","0,90","0,73 %","-0,08 %",2023-09-01
QAMI11,Papéis,"79,71","29.239,19","0,85","0,70","0,88 %","3,05 %","6,74 %","12,97 %","1,02 %","1,12 %","1,08 %","9,04 %","-2,09 %","-1,22 %","7,74 %","75.449.690,86","91,51","0,87","0,87 %","-1,61 %",2023-09-01
QIRI11,Papéis,"78,04","6.867,57","0,87","89,64","0,00 %","1,84 %","3,81 %","8,24 %","0,61 %","0,64 %","0,69 %","6,16 %","0,00 %","0,00 %",N/A,"13.441.852,95","89,98","0,87","0,73 %","6,29 %",2023-09-01
RBCO11,Lajes Corporativas,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"90,22",N/A,"0,22 %","1,03 %",2023-09-01
RBDS11,Fundo de Desenvolvimento,"2,60","619,96","0,12","2,35","11,21 %","23,43 %","54,02 %","68,55 %","7,81 %","9,00 %","5,71 %","11,21 %","-51,20 %","-45,73 %","-45,73 %","2.845.189,29","22,98","0,11","0,00 %","0,00 %",2023-09-01
RBED11,Educacional,"137,27","730.668,59","0,95","1,43","1,02 %","2,97 %","6,03 %","11,98 %","0,99 %","1,01 %","1,00 %","8,11 %","2,16 %","3,20 %","29,40 %","339.946.038,11","144,36","0,95","0,85 %","2,26 %",2023-09-01
RBFF11,Fundo de Fundos,"60,60","609.533,52","0,88","0,50","0,81 %","2,53 %","5,47 %","11,10 %","0,84 %","0,91 %","0,93 %","7,40 %","0,85 %","1,67 %","24,98 %","259.410.163,47","63,99","0,95","0,80 %","-4,94 %",2023-09-01
RBGS11,Shoppings,"28,45",N/A,"0,31","0,18","0,62 %","1,58 %","2,72 %","6,17 %","0,53 %","0,45 %","0,51 %","5,10 %","-1,90 %","-1,29 %","-25,72 %","97.865.283,71","90,78","0,31","0,18 %","0,00 %",2023-09-01
RBHG11,Papéis,"88,87","266.926,89","0,97","1,05","1,16 %","3,60 %","7,41 %","15,00 %","1,20 %","1,24 %","1,25 %","9,85 %","1,39 %","2,57 %","15,96 %","158.729.718,92","92,49","0,96","1,17 %","-0,80 %",2023-09-01
RBHY11,Papéis,"96,50","94.132,48","1,03","1,15","1,19 %","3,74 %","7,63 %","15,22 %","1,25 %","1,27 %","1,27 %","10,13 %","2,05 %","3,27 %","10,01 %","177.423.742,33","94,54","1,02","1,27 %","-0,77 %",2023-09-01
RBIF11,Fundo de Desenvolvimento,"99,99","27.689,85",N/A,"1,34","1,32 %","4,54 %","4,54 %","9,63 %","1,51 %","0,76 %","0,80 %","5,13 %","7,85 %","9,27 %","13,56 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
RBIR11,Fundo de Desenvolvimento,"84,10","49.069,12","0,81","0,46","0,53 %","0,96 %","3,03 %","3,41 %","0,32 %","0,51 %","0,57 %","3,03 %","3,80 %","4,35 %","41,17 %","158.500.274,98",N/A,N/A,N/A,N/A,2023-09-01
RBLG11,Imóveis Industriais e Logísticos,"100,51","1.865,47","0,99","0,95","0,00 %","0,94 %","1,90 %","7,36 %","0,31 %","0,32 %","0,61 %","3,77 %","0,00 %","0,00 %",N/A,"65.108.777,70","100,33","1,00","0,88 %","-1,10 %",2023-09-01
RBOP11,Lajes Corporativas,"308,20","44.864,11","0,36","2,40","0,77 %","1,96 %","7,26 %","17,91 %","0,65 %","1,21 %","1,49 %","10,29 %","-8,23 %","-7,53 %","-43,90 %","86.309.331,29",N/A,N/A,N/A,N/A,2023-09-01
RBRD11,Varejo,"37,67","30.089,30","0,57","0,34","0,92 %","2,64 %","5,37 %","10,32 %","0,88 %","0,90 %","0,86 %","7,24 %","0,05 %","0,97 %","4,10 %","122.601.610,47","68,42","0,55","0,44 %","0,05 %",2023-09-01
RBRF11,Fundo de Fundos,"87,15","3.338.520,44","0,98","0,63","0,74 %","2,38 %","5,19 %","10,38 %","0,79 %","0,87 %","0,87 %","6,13 %","6,82 %","7,61 %","32,92 %","1.211.192.224,53","82,64","1,05","0,76 %","-4,16 %",2023-09-01
RBRI11,Fundo de Desenvolvimento,"915,00","48.495,00","0,77","17,86",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"162.915.520,16",N/A,N/A,N/A,N/A,2023-09-01
RBRL11,Imóveis Industriais e Logísticos,"89,69","613.977,67","0,85","0,65","0,68 %","2,16 %","4,54 %","9,11 %","0,72 %","0,76 %","0,76 %","5,45 %","0,71 %","1,39 %","23,99 %","703.113.124,45","107,25","0,84","0,61 %","-0,01 %",2023-09-01
RBRM11,Fundo de Desenvolvimento,"94.794,81",N/A,"3,44","2.002,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"14.848.062,96",N/A,N/A,N/A,N/A,2023-09-01
RBRP11,Lajes Corporativas,"58,97","1.137.197,74","0,72","0,27","0,43 %","1,36 %","3,11 %","6,75 %","0,45 %","0,52 %","0,56 %","3,68 %","-1,66 %","-1,24 %","34,29 %","1.003.838.610,33","81,76","0,72","0,33 %","-1,63 %",2023-09-01
RBRR11,Papéis,"90,99","3.514.900,81","0,96","0,70","0,77 %","2,75 %","6,16 %","11,67 %","0,92 %","1,03 %","0,97 %","7,27 %","1,11 %","1,89 %","11,29 %","1.270.081.176,60","95,15","0,96","0,74 %","-1,87 %",2023-09-01
RBRS11,Fundo de Desenvolvimento,"56,20","52.285,37","0,60","0,40","0,72 %","2,17 %","4,48 %","8,95 %","0,72 %","0,75 %","0,75 %","5,96 %","-1,69 %","-0,98 %","8,67 %","163.419.300,39","94,15","0,60","0,51 %","5,05 %",2023-09-01
RBRX11,Indefinido,"93,66","937.198,04","0,97","1,10","1,16 %","3,68 %","7,71 %","16,73 %","1,23 %","1,29 %","1,39 %","8,97 %","0,01 %","1,17 %","14,36 %","181.866.175,50",N/A,N/A,N/A,N/A,2023-09-01
RBRY11,Papéis,"101,69","1.306.848,63","1,03","1,20","1,18 %","3,70 %","7,57 %","14,11 %","1,23 %","1,26 %","1,18 %","8,77 %","1,27 %","2,46 %","14,22 %","548.266.353,36","99,30","1,02","1,01 %","-0,58 %",2023-09-01
RBTS11,Fundo de Desenvolvimento,"1.121,00","22.420,00","1,37","21,93","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"46.273.696,75","919,32","1,22","5,13 %","-16,41 %",2023-09-01
RBVA11,Varejo,"110,65","717.672,93","1,02","1,00","0,89 %","2,74 %","5,75 %","12,30 %","0,91 %","0,96 %","1,03 %","7,79 %","1,64 %","2,54 %","31,00 %","1.254.508.454,86","103,19","1,07","1,04 %","0,12 %",2023-09-01
RBVO11,Papéis,"8,49","2.371,89","0,47","0,02","0,24 %","0,59 %","0,94 %","1,92 %","0,20 %","0,16 %","0,16 %","1,25 %","-2,44 %","-2,20 %","-19,45 %","9.306.848,49","17,37","0,49","0,12 %","-0,59 %",2023-09-01
RCFF11,Fundo de Fundos,"83,01","2.019,60","0,89","1,23","1,32 %","1,32 %","4,19 %","4,19 %","0,44 %","0,84 %","0,84 %","1,32 %","0,00 %","0,00 %",N/A,"30.044.060,32","94,05","0,88","1,86 %","-0,06 %",2023-09-01
RCRB11,Lajes Corporativas,"151,26","932.334,96","0,73","0,77","0,51 %","1,53 %","3,40 %","6,95 %","0,51 %","0,57 %","0,58 %","4,67 %","1,37 %","1,89 %","33,06 %","769.030.231,50","209,58","0,72","0,36 %","6,32 %",2023-09-01
RDPD11,Papéis,"22,96","98.337,21","1,06","0,30","1,32 %","6,39 %","20,10 %","48,89 %","2,13 %","3,35 %","4,07 %","29,45 %","7,36 %","8,77 %","-0,47 %","24.085.452,18","33,95","0,68","0,94 %","-37,05 %",2023-09-01
RECR11,Papéis,"89,55","3.781.179,07","0,93","0,71","0,81 %","3,22 %","7,12 %","12,13 %","1,07 %","1,19 %","1,01 %","8,25 %","-3,86 %","-3,08 %","7,87 %","2.548.240.436,92","95,33","0,94","0,77 %","-0,00 %",2023-09-01
RECT11,Lajes Corporativas,"48,95","419.689,56","0,53","0,40","0,77 %","2,31 %","5,47 %","10,81 %","0,77 %","0,91 %","0,90 %","6,51 %","-1,20 %","-0,44 %","2,02 %","790.437.095,33","95,24","0,51","0,53 %","-0,21 %",2023-09-01
RECX11,Fundo de Fundos,"68,95","10.765,54","0,90","0,60","0,88 %","2,67 %","5,69 %","11,68 %","0,89 %","0,95 %","0,97 %","6,78 %","-3,74 %","-2,89 %","4,37 %","16.740.110,32","78,36","0,88","0,77 %","-3,80 %",2023-09-01
REIT11,Papéis,"190,00","433,00","0,65","9,59","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"7.659.273,22",N/A,N/A,N/A,N/A,2023-09-01
RELG11,Imóveis Industriais e Logísticos,"55,55","153.369,63","0,45","0,70","0,99 %","3,06 %","5,46 %","12,21 %","1,02 %","0,91 %","1,02 %","1,97 %","-1,19 %","-0,21 %","-1,43 %","164.782.039,95","118,54","0,47","0,67 %","-0,33 %",2023-09-01
RFOF11,Fundo de Fundos,"80,09","66.344,44","0,96","0,75","0,92 %","2,78 %","5,81 %","11,70 %","0,93 %","0,97 %","0,98 %","7,85 %","2,22 %","3,16 %","26,15 %","90.246.354,50","80,55","0,99","0,91 %","-6,07 %",2023-09-01
RINV11,Indefinido,"111,05","496.748,33","1,01","2,00","1,80 %","4,69 %","7,55 %","8,49 %","1,56 %","1,26 %","1,21 %","8,49 %","-0,40 %","1,39 %","24,39 %","33.025.681,79",N/A,N/A,N/A,N/A,2023-09-01
RMAI11,Lajes Corporativas,"50,99","55.737,71","0,51","0,26","0,50 %","1,58 %","3,26 %","6,44 %","0,53 %","0,54 %","0,54 %","4,29 %","6,40 %","6,94 %","-9,53 %","242.344.280,94","108,04","0,47","0,24 %","-0,05 %",2023-09-01
RNDP11,Papéis,"148,98","8.768,33","0,83","2,00","1,48 %","10,78 %","12,57 %","34,48 %","3,59 %","2,10 %","2,87 %","33,96 %","8,60 %","10,21 %","18,96 %","19.296.802,91","189,52","0,79","0,41 %","-40,99 %",2023-09-01
RNGO11,Lajes Corporativas,"46,01","74.107,56","0,53","0,36","0,76 %","2,29 %","4,83 %","10,14 %","0,76 %","0,81 %","0,85 %","6,65 %","-4,53 %","-3,80 %","3,51 %","231.625.120,49","87,68","0,52","0,49 %","-0,02 %",2023-09-01
ROOF11,Fundo de Desenvolvimento,"500,00","7.952,29","0,84","41,72","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"45.918.329,95",N/A,N/A,N/A,N/A,2023-09-01
RPRI11,Papéis,"96,98","179.910,26","0,95","0,87","0,87 %","3,06 %","7,05 %","14,68 %","1,02 %","1,18 %","1,22 %","9,62 %","1,52 %","2,41 %","12,87 %","229.002.305,38",N/A,N/A,N/A,N/A,2023-09-01
RRCI11,Papéis,"82,42","30.924,70","0,89","0,95","1,14 %","3,45 %","7,14 %","13,92 %","1,15 %","1,19 %","1,16 %","9,43 %","-1,44 %","-0,32 %","4,53 %","44.731.027,28","94,44","0,87","0,95 %","-1,49 %",2023-09-01
RSPD11,Fundo de Desenvolvimento,"1.125,00","3.375,00","0,98","8,72","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"170.687.461,60","1.130,10","1,00","0,98 %","-1,08 %",2023-09-01
RURA11,Misto,"10,48","1.570.416,19",N/A,"0,12","1,13 %","3,66 %","7,03 %","13,94 %","1,22 %","1,17 %","1,16 %","9,04 %","-1,85 %","-0,74 %","12,15 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
RVBI11,Fundo de Fundos,"84,99","235.879,56","0,98","0,75","0,85 %","2,70 %","5,82 %","11,72 %","0,90 %","0,97 %","0,98 %","6,87 %","6,27 %","7,17 %","29,35 %","125.506.186,92","83,87","1,01","0,89 %","-2,88 %",2023-09-01
RZAG11,Indefinido,"9,66","2.663.008,67","0,98","0,14","1,40 %","4,16 %","8,11 %","15,59 %","1,39 %","1,35 %","1,30 %","10,61 %","2,33 %","3,76 %","13,10 %","647.813.930,73","9,52","1,01","1,37 %","-0,40 %",2023-09-01
RZAK11,Papéis,"92,97","3.931.406,59","1,00","1,16","1,24 %","3,81 %","7,72 %","16,29 %","1,27 %","1,29 %","1,36 %","8,92 %","-1,71 %","-0,49 %","4,33 %","821.461.572,67","92,64","1,00","1,62 %","-0,41 %",2023-09-01
RZAT11,Imóveis Industriais e Logísticos,"90,16","624.653,26","0,90","0,75","0,81 %","2,96 %","7,39 %","12,24 %","0,99 %","1,23 %","1,02 %","8,52 %","-4,76 %","-3,99 %","13,13 %","370.802.272,62",N/A,N/A,N/A,N/A,2023-09-01
RZTR11,Misto,"97,03","1.952.559,85","1,00","0,85","0,86 %","2,69 %","5,64 %","12,07 %","0,90 %","0,94 %","1,01 %","7,59 %","5,00 %","5,90 %","6,44 %","1.074.905.610,79","97,31","1,00","1,28 %","0,00 %",2023-09-01
SADI11,Papéis,"87,30","419.257,48","0,92","1,00","1,13 %","3,44 %","7,02 %","13,96 %","1,15 %","1,17 %","1,16 %","9,36 %","0,38 %","1,51 %","5,14 %","147.342.238,32","99,20","0,88","1,06 %","-0,88 %",2023-09-01
SARE11,Misto,"54,75","1.719.889,63","0,58","0,48","0,86 %","2,59 %","5,65 %","11,31 %","0,86 %","0,94 %","0,94 %","7,74 %","-8,44 %","-7,65 %","-11,42 %","872.840.322,36","94,59","0,58","0,68 %","-3,24 %",2023-09-01
SCPF11,Shoppings,"5,00","3.216,22","0,43","0,02","0,46 %","1,36 %","2,76 %","5,30 %","0,45 %","0,46 %","0,44 %","3,67 %","-1,97 %","-1,52 %","-7,76 %","49.092.959,05","12,61","0,40","0,14 %","0,29 %",2023-09-01
SDIL11,Imóveis Industriais e Logísticos,"96,50","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %",2023-09-01
SEED11,Indefinido,"98,99","197.980,00","1,11","0,74","0,00 %","0,48 %","1,64 %","1,64 %","0,16 %","0,27 %","0,14 %","1,64 %","0,00 %","0,00 %",N/A,"146.542.434,60",N/A,N/A,N/A,N/A,2023-09-01
SEQR11,Misto,"65,67","134.525,48","0,70","0,71","1,05 %","3,27 %","6,73 %","13,02 %","1,09 %","1,12 %","1,09 %","7,87 %","6,02 %","7,13 %","19,13 %","150.425.119,96","96,27","0,68","0,70 %","0,22 %",2023-09-01
SHOP11,Shoppings,"68,00","272,00","1,43","6,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"70.340.719,59",N/A,N/A,N/A,N/A,2023-09-01
SHPH11,Shoppings,"792,12","43.815,89","0,89","3,75","0,48 %","2,04 %","3,85 %","6,12 %","0,68 %","0,64 %","0,51 %","4,83 %","-1,75 %","-1,28 %","11,85 %","542.318.124,24","889,27","0,89","0,30 %","0,02 %",2023-09-01
SHSO11,Indefinido,N/A,N/A,N/A,"0,89","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"19.923.047,67",N/A,N/A,N/A,N/A,2023-09-01
SIGR11,Indefinido,"100,00","200,00","0,97","1,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"40.045.547,93",N/A,N/A,N/A,N/A,2023-09-01
SNAG11,Papéis,"10,40","1.497.800,85","0,10","0,12","1,17 %","3,55 %","6,82 %","13,31 %","1,18 %","1,14 %","1,21 %","8,00 %","1,78 %","2,97 %","9,66 %","302.563.337,00","100,85","0,10","0,12 %","-0,42 %",2023-09-01
SNCI11,Papéis,"99,89","585.405,30","1,01","1,00","0,99 %","3,19 %","6,42 %","12,58 %","1,06 %","1,07 %","1,05 %","7,45 %","0,40 %","1,39 %","9,92 %","415.451.792,74","97,83","1,02","1,12 %","0,44 %",2023-09-01
SNFF11,Fundo de Fundos,"91,48","513.507,81","0,98","0,65","0,72 %","2,20 %","4,49 %","9,77 %","0,73 %","0,75 %","0,81 %","5,24 %","2,37 %","3,11 %","7,84 %","265.411.251,95","88,83","1,03","1,46 %","-4,82 %",2023-09-01
SNID11,Fundo de Desenvolvimento,"101,18","172.095,70",N/A,"1,15","1,14 %","3,40 %","5,46 %","7,92 %","1,13 %","0,91 %","0,79 %","7,92 %","-0,35 %","0,79 %","5,94 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
SNLG11,Imóveis Industriais e Logísticos,"31,90","51.555,26","0,50","0,35","0,99 %","2,68 %","5,21 %","11,52 %","0,89 %","0,87 %","0,96 %","1,85 %","-12,69 %","-11,83 %","-14,27 %","119.765.997,95",N/A,N/A,N/A,N/A,2023-09-01
SOLR11,Imóveis Comerciais - Outros,"1.128,06","1.058,50","1,18","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.920.468,57",N/A,N/A,N/A,N/A,2023-09-01
SPMO11,Indefinido,"99,00","327,67","0,79","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"226.243.719,24",N/A,N/A,N/A,N/A,2023-09-01
SPTW11,Lajes Corporativas,"41,15","89.015,63","0,73","0,46","1,11 %","3,07 %","6,26 %","12,29 %","1,02 %","1,04 %","1,02 %","8,38 %","-3,04 %","-1,96 %","10,59 %","100.695.045,93","53,18","0,77","0,79 %","0,09 %",2023-09-01
SPVJ11,Shoppings,N/A,N/A,N/A,"0,67","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"737.079.305,24","116,76",N/A,"0,57 %","0,08 %",2023-09-01
SPXS11,Indefinido,"102,31","559.919,33","1,06","1,22","1,26 %","3,73 %","7,44 %","11,56 %","1,24 %","1,24 %","1,05 %","8,53 %","2,11 %","3,39 %","15,40 %","119.290.463,55",N/A,N/A,N/A,N/A,2023-09-01
SRVD11,Indefinido,"3,00","233,91","583,00","0,20","2,29 %","3,30 %","3,30 %","3,30 %","1,65 %","1,65 %","1,65 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","-647.694,94","1,19","2,53","16,87 %","-0,11 %",2023-09-01
STRX11,Fundo de Desenvolvimento,"8,52",N/A,"0,05","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"264.687.656,20","140,86","0,06","0,50 %","0,01 %",2023-09-01
TCPF11,Misto,"1,26",N/A,"0,01","1,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"37.245.835,78",N/A,N/A,N/A,N/A,2023-09-01
TEPP11,Lajes Corporativas,"90,00","1.096.871,67","0,95","0,58","0,65 %","2,23 %","4,39 %","8,47 %","0,74 %","0,73 %","0,71 %","5,85 %","0,45 %","1,11 %","40,55 %","401.241.306,21","90,23","1,00","0,55 %","-0,09 %",2023-09-01
