Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-01-01,HTMX11,Hotel,"160,49",0.0,"R$ 1,3107","0,8856%","2,5149%","4,4127%","6,8348%","0,8383%","0,7354%","0,5696%","6,8348%","3,4965%","4,4130%","20,9419%","R$ 149.656.455,20","R$ 133,75","1,2000","0,7390%","-0,3674%","0,3689%","5,2970%","25,00%",N/A,24
2019-01-01,MAXR11,Outros,"1.810,00",0.0,"R$ 10,1745","0,5652%","1,4287%","4,2589%","8,6114%","0,4762%","0,7098%","0,7176%","6,2631%","-5,7544%","-5,2217%","-4,2999%","R$ 110.625.211,36","R$ 1.867,25","0,9693","0,5449%","0,3043%","0,8508%","8,3604%","0,00%",N/A,8
2019-01-01,JRDM11,Shoppings,"71,50",0.0,"R$ 0,5398","0,7657%","1,7955%","3,6569%","6,7152%","0,5985%","0,6095%","0,5596%","5,7880%","-1,3986%","-0,6436%","-8,3570%","R$ 188.963.244,96","R$ 85,00","0,8412","0,6350%","-0,0796%","0,5550%","5,7474%","1,10%",N/A,1
2019-01-01,ALMI11,Lajes Corporativas,"1.430,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","2,2692%","2,2692%","-28,2913%","R$ 221.858.126,72","R$ 1.995,54","0,7166",N/A,N/A,N/A,N/A,"82,00%",N/A,1
2019-01-01,TRNT11,Lajes Corporativas,"185,00",457.0,"R$ 0,6407","0,3463%","1,0372%","1,8208%","3,1112%","0,3457%","0,3035%","0,2593%","3,1112%","3,9326%","4,2925%","7,2064%","R$ 741.127.131,99","R$ 188,32","0,9824","0,3244%","0,0495%","0,3741%","4,0630%","20,10%",N/A,1
2019-01-01,FVBI11,Lajes Corporativas,"123,40",0.0,"R$ 0,3887","0,3122%","1,0061%","2,2761%","4,6721%","0,3354%","0,3794%","0,3893%","4,3175%","11,6592%","12,0078%","26,8114%","R$ 202.389.206,32","R$ 94,13","1,3109","0,4129%","0,0067%","0,4196%","24,1509%","20,90%",N/A,1
2019-01-01,FCFL11,Outros,"2.043,00",81.0,"R$ 11,6128","0,5895%","1,7734%","3,5038%","6,5265%","0,5911%","0,5840%","0,5439%","6,0648%","1,7567%","2,3566%","-6,8610%","R$ 262.294.795,38","R$ 1.570,63","1,3008","0,7394%","0,0054%","0,7448%","20,9225%","0,00%",N/A,1
2019-01-01,THRA11,Lajes Corporativas,"124,52",2654.0,"R$ 0,5803","0,4718%","1,5648%","3,1294%","5,3915%","0,5216%","0,5216%","0,4493%","5,3915%","3,9905%","4,4811%","14,8648%","R$ 134.328.967,30","R$ 91,21","1,3652","0,6351%","-0,1046%","0,5298%","13,1238%","0,00%",N/A,1
2019-01-01,CEOC11,Lajes Corporativas,"82,47",2577.0,"R$ 0,5518","0,6915%","2,0950%","4,1315%","7,7813%","0,6983%","0,6886%","0,6484%","7,7813%","0,7194%","1,4159%","-4,1826%","R$ 151.718.653,93","R$ 83,56","0,9870","0,6635%","-0,0508%","0,6124%","10,9198%","0,00%",N/A,1
2019-01-01,GGRC11,Logística,"134,92",16051.0,"R$ 1,0800","0,7905%","2,4693%","4,6042%","8,0278%","0,8231%","0,7674%","0,6690%","8,0278%","5,9727%","6,8104%","11,5291%","R$ 456.699.993,57","R$ 118,74","1,1363","0,9096%","-0,2371%","0,6703%","16,0847%","0,00%",N/A,13
2019-01-01,OUJP11,Títulos e Val. Mob.,"103,10",1592.0,"R$ 0,6829","0,6640%","2,1748%","3,6245%","7,4502%","0,7249%","0,6041%","0,6208%","7,4502%","1,1110%","1,7824%","4,3012%","R$ 75.502.558,27","R$ 104,86","0,9832","0,6512%","-0,0815%","0,5692%","11,2734%",N/A,N/A,0
2019-01-01,HCRI11,Hospital,"302,76",0.0,"R$ 2,6002","0,8588%","2,2376%","4,4511%","8,4378%","0,7459%","0,7418%","0,7032%","8,4378%","-3,5827%","-2,7546%","0,6161%","R$ 62.899.009,41","R$ 314,50","0,9627","0,5641%","0,0005%","0,5646%","8,1772%","0,00%",N/A,1
2019-01-01,RBRF11,Títulos e Val. Mob.,"102,11",3305.0,"R$ 0,5168","0,5061%","1,8201%","3,7321%","8,6419%","0,6067%","0,6220%","0,7202%","8,6419%","2,2122%","2,7296%","15,3270%","R$ 155.716.445,15","R$ 95,89","1,0649","0,6779%","-0,4058%","0,2693%","2,2712%",N/A,N/A,0
2019-01-01,VISC11,Shoppings,"108,50",23799.0,"R$ 0,6042","0,5594%","1,7334%","3,5802%","6,9782%","0,5778%","0,5967%","0,5815%","6,9782%","2,7397%","3,3145%","11,3183%","R$ 824.888.787,71","R$ 101,08","1,0734","0,5977%","3,5067%","4,1254%","10,3608%","4,80%",N/A,9
2019-01-01,XPML11,Shoppings,"106,00",12223.0,"R$ 0,6500","0,6194%","1,7668%","3,0872%","5,6054%","0,5889%","0,5145%","0,4671%","5,6054%","6,6463%","7,3069%","6,3276%","R$ 519.579.063,44","R$ 104,23","1,0170","0,6236%","-0,9083%","-0,2904%","14,7016%","4,60%",N/A,7
2019-01-01,BCFF11,Títulos e Val. Mob.,"85,20",12096.0,"R$ 0,5800","0,6613%","1,9977%","4,0251%","7,6232%","0,6659%","0,6708%","0,6353%","7,6232%","5,1685%","5,8640%","15,3951%","R$ 504.933.229,10","R$ 84,87","1,0039","0,6834%","1,1675%","1,8588%","1,2201%",N/A,N/A,0
2019-01-01,MALL11,Shoppings,"105,30",7162.0,"R$ 0,6400","0,5944%","1,8440%","3,7187%","7,1313%","0,6147%","0,6198%","0,5943%","7,1313%","5,6826%","6,3107%","15,6148%","R$ 178.312.126,48","R$ 95,86","1,0985","0,6676%","0,1617%","0,8304%","6,7947%","0,00%",N/A,1
2019-01-01,UBSR11,Títulos e Val. Mob.,"109,46",4622.0,"R$ 0,5748","0,5251%","3,2394%","8,1074%","11,4613%","1,0798%","1,3512%","0,9551%","11,4613%","2,7793%","3,3191%","14,2368%","R$ 120.929.103,44","R$ 97,26","1,1255","1,1434%","2,0359%","3,2026%","13,7783%",N/A,N/A,0
2019-01-01,BZLI11,Títulos e Val. Mob.,"13,93",52232.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,6787%","0,6787%","1,1364%","R$ 374.820.453,08","R$ 12,20","1,1418",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-01-01,ALZR11,Outros,"98,50",2441.0,"R$ 0,6511","0,6927%","2,1070%","4,1782%","7,1239%","0,7023%","0,6964%","0,5937%","7,1239%","3,0815%","3,7955%","-2,5146%","R$ 97.115.106,26","R$ 97,40","1,0113","0,6685%","0,0100%","0,6785%","9,4471%","0,00%",N/A,2
2019-01-01,MGFF11,Títulos e Val. Mob.,"96,99",0.0,"R$ 0,7000","0,7232%","2,3244%","3,8076%","0,0000%","0,7748%","0,6346%","0,0000%","4,7837%","8,2662%","9,0492%","1,5181%","R$ 114.177.149,89","R$ 94,68","1,0244","0,7393%","2,4411%","3,1985%","2,6756%",N/A,N/A,0
2019-01-01,IRDM11,Títulos e Val. Mob.,"110,00",5253.0,"R$ 0,8609","0,7827%","2,6404%","5,1233%","0,0000%","0,8801%","0,8539%","0,0000%","6,9621%","8,0656%","8,9114%","19,0423%","R$ 104.575.646,96","R$ 96,83","1,1360","1,0051%","0,4544%","1,4641%","8,1839%",N/A,N/A,0
2019-01-01,HFOF11,Títulos e Val. Mob.,"95,40",5557.0,"R$ 0,5400","0,5838%","1,8021%","3,6198%","6,0488%","0,6007%","0,6033%","0,5041%","6,0488%","3,6996%","4,3049%","-1,7530%","R$ 220.418.323,79","R$ 93,21","1,0235","0,5794%","2,8948%","3,4909%","-3,2691%",N/A,N/A,0
2019-01-01,WPLZ11,Shoppings,"73,40",324.0,"R$ 0,2100","0,2917%","1,0557%","2,2981%","4,9533%","0,3519%","0,3830%","0,4128%","4,7772%","2,8571%","3,1571%","-0,5948%","R$ 82.455.279,58","R$ 83,34","0,8807","0,2400%","0,0414%","0,2815%","5,1799%","7,96%",N/A,1
2019-01-01,XPLG11,Logística,"102,43",10324.0,"R$ 0,6480","0,6461%","1,9620%","3,4640%","3,7922%","0,6540%","0,5773%","0,3160%","3,7922%","5,2913%","5,9717%","4,1540%","R$ 351.568.563,50","R$ 96,03","1,0667","0,6717%","0,0720%","0,7442%","4,3039%","0,00%",N/A,5
2019-01-01,OUCY11,Títulos e Val. Mob.,"93,10",625.0,"R$ 0,6007","0,6986%","1,9046%","3,3890%","0,0000%","0,6349%","0,5648%","0,0000%","3,7068%","1,1171%","1,8236%","-10,7720%","R$ 51.617.149,08","R$ 96,68","0,9630","0,6214%","0,0599%","0,6817%","4,7083%",N/A,N/A,0
2019-01-01,HBTT11,Outros,"1.119,50",21.0,"R$ 6,1500","0,5494%","1,2640%","0,0000%","0,0000%","0,4213%","0,0000%","0,0000%","2,7787%","0,0000%","0,5494%","15,0931%","R$ 128.629.909,16","R$ 1.145,15","0,9776","0,6986%","0,7489%","1,4528%","7,3248%",N/A,N/A,0
2019-01-01,RBRR11,Títulos e Val. Mob.,"108,98",11698.0,"R$ 0,7036","0,6456%","2,2116%","4,4181%","0,0000%","0,7372%","0,7364%","0,0000%","5,2186%","5,2947%","5,9745%","14,7977%","R$ 142.272.502,78","R$ 96,10","1,1340","0,8324%","-0,0760%","0,7559%","4,7487%",N/A,N/A,0
