Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-07-01,CXCE11B,"2.338,00",13.0,"R$ 18,3311","0,7819%","2,3337%","4,6947%","9,5720%","0,7779%","0,7825%","0,7977%","3,0993%","3,9054%","3,9974%","R$ 154.817.613,6300","R$ 2.259,5174","1,0347","0,8113%","0,0378%","0,8494%","6,0534%",N/A,N/A,0
2017-07-01,CXTL11,"630,00",16.0,"R$ 3,4995","0,5814%","1,9612%","4,6444%","9,6561%","0,6537%","0,7741%","0,8047%","-1,5180%","-0,9454%","16,7778%","R$ 53.437.114,3100","R$ 997,0169","0,6319","0,3510%","0,0584%","0,4096%","3,2676%",N/A,N/A,0
2017-07-01,CTXT11,"4,26",8158.0,"R$ 0,0335","0,7867%","2,3724%","4,9263%","10,2484%","0,7908%","0,8211%","0,8540%","0,9542%","1,7484%","17,6554%","R$ 123.107.538,9100","R$ 3,3895","1,2568","0,9869%","0,0787%","1,0664%","7,8011%","3,8000%",N/A,1
2017-07-01,FLMA11,"2,30",14611.0,"R$ 0,0130","0,5953%","1,6294%","3,2177%","6,7137%","0,5431%","0,5363%","0,5595%","0,2572%","0,8541%","0,7205%","R$ 183.419.581,7600","R$ 2,6570","0,8656","0,4893%","-0,0272%","0,4620%","3,1417%",N/A,N/A,0
2017-07-01,EDFO11B,"282,00",20.0,"R$ 1,8272","0,6474%","1,9018%","3,8343%","8,0075%","0,6339%","0,6390%","0,6673%","1,1082%","1,7628%","8,0746%","R$ 37.763.903,9200","R$ 160,0165","1,7623","1,1419%","0,0238%","1,1660%","8,3245%",N/A,N/A,0
2017-07-01,EURO11,"184,50",293.0,"R$ 0,7000","0,3600%","0,6666%","2,4535%","5,6371%","0,2222%","0,4089%","0,4698%","0,7632%","1,1260%","3,5162%","R$ 121.004.493,6200","R$ 315,1684","0,5854","0,2221%","-0,0686%","0,1533%","-3,3609%","17,6100%",N/A,6
2017-07-01,FIGS11,"79,71",13023.0,"R$ 0,8333","1,2114%","3,6932%","7,2835%","15,0797%","1,2311%","1,2139%","1,2566%","2,6491%","3,8925%","6,3813%","R$ 228.325.973,8000","R$ 88,1057","0,9047","0,9458%","0,1466%","1,0938%","5,7841%",N/A,N/A,2
2017-07-01,ABCP11,"16,50",968.0,"R$ 0,0750","0,4472%","1,3944%","3,4542%","7,1941%","0,4648%","0,5757%","0,5995%","5,6613%","6,1338%","40,6926%","R$ 678.351.704,8200","R$ 11,1170","1,4842","0,6746%","-0,4700%","0,2015%","3,8227%","1,5000%",N/A,1
2017-07-01,GWIR11,"232,00",282.0,"R$ 1,0200","0,4397%","1,4200%","2,8240%","6,0825%","0,4733%","0,4707%","0,5069%","-9,0196%","-8,6196%","-6,4200%","R$ 79.947.633,8100","R$ 209,2777","1,1086","0,4874%","0,0122%","0,4997%","3,5203%",N/A,N/A,0
2017-07-01,FIIB11,"370,00",249.0,"R$ 2,3200","0,6452%","1,9449%","3,9834%","9,0705%","0,6483%","0,6639%","0,7559%","4,1411%","4,8130%","6,8856%","R$ 239.428.983,2000","R$ 349,5314","1,0586","0,6637%","0,0889%","0,7532%","3,6028%","6,9800%",N/A,1
2017-07-01,FMOF11,"107,70",28.0,"R$ 0,2900","0,2612%","0,7236%","1,3704%","2,4560%","0,2412%","0,2284%","0,2047%","3,5871%","3,8577%","6,2630%","R$ 67.539.353,6700","R$ 132,9494","0,8101","0,2181%","-0,0914%","0,1265%","1,1603%","49,8800%",N/A,1
2017-07-01,MBRF11,"1.047,01",70.0,"R$ 7,7900","0,7874%","2,3817%","4,8275%","10,0529%","0,7939%","0,8046%","0,8377%","0,9693%","1,7643%","15,5969%","R$ 130.692.351,2700","R$ 1.285,5323","0,8145","0,6060%","0,0291%","0,6353%","4,4596%","20,9200%",N/A,3
2017-07-01,PABY11,"25,00",11.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","22,5610%","22,5610%","12,1505%","R$ 179.001.279,5700","R$ 236,0249","0,1059","0,0000%","-1,0152%","-1,0152%","-3,9726%",N/A,N/A,0
2017-07-01,FPAB11,"309,00",93.0,"R$ 1,8500","0,5967%","1,7894%","3,4835%","7,2603%","0,5965%","0,5806%","0,6050%","2,7635%","3,3767%","5,6908%","R$ 272.917.146,2500","R$ 363,8895","0,8492","0,5084%","0,0100%","0,5185%","3,6424%","21,8600%",N/A,1
2017-07-01,FFCI11,"176,00",1069.0,"R$ 1,2000","0,6760%","2,7402%","4,6778%","8,8883%","0,9134%","0,7796%","0,7407%","0,0000%","0,6760%","19,8065%","R$ 245.277.942,2900","R$ 177,0842","0,9939","0,6776%","9.816,6390%","9.883,8385%","1.040.018,0066%","6,8000%","5,1000%",8
2017-07-01,RNGO11,"89,95",3575.0,"R$ 0,5400","0,6093%","1,7852%","3,8184%","8,9707%","0,5951%","0,6364%","0,7476%","-1,1442%","-0,5418%","8,8848%","R$ 251.191.156,9600","R$ 93,8681","0,9583","0,5753%","0,0412%","0,6167%","4,2765%","15,6000%",N/A,2
2017-07-01,SHPH11,"910,00",38.0,"R$ 3,5000","0,3841%","1,1601%","2,6624%","5,3593%","0,3867%","0,4437%","0,4466%","1,2484%","1,6373%","14,5729%","R$ 351.580.025,5200","R$ 607,8987","1,4970","0,5758%","-0,7164%","-0,1448%","2,9443%","2,3000%",N/A,1
2017-07-01,ONEF11,"1.065,00",50.0,"R$ 6,5000","0,6035%","1,7045%","3,4553%","6,7456%","0,5682%","0,5759%","0,5621%","-0,4026%","0,1984%","19,6394%","R$ 95.958.359,4400","R$ 1.053,3300","1,0111","0,6171%","0,0323%","0,6496%","4,3013%","0,0000%",N/A,1
2017-07-01,FIVN11,"7,00",4.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 159.863.053,6200","R$ 16,9839","0,4122","0,0000%","0,0000%","0,0000%","0,0000%",N/A,N/A,0
2017-07-01,RBBV11,"62,32",1049.0,"R$ 0,3932","0,6075%","1,4020%","3,1559%","6,7213%","0,4673%","0,5260%","0,5601%","-5,2944%","-4,7191%","-5,4595%","R$ 125.292.440,9600","R$ 99,9012","0,6238","0,3936%","-0,2538%","0,1388%","1,9408%",N/A,N/A,0
2017-07-01,JSRE11,"99,90",10749.0,"R$ 1,0500","1,0468%","2,4312%","5,1626%","10,6830%","0,8104%","0,8604%","0,8902%","-0,1769%","0,8681%","10,1370%","R$ 699.812.429,9500","R$ 108,4486","0,9212","0,9682%","-0,2593%","0,7064%","5,7051%","54,0000%",N/A,1
2017-07-01,KNRE11,"0,95",0.0,"R$ 0,0000","0,0000%","2,0022%","2,0022%","2,4818%","0,6674%","0,3337%","0,2068%","-7,1959%","-7,1959%","-10,8649%","R$ 212.719.614,8100","R$ 1,1469","0,8283","0,0000%","-0,0275%","-0,0275%","-8,1174%",N/A,N/A,0
2017-07-01,KNRI11,"151,06",10952.0,"R$ 0,9200","0,6153%","1,8483%","3,6933%","7,7293%","0,6161%","0,6156%","0,6441%","0,6779%","1,2973%","4,1638%","R$ 2.102.247.288,9000","R$ 143,9965","1,0491","0,6389%","-0,0757%","0,5627%","3,9334%","2,8100%","10,3600%",16
2017-07-01,KNCR11,"104,75",29546.0,"R$ 0,7300","0,6814%","2,2069%","5,0311%","11,0414%","0,7356%","0,8385%","0,9201%","-0,7007%","-0,0241%","3,0349%","R$ 2.914.784.886,5300","R$ 103,7330","1,0098","0,7037%","-0,1289%","0,5740%","6,0299%",N/A,N/A,0
2017-07-01,MXRF11,"9,45",56573.0,"R$ 0,0600","0,6081%","2,6199%","5,3201%","10,7735%","0,8733%","0,8867%","0,8978%","1,3034%","1,9194%","14,1384%","R$ 325.598.239,7600","R$ 10,3421","0,9137","0,5802%","-0,2377%","0,3410%","-90,1305%",N/A,N/A,0
2017-07-01,MFII11,"125,36",2643.0,"R$ 1,1700","0,9980%","3,1094%","6,4588%","13,2163%","1,0365%","1,0765%","1,1014%","3,7477%","4,7830%","19,6558%","R$ 71.849.906,4800","R$ 110,0957","1,1386","1,0627%","0,7751%","1,8460%","18,3106%",N/A,N/A,0
2017-07-01,DRIT11B,"118,70",31.0,"R$ 0,5000","0,3660%","3,9682%","6,0190%","9,7296%","1,3227%","1,0032%","0,8108%","21,4522%","21,8966%","43,7541%","R$ 58.256.261,7400","R$ 125,7482","0,9439","0,3976%","-0,0037%","0,3939%","4,6621%","18,1000%","10,4000%",6
2017-07-01,PLRI11,"113,50",332.0,"R$ 0,8300","0,7394%","1,7712%","4,7129%","11,0871%","0,5904%","0,7855%","0,9239%","-1,5676%","-0,8397%","10,0506%","R$ 110.629.234,8800","R$ 115,9266","0,9791","0,7160%","-0,3174%","0,3963%","4,6237%",N/A,N/A,0
2017-07-01,PORD11,"104,24",560.0,"R$ 5,8000","5,2752%","5,2752%","5,2752%","11,3888%","1,7584%","0,8792%","0,9491%","2,2777%","7,6730%","13,0778%","R$ 103.587.501,3500","R$ 103,5875","1,0063","5,5991%","-5,2493%","0,0559%","4,8772%",N/A,N/A,0
2017-07-01,RBDS11,"390,00",15.0,"R$ 1,1968","0,3146%","1,7059%","2,0254%","10,6718%","0,5686%","0,3376%","0,8893%","0,0383%","0,3530%","-6,8062%","R$ 78.360.313,8900","R$ 619,3365","0,6297","0,1932%","-0,2193%","-0,0265%","21,5711%",N/A,N/A,0
2017-07-01,RBGS11,"41,22",1252.0,"R$ 0,1502","0,3696%","1,1101%","3,4984%","14,3893%","0,3700%","0,5831%","1,1991%","-6,1160%","-5,7691%","19,4193%","R$ 99.243.689,9400","R$ 92,0628","0,4477","0,1632%","0,0067%","0,1698%","1,7124%","16,2000%",N/A,1
2017-07-01,FIIP11B,"197,30",420.0,"R$ 1,2696","0,6719%","2,0314%","5,5527%","10,4624%","0,6771%","0,9254%","0,8719%","1,7859%","2,4698%","14,7261%","R$ 164.763.363,8200","R$ 177,7072","1,1103","0,7144%","4,8727%","5,6219%","16,2615%",N/A,N/A,0
2017-07-01,RBRD11,"86,40",905.0,"R$ 0,4970","0,6127%","1,9258%","3,9741%","12,2663%","0,6419%","0,6623%","1,0222%","5,3564%","6,0019%","27,3957%","R$ 137.985.621,1100","R$ 74,5149","1,1595","0,6670%","0,3306%","0,9998%","6,7367%","0,0000%",N/A,0
2017-07-01,RDES11,"66,03",208.0,"R$ 0,2150","0,3620%","1,1164%","2,1916%","4,0449%","0,3721%","0,3653%","0,3371%","-1,6842%","-1,3283%","4,7838%","R$ 64.433.130,0000","R$ 86,8371","0,7604","0,2475%","0,0265%","0,2741%","1,9568%","50,5300%",N/A,0
2017-07-01,RBCB11,"460,00",11.0,"R$ 7,0000","1,6484%","3,4448%","6,1836%","12,3147%","1,1483%","1,0306%","1,0262%","3,2142%","4,9155%","9,0076%","R$ 16.959.668,2000","R$ 319,3911","1,4402","2,1917%","-6,9312%","-4,8915%","-28,4352%",N/A,N/A,0
2017-07-01,RBVO11,"69,00",408.0,"R$ 0,3000","0,4292%","1,3485%","2,7450%","8,9453%","0,4495%","0,4575%","0,7454%","-3,1396%","-2,7239%","-19,1520%","R$ 36.007.918,0200","R$ 69,8066","0,9884","0,4298%","-0,9416%","-0,5159%","-19,8665%",N/A,N/A,0
2017-07-01,SAAG11,"126,95",7179.0,"R$ 0,8600","0,6747%","2,0044%","4,0723%","8,4925%","0,6681%","0,6787%","0,7077%","-0,9771%","-0,3090%","9,0279%","R$ 519.047.160,7600","R$ 92,1683","1,3774","0,9331%","0,0204%","0,9536%","6,8332%",N/A,N/A,28
2017-07-01,SDIL11,"87,98",2140.0,"R$ 0,6000","0,7076%","1,9669%","3,7206%","8,8359%","0,6556%","0,6201%","0,7363%","0,4594%","1,1702%","3,7246%","R$ 139.407.913,8800","R$ 96,8882","0,9081","0,6193%","0,0065%","0,6258%","4,2039%","14,2000%","13,0000%",1
2017-07-01,SPTW11,"69,80",2124.0,"R$ 0,5350","0,7540%","2,2531%","4,7134%","11,2882%","0,7510%","0,7856%","0,9407%","-0,5546%","0,1952%","20,1909%","R$ 131.978.829,7800","R$ 73,4031","0,9509","0,7289%","0,7086%","1,4426%","5,6176%",N/A,N/A,0
2017-07-01,XTED11,"18,12",3585.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-1,1955%","-1,1955%","-12,2763%","R$ 70.984.617,3600","R$ 48,3876","0,3745","0,0000%","0,1222%","0,1222%","-0,1052%","96,8000%","98,3000%",2
2017-07-01,TRXL11,"68,30",1546.0,"R$ 0,3609","0,5583%","1,4007%","2,6337%","8,9256%","0,4669%","0,4390%","0,7438%","6,6387%","7,2341%","5,6354%","R$ 149.645.436,4200","R$ 90,7317","0,7528","0,2670%","0,1864%","0,4539%","2,5900%","53,0000%","50,1000%",6
2017-07-01,XPCM11,"89,30",2492.0,"R$ 0,8000","0,9070%","2,7490%","5,4562%","11,1175%","0,9163%","0,9094%","0,9265%","4,0546%","4,9983%","2,7132%","R$ 189.122.904,3600","R$ 78,3257","1,1401","1,0214%","0,1084%","1,1309%","8,0044%","0,0000%","0,0000%",1
2017-07-01,KNIP11,"105,20",0.0,"R$ 0,5600","0,5393%","1,7149%","4,0099%","0,0000%","0,5716%","0,6683%","0,0000%","-1,6877%","-1,1575%","2,9128%","R$ 920.414.734,1700","R$ 100,8560","1,0431","0,5552%","-0,2925%","0,2611%","4,5147%",N/A,N/A,0
2017-07-01,FAED11,"206,98",1.0,"R$ 1,4391","0,7002%","1,8528%","4,1312%","9,0506%","0,6176%","0,6885%","0,7542%","-2,8238%","-2,1434%","4,9106%","R$ 509.975.897,1500","R$ 85,7194","2,4146","1,6789%","-49,7675%","-48,9241%","-72,7438%","0,0000%",N/A,3
2017-07-01,CNES11,"102,50",11.0,"R$ 0,4223","0,4205%","1,2622%","2,4749%","5,0839%","0,4207%","0,4125%","0,4237%","8,5605%","9,0170%","7,3459%","R$ 301.851.971,6700","R$ 102,3488","1,0015","0,4126%","0,0193%","0,4320%","5,2809%","39,6000%",N/A,1
2017-07-01,FLRP11,"1.059,99",0.0,"R$ 5,5806","0,5384%","1,4552%","4,3993%","8,2776%","0,4851%","0,7332%","0,6898%","-2,7562%","-2,2327%","27,5846%","R$ 59.732.751,8900","R$ 1.244,4323","0,8518","0,4484%","-0,0930%","0,3550%","3,2721%","3,1000%",N/A,1
2017-07-01,FEXC11,"91,80",23.0,"R$ 0,2400","0,2648%","1,1788%","3,3984%","8,6817%","0,3929%","0,5664%","0,7235%","-1,6673%","-1,4069%","-11,0126%","R$ 149.329.783,5900","R$ 102,1911","0,8983","0,2349%","0,0270%","0,2619%","4,6481%",N/A,N/A,0
2017-07-01,EDGA11,"47,79",84.0,"R$ 0,0999","0,2053%","0,5823%","1,6817%","5,3750%","0,1941%","0,2803%","0,4479%","-8,2122%","-8,0238%","-9,2343%","R$ 319.259.018,8700","R$ 83,7498","0,5706","0,1192%","-0,0275%","0,0917%","1,1215%","34,8000%",N/A,1
2017-07-01,NSLU11,"229,89",7.0,"R$ 1,5254","0,7122%","1,8966%","4,1549%","8,9758%","0,6322%","0,6925%","0,7480%","-0,1759%","0,5350%","10,9171%","R$ 219.673.767,6000","R$ 191,8883","1,1980","0,7950%","0,0029%","0,7979%","3,7729%","0,0000%",N/A,1
2017-07-01,HTMX11,"120,00",30.0,"R$ 0,7374","0,6108%","2,0730%","2,6727%","5,9101%","0,6910%","0,4454%","0,4925%","0,2121%","0,8242%","4,5642%","R$ 165.301.753,8000","R$ 147,7280","0,8123","0,4992%","-0,0527%","0,4462%","10,8999%","35,0000%",N/A,0
