Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-07-01,AEFI11,"148,90",2095.0,"R$ 1,5500","1,0874%","2,7028%","5,0505%","10,5202%","0,9009%","0,8418%","0,8767%","3,6572%","4,7844%","6,2360%","R$ 99.335.075,3400","R$ 132,0067","1,1280","1,1742%","-0,2168%","0,9548%","6,9469%","0,0000%",N/A,2
2017-07-01,BCRI11,"112,00",0.0,"R$ 0,8800","0,7827%","2,5854%","5,5235%","12,4211%","0,8618%","0,9206%","1,0351%","0,3698%","1,1554%","5,1176%","R$ 116.717.279,5200","R$ 96,4606","1,1611","0,9123%","-0,9813%","-0,0780%","6,6366%",N/A,N/A,0
2017-07-01,BNFS11,"112,00",92.0,"R$ 0,7034","0,6041%","1,8742%","3,8643%","7,7586%","0,6247%","0,6440%","0,6465%","-2,6171%","-2,0289%","1,4470%","R$ 62.436.799,5400","R$ 89,1954","1,2557","0,7886%","0,1271%","0,9167%","6,1820%",N/A,N/A,0
2017-07-01,BBFI11B,"2.420,00",101.0,"R$ 22,6282","0,8548%","2,5415%","5,3088%","10,4176%","0,8472%","0,8848%","0,8681%","-1,7594%","-0,9197%","10,8672%","R$ 474.980.549,2700","R$ 3.653,6965","0,6623","0,6193%","0,0619%","0,6816%","10,1935%",N/A,N/A,0
2017-07-01,BBPO11,"135,00",20646.0,"R$ 0,9550","0,7048%","2,1187%","4,2821%","9,2312%","0,7062%","0,7137%","0,7693%","0,0579%","0,7631%","9,8898%","R$ 1.539.184.470,7800","R$ 96,6800","1,3964","0,9878%","3,7426%","4,7674%","15,3999%",N/A,N/A,0
2017-07-01,BBRC11,"130,20",871.0,"R$ 0,8550","0,6734%","2,0043%","3,9788%","8,4656%","0,6681%","0,6631%","0,7055%","1,2541%","1,9359%","9,9756%","R$ 153.386.550,0300","R$ 96,4695","1,3496","0,8863%","0,0370%","0,9237%","6,5297%",N/A,N/A,0
2017-07-01,RNDP11,"1.023,99",44.0,"R$ 8,1168","0,7821%","2,4551%","5,3504%","11,8887%","0,8184%","0,8917%","0,9907%","2,7398%","3,5433%","5,4286%","R$ 111.679.636,6000","R$ 1.039,0640","0,9855","0,7812%","-0,1558%","0,6241%","5,9306%",N/A,N/A,0
2017-07-01,BCIA11,"110,95",0.0,"R$ 0,8000","0,7102%","1,9661%","4,1078%","9,0359%","0,6554%","0,6846%","0,7530%","-4,2264%","-3,5462%","-2,2115%","R$ 95.449.801,0600","R$ 116,3859","0,9533","0,6874%","-0,7305%","-0,0481%","6,8989%",N/A,N/A,0
2017-07-01,CARE11,"1,80",192558.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 49.301.134,9100","R$ 1,2839","1,4020","0,0000%","0,0000%","0,0000%","0,0000%",N/A,N/A,0
2017-07-01,CXRI11,"1.098,00",27.0,"R$ 8,0000","0,7679%","2,3152%","4,5279%","9,4666%","0,7717%","0,7546%","0,7889%","2,5002%","3,2874%","7,9990%","R$ 174.847.524,1100","R$ 1.109,6076","0,9895","0,7210%","-0,1674%","0,5523%","6,3623%",N/A,N/A,0
2017-07-01,CPTS11B,"98,50",0.0,"R$ 0,8000","0,8147%","2,5176%","5,6676%","0,0000%","0,8392%","0,9446%","0,0000%","-1,4020%","-0,5987%","3,8897%","R$ 99.954.914,6400","R$ 99,9549","0,9854","0,8004%","-0,1453%","0,6539%","6,2287%",N/A,N/A,0
2017-07-01,CBOP11,"715,00",200.0,"R$ 4,9000","0,6856%","2,0577%","4,1246%","8,7857%","0,6859%","0,6874%","0,7321%","-0,2057%","0,4785%","9,8256%","R$ 103.798.823,1700","R$ 733,5606","0,9747","0,6680%","-0,1445%","0,5225%","4,5571%","10,4000%",N/A,1
2017-07-01,ATSA11B,"1.150,00",67.0,"R$ 8,0000","0,7126%","1,2921%","1,2921%","1,2921%","0,4307%","0,2153%","0,1077%","7,9558%","8,7251%","11,2015%","R$ 229.668.216,6800","R$ 1.339,0171","0,8588","0,5975%","-0,2928%","0,3029%","1,5791%","24,4000%",N/A,1
2017-07-01,HGBS11,"2.119,00",724.0,"R$ 12,4000","0,5749%","1,7391%","3,5872%","7,8889%","0,5797%","0,5979%","0,6574%","1,4098%","1,9927%","9,2166%","R$ 1.164.115.284,7300","R$ 2.165,8281","0,9784","0,5725%","-0,0492%","0,5231%","5,7235%","6,8700%",N/A,8
2017-07-01,GRLV11,"1.000,00",147.0,"R$ 7,1000","0,7279%","2,1515%","4,3843%","8,8289%","0,7172%","0,7307%","0,7357%","-2,4562%","-1,7462%","11,9998%","R$ 118.867.796,6300","R$ 1.107,2611","0,9031","0,6412%","0,0308%","0,6722%","4,8501%","7,0000%",N/A,1
2017-07-01,HGJH11,"1.280,00",259.0,"R$ 7,5000","0,5831%","1,7588%","3,6298%","7,3096%","0,5863%","0,6050%","0,6091%","0,2680%","0,8526%","15,5345%","R$ 170.840.482,8200","R$ 1.035,3969","1,2362","0,7244%","-0,0093%","0,7150%","5,1617%","10,4000%",N/A,2
2017-07-01,HGLG11,"1.238,00",418.0,"R$ 8,7000","0,7024%","2,0923%","4,2649%","8,8853%","0,6974%","0,7108%","0,7404%","-1,0414%","-0,3464%","14,5416%","R$ 377.655.584,9600","R$ 1.110,4251","1,1149","0,7835%","0,0940%","0,8782%","6,2193%","21,0000%","17,9000%",8
2017-07-01,HGRE11,"1.425,00",864.0,"R$ 9,4000","0,6419%","2,0210%","4,2165%","8,9896%","0,6737%","0,7028%","0,7491%","6,0160%","6,6964%","18,5625%","R$ 1.096.089.263,2700","R$ 1.484,5922","0,9599","0,6332%","0,0304%","0,6638%","4,8998%","28,1000%","23,1000%",22
2017-07-01,HGCR11,"1.090,00",109.0,"R$ 9,0000","0,8642%","2,5891%","5,2175%","11,0945%","0,8630%","0,8696%","0,9245%","1,0071%","1,8801%","8,9084%","R$ 106.909.917,9800","R$ 1.021,0194","1,0676","0,8815%","-0,5618%","0,3147%","5,7182%",N/A,N/A,0
2017-07-01,DOMC11,"410,00",45.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,9029%","0,9029%","-14,9537%","R$ 160.110.159,8400","R$ 914,9152","0,4481","0,0000%","-4,5560%","-4,5560%","-6,3002%",N/A,N/A,0
2017-07-01,FIXX11,"91,00",144.0,"R$ 0,5600","0,6275%","1,8658%","4,0228%","9,4538%","0,6219%","0,6705%","0,7878%","-0,9238%","-0,3021%","3,8816%","R$ 31.904.423,4500","R$ 87,1772","1,0439","0,6424%","1,0561%","1,7053%","9,5303%",N/A,N/A,0
2017-07-01,VRTA11,"116,29",3111.0,"R$ 0,9600","0,8375%","2,5681%","5,1682%","11,6835%","0,8560%","0,8614%","0,9736%","1,7623%","2,6145%","-0,7286%","R$ 173.161.152,5800","R$ 102,1900","1,1380","0,9394%","-0,9263%","0,0044%","5,8317%",N/A,N/A,0
2017-07-01,BRCR11,"91,55",31032.0,"R$ 0,4200","0,4071%","1,5961%","4,0662%","8,9868%","0,5320%","0,6777%","0,7489%","2,2549%","2,6712%","10,5855%","R$ 2.068.389.450,6200","R$ 107,5911","0,8509","0,3904%","-1,7037%","-1,3200%","1,1971%","31,8000%","28,3000%",10
2017-07-01,BCFF11B,"70,00",6929.0,"R$ 0,5000","0,7119%","2,1878%","4,4728%","9,1552%","0,7293%","0,7455%","0,7629%","-0,9175%","-0,2122%","4,6837%","R$ 509.975.897,1500","R$ 85,7194","0,8166","0,5833%","-6,4426%","-5,8969%","-6,2840%",N/A,N/A,0
2017-07-01,THRA11B,"102,98",1273.0,"R$ 0,3733","0,3785%","0,3785%","0,3785%","0,3785%","0,1262%","0,0631%","0,0315%","5,3954%","5,7943%","20,8484%","R$ 134.703.929,8800","R$ 91,4656","1,1259","0,4081%","-1,2299%","-0,8268%","0,5843%","0,0000%",N/A,1
2017-07-01,FAMB11B,"5.000,00",15.0,"R$ 41,6990","0,8415%","2,4267%","4,3694%","8,7984%","0,8089%","0,7282%","0,7332%","-0,6360%","0,2001%","-0,6796%","R$ 575.514.103,5900","R$ 5.491,5468","0,9105","0,7593%","-0,0524%","0,7065%","4,8617%","0,0000%",N/A,1
2017-07-01,PQDP11,"2.741,00",56.0,"R$ 14,0497","0,5350%","1,5495%","3,4123%","7,3198%","0,5165%","0,5687%","0,6100%","4,5709%","5,1304%","31,2990%","R$ 605.368.683,8800","R$ 2.538,4783","1,0798","0,5535%","0,0280%","0,5816%","2,6056%","1,6000%",N/A,1
2017-07-01,PRSV11,"480,00",259.0,"R$ 1,7000","0,3454%","1,0009%","2,0809%","5,2173%","0,3336%","0,3468%","0,4348%","-0,7869%","-0,4443%","3,1427%","R$ 125.580.396,8000","R$ 644,0020","0,7453","0,2640%","-0,4359%","-0,1731%","0,9520%",N/A,N/A,2
2017-07-01,WPLZ11B,"75,00",172.0,"R$ 0,0750","0,0980%","0,4210%","1,4468%","3,1980%","0,1403%","0,2411%","0,2665%","-6,1504%","-6,0585%","3,3954%","R$ 79.017.062,0900","R$ 79,8685","0,9390","0,0939%","0,5705%","0,6650%","1,8819%","9,7000%",N/A,1
2017-07-01,TBOF11,"70,20",3947.0,"R$ 0,2706","0,3834%","1,1290%","2,2738%","4,5219%","0,3763%","0,3790%","0,3768%","-2,8761%","-2,5038%","12,9444%","R$ 638.857.309,2800","R$ 63,5679","1,1043","0,4258%","0,0114%","0,4373%","3,1486%","43,9000%",N/A,1
2017-07-01,VLOL11,"83,00",1904.0,"R$ 0,4869","0,5989%","1,5627%","3,0444%","7,1419%","0,5209%","0,5074%","0,5952%","-0,7399%","-0,1454%","11,4890%","R$ 145.937.251,2300","R$ 81,7654","1,0151","0,5955%","-0,1422%","0,4525%","3,4952%","14,5400%",N/A,1
2017-07-01,AGCX11,"1.354,25",263.0,"R$ 8,5400","0,6391%","1,9545%","4,0118%","8,3718%","0,6515%","0,6686%","0,6977%","3,6500%","4,3124%","8,9550%","R$ 438.489.246,0300","R$ 1.082,6895","1,2508","0,7888%","-0,0062%","0,7825%","5,7834%",N/A,N/A,41
2017-07-01,BBVJ11,"60,09",2145.0,"R$ 0,5900","0,9880%","1,6109%","2,6873%","5,6736%","0,5370%","0,4479%","0,4728%","2,8808%","3,8972%","12,4312%","R$ 205.179.394,7300","R$ 75,7120","0,7937","0,7793%","-0,6960%","0,0778%","1,3887%","43,8000%",N/A,0
2017-07-01,BMLC11B,"85,10",771.0,"R$ 0,4552","0,5329%","1,6006%","3,2091%","7,9013%","0,5335%","0,5349%","0,6584%","0,9997%","1,5379%","2,4488%","R$ 103.970.869,9200","R$ 104,1370","0,8172","0,4371%","0,0222%","0,4594%","3,3601%","21,6000%",N/A,2
2017-07-01,BPFF11,"93,49",1352.0,"R$ 0,6700","0,7331%","2,1983%","4,4843%","9,6005%","0,7328%","0,7474%","0,8000%","-0,3220%","0,4087%","17,0013%","R$ 187.579.728,6000","R$ 93,7899","0,9968","0,7144%","0,1914%","0,9071%","10,7463%",N/A,N/A,0
