Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-08-01,RBVO11,"66,72",345.0,"R$ 0,3000","0,4370%","1,2818%","2,6981%","8,5779%","0,4273%","0,4497%","0,7148%","-1,7885%","-1,3594%","-20,2510%","R$ 36.534.517,4400","R$ 70,8275","0,9420","0,4236%","1,4625%","1,8922%","-17,9268%",N/A,N/A,0
2017-08-01,SAAG11,"126,10",7202.0,"R$ 0,8500","0,6674%","2,0102%","4,0333%","8,3623%","0,6701%","0,6722%","0,6969%","-0,0807%","0,5862%","9,6670%","R$ 519.209.033,8200","R$ 92,1971","1,3677","0,9219%","0,0312%","0,9534%","6,8330%",N/A,N/A,28
2017-08-01,SDIL11,"90,98",1927.0,"R$ 0,5500","0,6240%","1,9831%","3,7317%","8,6303%","0,6610%","0,6219%","0,7192%","3,9478%","4,5964%","8,4921%","R$ 139.582.757,4900","R$ 97,0097","0,9378","0,5670%","0,1254%","0,6931%","4,2735%","14,2000%","13,0000%",1
2017-08-01,SPTW11,"73,00",2119.0,"R$ 0,5350","0,7616%","2,2653%","4,6104%","10,8738%","0,7551%","0,7684%","0,9061%","-1,0056%","-0,2516%","19,8885%","R$ 131.104.467,6800","R$ 72,9168","1,0011","0,7337%","-0,6625%","0,0664%","5,6877%",N/A,N/A,0
2017-08-01,XTED11,"20,00",3130.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-0,3986%","-0,3986%","-12,6259%","R$ 76.862.324,1800","R$ 42,8786","0,4664","0,0000%","-11,3852%","-11,3852%","-11,5864%","96,8000%","98,3000%",2
2017-08-01,TRXL11,"69,80",1497.0,"R$ 0,3642","0,5436%","1,5015%","2,7482%","6,9758%","0,5005%","0,4580%","0,5813%","3,6665%","4,2299%","10,1037%","R$ 149.577.378,5800","R$ 90,6904","0,7697","0,3979%","-0,0455%","0,3523%","2,4863%","53,0000%","50,1000%",6
2017-08-01,XPCM11,"91,89",3032.0,"R$ 0,7800","0,8757%","2,7029%","5,4716%","11,0031%","0,9010%","0,9119%","0,9169%","0,9761%","1,8604%","4,6240%","R$ 189.374.340,4200","R$ 78,4298","1,1716","0,9945%","0,1329%","1,1288%","8,0022%","0,0000%","0,0000%",1
2017-08-01,KNIP11,"106,10",0.0,"R$ 0,5000","0,4774%","1,5848%","3,6779%","0,0000%","0,5283%","0,6130%","0,0000%","0,8570%","1,3386%","4,2904%","R$ 1.036.168.650,5000","R$ 102,3872","1,0363","0,4883%","1,5182%","2,0140%","6,3419%",N/A,N/A,0
2017-08-01,FAED11,"205,00",0.0,"R$ 1,4377","0,6946%","1,8253%","4,0142%","8,9262%","0,6084%","0,6690%","0,7439%","0,7105%","1,4100%","6,3898%","R$ 109.584.076,4700","R$ 170,6471","1,2013","0,8425%","99,0763%","100,7534%","7,1306%","0,0000%",N/A,3
2017-08-01,CNES11,"103,98",0.0,"R$ 0,3977","0,3861%","1,2547%","2,3204%","4,9011%","0,4182%","0,3867%","0,4084%","2,5572%","2,9532%","10,5160%","R$ 301.940.659,6300","R$ 102,3789","1,0156","0,3885%","0,0294%","0,4180%","5,7209%","39,6000%",N/A,1
2017-08-01,FLRP11,"1.047,51",0.0,"R$ 5,7722","0,5471%","1,5111%","3,3879%","8,2369%","0,5037%","0,5646%","0,6864%","1,7856%","2,3425%","30,5733%","R$ 63.396.973,0100","R$ 1.228,5283","0,8527","0,4698%","-1,2780%","-0,8142%","2,4313%","3,1000%",N/A,1
