Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-08-01,VLOL11,"81,00",1605.0,"R$ 0,4171","0,5264%","1,5497%","3,0768%","6,9813%","0,5166%","0,5128%","0,5818%","-2,5556%","-2,0427%","9,2117%","R$ 145.938.824,5500","R$ 81,7663","0,9906","0,5101%","0,0011%","0,5112%","3,5557%","18,5000%",N/A,1
2017-08-01,AGCX11,"1.250,00",277.0,"R$ 8,2600","0,6199%","1,9215%","3,9400%","8,1705%","0,6405%","0,6567%","0,6809%","-0,2846%","0,3336%","9,3184%","R$ 438.337.356,6400","R$ 1.082,3145","1,1549","0,7632%","-0,0346%","0,7283%","5,7265%",N/A,N/A,41
2017-08-01,BBVJ11,"60,01",1793.0,"R$ 0,0500","0,0846%","1,3827%","2,4053%","5,2474%","0,4609%","0,4009%","0,4373%","-0,9762%","-0,8925%","11,4277%","R$ 206.503.663,9100","R$ 76,2006","0,7875","0,0656%","0,6454%","0,7115%","2,0306%","43,8000%",N/A,0
2017-08-01,BMLC11B,"81,75",794.0,"R$ 0,3746","0,4541%","1,5317%","3,1264%","7,5395%","0,5106%","0,5211%","0,6283%","-3,4211%","-2,9825%","-0,6068%","R$ 103.944.132,2500","R$ 104,1102","0,7852","0,3598%","-0,0257%","0,3340%","3,2311%","21,6000%",N/A,2
2017-08-01,BPFF11,"94,00",1178.0,"R$ 0,6700","0,7238%","2,1876%","4,3878%","9,4921%","0,7292%","0,7313%","0,7910%","1,2909%","2,0240%","19,3695%","R$ 183.991.983,0600","R$ 91,9960","1,0218","0,7283%","-1,9127%","-1,1983%","9,4192%",N/A,N/A,0
2017-08-01,CXCE11B,"2.350,00",16.0,"R$ 18,2130","0,7752%","2,3346%","4,6962%","9,5377%","0,7782%","0,7827%","0,7948%","0,2143%","0,9911%","5,0281%","R$ 154.884.533,2500","R$ 2.260,4941","1,0396","0,8057%","0,0432%","0,8493%","6,0533%",N/A,N/A,0
2017-08-01,CXTL11,"620,00",14.0,"R$ 4,6985","0,7466%","2,0486%","4,0705%","9,5756%","0,6829%","0,6784%","0,7980%","4,5544%","5,3350%","23,0079%","R$ 53.414.539,5200","R$ 996,5957","0,6221","0,4715%","-0,0422%","0,4290%","3,2875%",N/A,N/A,0
2017-08-01,CTXT11,"4,27",9421.0,"R$ 0,0335","0,7851%","2,3659%","4,8083%","10,1465%","0,7886%","0,8014%","0,8455%","0,2080%","0,9947%","18,8257%","R$ 123.143.055,1100","R$ 3,3905","1,2594","0,9867%","0,0288%","1,0158%","7,7471%","3,8000%",N/A,1
2017-08-01,FLMA11,"2,33",14033.0,"R$ 0,0117","0,4979%","1,6074%","3,2287%","6,6046%","0,5358%","0,5381%","0,5504%","7,6154%","8,1512%","8,9303%","R$ 183.275.920,4100","R$ 2,6549","0,8776","0,4407%","-0,0783%","0,3620%","3,0391%",N/A,N/A,0
2017-08-01,EDFO11B,"282,00",30.0,"R$ 1,8500","0,6612%","1,9472%","3,8534%","7,8990%","0,6491%","0,6422%","0,6583%","-0,8529%","-0,1974%","7,8613%","R$ 37.772.590,2100","R$ 160,0533","1,7619","1,1559%","0,0230%","1,1791%","8,3386%",N/A,N/A,0
2017-08-01,EURO11,"180,21",236.0,"R$ 0,5500","0,2961%","0,7598%","2,2302%","5,4738%","0,2533%","0,3717%","0,4562%","-4,4832%","-4,2003%","-0,8318%","R$ 121.029.811,9500","R$ 315,2343","0,5717","0,1745%","0,0209%","0,1954%","-3,3203%","17,6100%",N/A,6
2017-08-01,FIGS11,"80,60",10831.0,"R$ 0,8333","1,0812%","3,5361%","7,1661%","14,8582%","1,1787%","1,1944%","1,2382%","12,0337%","13,2450%","20,4715%","R$ 228.360.646,3700","R$ 88,1191","0,9147","0,9457%","0,0152%","0,9610%","5,6452%",N/A,N/A,2
2017-08-01,ABCP11,"16,49",995.0,"R$ 0,0770","0,4714%","1,3910%","2,9531%","7,0574%","0,4637%","0,4922%","0,5881%","-2,6092%","-2,1501%","37,6675%","R$ 682.222.583,9700","R$ 11,1805","1,4749","0,6887%","0,5706%","1,2633%","4,9229%","1,3000%",N/A,1
2017-08-01,GWIR11,"210,00",345.0,"R$ 1,3400","0,6411%","1,5906%","2,9318%","6,2194%","0,5302%","0,4886%","0,5183%","-9,9138%","-9,3362%","-15,1568%","R$ 80.006.994,5900","R$ 209,4331","1,0027","0,6398%","0,0742%","0,7145%","4,2600%",N/A,N/A,0
2017-08-01,FIIB11,"367,00",396.0,"R$ 2,3500","0,6288%","1,9373%","3,8659%","9,0030%","0,6458%","0,6443%","0,7502%","3,9405%","4,5941%","11,7960%","R$ 239.635.344,5900","R$ 349,8326","1,0491",,,,,"8,2600%",N/A,1
2017-08-01,FMOF11,"110,00",571.0,"R$ 0,2400","0,2223%","0,7075%","1,3567%","2,5209%","0,2358%","0,2261%","0,2101%","-2,7569%","-2,5407%","3,5632%","R$ 67.525.064,1300","R$ 132,9213","0,8276","0,1806%","-0,0212%","0,1594%","1,1935%","49,8800%",N/A,1
2017-08-01,MBRF11,"1.055,00",71.0,"R$ 7,7900","0,7384%","2,3209%","4,7530%","9,8682%","0,7736%","0,7922%","0,8224%","6,6426%","7,4301%","24,1858%","R$ 130.707.489,7800","R$ 1.285,6812","0,8206","0,6059%","0,0116%","0,6176%","4,4412%","20,9200%",N/A,3
2017-08-01,PABY11,"24,99",8.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-3,3728%","-3,3728%","8,3680%","R$ 177.692.505,1800","R$ 234,2992","0,1067","0,0000%","-0,7312%","-0,7312%","-3,6970%",N/A,N/A,0
2017-08-01,FPAB11,"310,05",82.0,"R$ 1,8500","0,6001%","1,8100%","3,5074%","7,1490%","0,6033%","0,5846%","0,5957%","-0,5715%","0,0252%","5,7174%","R$ 273.002.278,2800","R$ 364,0030","0,8518","0,5082%","0,0312%","0,5396%","3,6642%","21,8600%",N/A,1
2017-08-01,FFCI11,"176,44",1609.0,"R$ 1,2000","0,6780%","2,7995%","4,6822%","8,7946%","0,9332%","0,7804%","0,7329%","-0,2873%","0,3887%","20,2722%","R$ 244.803.320,7100","R$ 176,7416","0,9983","0,6790%","-0,1935%","0,4842%","10.368,4564%","6,8000%","5,1000%",8
2017-08-01,RNGO11,"89,30",2830.0,"R$ 0,5400","0,6056%","1,8173%","3,6907%","8,6392%","0,6058%","0,6151%","0,7199%","0,6109%","1,2202%","10,2135%","R$ 251.268.186,5500","R$ 93,8969","0,9510","0,5751%","0,0307%","0,6059%","4,2654%","13,6000%",N/A,2
2017-08-01,SHPH11,"911,00",33.0,"R$ 3,5000","0,3846%","1,1576%","2,3369%","5,2267%","0,3859%","0,3895%","0,4356%","-0,1413%","0,2428%","14,8511%","R$ 353.776.259,5900","R$ 611,6961","1,4893","0,5722%","0,6247%","1,2004%","4,3311%","2,3000%",N/A,1
