,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
215,ICRI11,0.0,0.0,0,Misto,"97,00","158.738,37","0,96","0,97","1,00 %","2,96 %","5,87 %","6,54 %","0,99 %","0,98 %","1,09 %","6,54 %","2,25 %","3,27 %","10,15 %","388.839.721,20",,,,,,,0,"9,36",6.271,2024-09-01
216,IDFI11,0.0,0.0,0,Indefinido,"6,12","8.664,71","0,45","5,05","118,55 %","123,27 %","253,28 %","368,81 %","41,09 %","42,21 %","30,73 %","431,42 %","2,16 %","123,27 %","1.354,18 %","27.359.372,64","13,29","0,46","33,88 %","-76,25 %","-68,20 %","-74,07 %",3,"264,11",468,2024-09-01
217,IDGR11,0.0,0.0,0,Misto,"6,00","415,07","1,21","0,85","13,04 %","13,68 %","30,70 %","63,89 %","4,56 %","5,12 %","5,32 %","76,57 %","-9,94 %","1,80 %","14,59 %","4.365.573,71",,,,,,,1,"74,72",95,2024-09-01
218,IDUA11,0.0,0.0,0,Imóveis Comerciais - Outros,"68,43",,"0,85","3,83","5,25 %","5,25 %","5,25 %","5,25 %","1,75 %","1,75 %","1,75 %","5,25 %","0,00 %","0,00 %",,"32.539.407,25",,,,,,,4,"67,02",2,2024-09-01
219,IFRA11,0.0,0.0,0,Indefinido,"111,67","3.418.377,95",,"1,08","0,98 %","3,01 %","6,11 %","12,41 %","1,00 %","1,02 %","1,03 %","9,19 %","2,76 %","3,76 %","17,78 %",,,,,,,,0,"11,79",0,2024-09-01
220,IFRI11,0.0,0.0,0,,"105,19","1.407.585,71",,"1,00","0,96 %","2,75 %","2,75 %","2,75 %","0,92 %","0,92 %","0,92 %","2,75 %","3,57 %","4,57 %","4,32 %",,,,,,,,0,"13,61",0,2024-09-01
221,IMOV11,0.0,0.0,0,Indefinido,,,,"0,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"496.338.124,92",,,,,,,0,,13.027,2024-09-01
222,IRDM11,0.0,0.0,0,Papéis,"72,18","2.429.057,12","0,85","0,74","1,04 %","3,09 %","6,26 %","12,07 %","1,03 %","1,04 %","1,01 %","8,14 %","-2,26 %","-1,25 %","5,20 %","3.103.437.618,62","85,18","0,85","0,87 %","-8,21 %","-7,41 %","-3,70 %",0,"12,49",288.936,2024-09-01
223,IRIM11,0.0,0.0,0,Indefinido,"74,00","33.838,38","0,85","0,76","1,04 %","3,24 %","6,51 %","12,56 %","1,08 %","1,09 %","1,05 %","8,38 %","-0,93 %","0,10 %","0,66 %","167.540.250,31","87,26","0,85","0,87 %","-10,34 %","-9,56 %","-6,12 %",0,"12,91",2.634,2024-09-01
224,ISCJ11,0.0,0.0,0,Papéis,"92,00","184,00","0,66","1,20","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"43.848.436,80",,,,,,,0,"448,64",73,2024-09-01
