,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
277,MCCI11,0.0,0.0,0,Papéis,"89,62","1.825.097,10","0,95","0,80","0,90 %","2,71 %","5,36 %","11,15 %","0,90 %","0,89 %","0,93 %","7,20 %","-1,75 %","-0,86 %","6,31 %","1.604.670.309,14","94,61","0,95","0,85 %","2,28 %","3,15 %","7,93 %",0,"15,94",115.149,2024-09-01
278,MCHF11,0.0,0.0,0,Papéis,"9,10","1.778.820,09","0,99","2,59","0,00 %","0,00 %","0,00 %","5,30 %","0,00 %","0,00 %","0,44 %","1,51 %","0,00 %","0,00 %",,"295.957.071,40","10,38","0,88","0,67 %","9,15 %","9,88 %","12,93 %",3,"22,51",82.189,2024-09-01
279,MCHY11,0.0,0.0,0,Papéis,"9,31","1.743.023,76","0,96","0,10","1,07 %","3,43 %","6,77 %","13,60 %","1,14 %","1,13 %","1,13 %","8,78 %","-1,79 %","-0,74 %","-5,82 %","1.087.788.037,83","9,75","0,95","1,13 %","-90,28 %","-90,17 %","-89,07 %",0,"26,96",97.250,2024-09-01
280,MFAI11,0.0,0.0,0,Fundo de Fundos,"68,35","33.501,48","0,96","0,72","1,06 %","2,77 %","4,95 %","9,79 %","0,92 %","0,83 %","0,82 %","7,40 %","9,93 %","11,10 %","24,19 %","27.607.115,37","70,94","0,96","0,78 %","4,08 %","4,89 %","-4,05 %",0,"29,67",2.456,2024-09-01
281,MFII11,34.99583333333333,2.8666666666666667,24,Fundo de Desenvolvimento,"102,80","918.531,44","0,95","1,18","1,14 %","3,53 %","7,12 %","14,26 %","1,18 %","1,19 %","1,19 %","10,67 %","3,44 %","4,62 %","30,19 %","564.012.366,47","108,21","0,95","1,11 %","2,35 %","3,48 %","14,41 %",5,"8,42",31.965,2024-09-01
282,MGCR11,0.0,0.0,0,Papéis,"9,40","259.145,59","0,96","0,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %",,"131.240.792,97","9,78","0,96","1,02 %","-89,08 %","-88,97 %","-88,55 %",0,"14,56",4.360,2024-09-01
283,MGFF11,0.0,0.0,0,Fundo de Fundos,"69,99","2.558.695,75","0,95","4,26","0,00 %","0,00 %","0,00 %","3,14 %","0,00 %","0,00 %","0,26 %","0,00 %","0,00 %","0,00 %",,"665.588.549,57","73,54","0,95","0,71 %","2,57 %","3,29 %","-0,09 %",0,"15,03",45.134,2024-09-01
284,MGHT11,36.1,4.2,1,Hotéis,"22,30","39.661,95","0,46","0,13","0,42 %","1,67 %","4,75 %","11,28 %","0,56 %","0,79 %","0,94 %","7,06 %","-14,42 %","-14,07 %","-26,93 %","66.752.133,22","50,81","0,44","0,26 %","-40,63 %","-40,48 %","-43,69 %",1,"50,33",5.149,2024-09-01
285,MGLG11,50.56666666666666,4.233333333333333,3,Imóveis Industriais e Logísticos,"40,99","55.314,19","0,55","0,35","0,86 %","2,58 %","4,56 %","11,69 %","0,86 %","0,76 %","0,97 %","0,86 %","-3,60 %","-2,77 %","-2,77 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %","58,43 %","-18,62 %",2,"27,79",3.712,2024-09-01
286,MGRI11,0.0,0.0,0,Indefinido,"63,36",,"0,67","1,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"22.309.119,09",,,,,,,1,"12,85",1,2024-09-01
287,MINT11,41.43333333333334,4.366666666666667,3,Educacional,"95,00","1.866,44","0,86","3,36","3,27 %","0,00 %","0,00 %","4,57 %","0,00 %","0,00 %","4,57 %","4,57 %","2,63 %","5,99 %","5,99 %","57.202.384,97",,,,,,,4,"32,87",101,2024-09-01
288,MMPD11,0.0,0.0,0,Indefinido,,,,"0,64","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"59.344.363,26",,,,,,,0,,54,2024-09-01
289,MORC11,0.0,0.0,0,Papéis,"89,87","1.741.368,33","0,92","3,08","0,00 %","0,00 %","0,00 %","5,84 %","0,00 %","0,00 %","0,49 %","1,03 %","0,00 %","0,00 %",,"186.458.139,85","97,73","0,92","0,34 %","0,11 %","0,45 %","5,63 %",0,"11,74",4.000,2024-09-01
290,MORE11,0.0,0.0,0,Fundo de Fundos,"76,21","1.327.577,67","0,88","6,02","0,00 %","0,00 %","0,00 %","2,58 %","0,00 %","0,00 %","0,22 %","0,00 %","0,00 %","0,00 %",,"201.450.458,24","86,87","0,88","0,81 %","4,88 %","5,72 %","2,91 %",0,"15,01",4.213,2024-09-01
291,MXRF11,36.1,4.433333333333334,3,Papéis,"10,01","12.575.262,10","1,03","0,09","0,90 %","2,91 %","5,88 %","12,04 %","0,97 %","0,98 %","1,00 %","8,91 %","0,50 %","1,40 %","5,39 %","4.264.355.152,38","9,75","1,03","1,03 %","-3,56 %","-2,57 %","3,12 %",3,"7,88",1.142.848,2024-09-01
292,NAVT11,0.0,0.0,0,Papéis,"89,98","39.510,11","1,00","1,00","1,17 %","3,48 %","7,58 %","16,60 %","1,16 %","1,26 %","1,38 %","11,79 %","-5,35 %","-4,24 %","17,92 %","54.657.115,06","89,27","1,01","1,12 %","-0,35 %","0,77 %","1,92 %",0,"19,33",2.981,2024-09-01
293,NCHB11,0.0,0.0,0,Papéis,"9,30","125.514,96","0,93","0,10","1,08 %","3,29 %","6,92 %","13,13 %","1,10 %","1,15 %","1,09 %","8,99 %","1,10 %","2,19 %","14,69 %","152.267.804,64","9,96","0,93","1,00 %","-88,88 %","-88,77 %","-88,35 %",0,"9,75",11.876,2024-09-01
294,NCRA11,0.0,0.0,0,Indefinido,"8,67","54.046,01","0,82","0,10","1,17 %","3,56 %","6,56 %","14,03 %","1,19 %","1,09 %","1,17 %","8,70 %","-0,93 %","0,23 %","-8,33 %","47.113.850,88","10,56","0,82","0,95 %","0,00 %","0,00 %","0,00 %",0,"13,28",9.290,2024-09-01
295,NCRI11,0.0,0.0,0,Papéis,"8,90","1.151,46","0,88","0,10","1,16 %","3,40 %","6,41 %","12,28 %","1,13 %","1,07 %","1,02 %","8,62 %","3,12 %","4,32 %","7,82 %","39.990.503,78",,,,,,,0,"35,29",872,2024-09-01
296,NEWL11,49.56666666666666,4.433333333333334,3,Imóveis Industriais e Logísticos,"114,15","360.269,17","0,62","0,95","0,78 %","2,51 %","4,95 %","10,39 %","0,84 %","0,83 %","0,87 %","7,70 %","7,09 %","7,93 %","24,09 %","375.420.051,77","184,65","0,62","0,58 %","53,76 %","54,65 %","76,49 %",3,"13,36",8.669,2024-09-01
297,NEWU11,55.4,4.033333333333333,3,Lajes Corporativas,"79,00","14.389,12","1,12","0,07","0,00 %","0,18 %","0,56 %","2,23 %","0,18 %","0,56 %","0,19 %","1,45 %","0,00 %","0,00 %",,"53.005.496,25","71,44","1,11","0,10 %","2,63 %","2,73 %","10,09 %",3,"35,88",1.283,2024-09-01
298,NEXG11,0.0,0.0,0,Agricultura,"112,20","14.635,60","1,17","0,99","0,00 %","1,57 %","4,02 %","4,73 %","0,52 %","0,67 %","0,68 %","4,73 %","0,00 %","0,00 %",,"17.956.943,70","96,24","1,17","0,84 %","0,00 %","0,00 %","0,00 %",0,"3,73",382,2024-09-01
299,NSLU11,36.1,4.0,1,Hospitalar,"182,50","80.019,63","0,89","1,53","0,83 %","2,52 %","5,09 %","10,07 %","0,84 %","0,85 %","0,84 %","7,55 %","-0,73 %","0,10 %","4,26 %","266.164.014,75","205,75","0,89","0,73 %","3,43 %","4,19 %","10,55 %",1,"16,03",5.861,2024-09-01
300,NUIF11,0.0,0.0,0,Indefinido,"104,03","223.704,58",,"1,10","1,07 %","3,14 %","4,24 %","4,24 %","1,05 %","0,71 %","0,42 %","4,24 %","0,97 %","2,05 %","5,78 %",,,,,,,,0,"18,14",0,2024-09-01
301,NVHO11,36.1,4.2,1,Hospitalar,"12,44","4.349,50","0,88","0,08","0,64 %","2,09 %","4,45 %","8,86 %","0,70 %","0,74 %","0,74 %","6,63 %","18,78 %","19,54 %","26,78 %","636.504.447,00","15,34","0,81","0,49 %","9,96 %","10,51 %","29,30 %",4,"42,18",2.072,2024-09-01
302,NVIF11B,0.0,0.0,0,Fundo de Desenvolvimento,"227,50",,"0,91","1,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"84.084.892,18","249,21","0,91","0,36 %","-20,24 %","-19,96 %","-0,30 %",2,,7,2024-09-01
303,OBAL11,0.0,0.0,0,Imóveis Residenciais,"987,09","106.664,00","0,90","226,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"155.032.871,85",,,,,,,4,"196,50",108,2024-09-01
304,OCRE11,0.0,0.0,0,Papéis,"100,00","23.387,11","1,00","0,74","0,75 %","0,75 %","3,03 %","6,88 %","0,75 %","0,51 %","0,57 %","4,97 %","0,00 %","0,00 %",,"42.095.198,82",,,,,,,0,"48,98",669,2024-09-01
305,OGHY11,0.0,0.0,0,Indefinido,"8,72","22.847,10","0,92","9,40","0,00 %","0,00 %","0,00 %","3,98 %","0,00 %","0,00 %","0,40 %","0,99 %","0,00 %","0,00 %",,"25.780.971,88",,,,,,,0,"23,41",1.565,2024-09-01
306,OGIN11,0.0,0.0,0,Misto,"10,11","69.618,16",,"0,13","1,30 %","3,99 %","8,10 %","16,09 %","1,33 %","1,35 %","1,34 %","12,25 %","1,63 %","2,95 %","29,24 %",,,,,,,,0,"10,39",0,2024-09-01
307,OIAG11,0.0,0.0,0,Indefinido,"8,20","161.275,14","0,84","0,10","1,20 %","3,51 %","7,29 %","15,03 %","1,17 %","1,22 %","1,25 %","9,75 %","1,93 %","3,15 %","0,08 %","88.635.032,58","9,81","0,84","0,92 %","0,00 %","0,00 %","0,00 %",0,"12,23",13.359,2024-09-01
308,ONEF11,36.1,4.4,1,Lajes Corporativas,"200,03","114.431,47","1,09","2,85","0,00 %","0,00 %","0,00 %","2,03 %","0,00 %","0,00 %","0,17 %","0,00 %","0,00 %","0,00 %",,"166.518.054,63","182,79","1,09","17,78 %","-9,26 %","6,88 %","30,26 %",1,"13,09",2.602,2024-09-01
309,OPTM11,0.0,0.0,0,Misto,,,,"0,32","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"5.042.046,35",,,,,,,1,,63,2024-09-01
310,ORPD11,0.0,0.0,0,Fundo de Desenvolvimento,"93,00","402,75","0,65","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"41.755.979,62","124,68","0,75","1,11 %","0,95 %","2,06 %","2,06 %",0,"24,80",6,2024-09-01
311,OUFF11,0.0,0.0,0,Fundo de Fundos,"61,10","264.340,11","0,78","0,76","1,25 %","2,28 %","5,18 %","11,24 %","0,76 %","0,86 %","0,94 %","7,10 %","-1,44 %","-0,20 %","-4,01 %","142.517.935,82","78,55","0,78","0,96 %","3,49 %","4,49 %","11,00 %",3,"11,77",7.002,2024-09-01
312,OUJP11,0.0,0.0,0,Papéis,"79,51","244.435,93","0,81","0,85","1,07 %","3,11 %","6,13 %","12,16 %","1,04 %","1,02 %","1,01 %","8,99 %","0,49 %","1,57 %","-8,76 %","321.006.995,60","98,70","0,81","0,83 %","-1,19 %","-0,37 %","14,50 %",0,"15,94",29.685,2024-09-01
313,OULG11,44.1,4.75,2,Imóveis Industriais e Logísticos,"29,62","73.896,00","0,46","0,30","0,93 %","0,00 %","0,00 %","5,06 %","0,00 %","0,00 %","0,42 %","0,93 %","1,96 %","2,90 %","2,90 %","158.719.954,04","61,46","0,48","0,49 %","-8,15 %","-7,70 %","-14,55 %",2,"18,15",4.605,2024-09-01
314,OURE11,49.06666666666666,3.966666666666667,6,Misto,"78,20","224.923,68","0,78","1,09","1,39 %","2,66 %","6,40 %","12,95 %","0,89 %","1,07 %","1,08 %","8,68 %","3,84 %","5,28 %","19,42 %","108.172.369,31","100,43","0,78","1,08 %","10,33 %","11,52 %","23,93 %",3,"12,36",6.123,2024-09-01
315,PABY11,0.0,0.0,0,Fundo de Desenvolvimento,"14,14","466,10",,"0,13",,,,,,,,,,,,"-18.211.732,69","251,42","0,06","0,00 %","1,74 %","1,74 %","5,49 %",15,"81,66",567,2024-09-01
316,PATA11,0.0,0.0,0,Misto,,,,"0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"16.010.289,00",,,,,,,0,,184,2024-09-01
317,PATB11,0.0,0.0,0,Lajes Corporativas,,,,"1,18","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"794.680.199,70",,,,,,,3,,1,2024-09-01
318,PATC11,36.1,4.65,4,Fundo de Desenvolvimento,"36,02","100.905,96","0,88","0,12","0,33 %","0,89 %","1,56 %","16,05 %","0,89 %","0,26 %","1,34 %","6,85 %","4,83 %","5,18 %","-0,24 %","142.966.820,25","41,11","0,88","0,24 %","-46,18 %","-46,05 %","-48,49 %",4,"41,11",7.649,2024-09-01
319,PATL11,59.975,4.325,4,Imóveis Industriais e Logísticos,"60,73","326.286,96","0,62","0,57","0,93 %","2,84 %","5,67 %","11,09 %","0,95 %","0,95 %","0,92 %","8,35 %","1,89 %","2,84 %","7,71 %","490.852.254,89","98,34","0,62","0,58 %","0,22 %","0,81 %","8,36 %",4,"16,09",25.904,2024-09-01
320,PCAS11,0.0,0.0,0,Indefinido,,,,"142,86","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"343.410.522,52",,,,,,,3,,100,2024-09-01
321,PEMA11,0.0,0.0,0,Papéis,"29,15","496,50","0,41","0,89","0,00 %","0,00 %","0,82 %","10,86 %","0,00 %","0,82 %","0,91 %","4,50 %","0,00 %","0,00 %",,"37.623.057,07",,,,,,,0,"111,80",342,2024-09-01
322,PFIN11,0.0,0.0,0,Indefinido,"75,50","168.738,16",,"1,20","1,58 %","1,58 %","1,58 %","4,64 %","0,53 %","0,26 %","0,39 %","1,58 %","10,38 %","12,13 %","12,13 %",,,,,,,,0,"13,18",0,2024-09-01
323,PICE11,0.0,0.0,0,Indefinido,"40,00","72.322,89",,"0,25","0,66 %","0,66 %","2,80 %","7,22 %","0,66 %","0,47 %","0,60 %","4,66 %","-12,21 %","-11,63 %","-40,36 %",,,,,,,,0,"34,81",0,2024-09-01
324,PLCA11,0.0,0.0,0,Indefinido,"78,78","27.340,82","0,82","0,88","1,13 %","3,48 %","7,03 %","14,47 %","1,16 %","1,17 %","1,21 %","10,62 %","1,76 %","2,91 %","7,32 %","52.898.104,12","94,97","0,83","0,95 %","0,00 %","0,00 %","0,00 %",0,"15,25",2.661,2024-09-01
325,PLCR11,0.0,0.0,0,Papéis,"85,23","310.138,38","0,93","0,75","0,88 %","2,68 %","5,39 %","11,07 %","0,89 %","0,90 %","0,92 %","8,16 %","1,10 %","1,99 %","7,58 %","193.644.213,40","91,81","0,93","0,82 %","1,24 %","2,06 %","12,35 %",0,"11,18",15.703,2024-09-01
326,PLOG11,61.1,2.8,1,Imóveis Industriais e Logísticos,"66,71","70.165,04","0,63","0,70","0,99 %","3,05 %","6,10 %","12,13 %","1,02 %","1,02 %","1,01 %","4,09 %","2,01 %","3,02 %","0,55 %","79.648.071,76","100,39","0,66","0,75 %","-0,02 %","0,72 %","8,77 %",1,"16,63",3.284,2024-09-01
327,PLRI11,0.0,0.0,0,Papéis,"13,00","2.818,74","0,63","1,83","17,50 %","17,50 %","21,61 %","29,33 %","5,83 %","3,60 %","2,44 %","29,33 %","0,00 %","0,00 %",,"19.785.196,27","20,73","0,63","0,27 %","-35,54 %","-35,37 %","-45,02 %",0,"255,24",638,2024-09-01
328,PMFO11,0.0,0.0,0,Misto,"96,59","100,00","1,04","0,84","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,00 %","0,00 %",,"74.252.503,94",,,,,,,0,"797,22",93,2024-09-01
329,PMIS11,0.0,0.0,0,Misto,"9,24","174.735,38","0,97","0,10","1,08 %","3,20 %","6,51 %","7,58 %","1,07 %","1,09 %","0,84 %","7,58 %","-6,84 %","-5,83 %","5,44 %","118.487.452,87",,,,,,,0,"34,93",8.013,2024-09-01
330,PNCR11,0.0,0.0,0,Imóveis Residenciais,"68,03","306.135,00","0,99","0,83","1,37 %","1,37 %","1,37 %","1,37 %","0,46 %","0,23 %","0,11 %","1,37 %","0,00 %","0,00 %",,"34.496.622,12",,,,,,,0,"562,79",110,2024-09-01
331,PNDL11,36.1,2.5,2,Fundo de Desenvolvimento,"1.190,00","2.380,00","1.122,64","3,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"143.655.220,95",,,,,,,0,"440,91",62,2024-09-01
332,PNPR11,36.1,3.5,3,Fundo de Desenvolvimento,"75,00","300,00","0,99","1,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"67.795.299,97",,,,,,,1,"435,76",29,2024-09-01
333,PNRC11,0.0,0.0,0,Indefinido,"105,06","105,00","1,04","0,89","0,00 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,82 %","0,00 %","0,00 %",,"41.236.507,95",,,,,,,0,"616,10",105,2024-09-01
334,PORD11,0.0,0.0,0,Papéis,"8,74","346.754,78","0,91","0,09","1,02 %","3,04 %","6,14 %","12,91 %","1,01 %","1,02 %","1,08 %","9,44 %","-2,57 %","-1,57 %","12,29 %","358.158.434,64","9,61","0,91","0,95 %","-90,20 %","-90,11 %","-89,04 %",0,"10,80",35.173,2024-09-01
335,PPEI11,0.0,0.0,0,Indefinido,"95,52","193.130,58",,"4,00","4,18 %","4,18 %","4,18 %","8,77 %","1,39 %","0,84 %","1,75 %","4,18 %","9,65 %","14,24 %","14,24 %",,,,,,,,0,"16,73",0,2024-09-01
336,PQAG11,36.1,4.7,1,Imóveis Industriais e Logísticos,"58,99","1.164,13","1,03","0,46","0,78 %","2,35 %","4,74 %","9,47 %","0,78 %","0,79 %","0,79 %","7,09 %","0,08 %","0,87 %","11,58 %","804.202.669,73","57,48","1,03","0,80 %","0,38 %","1,19 %","11,16 %",1,"10,30",491,2024-09-01
337,PQDP11,36.1,4.6,1,Shoppings,"1.920,00","162.356,38","0,56","17,30","0,91 %","2,51 %","4,95 %","10,46 %","0,84 %","0,83 %","0,87 %","7,84 %","-0,86 %","0,04 %","7,86 %","348.090.141,20","3.461,48","0,55","0,66 %","10,46 %","11,18 %","7,49 %",1,"21,04",3.735,2024-09-01
338,PRSV11,115.6,0.0,1,Lajes Corporativas,"61,19","3.745,32","0,35","14,10","3,62 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,57 %","2,09 %","5,79 %","1,57 %","33.793.728,04","364,23","0,17","0,44 %","-0,03 %","0,41 %","-3,81 %",1,"70,58",892,2024-09-01
339,PRTS11,112.6,3.85,2,Shoppings,"117,70",,"1.961,67","0,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"3.111.607,44",,,,,,,2,,11,2024-09-01
340,PULV11,0.0,0.0,0,Papéis,"9,30","65.803,38","0,96","0,09","0,96 %","1,99 %","1,99 %","1,99 %","0,66 %","0,33 %","0,25 %","1,99 %","0,00 %","0,96 %","0,96 %","118.543.166,61",,,,,,,0,"43,28",758,2024-09-01
341,PVBI11,36.1,3.8857142857142857,7,Lajes Corporativas,"92,29","4.180.423,50","0,89","0,65","0,70 %","2,12 %","4,12 %","8,21 %","0,71 %","0,69 %","0,68 %","6,14 %","-0,01 %","0,69 %","0,02 %","2.850.999.372,67","105,09","0,88","0,62 %","1,64 %","2,27 %","11,00 %",7,"12,92",167.233,2024-09-01
342,QAGR11,25.974999999999998,0.35000000000000003,12,Indefinido,"46,95","287.823,25","0,78","0,44","0,94 %","2,84 %","5,67 %","11,07 %","0,95 %","0,95 %","0,92 %","8,37 %","0,93 %","1,88 %","7,42 %","305.064.390,98","60,53","0,78","0,73 %","8,40 %","9,19 %","8,12 %",12,"8,66",19.556,2024-09-01
343,QAMI11,0.0,0.0,0,Papéis,"84,68","67.019,00","0,91","1,00","1,17 %","0,00 %","0,00 %","1,17 %","0,00 %","0,00 %","0,10 %","11,32 %","6,69 %","7,94 %","14,22 %","74.367.555,48","92,80","0,91","1,08 %","1,42 %","2,51 %","14,58 %",0,"393,82",1.440,2024-09-01
344,QIRI11,0.0,0.0,0,Papéis,"78,04","6.867,57","0,87","89,64","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,90 %","0,00 %","0,00 %",,"13.441.852,95","89,61","0,87","100,03 %","-0,41 %","99,21 %","116,58 %",0,"9,65",173,2024-09-01
345,RBCO11,36.1,2.225,4,Lajes Corporativas,,,,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,,"90,22",,"0,22 %","1,03 %","1,25 %","-7,08 %",0,,0,2024-09-01
346,RBDS11,0.0,0.0,0,Fundo de Desenvolvimento,"2,55","288,39","0,13","2,35","11,21 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,21 %","-51,20 %","-45,73 %","-45,73 %","2.400.906,81","22,98","0,11","0,00 %","0,00 %","0,00 %","0,00 %",0,"104,16",918,2024-09-01
347,RBED11,40.67142857142857,3.442857142857143,7,Educacional,"137,00","232.034,38","0,94","1,33","0,97 %","2,89 %","5,67 %","11,45 %","0,96 %","0,95 %","0,95 %","8,44 %","-0,28 %","0,68 %","3,93 %","342.121.138,33","145,27","0,94","0,92 %","0,83 %","1,75 %","14,45 %",7,"13,57",13.065,2024-09-01
348,RBFF11,0.0,0.0,0,Fundo de Fundos,"59,99","156.278,10","0,91","0,51","0,84 %","2,57 %","5,06 %","10,19 %","0,86 %","0,84 %","0,85 %","7,59 %","2,17 %","3,03 %","12,69 %","246.446.486,29","65,73","0,91","0,78 %","2,98 %","3,78 %","11,05 %",0,"12,22",23.569,2024-09-01
349,RBGS11,115.6,4.4,1,Shoppings,"28,45",,"0,31","0,18","0,62 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,62 %","-1,90 %","-1,29 %","-1,29 %","97.865.283,71","90,78","0,31","0,18 %","0,00 %","0,18 %","1,17 %",1,,2.808,2024-09-01
350,RBHG11,0.0,0.0,0,Papéis,"82,37","389.948,29","0,93","0,85","1,03 %","3,16 %","6,44 %","13,28 %","1,05 %","1,07 %","1,11 %","9,69 %","-1,92 %","-0,91 %","3,41 %","192.154.016,92","88,63","0,93","1,07 %","-3,75 %","-2,72 %","7,67 %",0,"9,30",11.021,2024-09-01
351,RBHY11,0.0,0.0,0,Papéis,"89,80","155.935,38","0,97","1,00","1,12 %","3,39 %","6,84 %","13,93 %","1,13 %","1,14 %","1,16 %","10,28 %","0,78 %","1,91 %","9,03 %","176.857.287,43","93,40","0,96","1,07 %","-0,77 %","0,30 %","13,88 %",0,"9,25",3.545,2024-09-01
352,RBIF11,0.0,0.0,0,Indefinido,"94,00","165.009,54",,"0,95","1,00 %","3,23 %","5,62 %","11,32 %","1,08 %","0,94 %","0,94 %","8,53 %","-4,18 %","-3,22 %","9,89 %",,,,,,,,0,"17,23",0,2024-09-01
353,RBIR11,0.0,0.0,0,Fundo de Desenvolvimento,"86,27","74.303,92","0,85","1,64","1,92 %","1,92 %","1,92 %","7,15 %","0,64 %","0,32 %","0,60 %","2,78 %","-6,09 %","-4,28 %","0,78 %","155.772.977,48",,,,,,,0,"18,19",1.585,2024-09-01
354,RBLG11,84.89999999999999,4.75,2,Imóveis Industriais e Logísticos,"68,82","3.981,72","0,63","0,75","0,00 %","1,63 %","3,61 %","9,44 %","0,54 %","0,60 %","0,79 %","7,52 %","0,00 %","0,00 %",,"69.690.699,03","108,86","0,63","0,87 %","8,34 %","9,29 %","13,27 %",1,"193,25",236,2024-09-01
355,RBOP11,26.05,2.3,2,Lajes Corporativas,"376,97","39.124,17","0,49","2,85","0,80 %","2,56 %","4,15 %","16,37 %","0,85 %","0,69 %","1,36 %","12,82 %","-1,65 %","-0,86 %","65,73 %","78.137.521,23",,,,,,,2,"40,89",3.555,2024-09-01
356,RBRD11,36.1,3.6,4,Varejo,"38,35","17.876,43","0,57","0,38","0,96 %","2,96 %","5,75 %","11,01 %","0,99 %","0,96 %","0,92 %","8,34 %","1,88 %","2,86 %","11,98 %","125.712.273,60","67,89","0,56","0,56 %","2,57 %","3,14 %","1,06 %",4,"21,31",8.162,2024-09-01
357,RBRF11,36.1,3.966666666666667,3,Fundo de Fundos,"7,46","1.312.285,05","0,86","0,06","0,74 %","2,38 %","4,41 %","8,65 %","0,79 %","0,74 %","0,72 %","5,80 %","-0,40 %","0,34 %","7,24 %","1.194.883.227,01","8,73","0,85","0,78 %","-89,33 %","-89,25 %","-89,19 %",0,"17,13",129.747,2024-09-01
358,RBRI11,0.0,0.0,0,Fundo de Desenvolvimento,"916,01","1.553,50","0,78","36,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"163.063.688,14",,,,,,,0,"586,87",101,2024-09-01
359,RBRL11,35.28,4.62,5,Imóveis Industriais e Logísticos,"80,22","48.757,36","0,78","0,65","0,80 %","2,48 %","4,90 %","9,85 %","0,83 %","0,82 %","0,82 %","6,48 %","7,47 %","8,33 %","3,49 %","680.276.109,24","101,73","0,79","0,64 %","-5,16 %","-4,55 %","3,22 %",6,"17,37",1.581,2024-09-01
360,RBRM11,0.0,0.0,0,Fundo de Desenvolvimento,"94.794,81",,"14,22","5.302,02","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"3.593.643,39",,,,,,,0,,54,2024-09-01
361,RBRP11,36.1,4.416666666666667,6,Lajes Corporativas,"57,04","590.180,59","0,72","0,55","0,99 %","3,34 %","5,62 %","8,77 %","1,11 %","0,94 %","0,73 %","6,73 %","-2,21 %","-1,25 %","18,85 %","962.432.264,98","79,02","0,72","0,85 %","-3,28 %","-2,46 %","1,39 %",6,"23,38",83.091,2024-09-01
362,RBRR11,0.0,0.0,0,Papéis,"91,94","1.142.917,98","0,97","0,85","0,95 %","2,99 %","5,82 %","10,51 %","1,00 %","0,97 %","0,88 %","7,50 %","-0,28 %","0,67 %","15,31 %","1.422.053.089,57","94,44","0,97","1,02 %","0,39 %","1,41 %","4,39 %",0,"11,79",132.461,2024-09-01
363,RBRS11,36.1,3.4333333333333336,3,Fundo de Desenvolvimento,"45,00","29.294,00","0,49","0,07","0,14 %","0,00 %","0,00 %","2,28 %","0,00 %","0,00 %","0,19 %","1,56 %","-4,72 %","-4,58 %","-7,77 %","159.009.987,43","93,50","0,48","0,07 %","-0,63 %","-0,55 %","5,40 %",3,"22,33",1.150,2024-09-01
