Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2021-10-30,FIVN11,Shoppings,"R$ 2,33",608.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 64.604.991,54","R$ 6,86","0,34",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2021-10-30,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 431.455.425,43","R$ 11,03","1,33",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-10-30,XTED11,Lajes Corporativas,"R$ 6,67",544.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.189.496,52","R$ 13,53","0,49",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2021-10-30,ALMI11,Lajes Corporativas,"R$ 1.025,00",201.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 228.908.585,35","R$ 2.058,96","0,50",N/A,N/A,N/A,N/A,"68,15%",N/A,1
2021-10-30,DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 270.930.739,68","R$ 110,86","3,96",N/A,N/A,N/A,N/A,"23,44%",N/A,1
2021-10-30,PABY11,Híbrido,"R$ 11,81",100.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -7.370.513,66","R$ -9,72","-1,22",N/A,N/A,N/A,N/A,N/A,N/A,1
2021-10-30,ORPD11,Títulos e Val. Mob.,"R$ 132,00",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.025.741,68","R$ 151,81","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
2021-10-30,ATSA11,Shoppings,"R$ 101,97",9.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 172.593.204,98","R$ 98,56","1,03",N/A,N/A,N/A,N/A,"21,40%",N/A,1
2021-10-30,XPHT11,Hotel,"R$ 93,10",48886.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 330.696.101,70","R$ 86,92","1,07",N/A,N/A,N/A,N/A,"65,70%",N/A,5
2021-10-30,HTMX11,Hotel,"R$ 98,00",1060.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 163.647.743,98","R$ 130,19","0,75",N/A,N/A,N/A,N/A,"56,00%",N/A,23
