Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-02-01,NSLU11,"253,01",0.0,"R$ 1,5587","0,5860%","1,8725%","3,8966%","7,9699%","0,6242%","0,6494%","0,6642%","7,9699%","8,5714%","9,2076%","44,2031%","R$ 230.233.742,1100","R$ 201,1126","1,2581","0,7750%","4,7890%","5,6011%","15,0804%","0,0000%",N/A,1
2018-02-01,HTMX11,"131,75",0.0,"R$ 0,7110","0,5427%","2,0598%","3,2236%","6,2301%","0,6866%","0,5373%","0,5192%","0,5427%","0,0000%","0,5427%","0,5427%","R$ 150.830.765,2600","R$ 134,7955","0,9774","0,7116%","-8,2876%","-7,6349%","3,5256%","25,0000%",N/A,24
2018-02-01,MAXR11,"2.095,00",0.0,"R$ 9,9705","0,4659%","1,2762%","4,0275%","8,7969%","0,4254%","0,6713%","0,7331%","5,8248%","12,6305%","13,1553%","36,5679%","R$ 108.601.394,8000","R$ 1.833,0896","1,1429",,,,,"0,0000%",N/A,8
2018-02-01,JRDM11,"82,50",0.0,"R$ 0,3819","0,4505%","1,2387%","2,6354%","6,9006%","0,4129%","0,4392%","0,5750%","5,8470%","4,1400%","4,6092%","21,4323%","R$ 187.900.166,7600","R$ 84,5232","0,9761",,,,,"0,5400%",N/A,1
2018-02-01,ALMI11,"2.000,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","4,8028%","0,0000%","0,0000%","0,4002%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 212.654.514,0500","R$ 2.031,0842","0,9847","0,0000%","-0,1021%","-0,1021%","10,7637%","82,0000%",N/A,1
2018-02-01,TRNT11,"176,00",0.0,"R$ 0,3613","0,2041%","0,6831%","1,8936%","3,8802%","0,2277%","0,3156%","0,3233%","3,8802%","-1,5573%","-1,3563%","12,3660%","R$ 730.467.950,3600","R$ 185,6070","0,9482","0,1947%","9,6190%","9,8324%","14,4297%","28,1000%",N/A,1
2018-02-01,FVBI11,"104,10",0.0,"R$ 0,3688","0,3546%","1,0947%","2,1900%","4,8541%","0,3649%","0,3650%","0,4045%","4,8541%","2,7871%","3,1516%","23,9191%","R$ 171.426.965,7500","R$ 79,7335","1,3056","0,4625%","-17,5098%","-17,1283%","-12,8573%","12,4000%",N/A,1
2018-02-01,FCFL11,"2.200,00",62.0,"R$ 10,8065","0,4852%","1,5473%","3,1667%","6,7850%","0,5158%","0,5278%","0,5654%","6,1855%","-1,5038%","-1,0258%","36,1448%","R$ 258.869.477,7400","R$ 1.550,1166","1,4192",,,,,"0,0000%",N/A,1
2018-02-01,THRA11,"112,50",3333.0,"R$ 0,4194","0,3812%","1,2272%","2,4806%","3,6831%","0,4091%","0,4134%","0,3069%","3,6831%","1,9841%","2,3729%","39,3009%","R$ 125.907.892,3900","R$ 85,4930","1,3159","0,4905%","-6,6448%","-6,1868%","-2,3765%","0,0000%",N/A,1
2018-02-01,CEOC11,"90,00",1714.0,"R$ 0,5191","0,5813%","1,7327%","1,9446%","1,9446%","0,5776%","0,3241%","0,1620%","1,9446%","4,2129%","4,8187%","33,2037%","R$ 146.977.360,8800","R$ 80,9482","1,1118","0,6413%","5,9119%","6,5911%","8,3032%","0,0000%",N/A,1
2018-02-01,GGRC11,"130,24",0.0,"R$ 0,7000","0,5275%","1,8698%","3,9408%","0,0000%","0,6233%","0,6568%","0,0000%","0,5275%","0,0000%","0,5275%","0,5275%","R$ 149.002.508,3100","R$ 105,3910","1,2358","0,7970%","-0,8254%","-0,0350%","14,7217%","0,0000%","0,0000%",5
2018-02-01,OUJP11,"106,50",898.0,"R$ 0,7000","0,6591%","2,0931%","4,1015%","6,7693%","0,6977%","0,6836%","0,5641%","0,6591%","0,0000%","0,6591%","0,6591%","R$ 72.860.842,0600","R$ 101,1956","1,0524","0,7000%","0,2053%","0,9067%","7,3015%",N/A,N/A,0
2018-02-01,HCRI11,"334,92",0.0,"R$ 2,2791","0,6645%","1,8867%","4,0223%","8,6913%","0,6289%","0,6704%","0,7243%","8,6913%","-4,4515%","-3,8166%","30,5268%","R$ 62.213.185,6400","R$ 311,0659","1,0767","0,7327%","4,3709%","5,1356%","14,4514%","0,0000%",N/A,1
2018-02-01,RBRF11,"93,90",933.0,"R$ 0,3728","0,3916%","0,9514%","0,0000%","0,0000%","0,3171%","0,0000%","0,0000%","1,2754%","-1,8763%","-1,4920%","-3,6004%","R$ 78.714.861,9600","R$ 97,1798","0,9663","0,3836%","1,1912%","1,5793%","2,9324%",N/A,N/A,0
2018-02-01,VISC11,"108,61",15025.0,"R$ 0,6100","0,5544%","1,7521%","0,0000%","0,0000%","0,5840%","0,0000%","0,0000%","0,5544%","0,0000%","0,5544%","0,5544%","R$ 317.939.883,3800","R$ 98,8916","1,0983","0,6168%","2,4084%","3,0401%","3,5746%","6,4000%",N/A,7
2018-02-01,BCFF11,"82,90",0.0,"R$ 0,5089","0,6401%","1,9116%","4,0248%","8,4976%","0,6372%","0,6708%","0,7081%","8,4976%","0,7350%","1,3799%","23,3211%","R$ 519.140.798,6800","R$ 87,2599","0,9500","0,5831%","0,3557%","0,9409%","10,6047%",N/A,N/A,0
2018-02-01,MALL11,"102,31",0.0,"R$ 0,4880","0,4702%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,4702%","0,0000%","0,4702%","0,4702%","R$ 176.908.615,3900","R$ 95,1053","1,0758",,,,,N/A,N/A,0
