Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2020-09-01,FIVN11,Shoppings,"R$ 4,44",218.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 71.557.594,51","R$ 7,60","0,58",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2020-09-01,BZLI11,Títulos e Val. Mob.,"R$ 15,29",48432.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 428.217.278,87","R$ 11,86","1,29",N/A,N/A,N/A,N/A,N/A,N/A,0
2020-09-01,XTED11,Lajes Corporativas,"R$ 7,30",572.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.119.089,07","R$ 14,57","0,50",N/A,N/A,N/A,N/A,"100,00%","100,00%",1
2020-09-01,ALMI11,Lajes Corporativas,"R$ 1.180,00",9.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 220.697.978,44","R$ 1.985,10","0,59",N/A,N/A,N/A,N/A,"71,19%",N/A,1
2020-09-01,DOMC11,Lajes Corporativas,"R$ 460,00",623.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 244.148.383,80","R$ 999,05","0,46",N/A,N/A,N/A,N/A,"23,44%",N/A,1
2020-09-01,PABY11,Híbrido,"R$ 15,60",78.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -3.099.391,10","R$ -4,09","-3,82",N/A,N/A,N/A,N/A,N/A,N/A,1
2020-09-01,BBVJ11,Lajes Corporativas,"R$ 60,90",146.0,"R$ 0,33","0,61%","0,74%","0,94%","0,96%","0,25%","0,16%","0,08%","0,96%","19,24%","19,96%","-9,15%","R$ 155.507.284,84","R$ 57,38","1,06",N/A,N/A,N/A,N/A,"59,00%",N/A,1
2020-09-01,RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 40.071,39","R$ 0,75","25,18",N/A,N/A,N/A,N/A,N/A,N/A,0
2020-09-01,RBDS11,Residencial,"R$ 30,03",467.0,"R$ 0,62","0,38%","3,38%","6,82%","17,81%","1,13%","1,14%","1,48%","13,35%","-21,63%","-21,33%","-29,55%","R$ 4.495.070,25","R$ 35,53","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
2020-09-01,KNRE11,Residencial,"R$ 4,19",2548.0,"R$ 0,26","3,92%","5,11%","5,11%","9,25%","1,70%","0,85%","0,77%","7,82%","5,28%","9,41%","-24,78%","R$ 72.312.057,62","R$ 3,90","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
