Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-08-01,AEFI11,Outros,"142,00",1274.0,"R$ 1,2200","0,8113%","2,3479%","4,4324%","9,0108%","0,7826%","0,7387%","0,7509%","5,1597%","-4,5812%","-3,8071%","-4,0470%","R$ 109.862.095,8600","R$ 145,9961","0,9726","0,8356%","0,0141%","0,8499%","4,8196%","0,0000%",N/A,2
2018-08-01,BCRI11,Títulos e Val. Mob.,"104,56",1619.0,"R$ 0,8000","0,7619%","2,1882%","3,9983%","7,6841%","0,7294%","0,6664%","0,6403%","4,6058%","0,7774%","1,5453%","2,7406%","R$ 117.820.211,3900","R$ 97,3720","1,0738","0,8216%","1,3240%","2,1565%","4,3633%",N/A,N/A,0
2018-08-01,BNFS11,Outros,"114,00",78.0,"R$ 0,8385","0,7388%","2,1250%","4,0866%","8,0577%","0,7083%","0,6811%","0,6715%","4,7732%","1,3393%","2,0880%","-0,8087%","R$ 62.630.723,6600","R$ 89,4725","1,2741","0,8815%","0,0050%","0,8865%","5,6105%",N/A,N/A,18
2018-08-01,BBFI11B,Lajes Corporativas,"1.980,00",145.0,"R$ 23,3551","1,1393%","3,2085%","5,6335%","10,5378%","1,0695%","0,9389%","0,8782%","6,4102%","-1,3474%","-0,2235%","-26,8722%","R$ 350.216.968,0500","R$ 2.693,9767","0,7350","0,7598%","0,0148%","0,7747%","5,3584%",N/A,N/A,2
2018-08-01,BBPO11,Lajes Corporativas,"127,50",21442.0,"R$ 0,9809","0,7488%","2,2387%","4,2254%","8,4104%","0,7462%","0,7042%","0,7009%","4,9089%","4,8084%","5,5932%","-4,1476%","R$ 1.653.311.475,9500","R$ 103,8532","1,2277","0,9445%","8,6276%","9,6536%","14,6813%",N/A,N/A,64
2018-08-01,BBRC11,Outros,"138,50",762.0,"R$ 0,9000","0,6503%","1,9643%","3,5930%","7,1201%","0,6548%","0,5988%","0,5933%","4,1314%","6,9717%","7,6673%","-2,9411%","R$ 154.970.958,0100","R$ 97,4660","1,4210","0,9747%","0,9659%","1,9500%","6,2632%",N/A,N/A,19
2018-08-01,RNDP11,Títulos e Val. Mob.,"950,00",76.0,"R$ 5,4222","0,5666%","1,6814%","3,3002%","7,1746%","0,5605%","0,5500%","0,5979%","3,9413%","2,1345%","2,7132%","9,3803%","R$ 113.280.298,0200","R$ 1.053,9565","0,9014","0,4910%","0,3822%","0,8751%","3,9686%",N/A,N/A,0
2018-08-01,BCIA11,Títulos e Val. Mob.,"110,00",284.0,"R$ 0,7000","0,6306%","1,8922%","3,5674%","7,0375%","0,6307%","0,5946%","0,5865%","4,1750%","3,2558%","3,9070%","0,4496%","R$ 186.305.240,9300","R$ 110,2650","0,9976","0,6348%","1,6692%","2,3147%","-4,2469%",N/A,N/A,0
2018-08-01,CARE11,Híbrido,"1,79",42095.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.233.590,9700","R$ 1,3701","1,3064",,,,,N/A,N/A,0
2018-08-01,CXRI11,Híbrido,"980,00",39.0,"R$ 7,0000","0,7007%","2,1193%","4,0050%","8,2573%","0,7064%","0,6675%","0,6881%","4,6466%","6,3898%","7,1353%","-10,4916%","R$ 157.771.987,0200","R$ 1.001,2438","0,9788","0,6991%","-3,7532%","-3,0803%","-4,6747%",N/A,N/A,0
2018-08-01,CPTS11B,Títulos e Val. Mob.,"99,30",2079.0,"R$ 0,8500","0,8590%","2,3642%","4,6383%","9,1637%","0,7881%","0,7731%","0,7636%","5,3686%","-0,6825%","0,1706%","5,8680%","R$ 96.103.498,9300","R$ 96,1035","1,0333","0,8324%","-0,5872%","0,2404%","1,9755%",N/A,N/A,0
2018-08-01,CBOP11,Lajes Corporativas,"69,72",1117.0,"R$ 0,4700","0,6831%","2,0322%","3,8479%","7,6053%","0,6774%","0,6413%","0,6338%","4,4543%","1,9259%","2,6222%","-7,1953%","R$ 101.107.581,1200","R$ 71,4541","0,9757","0,6578%","-0,0043%","0,6534%","3,8538%","7,0000%",N/A,1
2018-08-01,ATSA11B,Shoppings,"1.137,39",23.0,"R$ 1,0000","0,0879%","0,3248%","0,7184%","1,3931%","0,1083%","0,1197%","0,1161%","0,8017%","-0,2202%","-0,1325%","-4,4550%","R$ 214.745.170,0200","R$ 1.252,0124","0,9084","0,0958%","0,0123%","0,1081%","0,8282%","23,0000%",N/A,1
2018-08-01,HGBS11,Shoppings,"201,71",7824.0,"R$ 1,1500","0,5779%","1,6902%","3,1919%","6,1051%","0,5634%","0,5320%","0,5088%","3,6799%","-2,6468%","-2,0841%","-11,9706%","R$ 1.238.534.074,2100","R$ 230,4284","0,8754","0,5208%","-0,2529%","0,2665%","3,8138%","6,7300%",N/A,8
2018-08-01,GRLV11,Logística,"120,48",1609.0,"R$ 0,7500","0,6303%","1,9027%","3,5670%","7,3140%","0,6342%","0,5945%","0,6095%","4,1513%","6,7743%","7,4473%","2,0830%","R$ 126.630.336,4800","R$ 117,9570","1,0214","0,6358%","-0,0245%","0,6111%","3,8543%","7,2800%",N/A,1
2018-08-01,HGJH11,Lajes Corporativas,"147,90",1933.0,"R$ 0,7500","0,5034%","1,4765%","2,8451%","6,0477%","0,4922%","0,4742%","0,5040%","3,3392%","-0,6667%","-0,1667%","1,4993%","R$ 192.545.518,9600","R$ 116,6943","1,2674","0,6427%","-0,0686%","0,5736%","3,6211%","0,0000%",N/A,2
2018-08-01,HGLG11,Logística,"126,50",10614.0,"R$ 0,7500","0,5959%","1,8366%","3,6629%","7,6710%","0,6122%","0,6105%","0,6392%","4,3250%","0,0397%","0,6359%","-0,0058%","R$ 912.198.911,6900","R$ 115,7416","1,0930","0,6480%","-0,5829%","0,0613%","7,2822%","6,0000%","9,6000%",8
2018-08-01,HGRE11,Lajes Corporativas,"122,90",12712.0,"R$ 0,8000","0,6571%","1,9012%","3,4868%","7,1197%","0,6337%","0,5811%","0,5933%","4,0202%","0,7864%","1,4487%","-15,5108%","R$ 1.091.912.258,5400","R$ 147,8935","0,8310","0,5409%","-0,4943%","0,0440%","2,2618%","20,0200%","19,7100%",19
