Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-08-01,FIVN11,Shoppings,"R$ 2,01",33740.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.678.487,99","R$ 6,98","0,29",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2022-08-01,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.933.444,25","R$ 10,67","1,38",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-08-01,XTED11,Lajes Corporativas,"R$ 5,97",70.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.172.278,20","R$ 13,83","0,43",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2022-08-01,ALMI11,Lajes Corporativas,"R$ 851,01",120.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 249.878.508,15","R$ 2.247,57","0,38",N/A,N/A,N/A,N/A,"64,05%",N/A,1
2022-08-01,PABY11,Híbrido,"R$ 8,52",22.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -10.251.131,40","R$ -13,52","-0,63",N/A,N/A,N/A,N/A,N/A,N/A,1
2022-08-01,ORPD11,Títulos e Val. Mob.,"R$ 93,00",3.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 43.445.940,90","R$ 149,81","0,62",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-08-01,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 195.185.226,39","R$ 114,82","1,44",N/A,N/A,N/A,N/A,N/A,N/A,0
2022-08-01,ATSA11,Shoppings,"R$ 85,20",19.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 156.992.980,19","R$ 89,65","0,95",N/A,N/A,N/A,N/A,"21,90%",N/A,1
2022-08-01,CXTL11,Logística,"R$ 304,99",8.0,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","0,42%","-6,12%","-5,97%","-5,73%","R$ 37.036.720,45","R$ 691,02","0,44",N/A,N/A,N/A,N/A,"61,00%",N/A,3
2022-08-01,HTMX11,Hotel,"R$ 94,00",1543.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 164.192.001,82","R$ 130,62","0,72",N/A,N/A,N/A,N/A,"65,00%",N/A,23
2022-08-01,GSFI11,Shoppings,"R$ 4,51",436.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 996.665.011,46","R$ 13,25","0,34",N/A,N/A,N/A,N/A,"10,30%",N/A,10
