Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-01,AEFI11,"178,00",1520.0,"R$ 1,2200","0,6854%","2,1437%","4,3854%","9,5127%","0,7146%","0,7309%","0,7927%","2,1437%","6,6571%","7,3881%","10,2147%","R$ 111.089.445,7700","R$ 147,6272","1,2057","0,8264%","0,0538%","0,8807%","1,7011%","0,0000%",N/A,2
2018-04-01,BCRI11,"103,56",1900.0,"R$ 0,6600","0,6373%","1,7938%","3,6323%","8,1828%","0,5979%","0,6054%","0,6819%","1,7938%","1,5294%","2,1765%","-1,4684%","R$ 118.805.494,0900","R$ 98,1863","1,0547","0,5703%","0,2212%","0,7928%","1,4615%",N/A,N/A,0
2018-04-01,BNFS11,"123,00",45.0,"R$ 0,8297","0,6746%","2,0162%","3,8983%","7,8513%","0,6721%","0,6497%","0,6543%","2,0162%","3,3613%","4,0586%","4,5805%","R$ 62.565.239,4000","R$ 89,3789","1,3762","0,8721%","0,0353%","0,9077%","1,8383%",N/A,N/A,18
2018-04-01,BBFI11B,"2.964,92",112.0,"R$ 23,2064","0,7827%","2,3216%","4,7075%","9,9212%","0,7739%","0,7846%","0,8268%","2,3216%","-1,1364%","-0,3626%","1,5491%","R$ 349.710.312,2300","R$ 2.690,0793","1,1022","0,8498%","0,0547%","0,9050%","1,7760%",N/A,N/A,2
2018-04-01,BBPO11,"149,40",23040.0,"R$ 0,9809","0,6566%","2,0085%","4,1745%","8,3440%","0,6695%","0,6957%","0,6953%","2,0085%","1,8058%","2,4742%","6,2018%","R$ 1.543.657.786,4200","R$ 96,9653","1,5408","1,0116%","0,8184%","1,8383%","2,8770%",N/A,N/A,64
2018-04-01,BBRC11,"146,05",963.0,"R$ 0,8000","0,5478%","1,6192%","3,4490%","7,1955%","0,5397%","0,5748%","0,5996%","1,6192%","-2,6917%","-2,1587%","-0,1093%","R$ 154.962.086,2400","R$ 97,4604","1,4986","0,8208%","0,9838%","1,8127%","2,6566%",N/A,N/A,19
2018-04-01,RNDP11,"931,00",57.0,"R$ 5,3249","0,5720%","1,7076%","3,5254%","8,1926%","0,5692%","0,5876%","0,6827%","1,7076%","-1,1656%","-0,6003%","4,0646%","R$ 112.374.825,1600","R$ 1.045,5320","0,8905","0,4456%","0,1018%","0,5478%","1,1094%",N/A,N/A,0
2018-04-01,BCIA11,"122,17",224.0,"R$ 0,7000","0,5730%","1,6995%","3,4618%","7,1742%","0,5665%","0,5770%","0,5979%","1,6995%","2,2429%","2,8287%","7,8629%","R$ 203.808.481,6200","R$ 120,6244","1,0128","0,5140%","0,5237%","1,0404%","1,6298%",N/A,N/A,0
2018-04-01,CARE11,"2,35",77214.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 116.934.258,8600","R$ 1,3666","1,7195",,,,,N/A,N/A,0
2018-04-01,CXRI11,"1.160,00",36.0,"R$ 7,0000","0,6034%","1,8650%","4,0282%","8,4554%","0,6217%","0,6714%","0,7046%","1,8650%","2,7467%","3,3667%","1,0923%","R$ 172.465.092,7100","R$ 1.094,4883","1,0599","0,6396%","0,1618%","0,8024%","1,4942%",N/A,N/A,0
