Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,TBOF11,Lajes Corporativas,"85,00",6209.0,"R$ 0,2905","0,3462%","0,8870%","1,7456%","3,0358%","0,2957%","0,2909%","0,2530%","3,0358%","7,5641%","7,9365%","4,8274%","R$ 877.287.397,79","R$ 87,29","0,9737","0,3328%","9,3764%","9,7404%","13,0031%","28,20%",N/A,1
2019-02-11,VLOL11,Lajes Corporativas,"96,05",2358.0,"R$ 0,3765","0,3883%","1,2250%","2,3739%","4,7623%","0,4083%","0,3957%","0,3969%","0,3883%","0,0000%","0,3883%","0,3883%","R$ 152.466.246,11","R$ 85,42","1,1244","0,3506%","14,2488%","14,6493%","21,5465%","0,00%",N/A,1
2019-02-11,AGCX11,Outros,"1.190,01",231.0,"R$ 7,5000","0,6303%","1,8170%","3,8898%","7,6364%","0,6057%","0,6483%","0,6364%","0,6303%","0,0000%","0,6303%","0,6303%","R$ 432.406.557,06","R$ 1.067,67","1,1146","0,6556%","0,9626%","1,6245%","8,4846%",N/A,N/A,41
2019-02-11,BBVJ11,Lajes Corporativas,"55,68",4536.0,"R$ 0,3300","0,6112%","0,7427%","0,9356%","0,9614%","0,2476%","0,1559%","0,0801%","0,9614%","19,2359%","19,9647%","-9,1492%","R$ 159.807.532,98","R$ 58,97","0,9442","0,5596%","-2,1231%","-1,5753%","-0,5032%","66,79%",N/A,1
2019-02-11,BMLC11B,Lajes Corporativas,"77,99",348.0,"R$ 0,4306","0,5521%","1,6785%","3,0671%","5,7715%","0,5595%","0,5112%","0,4810%","0,5521%","0,0000%","0,5521%","0,5521%","R$ 93.080.522,97","R$ 93,23","0,8365","0,4761%","10,4381%","10,9638%","16,4260%","24,00%",N/A,2
2019-02-11,BPFF11,Títulos e Val. Mob.,"95,18",2192.0,"R$ 0,6000","0,6206%","1,9470%","3,9448%","7,9508%","0,6490%","0,6575%","0,6626%","0,6206%","0,0000%","0,6206%","0,6206%","R$ 187.305.948,32","R$ 93,65","1,0163","0,6407%","1,4711%","2,1212%","3,7232%",N/A,N/A,0
2019-02-11,CXCE11B,Outros,"2.228,00",17.0,"R$ 19,4182","0,8553%","2,5513%","5,2904%","9,8631%","0,8504%","0,8817%","0,8219%","0,8553%","0,0000%","0,8553%","0,8553%","R$ 158.258.677,87","R$ 2.309,74","0,9646","0,8189%","0,0208%","0,8399%","10,4277%",N/A,N/A,1
2019-02-11,CXTL11,Logística,"482,02",34.0,"R$ 1,5423","0,3193%","0,4914%","0,6922%","1,7377%","0,1638%","0,1154%","0,1448%","0,3193%","0,0000%","0,3193%","0,3193%","R$ 50.737.569,81","R$ 946,65","0,5092",N/A,N/A,N/A,N/A,N/A,N/A,4
2019-02-11,CTXT11,Lajes Corporativas,"59,68",625.0,"R$ 0,0295","0,6766%","2,0230%","4,0477%","7,7277%","0,6743%","0,6746%","0,6440%","0,6766%","0,0000%","0,6766%","0,6766%","R$ 123.736.570,12","R$ 3,41","17,5176","0,8043%","0,0069%","0,8112%","8,7246%","8,90%",N/A,1
2019-02-11,FLMA11,Híbrido,"2,92",39353.0,"R$ 0,0133","0,4555%","1,5684%","3,2691%","6,2464%","0,5228%","0,5448%","0,5205%","0,4555%","0,0000%","0,4555%","0,4555%","R$ 192.917.205,42","R$ 2,79","1,0449","0,5189%","4,6273%","5,1702%","11,4851%",N/A,N/A,1
2019-02-11,EDFO11B,Lajes Corporativas,"289,95",81.0,"R$ 1,7934","0,6293%","1,8800%","3,7928%","7,2746%","0,6267%","0,6321%","0,6062%","0,6293%","0,0000%","0,6293%","0,6293%","R$ 42.117.945,12","R$ 178,47","1,6247","0,9880%","0,0000%","0,9880%","12,2925%","6,96%",N/A,1
