Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-11-01,AEFI11,"158,80",1610.0,"R$ 1,2000","0,7557%","2,3650%","5,1039%","10,2466%","0,7883%","0,8507%","0,8539%","8,2307%","3,1102%","3,8894%","22,1643%","R$ 99.429.363,0900","R$ 132,1320","1,2018","0,9082%","0,0110%","0,9193%","8,9522%","0,0000%",N/A,2
2017-11-01,BCRI11,"108,20",2365.0,"R$ 0,6500","0,6007%","1,8405%","4,1699%","10,0907%","0,6135%","0,6950%","0,8409%","8,0893%","-1,6364%","-1,0455%","3,7847%","R$ 118.070.187,9500","R$ 97,5786","1,1088","0,6149%","0,6844%","1,3035%","10,3613%",N/A,N/A,0
2017-11-01,BNFS11,"118,50",212.0,"R$ 0,7993","0,6745%","2,0770%","3,9795%","7,9550%","0,6923%","0,6633%","0,6629%","6,6176%","4,8673%","5,5746%","6,1048%","R$ 62.526.881,4200","R$ 89,3241","1,3266","0,9180%","0,0467%","0,9652%","8,1636%",N/A,N/A,0
2017-11-01,BBFI11B,"2.801,05",219.0,"R$ 23,1513","0,8265%","2,5683%","5,1591%","10,5994%","0,8561%","0,8598%","0,8833%","8,8076%","4,5168%","5,3806%","21,4670%","R$ 430.474.483,2500","R$ 3.311,3422","0,8459","0,7010%","0,0382%","0,7394%","1,3058%",N/A,N/A,0
2017-11-01,BBPO11,"154,00",18230.0,"R$ 0,9809","0,6370%","1,9725%","4,0978%","8,8552%","0,6575%","0,6830%","0,7379%","6,9699%","-0,3236%","0,3113%","28,2793%","R$ 1.536.968.328,6700","R$ 96,5451","1,5951","1,0160%","-0,0312%","0,9845%","13,3502%",N/A,N/A,0
2017-11-01,BBRC11,"140,23",879.0,"R$ 0,8000","0,5705%","1,7294%","3,6559%","7,8448%","0,5765%","0,6093%","0,6537%","6,2914%","0,8849%","1,4604%","24,2926%","R$ 153.904.154,5500","R$ 96,7951","1,4487","0,8265%","0,1446%","0,9723%","8,4951%",N/A,N/A,0
2017-11-01,RNDP11,"969,98",36.0,"R$ 6,4593","0,6659%","2,0814%","4,5765%","10,3121%","0,6938%","0,7627%","0,8593%","8,2285%","-6,5341%","-5,9117%","1,4078%","R$ 111.525.466,2500","R$ 1.037,6296","0,9348","0,6181%","-0,0898%","0,5278%","7,4152%",N/A,N/A,0
2017-11-01,BCIA11,"122,00",131.0,"R$ 0,7000","0,5738%","1,6740%","3,7445%","8,1036%","0,5580%","0,6241%","0,6753%","6,4279%","2,5210%","3,1092%","8,3936%","R$ 204.212.553,0000","R$ 120,8635","1,0094","0,5792%","3,6441%","4,2444%","12,9991%",N/A,N/A,0
2017-11-01,CARE11,"1,98",248976.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 66.730.063,4800","R$ 1,3215","1,4983",,,,,N/A,N/A,0
2017-11-01,CXRI11,"1.079,97",48.0,"R$ 7,5000","0,7123%","2,1120%","4,4272%","9,0750%","0,7040%","0,7379%","0,7563%","6,6398%","3,2353%","3,9706%","11,4879%","R$ 181.027.885,2600","R$ 1.148,8290","0,9401","0,6528%","4,7788%","5,4628%","11,7091%",N/A,N/A,0
2017-11-01,CPTS11B,"99,00",1086.0,"R$ 0,7500","0,7576%","2,2082%","4,5965%","0,0000%","0,7361%","0,7661%","0,0000%","8,7465%","-0,0101%","0,7474%","8,0068%","R$ 100.585.236,1400","R$ 100,5852","0,9842","0,7158%","0,1624%","0,8794%","8,6357%",N/A,N/A,0
2017-11-01,CBOP11,"780,00",203.0,"R$ 4,7000","0,6026%","1,8918%","3,9503%","8,2808%","0,6306%","0,6584%","0,6901%","6,7052%","-2,3535%","-1,7651%","22,9825%","R$ 103.864.169,7600","R$ 734,0224","1,0626","0,6676%","0,0210%","0,6887%","6,1781%","10,4000%",N/A,1
2017-11-01,ATSA11B,"1.180,00",76.0,"R$ 1,5000","0,1271%","0,3815%","1,6091%","1,8040%","0,1272%","0,2682%","0,1503%","1,8040%","0,0857%","0,2129%","17,4736%","R$ 229.708.391,6100","R$ 1.339,2514","0,8811","0,1120%","-0,0490%","0,0629%","1,6306%","24,5000%",N/A,1
2017-11-01,HGBS11,"2.454,00",482.0,"R$ 10,0000","0,4075%","1,4878%","3,2298%","7,0434%","0,4959%","0,5383%","0,5870%","5,6592%","2,2500%","2,6667%","26,8444%","R$ 1.158.595.419,2200","R$ 2.155,5584","1,1385","0,5753%","0,1223%","0,6982%","6,4864%","6,5300%",N/A,8
2017-11-01,GRLV11,"1.140,00",319.0,"R$ 7,1000","0,6228%","1,9229%","4,0775%","8,4640%","0,6410%","0,6796%","0,7053%","7,0238%","-0,8696%","-0,2522%","34,3879%","R$ 118.951.063,4700","R$ 1.108,0367","1,0288","0,6408%","0,0215%","0,6624%","6,2400%","7,0000%",N/A,1
2017-11-01,HGJH11,"1.375,00",186.0,"R$ 7,5000","0,5455%","1,6591%","3,4122%","7,1236%","0,5530%","0,5687%","0,5936%","5,8743%","-1,4330%","-0,8953%","26,2945%","R$ 170.812.402,2600","R$ 1.035,2267","1,3282","0,7245%","-0,0054%","0,7190%","6,6834%","7,7000%",N/A,2
2017-11-01,HGLG11,"1.283,00",476.0,"R$ 8,7000","0,6781%","2,0406%","4,1382%","8,5675%","0,6802%","0,6897%","0,7140%","7,0057%","-1,6346%","-0,9676%","21,9259%","R$ 380.937.516,9700","R$ 1.120,0750","1,1455","0,7767%","1,4796%","2,2678%","8,7266%","22,2000%","18,9600%",8
2017-11-01,HGRE11,"1.587,00",736.0,"R$ 9,4000","0,5923%","1,8258%","3,8012%","8,3228%","0,6086%","0,6335%","0,6936%","6,6954%","0,4430%","1,0380%","31,6975%","R$ 1.096.198.582,1600","R$ 1.484,7403","1,0689","0,6331%","0,4340%","1,0699%","6,2144%","21,0000%","22,9000%",20
2017-11-01,HGCR11,"103,69",238.0,"R$ 0,7300","0,7040%","2,0376%","4,5313%","10,1569%","0,6792%","0,7552%","0,8464%","8,0117%","-90,3093%","-90,2411%","-88,8501%","R$ 106.966.383,2200","R$ 1.021,5586","0,1015","0,7097%","1,8183%","2,5409%","7,7712%",N/A,N/A,0
2017-11-01,DOMC11,"700,00",34.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","8,3651%","8,3651%","-11,0642%","R$ 160.569.648,3000","R$ 917,5408","0,7629",,,,,N/A,N/A,0
2017-11-01,FIXX11,"86,01",283.0,"R$ 0,7400","0,8604%","2,1885%","4,0776%","8,6675%","0,7295%","0,6796%","0,7223%","6,8623%","-3,8994%","-3,0726%","2,9886%","R$ 33.025.940,4700","R$ 90,2417","0,9531","0,6316%","4,0957%","4,7532%","13,7159%",N/A,N/A,0
2017-11-01,VRTA11,"107,90",3770.0,"R$ 0,7200","0,6673%","1,9887%","4,4102%","9,7679%","0,6629%","0,7350%","0,8140%","7,8709%","-2,7139%","-2,0647%","-4,0065%","R$ 234.779.848,4600","R$ 104,7283","1,0303","0,6684%","0,4319%","1,1032%","10,8523%",N/A,N/A,0
2017-11-01,BRCR11,"101,00",31470.0,"R$ 0,4293","0,4298%","1,1414%","2,7375%","7,5335%","0,3805%","0,4563%","0,6278%","4,1841%","4,3887%","4,8373%","8,3021%","R$ 2.079.990.237,0500","R$ 108,1946","0,9335",,,,,"31,8000%","28,2000%",10
2017-11-01,BCFF11B,"76,70",12256.0,"R$ 0,4950","0,6823%","2,1132%","4,3010%","8,8793%","0,7044%","0,7168%","0,7399%","6,5860%","3,9845%","4,6940%","10,4300%","R$ 520.984.857,2900","R$ 87,5699","0,8759","0,5653%","3,9804%","4,5682%","9,1092%",N/A,N/A,0
2017-11-01,FAMB11B,"4.801,42",40.0,"R$ 37,7565","0,7864%","2,5814%","4,8973%","9,1167%","0,8605%","0,8162%","0,7597%","7,6093%","3,2563%","4,0683%","-0,6043%","R$ 576.747.681,7400","R$ 5.503,3176","0,8725","0,7861%","0,0691%","0,8558%","6,5069%","0,0000%",N/A,1
2017-11-01,PQDP11,"3.260,00",45.0,"R$ 12,6949","0,3894%","1,3073%","2,8972%","6,5142%","0,4358%","0,4829%","0,5428%","4,5634%","-0,7610%","-0,3746%","66,0424%","R$ 624.173.156,3800","R$ 2.617,3306","1,2455","0,4850%","0,0340%","0,5191%","8,0495%","3,0000%",N/A,1
2017-11-01,PRSV11,"428,52",66.0,"R$ 1,7800","0,4045%","1,1883%","2,1893%","4,4406%","0,3961%","0,3649%","0,3700%","3,2693%","3,0445%","3,4614%","-6,6968%","R$ 126.153.482,8400","R$ 646,9409","0,6624","0,2751%","0,0059%","0,2810%","2,4262%",N/A,N/A,2
