Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-05-23,AEFI11,Outros,"156,00",1257.0,"R$ 1,2200","0,6681%","2,0845%","4,2979%","9,4018%","0,6948%","0,7163%","0,7835%","2,8119%","2,5843%","3,2697%","13,8183%","R$ 111.180.561,6800","R$ 147,7483","1,0559","0,8257%","0,0373%","0,8634%","3,4727%","0,0000%",N/A,2
2018-05-23,BCRI11,Títulos e Val. Mob.,"102,25",2119.0,"R$ 0,6500","0,6238%","1,8101%","3,6554%","7,8253%","0,6034%","0,6092%","0,6521%","2,4176%","0,6180%","1,2457%","-0,2411%","R$ 119.794.020,8700","R$ 99,0032","1,0328","0,6666%","0,8321%","1,5042%","2,9877%",N/A,N/A,0
2018-05-23,BNFS11,Outros,"118,72",98.0,"R$ 0,7583","0,6319%","1,9615%","3,8557%","7,8352%","0,6538%","0,6426%","0,6529%","2,6481%","-2,4390%","-1,8225%","2,6746%","R$ 62.588.910,7500","R$ 89,4127","1,3278","0,8481%","0,0248%","0,8731%","3,6945%",N/A,N/A,18
2018-05-23,BBFI11B,Lajes Corporativas,"2.200,00",161.0,"R$ 22,9686","0,8800%","2,4250%","4,7610%","9,9201%","0,8083%","0,7935%","0,8267%","3,2016%","-11,9706%","-11,1960%","-9,8203%","R$ 350.006.979,4200","R$ 2.692,3614","0,8171","0,8531%","0,0239%","0,8772%","3,6170%",N/A,N/A,2
2018-05-23,BBPO11,Lajes Corporativas,"138,77",20919.0,"R$ 0,9809","0,6617%","1,9867%","4,1992%","8,2970%","0,6622%","0,6999%","0,6914%","2,6702%","-0,7697%","-0,1132%","6,0816%","R$ 1.522.922.829,8300","R$ 95,6628","1,4506","1,0254%","-0,1510%","0,8728%","3,5857%",N/A,N/A,64
2018-05-23,BBRC11,Outros,"135,59",756.0,"R$ 0,8000","0,5479%","1,6287%","3,4265%","7,0824%","0,5429%","0,5711%","0,5902%","2,1671%","-0,0342%","0,5135%","0,4037%","R$ 153.430.674,3200","R$ 96,4973","1,4051","0,8290%","0,0821%","0,9119%","3,3351%",N/A,N/A,19
2018-05-23,RNDP11,Títulos e Val. Mob.,"920,00",60.0,"R$ 5,1751","0,5523%","1,6188%","3,4117%","7,9882%","0,5396%","0,5686%","0,6657%","2,2599%","0,6466%","1,2025%","5,3160%","R$ 112.118.064,6000","R$ 1.043,1431","0,8819","0,4961%","0,0848%","0,5814%","1,8968%",N/A,N/A,0
2018-05-23,BCIA11,Títulos e Val. Mob.,"117,00",99.0,"R$ 0,7000","0,5833%","1,6752%","3,4713%","7,2159%","0,5584%","0,5786%","0,6013%","2,2828%","-1,7762%","-1,2032%","6,5650%","R$ 206.904.993,4400","R$ 122,4570","0,9554","0,5716%","-1,7006%","-1,1387%","4,3467%",N/A,N/A,0
2018-05-23,CARE11,Híbrido,"1,88",33520.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.447.847,9400","R$ 1,3726","1,3696",,,,,N/A,N/A,0
2018-05-23,CXRI11,Híbrido,"1.015,00",67.0,"R$ 7,0000","0,6623%","1,8857%","3,9895%","8,3575%","0,6286%","0,6649%","0,6965%","2,5273%","-8,8793%","-8,2759%","-7,2739%","R$ 173.331.307,9700","R$ 1.099,9855","0,9227","0,6364%","-0,3686%","0,2654%","3,3040%",N/A,N/A,0
2018-05-23,CPTS11B,Títulos e Val. Mob.,"99,60",3253.0,"R$ 0,8000","0,8041%","2,2741%","4,5912%","9,1877%","0,7580%","0,7652%","0,7656%","3,0043%","1,0051%","1,8173%","3,9684%","R$ 99.127.793,1800","R$ 99,1278","1,0048","0,7566%","-0,2746%","0,4799%","2,7359%",N/A,N/A,0
2018-05-23,CBOP11,Lajes Corporativas,"67,10",4015.0,"R$ 0,4700","0,6266%","1,8156%","3,6813%","7,6316%","0,6052%","0,6135%","0,6360%","2,4221%","-7,3951%","-6,8148%","-0,8473%","R$ 101.197.567,6300","R$ 715,1772","0,0938","0,6572%","0,0335%","0,6909%","1,9942%","7,0000%",N/A,1
2018-05-23,ATSA11B,Shoppings,"1.139,90",222.0,"R$ 1,5000","0,1316%","0,3936%","0,6868%","2,2959%","0,1312%","0,1145%","0,1913%","0,4769%","0,0000%","0,1316%","-4,5461%","R$ 214.717.321,5500","R$ 1.251,8501","0,9106","0,1198%","0,0610%","0,1809%","0,4777%","23,0000%",N/A,1
2018-05-23,HGBS11,Shoppings,"228,99",8415.0,"R$ 1,2000","0,4918%","1,5017%","2,9272%","6,1569%","0,5006%","0,4879%","0,5131%","1,9897%","2,3490%","2,8523%","1,2173%","R$ 1.244.111.389,9800","R$ 2.314,6603","0,0989","0,5184%","-0,0317%","0,4866%","2,1755%","6,6000%",N/A,8
2018-05-23,GRLV11,Logística,"130,00",4248.0,"R$ 0,7500","0,5357%","1,6643%","3,4884%","7,5659%","0,5548%","0,5814%","0,6305%","2,2487%","0,0000%","0,5357%","17,8413%","R$ 126.592.107,5400","R$ 1.179,2135","0,1102","0,6360%","-0,0129%","0,6230%","1,8855%","7,2800%",N/A,1
2018-05-23,HGJH11,Lajes Corporativas,"160,98",2189.0,"R$ 0,7500","0,4336%","1,3686%","2,9120%","6,3242%","0,4562%","0,4853%","0,5270%","1,8627%","1,6931%","2,1340%","16,1117%","R$ 192.950.558,4500","R$ 1.169,3973","0,1377","0,6414%","-0,0841%","0,5567%","1,8407%","5,7000%",N/A,2
2018-05-23,HGLG11,Logística,"134,49",21053.0,"R$ 0,8700","0,6174%","1,8264%","3,7939%","7,9320%","0,6088%","0,6323%","0,6610%","2,4885%","-6,2907%","-5,7122%","9,9366%","R$ 924.856.003,2500","R$ 1.173,4756","0,1146","0,7414%","3,0595%","3,8235%","5,1230%","18,2000%","14,4000%",8
2018-05-23,HGRE11,Lajes Corporativas,"138,20",2768.0,"R$ 0,8000","0,5277%","1,5857%","3,3927%","7,1939%","0,5286%","0,5654%","0,5995%","2,1190%","-0,5967%","-0,0721%","3,2220%","R$ 1.108.132.906,6800","R$ 1.500,9046","0,0921","0,5330%","0,1280%","0,6617%","1,8803%","18,7000%","19,1000%",19
2018-05-23,HGCR11,Títulos e Val. Mob.,"106,50",2215.0,"R$ 0,7700","0,7048%","2,1016%","4,2533%","8,7847%","0,7005%","0,7089%","0,7321%","2,8369%","0,5522%","1,2609%","10,1788%","R$ 109.771.816,6100","R$ 104,8351","1,0159","0,7345%","1,2974%","2,0414%","4,9942%",N/A,N/A,0
2018-05-23,DOMC11,Lajes Corporativas,"500,20",27.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","5,3571%","R$ 236.753.106,7900","R$ 992,6755","0,5039",,,,,N/A,N/A,1
2018-05-23,FIXX11,Títulos e Val. Mob.,"82,00",444.0,"R$ 0,4200","0,4884%","1,3820%","3,2156%","7,2932%","0,4607%","0,5359%","0,6078%","1,9139%","-1,2404%","-0,7580%","-6,7579%","R$ 35.039.137,6400","R$ 95,7427","0,8565","0,4073%","2,1597%","2,5758%","4,3941%",N/A,N/A,0
2018-05-23,VRTA11,Títulos e Val. Mob.,"106,50",3906.0,"R$ 0,7400","0,6919%","1,9202%","3,8441%","8,2542%","0,6401%","0,6407%","0,6879%","2,5524%","0,5642%","1,2600%","-0,9248%","R$ 233.550.300,4800","R$ 104,1799","1,0223","0,6623%","-0,4232%","0,2363%","1,6142%",N/A,N/A,0
2018-05-23,BRCR11,Híbrido,"93,67",28130.0,"R$ 0,2677","0,2613%","0,8805%","2,2453%","4,7744%","0,2935%","0,3742%","0,3979%","0,8805%","-4,1628%","-3,9123%","-1,8008%","R$ 2.401.646.668,8700","R$ 124,9261","0,7498","0,2143%","0,1090%","0,3235%","0,7917%","32,2000%","29,7000%",11
2018-05-23,FAMB11B,Lajes Corporativas,"3.060,01",57.0,"R$ 36,2493","1,0357%","2,8463%","5,6315%","10,5288%","0,9488%","0,9386%","0,8774%","3,7149%","-11,6164%","-10,7010%","-10,9845%","R$ 483.953.774,3800","R$ 4.617,8795","0,6626","0,7913%","0,0409%","0,8325%","2,4472%","0,0000%",N/A,1
2018-05-23,PQDP11,Shoppings,"3.075,00",30.0,"R$ 13,5623","0,4013%","1,1452%","2,4377%","5,3349%","0,3817%","0,4063%","0,4446%","1,1452%","3,3642%","3,7790%","3,7904%","R$ 636.682.449,7800","R$ 2.669,7856","1,1518",,,,,"2,0000%",N/A,1
2018-05-23,PRSV11,Lajes Corporativas,"368,00",81.0,"R$ 0,7300","0,1921%","0,5576%","1,0221%","3,2486%","0,1859%","0,1704%","0,2707%","0,6611%","-5,4726%","-5,2910%","-5,7442%","R$ 79.015.363,7300","R$ 405,2070","0,9082","0,1802%","-0,0022%","0,1779%","0,6938%",N/A,N/A,2
2018-05-23,WPLZ11B,Shoppings,"70,01",243.0,"R$ 0,1275","0,1821%","0,4499%","0,8869%","1,4669%","0,1500%","0,1478%","0,1222%","0,4499%","-3,4345%","-3,2587%","-7,4178%","R$ 81.815.682,8200","R$ 82,6973","0,8466",,,,,"9,0000%",N/A,1
2018-05-23,TBOF11,Lajes Corporativas,"81,20",7512.0,"R$ 0,1788","0,2167%","0,6072%","1,2271%","2,9172%","0,2024%","0,2045%","0,2431%","0,8328%","-6,6855%","-6,4833%","0,8232%","R$ 798.645.902,2500","R$ 79,4673","1,0218","0,2249%","0,0732%","0,2983%","0,7473%","32,1000%",N/A,1
2018-05-23,VLOL11,Lajes Corporativas,"87,50",2256.0,"R$ 0,4029","0,4452%","1,1848%","2,3814%","5,2841%","0,3949%","0,3969%","0,4403%","1,5378%","-3,2396%","-2,8088%","2,1108%","R$ 132.568.499,4200","R$ 74,2752","1,1781","0,5425%","0,0060%","0,5486%","1,9174%","11,1900%",N/A,1
2018-05-23,AGCX11,Outros,"1.091,00",349.0,"R$ 7,2500","0,5847%","1,7247%","3,5702%","7,3444%","0,5749%","0,5950%","0,6120%","2,2966%","-1,3524%","-0,7757%","-0,3359%","R$ 432.062.401,6300","R$ 1.066,8207","1,0227","0,6796%","0,0268%","0,7065%","2,0757%",N/A,N/A,41
2018-05-23,BBVJ11,Lajes Corporativas,"52,50",2287.0,"R$ 0,0000","0,0000%","0,0000%","0,7660%","3,0472%","0,0000%","0,1277%","0,2539%","0,0000%","0,4334%","0,4334%","0,4167%","R$ 161.971.550,0500","R$ 59,7681","0,8784",,,,,"49,2900%",N/A,1
2018-05-23,BMLC11B,Lajes Corporativas,"80,30",554.0,"R$ 0,3016","0,3612%","1,1330%","2,9962%","6,4348%","0,3777%","0,4994%","0,5362%","1,5929%","3,7009%","4,0755%","0,6263%","R$ 84.307.658,7800","R$ 84,4423","0,9509","0,3960%","0,0958%","0,4922%","1,3611%","33,0000%",N/A,2
2018-05-23,BPFF11,Títulos e Val. Mob.,"96,25",2145.0,"R$ 0,6700","0,6291%","1,8804%","3,9677%","8,2497%","0,6268%","0,6613%","0,6875%","2,5427%","-0,9302%","-0,3070%","7,9920%","R$ 197.181.290,0100","R$ 98,5906","0,9763","0,6796%","-0,5760%","0,0997%","3,3058%",N/A,N/A,0
2018-05-23,CXCE11B,Outros,"2.250,00",12.0,"R$ 16,9243","0,6908%","2,1377%","4,3539%","8,9149%","0,7126%","0,7256%","0,7429%","2,8683%","1,3657%","2,0660%","3,3214%","R$ 157.815.280,2700","R$ 2.303,2675","0,9769","0,7348%","0,0653%","0,8006%","3,2395%",N/A,N/A,1
