Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2023-05-01,FIVN11,Shoppings,"R$ 3,20",748.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 72.350.178,26","R$ 7,69","0,42",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2023-05-01,BZLI11,Títulos e Val. Mob.,"R$ 17,10",90.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 448.259.394,13","R$ 10,71","1,60",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,XTED11,Lajes Corporativas,"R$ 8,82",2223.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.688.895,17","R$ 13,26","0,67",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
2023-05-01,ALMI11,Lajes Corporativas,"R$ 755,00",39.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 224.901.265,10","R$ 2.022,91","0,37",N/A,N/A,N/A,N/A,"64,05%",N/A,1
2023-05-01,PABY11,Híbrido,"R$ 12,00",164.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -12.536.949,41","R$ -16,53","-0,73",N/A,N/A,N/A,N/A,N/A,N/A,1
2023-05-01,ORPD11,Títulos e Val. Mob.,"R$ 11,00",50.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 42.782.812,87","R$ 147,53","0,07",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,GSFI11,Shoppings,"R$ 5,49",17851.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.062.133.568,44","R$ 14,12","0,39",N/A,N/A,N/A,N/A,"10,30%",N/A,10
2023-05-01,PRSV11,Lajes Corporativas,"R$ 93,86",10.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 42.247.192,35","R$ 216,65","0,43",N/A,N/A,N/A,N/A,"40,90%",N/A,2
2023-05-01,FAMB11B,Lajes Corporativas,"R$ 748,00",126.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 311.955.201,16","R$ 2.976,67","0,25",N/A,N/A,N/A,N/A,"100,00%",N/A,1
2023-05-01,FMOF11,Lajes Corporativas,"R$ 50,99",3.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 60.294.445,05","R$ 118,69","0,43",N/A,N/A,N/A,N/A,"52,08%",N/A,1
2023-05-01,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 150.566.061,91","R$ 100,85",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,RBDS11,Residencial,"R$ 2,99",1087.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 2.519.048,96","R$ 19,91","0,15",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,VXXV11,Outros,"R$ 1.001,00",5994.0,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 267.977.094,55","R$ 1.006,06","0,99",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,HRDF11,Híbrido,"R$ 0,89",20443.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 8.588.308,07","R$ 1,13","0,79",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,CJCT11,Lajes Corporativas,"R$ 60,00",3.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 205.750.284,32","R$ 65,53","0,92",N/A,N/A,N/A,N/A,"59,00%",N/A,1
2023-05-01,CTXT11,Lajes Corporativas,"R$ 10,78",161.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 106.430.373,50","R$ 33,73","0,32",N/A,N/A,N/A,N/A,"97,00%",N/A,1
2023-05-01,SRVD11,Títulos e Val. Mob.,"R$ 7,07",3.0,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","0,00%","1,01%","1,01%","R$ 71.115.145,73","R$ 0,74","9,57",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,CARE11,Híbrido,"R$ 2,14",3502.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 298.691.504,18","R$ 8,35","0,26",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78","0,31","0,18%","0,00%","0,18%","1,17%","13,00%",N/A,1
2023-05-01,IBFF11,Títulos e Val. Mob.,"R$ 66,40",1924.0,"R$ 0,30","0,44%","2,01%","4,58%","9,52%","0,67%","0,76%","0,79%","5,42%","7,50%","7,98%","19,59%","R$ 9.855.905,16","R$ 14,78","4,49",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,YUFI11B,Residencial,N/A,N/A,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 48.747.793,44","R$ 98,95",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,CORM11,Híbrido,"R$ 99,42",20270.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 85.655.510,06","R$ 84,20","1,18",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,BLCP11,Outros,"R$ 91,00",123.0,"R$ 0,56","0,62%","1,72%","3,46%","6,64%","0,57%","0,58%","0,55%","5,31%","-0,54%","0,08%","19,93%","R$ 256.580.339,90","R$ 111,74","0,81","0,50%","-0,02%","0,49%","15,81%","6,20%",N/A,2
2023-05-01,VVPR11,Híbrido,"R$ 101,50",2211.0,"R$ 0,89","0,88%","2,47%","4,88%","9,73%","0,82%","0,81%","0,81%","6,57%","2,01%","2,91%","15,95%","R$ 226.032.234,18","R$ 98,03","1,04",N/A,N/A,N/A,N/A,"0,00%",N/A,6
2023-05-01,BTCR11,Títulos e Val. Mob.,"R$ 88,00",6663.0,"R$ 0,90","1,00%","2,93%","6,64%","13,56%","0,98%","1,11%","1,13%","11,59%","-6,19%","-5,26%","9,82%","R$ 458.252.683,73","R$ 95,27","0,92","0,94%","0,64%","1,59%","4,62%",N/A,N/A,0
2023-05-01,KNRE11,Residencial,"R$ 0,63",8299.0,"R$ 0,04","6,74%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","6,74%","0,00%","6,74%","6,74%","R$ 13.910.742,85","R$ 0,75","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,FEXC11,Títulos e Val. Mob.,"R$ 83,50",9153.0,"R$ 0,95","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","6,46%","R$ 1.001.470.167,13","R$ 90,57","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,ARCT11,Híbrido,"R$ 87,13",6496.0,"R$ 0,39","0,44%","2,13%","4,81%","13,92%","0,71%","0,80%","1,16%","13,92%","-0,42%","0,03%","-7,05%","R$ 369.956.160,07","R$ 99,77","0,87","0,76%","0,04%","0,80%","6,31%",N/A,N/A,4
2023-05-01,TORD11,Outros,"R$ 3,53",69288.0,"R$ 0,05","0,93%","2,57%","5,12%","11,45%","0,86%","0,85%","0,95%","0,93%","0,00%","0,93%","0,93%","R$ 487.032.696,90","R$ 13,89","0,25",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,QIRI11,Títulos e Val. Mob.,"R$ 78,04",39.0,"R$ 89,64","114,86%","116,71%","119,51%","123,94%","38,90%","19,92%","10,33%","121,86%","1,48%","118,05%","99,75%","R$ 13.441.852,95","R$ 89,61","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,KEVE11,Residencial,"R$ 999,99",3.0,"R$ 3,05","0,32%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,32%","0,00%","0,32%","0,32%","R$ 138.839.057,89","R$ 940,00","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,BRIP11,Híbrido,"R$ 1.149,99",1.0,"R$ 107,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 207.881.961,84","R$ 964,76","1,19",N/A,N/A,N/A,N/A,N/A,N/A,0
2023-05-01,SNLG11,Logística,"R$ 33,75",568.0,"R$ 0,35","0,91%","2,67%","4,62%","11,75%","0,89%","0,77%","0,98%","0,91%","0,00%","0,91%","0,91%","R$ 116.088.485,68","R$ 61,48","0,55",N/A,N/A,N/A,N/A,"0,00%",N/A,3
